"","Atleta","gamesPlayed","points_pg","price_pg","points_per_price"
"38425","38425",15,0.713333333333333,5.542,0.120056547356947
"38431","38431",35,3.93714285714286,15.1631428571429,0.241335293355449
"38435","38435",19,0.431578947368421,14.2942105263158,0.0283646552158076
"38440","38440",35,0.677142857142857,5.54857142857143,0.1093499917569
"38446","38446",35,0,4,0
"38451","38451",35,2.54285714285714,11.1237142857143,0.214270955632775
"38482","38482",29,0.513793103448276,7.71206896551724,0.0549278538107403
"38508","38508",24,0.00416666666666667,3.9025,-0.00189667895739004
"38515","38515",35,1.94285714285714,10.3631428571429,0.172687367333712
"38523","38523",35,1.23142857142857,13.332,0.0921712909531893
"38525","38525",35,0.262857142857143,7.302,0.0306539018876316
"38530","38530",35,0.102857142857143,13.6948571428571,0.00706120648039045
"38573","38573",35,0.64,8.37857142857143,0.0723936012549308
