"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","FT","G","I","PI","PP","CA","DE","GS","PC","SG","GC","CV","PS","DP"
"21",85425,10,277,"gol","7",5.2,14.08,0.39,4.42,10,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,37,9,NA,3,NA,NA,NA,NA
"22",88916,10,373,"gol","6",0,5.03,0,2.25,2,NA,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA
"23",90061,10,354,"lat","7",0,9.31,0,3.65,8,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",1,19,9,2,1,13,NA,NA,2,74,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"24",90285,10,262,"ata","7",0,14.47,0,5.27,6,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",NA,13,10,6,4,15,NA,1,5,34,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"25",74061,10,263,"gol","7",-2,5.55,-0.68,2.68,8,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,29,13,NA,1,NA,NA,NA,NA
"26",88423,10,280,"lat","7",4.5,7.87,0.28,3.52,6,NA,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",NA,12,15,NA,2,4,NA,NA,2,52,NA,2,NA,NA,NA,3,NA,NA,NA,NA
"27",68808,10,354,"lat","3",8,6.81,1.38,2.58,9,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,9,6,NA,1,8,NA,1,NA,56,NA,3,NA,NA,NA,2,NA,NA,NA,NA
"28",42500,10,264,"lat","6",0,12,0,0,0,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",104250,10,264,"zag","5",0,6.25,0,3.33,7,NA,"joao-victor","João Victor","J. Victor","João Victor da Silva Marcelino","https://s.glbimg.com/es/sde/f/2022/04/27/f3e5573d52686895a481f6eb2b0189bb_FORMATO.png","Corinthians",NA,9,7,NA,1,5,NA,NA,NA,17,NA,2,NA,NA,NA,3,NA,NA,NA,NA
"30",71071,10,282,"tec","7",4.89,12.42,-0.08,5.63,9,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",86864,10,327,"lat","7",2.7,3.4,0.14,2.08,6,NA,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",NA,12,8,2,4,8,NA,NA,NA,51,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"32",95794,10,282,"zag","3",-2.3,8.41,-1.56,4.07,6,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,9,14,1,2,2,NA,NA,NA,10,NA,5,NA,NA,NA,4,NA,NA,NA,NA
"33",101708,10,277,"lat","6",0,4.22,0,0.1,2,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,NA,1,NA,1,1,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",104257,10,1371,"lat","6",0,5.33,0,1.7,7,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,13,9,NA,NA,9,NA,NA,NA,75,NA,3,NA,NA,2,2,NA,1,NA,NA
"35",71684,10,275,"zag","6",0,16.64,0,7.63,6,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,6,3,1,4,4,NA,3,2,27,NA,3,NA,NA,NA,3,NA,NA,NA,NA
"36",38144,10,276,"lat","7",2.6,8.77,-1.04,3.05,9,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",2,16,13,NA,1,10,NA,NA,NA,56,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"37",95638,10,356,"zag","7",0.4,5.66,-0.43,1.77,8,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,12,9,2,1,9,NA,NA,NA,32,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"38",87228,10,282,"lat","6",0,13.16,0,4.62,5,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2021/05/02/282a160d63e94aaad12311a7c3bbf3f0_FORMATO.png","Atlético-MG",1,6,9,1,3,5,NA,NA,NA,35,NA,3,NA,NA,1,3,NA,NA,NA,NA
"39",105175,10,293,"lat","7",0.3,3.52,-0.47,2.76,7,NA,"khellven","Khellven ","Khellven ","Khellven Douglas Silva Oliveira","https://s.glbimg.com/es/sde/f/2022/02/21/2ca4e948511b9183a702c48d72753850_FORMATO.png","Athlético-PR",NA,11,8,1,4,3,NA,NA,NA,64,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"40",91573,10,276,"zag","6",0,6.24,0,2.78,6,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,10,7,2,3,3,1,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",96652,10,282,"mei","7",-1,3.67,-0.57,1.59,7,NA,"allan","Allan","Allan","Allan Rodrigues de Souza","https://s.glbimg.com/es/sde/f/2021/05/02/171f1af3a958ad9639f2d72e0825ec35_FORMATO.png","Atlético-MG",NA,12,15,4,3,5,NA,NA,NA,55,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"42",91101,10,373,"gol","7",1,4.84,0.19,3.21,8,NA,"ronaldo","Ronaldo","Ronaldo","Ronaldo de Oliveira Strada","https://s.glbimg.com/es/sde/f/2022/03/03/cb6155829f59a86db540d1bc5bd52fa7_FORMATO.png","Atlético-GO",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,27,8,NA,1,NA,NA,NA,NA
"43",98484,10,263,"zag","7",3.5,3.68,0.29,1.87,9,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,10,6,1,3,6,NA,NA,NA,29,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"44",105672,10,293,"zag","7",0.4,3.42,-0.17,2.18,4,NA,"nicolas-hernandez","Nicolás Hernández","N. Hernández","Nicolás Hernández Rodríguez","https://s.glbimg.com/es/sde/f/2022/02/21/8e49df153cf9037db1aa09cd34feb7e9_FORMATO.png","Athlético-PR",NA,6,3,NA,NA,1,NA,NA,NA,21,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"45",106823,10,293,"zag","6",0,1.86,0,-0.9,1,NA,"lucas-fasson","Lucas Fasson","L. Fasson","Lucas Fasson dos Santos","https://s.glbimg.com/es/sde/f/2021/08/16/b28f3118f886b751eccec717db71b3ab_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",100943,10,327,"zag","7",0,3.53,-0.14,1.96,8,NA,"conti","Conti","Conti","Germán Andrés Conti","https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png","América-MG",NA,11,6,NA,1,1,NA,NA,NA,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"47",101314,10,282,"ata","7",2.3,11.62,-0.18,4.61,9,NA,"ademir","Ademir","Ademir","Ademir da Silva Santos Júnior","https://s.glbimg.com/es/sde/f/2022/02/27/c71d07a4846b5840e9811ed9add0a53c_FORMATO.png","Atlético-MG",1,14,7,2,8,23,2,NA,4,31,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"48",60795,10,373,"gol","6",0,4,0,0,0,NA,"renan","Renan","Renan","Renan dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",95220,10,373,"lat","7",-0.9,3,-0.5,1.65,10,NA,"jefferson","Jefferson","Jefferson","Jefferson Junio Antônio da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/80467cde6b46e7d96a9fc9fa200520fa_FORMATO.png","Atlético-GO",NA,11,8,1,4,6,NA,NA,NA,68,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"50",91708,10,266,"zag","6",0,13.3,0,4.6,7,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,10,4,1,2,13,NA,NA,NA,19,NA,1,NA,NA,NA,3,NA,NA,NA,NA
"51",87863,10,262,"mei","6",0,19.33,0,9.07,7,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://s.glbimg.com/es/sde/f/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png","Flamengo",3,22,4,4,6,22,1,1,2,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",88087,10,373,"zag","7",0.6,4.1,0.04,2.01,8,NA,"ramon-menezes","Ramon Menezes","R. Menezes","Ramon Menezes Roma","https://s.glbimg.com/es/sde/f/2022/03/03/addba459fcb5f0a6de801f763b1f8375_FORMATO.png","Atlético-GO",NA,6,4,3,1,NA,1,NA,NA,23,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"53",89274,10,262,"mei","7",4,6.17,0.19,2.76,9,NA,"andreas-pereira","Andreas Pereira","A. Pereira","Andreas Hugo Hoelgebaum Pereira","https://s.glbimg.com/es/sde/f/2022/04/25/f1b80901d66489365ffcdbed4c29a086_FORMATO.png","Flamengo",1,8,12,3,9,6,NA,1,1,59,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"54",108201,10,327,"mei","2",2,2.93,0.05,2.1,5,NA,"gustavo","Gustavo","Gustavo","Gustavo César Mendonça Gravino","https://s.glbimg.com/es/sde/f/2022/02/25/0386b196bc9d7576552344192f41a032_FORMATO.png","América-MG",NA,9,5,1,1,8,NA,NA,NA,28,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"55",97062,10,327,"mei","5",0,5.55,0,2.5,6,NA,"juan-ramirez","Juan Ramírez","J. Ramírez","Juan Pablo Ramírez Velásquez","https://s.glbimg.com/es/sde/f/2022/02/24/2e0263bb5e40212a4b61690039d26668_FORMATO.png","América-MG",1,2,6,1,1,5,NA,1,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"56",70360,10,282,"ata","7",10.6,7.41,1.52,4.21,8,NA,"eduardo-sasha","Eduardo Sasha","E. Sasha","Eduardo Colcenti Antunes","https://s.glbimg.com/es/sde/f/2021/04/23/c4219f6ceb958aef5f871e8ecf08b6a5_FORMATO.png","Atlético-MG",NA,5,6,5,4,6,1,2,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",63289,10,285,"mei","3",-0.1,10.18,-0.64,3.23,9,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",1,13,8,2,7,8,2,NA,NA,41,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"58",69138,10,293,"ata","3",11.6,7.18,0.79,5.07,7,NA,"pablo","Pablo","Pablo","Pablo Felipe Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png","Athlético-PR",1,6,15,7,4,8,1,2,5,33,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"59",99878,10,327,"ata","6",0,2,0,0,0,NA,"leo-passos","Léo Passos","L. Passos","Leonardo da Silva Passos","https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",87225,10,293,"zag","3",3.5,7.73,-0.56,4.27,10,NA,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Ribeiro Gonçalves","https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png","Athlético-PR",NA,24,9,4,NA,12,NA,NA,NA,62,NA,3,NA,NA,NA,3,NA,NA,NA,NA
"61",87999,10,275,"mei","7",20.8,13.06,3.04,7.95,8,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",5,7,3,9,13,16,NA,1,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",100641,10,282,"ata","6",0,3.24,-0.61,0.5,2,NA,"fabio-gomes","Fábio Gomes","F. Gomes","Fábio Roberto Gomes Netto","https://s.glbimg.com/es/sde/f/2022/02/27/c2f4553f87886d8d57cd268c4a14338b_FORMATO.png","Atlético-MG",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",106704,10,327,"ata","6",0,1.72,0,0.45,2,NA,"carlos-alberto","Carlos Alberto","C. Alberto","Carlos Alberto Gomes da Silva Filho","https://s.glbimg.com/es/sde/f/2022/02/25/c051db5190893370b401c6f37c4c427d_FORMATO.png","América-MG",NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",97317,10,327,"mei","6",0,1.88,0,0.43,7,NA,"ze-ricardo","Zé Ricardo","Z. Ricardo","José Ricardo Barbosa Ribeiro Drumond","https://s.glbimg.com/es/sde/f/2022/02/24/55526a7acacc680703923482c9c2fd9d_FORMATO.png","América-MG",NA,4,4,NA,NA,3,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
