"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","SG","DS","FC","FD","FF","PI","A","FS","CA","G","PC","I","PS","CV","FT","PP","GC","DE","GS"
"708",98225,6,290,"ata","7",3,7.75,0.39,4.58,5,NA,"pedro-raul","Pedro Raul","P. Raul","Pedro Raul Garay da Silva","https://s.glbimg.com/es/sde/f/2022/03/10/5215be2746c5556d28458274ecbe4b16_FORMATO.png","Goiás",NA,5,10,2,NA,18,NA,5,2,2,NA,2,NA,NA,1,NA,NA,NA,NA
"709",115867,6,290,"lat","6",0,2,0,0,0,NA,"gabriel-ruggeri","Gabriel Ruggeri","G. Ruggeri","Gabriel Ruggeri Silva","https://s.glbimg.com/es/sde/f/2022/03/10/46af53a0646102ee53d5d4a76af63dfb_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710",73347,6,290,"mei","7",6.9,8.97,0.49,7.44,5,NA,"elvis","Elvis","Elvis","Elvis Vieira Araújo","https://s.glbimg.com/es/sde/f/2022/03/10/921e45ca3c1a59af28403b7d2cb8cc5e_FORMATO.png","Goiás",NA,3,3,1,NA,57,1,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",78865,6,285,"mei","7",2.5,4.58,-0.29,2.3,4,NA,"rodrigo-dourado","Rodrigo Dourado","R. Dourado","Rodrigo Dourado Cunha","https://s.glbimg.com/es/sde/f/2022/04/02/147aa17c3111d8eefb2db4a13530ab8d_FORMATO.png","Internacional",NA,10,4,NA,NA,6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",97768,6,290,"zag","7",0,4.57,0,2.24,5,NA,"reynaldo","Reynaldo","Reynaldo","Reynaldo César Moraes","https://s.glbimg.com/es/sde/f/2022/05/03/de1fca34e51b21b4624ba9bfd83a4b51_FORMATO.png","Goiás",1,6,6,1,1,12,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",78605,6,285,"mei","6",0,4.25,0,2.36,5,NA,"gabriel","Gabriel","Gabriel","Gabriel Girotto Franco","https://s.glbimg.com/es/sde/f/2022/04/02/f20a9f6c8c6edb72777759bc796aaa64_FORMATO.png","Internacional",NA,12,12,NA,1,18,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",101027,6,290,"mei","7",1.8,5.67,-0.29,2.55,6,NA,"diego","Diego","Diego","Jackson Diego Ibrahim Fagundes","https://s.glbimg.com/es/sde/f/2022/03/10/fb1b4d53c6475f4e02123bf33a52a0c2_FORMATO.png","Goiás",NA,14,7,NA,1,37,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",72951,6,285,"zag","7",0.6,7.15,-1.16,4.32,5,NA,"mercado","Mercado","Mercado","Gabriel Iván Mercado","https://s.glbimg.com/es/sde/f/2022/04/02/a0ef6aa6bdbb6858462fa294d19eb211_FORMATO.png","Internacional",2,11,3,NA,1,10,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716",101601,6,290,"mei","6",2.1,2.65,-0.02,1.33,3,NA,"caio","Caio","Caio","Caio Vinicius da Conceição","https://s.glbimg.com/es/sde/f/2022/03/10/a34434b7c2c45f0720de34fdeaf8fca5_FORMATO.png","Goiás",NA,5,8,NA,1,14,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",77570,6,290,"mei","6",-0.1,1.19,-0.07,-0.18,4,NA,"auremir","Auremir","Auremir","Auremir Evangelista dos Santos","https://s.glbimg.com/es/sde/f/2022/03/10/fa84d067860cd66ce61c09be22c58e48_FORMATO.png","Goiás",NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",102565,6,290,"mei","6",0,4,0,0,0,NA,"miguel-figueira","Miguel Figueira","M. Figueira","Miguel Ferreira Damasceno","https://s.glbimg.com/es/sde/f/2022/03/10/091756669981fb60d8c35b9e12479795_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",91712,6,290,"gol","6",0,1.13,0,-1,0,NA,"matheus-alves","Matheus Alves","M. Alves","Matheus Alves da Silva Cardoso","https://s.glbimg.com/es/sde/f/2022/03/10/7b5fb8d2f7c818d7caf7871a8119aa2d_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",96678,6,285,"lat","7",1.5,8.15,-0.32,4.07,6,NA,"bustos","Bustos","Bustos","Fabricio Tomás Bustos Sein","https://s.glbimg.com/es/sde/f/2022/04/02/931e44ec05fa6257ecdf5e8973318115_FORMATO.png","Internacional",2,11,2,1,1,67,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",104649,6,285,"lat","6",0,5,0,0,0,NA,"heitor","Heitor","Heitor","Heitor Rodrigues da Fonseca","https://s.glbimg.com/es/sde/f/2021/05/02/5d9c07e5253c5c548f86e0caad3171fd_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722",86841,6,285,"mei","5",0,4.91,0,2.3,3,NA,"boschilia","Boschilia","Boschilia","Gabriel Boschilia","https://s.glbimg.com/es/sde/f/2022/04/02/c206be82adb058c6ba1e3bc51d58712d_FORMATO.png","Internacional",NA,2,3,NA,1,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",106202,6,285,"mei","5",0,4,0,0,0,NA,"bruno-gomes","Bruno Gomes","B. Gomes","Bruno Gomes da Silva Clevelário","https://s.glbimg.com/es/sde/f/2022/04/02/ba1e5da5f4a9e34f5e306cee78c2ae54_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724",82730,6,290,"gol","6",0,4,0,0,0,NA,"marcelo-rangel","Marcelo Rangel","M. Rangel","Marcelo Rangel da Rosa","https://s.glbimg.com/es/sde/f/2022/03/10/abd077c51bd538d3a6f8863cb5aaf035_FORMATO.jpeg","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",100761,6,285,"mei","6",0,5.42,0,2.2,1,NA,"liziero","Liziero","Liziero","Igor Matheus Liziero Pereira ","https://s.glbimg.com/es/sde/f/2022/04/02/68d5b0b8c93444cf3f88161d109fe461_FORMATO.png","Internacional",NA,3,3,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",91929,6,290,"zag","6",0,3,0,0,0,NA,"everson","Everson","Everson","Everson Bispo Pereira","https://s.glbimg.com/es/sde/f/2022/03/10/9a2f8ef8baac13e66233efd7b0cdec11_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727",91733,6,356,"mei","7",4.8,6.02,0.76,2.48,5,NA,"felipe","Felipe","Felipe","Luiz Antonio Ferreira Rodrigues","https://s.glbimg.com/es/sde/f/2022/02/25/a8b962d2aca19bf9d892471bebd26383_FORMATO.png","Fortaleza",NA,12,9,NA,NA,28,NA,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",97339,6,285,"ata","6",0,3.37,0,1.13,3,NA,"wesley-moraes","Wesley Moraes","W. Moraes","Wesley Moraes Ferreira da Silva","https://s.glbimg.com/es/sde/f/2022/04/02/e22fc4b6b55040f6a411b8f8864fa534_FORMATO.png","Internacional",NA,NA,2,2,1,10,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"729",105647,6,285,"mei","6",-0.5,4.23,-0.18,1.94,5,NA,"mauricio","Maurício","Maurício","Maurício Magalhães Prado","https://s.glbimg.com/es/sde/f/2021/05/02/9b1360971d21b29ea6d3fcc3806ad12e_FORMATO.png","Internacional",NA,5,3,1,3,30,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"730",106076,6,290,"mei","6",0,3,0,0,0,NA,"daniel-de-pauli","Daniel de Pauli","D. Pauli","Daniel de Pauli Oliveira","https://s.glbimg.com/es/sde/f/2022/03/10/784ef6e4a568cca23887b6a1416de101_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731",106002,6,285,"mei","6",0,3.13,0,1,1,NA,"johnny","Johnny","Johnny","João Lucas Souza Cardoso","https://s.glbimg.com/es/sde/f/2021/05/02/e291215bc1ef22558f71ebdfc86fd7e6_FORMATO.png","Internacional",NA,2,1,NA,1,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"732",111688,6,285,"ata","6",0,3,0,0,0,NA,"matheus-cadorini","Matheus Cadorini","M. Cadorini","Matheus Alfredo Cadorini da Silva","https://s.glbimg.com/es/sde/f/2022/04/02/b95ad9995d0cf6d40d8915558ab5dc12_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733",85083,6,275,"gol","6",0,4,0,0,0,NA,"vinicius-silvestre","Vinicius Silvestre","V. Silvestre","Vinicius Silvestre da Costa","https://s.glbimg.com/es/sde/f/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734",103575,6,290,"zag","7",6.6,5.15,1.01,3.2,3,NA,"caetano","Caetano","Caetano","João Victor Andrade Caetano","https://s.glbimg.com/es/sde/f/2022/03/10/0b26178145c836bb7862ed5729e22c14_FORMATO.png","Goiás",2,1,2,1,NA,12,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735",81150,6,275,"lat","6",3.2,5.29,0.51,2.43,4,NA,"mayke","Mayke","Mayke","Mayke Rocha de Oliveira","https://s.glbimg.com/es/sde/f/2022/02/21/7d200ca2902c8ec5643bc8975b770faf_FORMATO.png","Palmeiras",2,3,3,NA,NA,25,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736",107745,6,285,"ata","6",0,1.98,0,0.6,3,NA,"caio-vidal","Caio Vidal","C. Vidal","Caio Vidal Rocha","https://s.glbimg.com/es/sde/f/2022/04/02/2de9576136ea8acae47822e900c3cc5a_FORMATO.png","Internacional",NA,NA,1,NA,1,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
