Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
28,90481,Alisson Farias,285,4,6,0.0,1.02,2.73,0.0,True,277,285,27/09/2015,7.0,7.0,NA,NA,1.0,3.0,NA,NA,NA,3.0,3.0,NA,1.0,NA,NA,NA,NA,NA
28,84887,Dener,316,4,6,0.5,0.98,2.72,0.01,False,316,264,27/09/2015,6.0,43.0,NA,NA,NA,2.0,NA,NA,NA,19.0,22.0,NA,1.0,NA,NA,NA,NA,NA
28,87747,Yago,316,4,7,-1.9,1.34,2.72,-0.14,False,316,264,27/09/2015,19.0,31.0,3.0,NA,2.0,3.0,NA,NA,NA,13.0,17.0,NA,5.0,NA,NA,NA,NA,NA
28,84889,Victor Oliveira,266,3,6,0.0,2.38,2.7,0.0,False,266,290,26/09/2015,NA,7.0,NA,NA,NA,NA,NA,NA,NA,3.0,3.0,NA,1.0,NA,2.0,NA,NA,NA
28,68945,Saimon,316,3,7,0.0,1.85,2.7,0.0,False,316,264,27/09/2015,1.0,19.0,NA,NA,1.0,2.0,NA,1.0,NA,13.0,10.0,NA,2.0,NA,1.0,NA,NA,NA
28,78422,Oswaldo,292,3,6,0.0,-0.6,2.69,0.0,False,292,315,27/09/2015,NA,1.0,NA,NA,NA,1.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA
28,78967,Dudu,316,5,5,0.0,0.83,2.68,0.0,False,316,264,27/09/2015,15.0,25.0,NA,1.0,4.0,2.0,3.0,6.0,NA,NA,24.0,NA,4.0,NA,NA,NA,NA,NA
28,88225,Daniel Guedes ,277,2,6,0.0,1.14,2.66,0.0,False,277,285,27/09/2015,3.0,26.0,1.0,NA,1.0,2.0,NA,NA,NA,11.0,19.0,NA,5.0,NA,2.0,NA,NA,NA
28,38451,Carlinhos,276,2,7,4.5,4.82,11.25,0.11,False,276,275,27/09/2015,22.0,41.0,3.0,NA,8.0,6.0,NA,4.0,NA,18.0,16.0,NA,2.0,NA,5.0,NA,NA,NA
28,79066,Alex Muralha,316,1,7,-2.0,2.95,11.17,-0.48,False,316,264,27/09/2015,2.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,3.0,40.0,NA,31.0
28,68773,Henrique Almeida,294,5,3,7.9,7.11,11.14,0.31,True,283,294,27/09/2015,18.0,23.0,NA,NA,7.0,8.0,8.0,4.0,NA,10.0,19.0,NA,3.0,NA,NA,NA,NA,NA
28,82128,Ferrugem,292,2,7,1.3,3.78,11.09,0.27,False,292,315,27/09/2015,10.0,39.0,NA,NA,3.0,2.0,1.0,4.0,NA,16.0,12.0,NA,1.0,NA,3.0,NA,NA,NA
28,60788,Marquinhos,283,5,6,0.2,2.74,11.07,-0.28,False,283,294,27/09/2015,24.0,51.0,4.0,NA,4.0,13.0,1.0,6.0,NA,12.0,6.0,NA,NA,NA,NA,NA,NA,NA
