,atletas.preco_num,atletas.foto,atletas.posicao_id,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.pontos_num,atletas.status_id,atletas.clube_id,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.rodada_id,atletas.nome,atletas.slug,atletas.minimo_para_valorizar,atletas.atleta_id,CA,DS,FC,FD,FF,FS,PI,SG,A,G,DE,DP,GS,GC,PC,FT,I,CV,PP,PS
36,5.31,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,4,2.59,Apodi,Apodi,-1.7,6,290,-0.46,Goiás,12,25,Luiz Diallison de Souza Alves,apodi,,51042,1.0,12.0,16.0,2.0,3.0,13.0,27.0,,1.0,1.0,,,,,,,1.0,,,1.0
37,11.76,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,1,3.92,Walter,Walter,0.0,7,1371,-0.86,Cuiabá,23,25,Walter Leandro Capeloza Artune,walter,,51413,,3.0,,,,3.0,,6.0,,,76.0,,21.0,,,,,,,
38,5.0,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,4,1.44,Giuliano,Giuliano,1.4,6,264,0.16,Corinthians,19,25,Giuliano Victor de Paula,giuliano,,51548,2.0,16.0,9.0,2.0,8.0,9.0,52.0,,1.0,,,,,,,,2.0,,,
39,8.81,https://s.glbimg.com/es/sde/f/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,4,4.13,E. Ribeiro,Everton Ribeiro,1.9,6,262,0.25,Flamengo,23,25,Everton Augusto de Barros Ribeiro,everton-ribeiro,,51772,,30.0,20.0,8.0,4.0,46.0,129.0,,4.0,2.0,,,,,,2.0,1.0,,,
40,5.14,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,3,2.82,Réver,Réver,5.1,6,282,0.97,Atlético-MG,10,25,Réver Humberto Alves Araújo,rever,,52253,1.0,8.0,6.0,,1.0,4.0,34.0,3.0,,1.0,,,,,1.0,,,,,
41,4.89,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,3,1.45,D. Luiz,David Luiz,4.0,2,262,0.76,Flamengo,12,25,David Luiz Moreira Marinho,david-luiz,,52827,3.0,10.0,18.0,4.0,2.0,4.0,44.0,2.0,,,,,,,,,2.0,,,
42,12.97,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,5,5.01,L. Gamalho,Léo Gamalho,0.0,7,294,0.0,Coritiba,17,25,Leonardo Gamalho de Souza,leo-gamalho,,53865,,6.0,16.0,7.0,8.0,26.0,46.0,,,7.0,,,,,,1.0,5.0,,,1.0
43,4.5,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,1,5.7,Renan,Renan,5.0,7,373,0.59,Atlético-GO,5,25,Renan dos Santos,renan,,60795,1.0,,,,,1.0,,1.0,,,30.0,,6.0,,,,,,,
44,5.79,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,5,2.06,F. Azevedo,Felipe Azevedo,0.3,6,327,0.18,América-MG,24,25,Felipe Azevedo dos Santos,felipe-azevedo,,60825,1.0,20.0,24.0,6.0,12.0,18.0,130.0,,,3.0,,,,,,,2.0,1.0,,
45,4.29,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,2,1.76,Uendel,Uendel,0.0,5,1371,0.0,Cuiabá,15,25,Uendel Pereira Gonçalves,uendel,,60852,,14.0,10.0,1.0,4.0,7.0,152.0,3.0,1.0,,,,,,,,,,,
46,6.0,https://s.glbimg.com/es/sde/f/2022/02/22/7d9b7c475629a1800313155c896a0e49_FORMATO.png,5,0.0,Jael,Jael,0.0,6,354,0.0,Ceará,0,25,Jael Ferreira Vieira,jael,,60859,,,,,,,,,,,,,,,,,,,,
47,5.84,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,2,2.06,Patric,Patric,0.0,7,327,0.0,América-MG,22,25,Patric Cabral Lalau,patric,,60969,4.0,32.0,24.0,5.0,5.0,19.0,207.0,4.0,,,,,,,,,4.0,,,
48,5.87,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,4,2.07,Rodriguinho,Rodriguinho,-0.4,7,1371,-0.24,Cuiabá,23,25,Rodrigo Eduardo Costa Marinho,rodriguinho,,61033,,8.0,12.0,9.0,14.0,21.0,66.0,,,2.0,,,,,,,6.0,,,
49,3.17,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,4,1.05,Robinho,Robinho,2.0,6,294,-0.37,Coritiba,13,25,Róbson Michael Signorini,robinho,,62104,,11.0,6.0,,1.0,10.0,86.0,,1.0,,,,,,,,1.0,,,
50,4.22,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,4,1.93,Taison,Taison,0.0,6,285,0.0,Internacional,11,25,Taison Barcellos Freda,taison,,62114,4.0,8.0,5.0,4.0,5.0,13.0,29.0,,1.0,,,,,,,,2.0,,,
51,2.46,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,4,0.58,Wellington,Wellington,0.0,6,266,0.0,Fluminense,11,25,Wellington Aparecido Martins,wellington,,62129,2.0,7.0,9.0,,,5.0,47.0,,1.0,,,,,,,,,,,
52,1.89,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,2,0.87,W. Matheus,William Matheus,0.0,6,286,0.0,Juventude,12,25,William Matheus da Silva,william-matheus,,62130,4.0,9.0,10.0,2.0,4.0,6.0,80.0,2.0,,,,,,,2.0,,,1.0,,
53,8.0,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,5,0.0,Alan,Alan,0.0,6,266,0.0,Fluminense,0,25,Alan Douglas Borges de Carvalho,alan,,62969,,,,,,,,,,,,,,,,,,,,
54,6.94,https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,4,3.41,Ganso,Ganso,0.7,7,266,-0.26,Fluminense,21,25,Paulo Henrique Chagas de Lima,ganso,,62977,4.0,23.0,13.0,3.0,5.0,30.0,153.0,,3.0,3.0,,,,,,2.0,,,,
55,9.42,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,2,6.4,M. Rocha,Marcos Rocha,0.0,7,275,0.0,Palmeiras,15,25,Marcos Luis Rocha Aquino,marcos-rocha,,63013,2.0,48.0,15.0,,1.0,11.0,174.0,8.0,3.0,,,,,,,,,,,1.0
56,6.92,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,4,2.63,W. Farias,Willian Farias,0.0,7,294,0.0,Coritiba,18,25,Willian Roberto Farias,willian-farias,,63058,6.0,42.0,11.0,,4.0,22.0,79.0,,,,,,,,,,,,,
57,5.22,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,3,2.31,Paulão,Paulão,0.0,6,1371,0.0,Cuiabá,9,25,Paulo Marcos de Jesus Ribeiro,paulao,,63172,,4.0,4.0,1.0,2.0,,26.0,4.0,,,,,,1.0,,,,,,
58,5.0,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,2,0.0,Carlinhos,Carlinhos,0.0,6,263,0.0,Botafogo,0,25,Carlos Emiliano Pereira,carlinhos,,63194,,,,,,,,,,,,,,,,,,,,
59,10.59,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,4,4.34,Edenílson,Edenílson,-0.5,6,285,-1.63,Internacional,20,25,Edenílson Andrade dos Santos,edenilson,,63289,3.0,24.0,13.0,5.0,11.0,15.0,112.0,,3.0,4.0,,,,,,2.0,1.0,,,1.0
60,5.96,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,3,4.19,R. Moledo,Rodrigo Moledo,0.0,6,285,0.0,Internacional,9,25,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,,63354,1.0,14.0,4.0,3.0,3.0,7.0,14.0,3.0,,,,,,,,,,,,
61,8.72,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,4,4.15,A. Patrick,Alan Patrick,10.5,7,285,1.81,Internacional,14,25,Alan Patrick Lourenço,alan-patrick,,68685,2.0,9.0,7.0,6.0,3.0,28.0,61.0,,2.0,3.0,,,,,,,,,,
62,4.95,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,5,2.54,André,André,0.0,6,1371,0.0,Cuiabá,14,25,André Felipe Ribeiro de Souza,andre,,68690,2.0,7.0,15.0,,5.0,18.0,33.0,,,3.0,,,,,,,1.0,,,
63,8.41,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,4,3.93,B. Silva,Bruno Silva,5.3,7,314,-0.31,Avaí,21,25,Bruno César Pereira da Silva,bruno-silva,,68698,7.0,80.0,53.0,1.0,6.0,28.0,126.0,,1.0,,,,,,,,1.0,1.0,,
