,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.nome,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.preco_num,atletas.media_num,atletas.rodada_id,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,PC,PI,I,CV,FT,G,PP,PS,GC,DP
32,30,-2.0,50353,356,7,Christian Chagas Tarouco,3,Titi,titi,-3.4,Fortaleza,5.24,3.14,35,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,Titi,-1.24,,37.0,24.0,,13.0,,4.0,44.0,,3.0,,118.0,2.0,,,,,,,
33,0,3.11,50645,327,6,Carlos Eduardo Santos Oliveira,2,Eduardo,eduardo,0.0,América-MG,4.0,0.0,35,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,Eduardo,0.0,,,,,,,,,,,,,,,,,,,,
34,16,2.69,50856,294,5,Henrique Adriano Buss,3,Henrique,henrique,0.0,Coritiba,5.07,1.73,35,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,Henrique,0.0,,18.0,4.0,,3.0,,4.0,12.0,3.0,6.0,2.0,66.0,1.0,1.0,1.0,,,,1.0,
35,6,0.23,50879,293,6,Marlos Romero Bonfim,4,Marlos,marlos,0.0,Athlético-PR,3.15,0.48,35,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,Marlos,0.0,,2.0,2.0,,,,,1.0,1.0,,,14.0,,,,,,,,
36,16,1.17,51042,290,6,Luiz Diallison de Souza Alves,4,Apodi,apodi,0.5,Goiás,5.23,2.07,35,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,Apodi,0.05,,13.0,15.0,,,1.0,3.0,20.0,3.0,6.0,,34.0,1.0,,,1.0,,1.0,,
37,25,9.28,51413,1371,7,Walter Leandro Capeloza Artune,1,Walter,walter,9.0,Cuiabá,12.65,4.49,35,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,Walter,-0.4,88.0,3.0,3.0,21.0,8.0,,,,,,,,,,,,,,,
38,27,4.1,51548,264,2,Giuliano Victor de Paula,4,Giuliano,giuliano,4.0,Corinthians,5.31,1.53,35,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,Giuliano,0.59,,22.0,14.0,,,2.0,2.0,15.0,2.0,9.0,,78.0,2.0,,1.0,,,,,
39,28,1.31,51772,262,6,Everton Augusto de Barros Ribeiro,4,Everton Ribeiro,everton-ribeiro,0.1,Flamengo,8.29,3.93,35,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,E. Ribeiro,-0.79,,41.0,56.0,,,4.0,,27.0,10.0,5.0,,172.0,1.0,,2.0,2.0,,,,
40,12,0.76,52253,282,6,Réver Humberto Alves Araújo,3,Réver,rever,0.2,Atlético-MG,4.15,2.36,35,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,Réver,-0.14,,8.0,5.0,,3.0,,1.0,6.0,,1.0,1.0,37.0,,,,1.0,,,,
41,16,4.11,52827,262,6,David Luiz Moreira Marinho,3,David Luiz,david-luiz,0.0,Flamengo,4.83,1.41,35,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,D. Luiz,0.0,,12.0,4.0,,3.0,,4.0,23.0,5.0,3.0,,61.0,2.0,,,,,,,
42,24,1.32,53865,294,6,Leonardo Gamalho de Souza,5,Léo Gamalho,leo-gamalho,-0.7,Coritiba,11.68,3.85,35,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,L. Gamalho,-0.18,,7.0,30.0,,,,1.0,18.0,8.0,12.0,,62.0,5.0,,2.0,7.0,,1.0,,
43,15,0.46,60795,373,7,Renan dos Santos,1,Renan,renan,0.0,Atlético-GO,4.0,3.5,35,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,Renan,0.0,65.0,,3.0,22.0,2.0,,2.0,,,,,,,,,,,,,
