,atletas.preco_num,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.status_id,atletas.nome,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,CV,FT,G,I,PP,PS,DP,GC
40,5.14,10,Réver,282,6,Réver Humberto Alves Araújo,52253,rever,Réver,0.0,3,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,0.0,29,2.82,Atlético-MG,,,1.0,8.0,6.0,,1.0,4.0,1.0,34.0,3.0,,,,,1.0,,,,,
41,4.15,15,David Luiz,262,7,David Luiz Moreira Marinho,52827,david-luiz,D. Luiz,0.0,3,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,0.0,29,1.24,Flamengo,,,3.0,12.0,21.0,5.0,2.0,4.0,,59.0,2.0,,,,,,2.0,,,,
42,12.1,19,Léo Gamalho,294,6,Leonardo Gamalho de Souza,53865,leo-gamalho,L. Gamalho,0.0,5,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,0.0,29,4.52,Coritiba,,,,6.0,16.0,8.0,8.0,26.0,,51.0,,,,,1.0,7.0,5.0,,1.0,,
43,3.8,9,Renan,373,7,Renan dos Santos,60795,renan,Renan,0.0,1,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,-0.71,29,4.0,Atlético-GO,,,2.0,,,,,2.0,,,1.0,45.0,13.0,,,,,,,,
44,7.01,28,Felipe Azevedo,327,7,Felipe Azevedo dos Santos,60825,felipe-azevedo,F. Azevedo,8.0,5,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,1.47,29,2.25,América-MG,,,1.0,22.0,27.0,9.0,14.0,21.0,,158.0,,,,1.0,,4.0,2.0,,,,
45,4.29,15,Uendel,1371,5,Uendel Pereira Gonçalves,60852,uendel,Uendel,0.0,2,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,29,1.76,Cuiabá,,1.0,,14.0,10.0,1.0,4.0,7.0,,152.0,3.0,,,,,,,,,,
46,5.73,25,Patric,327,7,Patric Cabral Lalau,60969,patric,Patric,-0.2,2,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,0.23,29,1.93,América-MG,,,5.0,33.0,26.0,5.0,5.0,20.0,,229.0,5.0,,,,,,4.0,,,,
47,6.72,26,Rodriguinho,1371,7,Rodrigo Eduardo Costa Marinho,61033,rodriguinho,Rodriguinho,2.9,4,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,-0.26,29,2.75,Cuiabá,,2.0,,12.0,13.0,10.0,15.0,23.0,,82.0,,,,,,3.0,6.0,,,,
48,2.8,16,Robinho,294,2,Róbson Michael Signorini,62104,robinho,Robinho,0.0,4,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,0.0,29,1.15,Coritiba,,2.0,2.0,14.0,10.0,,3.0,11.0,,113.0,,,,,,,1.0,,,,
49,3.78,13,Taison,285,6,Taison Barcellos Freda,62114,taison,Taison,0.0,4,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,0.0,29,1.68,Internacional,,1.0,5.0,9.0,6.0,4.0,5.0,15.0,,33.0,,,,,,,2.0,,,,
50,2.46,11,Wellington,266,6,Wellington Aparecido Martins,62129,wellington,Wellington,0.0,4,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,0.0,29,0.58,Fluminense,,1.0,2.0,7.0,9.0,,,5.0,,47.0,,,,,,,,,,,
51,1.69,13,William Matheus,286,6,William Matheus da Silva,62130,william-matheus,W. Matheus,0.0,2,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,0.0,29,0.8,Juventude,,,4.0,9.0,10.0,2.0,4.0,6.0,2.0,80.0,2.0,,,1.0,,,,,,,
52,8.0,0,Alan,266,6,Alan Douglas Borges de Carvalho,62969,alan,Alan,0.0,5,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,0.0,29,0.0,Fluminense,,,,,,,,,,,,,,,,,,,,,
53,6.98,25,Ganso,266,7,Paulo Henrique Chagas de Lima,62977,ganso,Ganso,0.0,4,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,0.09,29,3.52,Fluminense,,4.0,4.0,26.0,15.0,3.0,5.0,36.0,,180.0,,,,,2.0,4.0,,,,,
54,10.23,19,Marcos Rocha,275,7,Marcos Luis Rocha Aquino,63013,marcos-rocha,M. Rocha,4.1,2,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,-0.34,29,6.46,Palmeiras,,4.0,2.0,62.0,16.0,,1.0,12.0,,228.0,10.0,,,,,,,,1.0,,
55,6.92,18,Willian Farias,294,5,Willian Roberto Farias,63058,willian-farias,W. Farias,0.0,4,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,0.0,29,2.63,Coritiba,,,6.0,42.0,11.0,,4.0,22.0,,79.0,,,,,,,,,,,
56,3.49,10,Paulão,1371,7,Paulo Marcos de Jesus Ribeiro,63172,paulao,Paulão,0.0,3,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,0.0,29,1.58,Cuiabá,,,,4.0,6.0,1.0,2.0,,1.0,30.0,4.0,,,1.0,,,,,,,1.0
57,5.0,0,Carlinhos,263,6,Carlos Emiliano Pereira,63194,carlinhos,Carlinhos,0.0,2,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,0.0,29,0.0,Botafogo,,,,,,,,,,,,,,,,,,,,,
58,10.27,24,Edenílson,285,7,Edenílson Andrade dos Santos,63289,edenilson,Edenílson,0.0,4,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,-0.13,29,3.71,Internacional,,3.0,3.0,25.0,15.0,6.0,12.0,18.0,,131.0,,,,,2.0,4.0,1.0,,1.0,,
59,6.24,11,Rodrigo Moledo,285,6,Rodrigo Modesto da Silva Moledo,63354,rodrigo-moledo,R. Moledo,4.5,3,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,0.63,29,3.84,Internacional,,,1.0,14.0,4.0,3.0,3.0,7.0,,18.0,4.0,,,,,,1.0,,,,
60,7.24,18,Alan Patrick,285,6,Alan Patrick Lourenço,68685,alan-patrick,A. Patrick,0.7,4,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,-0.02,29,3.78,Internacional,,2.0,2.0,12.0,11.0,8.0,8.0,33.0,,74.0,,,,,,3.0,1.0,,,,
61,3.54,16,André,1371,6,André Felipe Ribeiro de Souza,68690,andre,André,0.0,5,https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png,0.0,29,2.24,Cuiabá,,,2.0,7.0,15.0,,5.0,19.0,,35.0,,,,,,3.0,1.0,,,,
62,7.57,23,Bruno Silva,314,7,Bruno César Pereira da Silva,68698,bruno-silva,B. Silva,0.0,4,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,0.0,29,3.58,Avaí,,1.0,8.0,81.0,56.0,1.0,6.0,30.0,,132.0,,,,1.0,,,1.0,,,,
63,8.75,10,Eduardo,263,7,Carlos Eduardo de Oliveira Alves,68708,eduardo,Eduardo,2.6,4,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,-0.65,29,5.17,Botafogo,,1.0,3.0,16.0,17.0,1.0,10.0,18.0,,46.0,,,,,2.0,2.0,,,,,
64,5.93,4,Dodô,282,6,José Rodolfo Pires Ribeiro,68727,dodo,Dodô,8.9,2,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,1.66,29,3.5,Atlético-MG,,,1.0,7.0,2.0,1.0,2.0,1.0,,11.0,1.0,,,,,,,,,,
65,3.75,18,Camacho,277,3,Guilherme de Aguiar Camacho,68770,camacho,Camacho,0.6,4,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,-0.62,29,1.88,Santos,,,6.0,40.0,26.0,1.0,,5.0,,43.0,,,,,,,,,,,
66,3.81,21,Henrique Almeida,327,7,Henrique Almeida Caixeta Nascentes,68773,henrique-almeida,H. Almeida,0.0,5,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,0.0,29,2.67,América-MG,,,6.0,13.0,26.0,13.0,13.0,8.0,,57.0,,,,,1.0,4.0,10.0,1.0,,,
67,5.98,23,Nino Paraíba,354,7,Severino do Ramo Clementino da Silva,68808,nino-paraiba,N. Paraíba,0.6,2,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,-0.76,29,2.73,Ceará,,1.0,9.0,38.0,24.0,,3.0,26.0,,208.0,5.0,,,,,1.0,1.0,,1.0,,
68,2.01,14,Paulo Miranda,286,6,Jonathan Doin,68817,paulo-miranda,P. Miranda,0.0,3,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,0.0,29,0.56,Juventude,,,4.0,12.0,12.0,2.0,2.0,5.0,3.0,46.0,1.0,,,,,,,,,,1.0
69,3.2,2,Renato Chaves,286,5,Renato de Araújo Chaves Júnior,68827,renato-chaves,R. Chaves,0.0,3,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,0.0,29,1.45,Juventude,,,,1.0,1.0,2.0,,,,4.0,,,,,,,,,,,
70,7.77,3,Marcelo Lomba,275,6,Marcelo Lomba do Nascimento,68872,marcelo-lomba,M. Lomba,0.0,1,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,0.0,29,8.83,Palmeiras,,,1.0,,,,,1.0,,,3.0,12.0,,,,,,,,,
71,4.15,17,Vinicius,290,6,Vinicius Santos Silva,68917,vinicius,Vinicius,0.0,5,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,0.0,29,2.22,Goiás,,3.0,1.0,18.0,12.0,4.0,9.0,12.0,,116.0,,,,,,,5.0,,,,
72,13.42,28,Dudu,275,7,Eduardo Pereira Rodrigues,68920,dudu,Dudu,10.8,5,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,1.31,29,4.81,Palmeiras,,5.0,2.0,22.0,11.0,14.0,19.0,48.0,,190.0,,,,,4.0,5.0,4.0,,,,
73,8.05,18,Gil,264,6,Carlos Gilberto do Nascimento Silva,68923,gil,Gil,5.0,3,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,0.56,29,4.29,Corinthians,,1.0,2.0,28.0,6.0,5.0,1.0,6.0,1.0,61.0,8.0,,,,,,2.0,,,,
