,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
26,Atlético-MG,7,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,6,cuca,42411,7,4.77,10.75,Cuca,Cuca,3.92,27,-1.04,2.16,Alexi Stival,282,,,,,,,,,,,,,,,,,,,,
27,Corinthians,7,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,2,fagner,42500,8,3.21,8.75,Fagner,Fagner,2.45,27,0.0,0.0,Fagner Conserva Lemos,264,,10.0,2.0,,3.0,1.0,1.0,4.0,,,,51.0,,,,,,,,
28,Athlético-PR,7,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,6,luiz-felipe-scolari,43618,22,4.54,9.75,L. Scolari,Luiz Felipe Scolari,5.11,27,0.35,3.92,Luiz Felipe Scolari,293,,,,,,,,,,,,,,,,,,,,
29,Fluminense,3,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,3,david-braz,50317,9,1.01,4.07,D. Braz,David Braz,0.83,27,-0.57,-3.0,David Braz de Oliveira Filho,266,,9.0,2.0,,2.0,,2.0,10.0,1.0,4.0,,32.0,,,,3.0,,,,
30,Atlético-MG,5,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,5,alan-kardec,50347,6,3.93,7.3,A. Kardec,Alan Kardec,1.97,27,-0.55,0.6,Alan Kardec de Sousa Pereira Júnior,282,,1.0,2.0,,,,,5.0,1.0,4.0,,5.0,1.0,2.0,,,,,,
31,Fortaleza,7,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,3,titi,50353,24,3.23,5.79,Titi,Titi,1.52,27,-0.28,0.5,Christian Chagas Tarouco,356,,33.0,18.0,,10.0,,2.0,34.0,,2.0,,100.0,,,2.0,,,,,
32,Ceará,6,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,5,dentinho,50428,5,0.36,3.31,Dentinho,Dentinho,0.0,27,0.0,0.0,Bruno Ferreira Bonfim,354,,3.0,,,,,,5.0,,,,2.0,,,1.0,,,,,
33,América-MG,6,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,2,eduardo,50645,0,0.0,4.0,Eduardo,Eduardo,3.56,27,0.0,0.0,Carlos Eduardo Santos Oliveira,327,,,,,,,,,,,,,,,,,,,,
34,Coritiba,6,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,3,henrique,50856,16,1.73,5.07,Henrique,Henrique,3.64,27,0.0,0.0,Henrique Adriano Buss,294,,18.0,4.0,,3.0,,4.0,12.0,3.0,6.0,1.0,66.0,1.0,,1.0,1.0,,2.0,,
35,Athlético-PR,6,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,4,marlos,50879,5,0.66,3.46,Marlos,Marlos,1.53,27,-0.57,1.0,Marlos Romero Bonfim,293,,2.0,2.0,,,,,,1.0,,,13.0,,,,,,,,
