"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PS","PP","SG","DE","GS","CV","PC","GC","DP"
"25", 38909,21, 262,"mei","7",-1.50, 3.21,-1.13, 1.94,11,-0.83, 4.37500000, 0.55714286,"diego","Diego","Diego","Diego Ribas da Cunha","https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png","Flamengo",NA, 1,10, 7, 1, 1, 9,NA, 1,NA, 20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26", 39148,21, 282,"ata","7", 0.90,18.59,-0.60, 6.31,17, 2.42,NA,NA,"hulk","Hulk","Hulk","Givanildo Vieira de Souza","https://s.glbimg.com/es/sde/f/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png","Atlético-MG", 2, 4, 8,28, 5,26,39, 3, 7,14, 98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27", 37656,21, 266,"gol","7", 6.50,10.91, 1.18, 3.75,21, 5.99,NA,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA, 1,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA, 8,60,22,NA,NA,NA,NA
"28", 50353,21, 356,"zag","7", 6.10, 6.13,-0.29, 3.01,18, 5.43, 3.64444444, 2.40000000,"titi","Titi","Titi","Christian Chagas Tarouco","https://s.glbimg.com/es/sde/f/2022/02/25/5050c64ba68bdb4ca40033690ae7c525_FORMATO.png","Fortaleza",NA, 2,22,24,NA, 2,17,NA,NA, 2, 77,NA,NA, 7,NA,NA,NA,NA,NA,NA
"29", 50347,21, 282,"ata","6", 0.00, 6.90,-0.52, 2.80, 3, 0.83,NA,NA,"alan-kardec","Alan Kardec","A. Kardec","Alan Kardec de Sousa Pereira Júnior","https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png","Atlético-MG",NA,NA,NA, 1,NA, 1,NA,NA, 1,NA,  1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30", 68773,21, 327,"ata","7", 0.10, 3.36,-1.59, 2.72,14, 0.48, 4.44285714, 1.00000000,"henrique-almeida","Henrique Almeida","H. Almeida","Henrique Almeida Caixeta Nascentes","https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png","América-MG",NA, 3,11,15, 8, 6, 5, 1, 2, 6, 29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31", 50879,21, 293,"mei","5", 0.00, 4.03, 0.00, 0.58, 4, 3.11,NA,NA,"marlos","Marlos","Marlos","Marlos Romero Bonfim","https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png","Athlético-PR",NA,NA, 1,NA, 1,NA, 2,NA,NA,NA, 11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32", 62969,21, 266,"ata","6", 0.00, 8.00, 0.00, 0.00, 0, 9.37,NA,NA,"alan","Alan","Alan","Alan Douglas Borges de Carvalho","https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33", 63013,21, 275,"lat","7", 0.00, 9.52, 0.00, 7.20,13, 0.80,NA,NA,"marcos-rocha","Marcos Rocha","M. Rocha","Marcos Luis Rocha Aquino","https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png","Palmeiras", 3, 2,44,14,NA, 1,10,NA,NA,NA,148, 1,NA, 8,NA,NA,NA,NA,NA,NA
"34", 62977,21, 266,"mei","7", 8.50, 8.12, 0.04, 3.77,18, 7.50,NA,NA,"ganso","Ganso","Ganso","Paulo Henrique Chagas de Lima","https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png","Fluminense", 3, 3,21,11, 2, 5,27, 1, 3,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35", 43618,21, 293,"tec","7", 6.14, 9.78, 0.31, 4.84,16, 5.59,NA,NA,"luiz-felipe-scolari","Luiz Felipe Scolari","L. Scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36", 37788,21, 356,"gol","6", 0.00, 4.60, 0.00, 2.59,11, 6.18, 5.70000000, 0.00000000,"marcelo-boeck","Marcelo Boeck","M. Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png","Fortaleza",NA, 2,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA, 3,31,16,NA, 1,NA,NA
"37", 50317,21, 266,"zag","6", 0.00, 5.20, 0.00, 1.53, 8, 2.05,NA,NA,"david-braz","David Braz","D. Braz","David Braz de Oliveira Filho","https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png","Fluminense",NA, 2, 9,10, 1, 4, 2,NA,NA,NA, 30,NA,NA, 2,NA,NA, 2,NA,NA,NA
"38", 60795,21, 373,"gol","7", 5.50, 3.94,-0.06, 5.50, 1, 4.84,NA,NA,"renan","Renan","Renan","Renan dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA, 6, 1,NA,NA,NA,NA
"39", 68685,21, 285,"mei","2",-2.30, 6.70,-1.88, 4.61,10,-1.10,NA,NA,"alan-patrick","Alan Patrick","A. Patrick","Alan Patrick Lourenço","https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png","Internacional", 2, 2, 8, 6, 5, 2,23,NA, 2,NA, 47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40", 63172,21,1371,"zag","6", 0.00, 4.48, 0.00, 1.44, 7, 2.08,NA,NA,"paulao","Paulão","Paulão","Paulo Marcos de Jesus Ribeiro","https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png","Cuiabá",NA,NA, 3, 2, 1, 1,NA,NA,NA,NA, 19,NA,NA, 2,NA,NA,NA,NA, 1,NA
"41", 68690,21,1371,"ata","6", 0.00, 3.41, 0.00, 1.99,13, 0.92, 1.91428571, 2.06666667,"andre","André","André","André Felipe Ribeiro de Souza","https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png","Cuiabá",NA, 2, 7,15,NA, 5,14,NA, 2, 1, 30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42", 50428,21, 354,"ata","5", 0.00, 3.79, 0.00, 0.60, 4, 1.81, 0.05000000, 1.15000000,"dentinho","Dentinho","Dentinho","Bruno Ferreira Bonfim","https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png","Ceará",NA,NA, 3, 3,NA,NA,NA,NA,NA, 1,  2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43", 60852,21,1371,"lat","5", 0.00, 4.29, 0.00, 1.76,15, 2.24, 2.20000000, 1.38750000,"uendel","Uendel","Uendel","Uendel Pereira Gonçalves","https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png","Cuiabá", 1,NA,14,10, 1, 4, 7,NA,NA,NA,152,NA,NA, 3,NA,NA,NA,NA,NA,NA
"44", 68698,21, 314,"mei","7", 3.90, 7.81,-0.37, 3.69,17, 3.78,NA,NA,"bruno-silva","Bruno Silva","B. Silva","Bruno César Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png","Avaí",NA, 6,65,44, 1, 5,26,NA,NA, 1,111,NA,NA,NA,NA,NA, 1,NA,NA,NA
"45", 53148,21, 280,"ata","5", 0.00, 7.48, 0.00, 3.31,10, 3.97,NA,NA,"ytalo","Ytalo","Ytalo","Ytalo José Oliveira dos Santos","https://s.glbimg.com/es/sde/f/2022/05/05/c2e17a280e19cf13328cce44f755ed84_FORMATO.png","Bragantino",NA,NA, 7,NA, 2, 2, 6, 1, 2,NA, 13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46", 50645,21, 327,"lat","6", 0.00, 4.00, 0.00, 0.00, 0, 4.88,NA,NA,"eduardo","Eduardo","Eduardo","Carlos Eduardo Santos Oliveira","https://s.glbimg.com/es/sde/f/2022/02/25/a1ed845c0cda1af45df260be95a58b34_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47", 63289,21, 285,"mei","7", 1.20,10.79,-1.02, 4.45,17, 2.00,NA,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional", 3, 3,22,13, 5,10,15, 2, 3, 1,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48", 50856,21, 294,"zag","7", 2.60, 5.07, 0.32, 1.73,16, 2.47,NA,NA,"henrique","Henrique","Henrique","Henrique Adriano Buss","https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png","Coritiba",NA, 4,18,12, 3, 6, 4, 1,NA, 1, 66,NA,NA, 3,NA,NA, 1, 2, 1,NA
"49", 63194,21, 263,"lat","6", 0.00, 5.00, 0.00, 0.00, 0, 6.00,NA,NA,"carlinhos","Carlinhos","Carlinhos","Carlos Emiliano Pereira","https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50", 53865,21, 294,"ata","7", 9.80,14.36, 1.44, 5.53,15, 8.95,NA,NA,"leo-gamalho","Léo Gamalho","L. Gamalho","Leonardo Gamalho de Souza","https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png","Coritiba",NA,NA, 6,14, 7, 8,20, 1, 7, 5, 44, 1,NA,NA,NA,NA,NA,NA,NA,NA
"51", 63354,21, 285,"zag","2", 0.00, 5.96, 0.00, 4.19, 9, 1.38, 5.60000000, 2.42500000,"rodrigo-moledo","Rodrigo Moledo","R. Moledo","Rodrigo Modesto da Silva Moledo","https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png","Internacional",NA, 1,14, 4, 3, 3, 7,NA,NA,NA, 14,NA,NA, 3,NA,NA,NA,NA,NA,NA
"52", 68808,21, 354,"lat","7", 0.50, 5.65,-0.14, 2.25,17, 0.89, 2.03333333, 2.50000000,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA, 5,21,16,NA, 2,14,NA, 1, 1,136,NA,NA, 4,NA,NA,NA,NA,NA,NA
"53", 68827,21, 286,"zag","6", 0.00, 4.00, 0.00, 0.00, 0,-1.01,NA,NA,"renato-chaves","Renato Chaves","R. Chaves","Renato de Araújo Chaves Júnior","https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54", 60825,21, 327,"ata","7", 3.50, 6.44, 0.24, 2.52,20, 3.28,NA,NA,"felipe-azevedo","Felipe Azevedo","F. Azevedo","Felipe Azevedo dos Santos","https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png","América-MG",NA, 1,20,21, 6,11,15,NA, 3, 1,108,NA,NA,NA,NA,NA, 1,NA,NA,NA
"55", 68708,21, 263,"mei","7", 7.00, 7.96, 0.55, 4.70, 3, 5.93,NA,NA,"eduardo","Eduardo","Eduardo","Carlos Eduardo de Oliveira Alves","https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png","Botafogo",NA,NA, 7, 3,NA, 2, 6, 1,NA,NA, 10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56", 68727,21, 282,"lat","7", 5.60, 5.40, 0.88, 3.00, 2, 4.96,NA,NA,"dodo","Dodô","Dodô","José Rodolfo Pires Ribeiro","https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png","Atlético-MG",NA,NA, 4,NA, 1,NA, 1,NA,NA,NA,  5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57", 68917,21, 290,"ata","7", 0.00, 3.96, 0.00, 1.82,12, 0.04, 0.31666667, 3.33333333,"vinicius","Vinicius","Vinicius","Vinicius Santos Silva","https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png","Goiás", 1,NA,11, 5, 3, 8,11,NA,NA, 4, 99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58", 68770,21, 277,"mei","6", 0.00, 3.79, 0.00, 1.94,11, 1.62, 1.28333333, 2.72000000,"camacho","Camacho","Camacho","Guilherme de Aguiar Camacho","https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png","Santos",NA, 3,24,16, 1,NA, 4,NA,NA,NA, 29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59", 68817,21, 286,"zag","7", 0.80, 2.51, 0.20, 1.64, 9, 0.79, 2.92500000, 0.60000000,"paulo-miranda","Paulo Miranda","P. Miranda","Jonathan Doin","https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png","Juventude",NA, 3,11, 5, 2, 2, 4,NA,NA,NA, 30,NA,NA, 1,NA,NA,NA, 2,NA,NA
"60", 63058,21, 294,"mei","7",-1.50, 6.72,-1.12, 2.88,16,-0.58,NA,NA,"willian-farias","Willian Farias","W. Farias","Willian Roberto Farias","https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png","Coritiba",NA, 5,39,10,NA, 4,22,NA,NA,NA, 70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61", 78077,21, 277,"lat","7", 8.30, 8.69, 1.40, 3.77,16, 7.22,NA,NA,"madson","Madson","Madson","Madson Ferreira dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/e89e5811b9812fca6a75789451815b9e_FORMATO.png","Santos", 1, 5,23,13, 1, 3,13,NA, 1, 1,114,NA,NA, 6,NA,NA,NA,NA,NA,NA
"62", 68872,21, 275,"gol","6", 0.00, 8.61, 0.00, 9.75, 2,10.44,NA,NA,"marcelo-lomba","Marcelo Lomba","M. Lomba","Marcelo Lomba do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA, 2, 9,NA,NA,NA,NA,NA
"63", 68923,21, 264,"zag","6", 1.50, 7.42, 0.04, 4.28,13, 1.77,NA,NA,"gil","Gil","Gil","Carlos Gilberto do Nascimento Silva","https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png","Corinthians",NA, 1,20, 5, 5, 1, 5,NA,NA, 2, 50,NA,NA, 6,NA,NA,NA,NA,NA,NA
