"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","PI","SG","PC","DE","GS","FT","G","I","PP","CV","GC","PS","DP"
"206",108422,11,263,"ata","7",2.2,12.48,-0.48,6.31,10,NA,"erison","Erison","Erison","Erison Danilo de Souza","https://s.glbimg.com/es/sde/f/2022/02/21/abf055dfab291f251335494fc009a2c0_FORMATO.png","Botafogo",1,2,5,14,8,8,11,22,NA,NA,NA,NA,NA,5,9,NA,NA,NA,NA,NA
"207",106108,11,280,"ata","6",0,1.24,0,-0.2,2,NA,"welliton","Welliton","Welliton","Welliton Silva de Azevedo Matheus","https://s.glbimg.com/es/sde/f/2022/03/09/309a2641f2910674fae13000486c5d5d_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",101715,11,280,"ata","6",0,4.19,0,2,7,NA,"alerrandro","Alerrandro","Alerrandro","Alerrandro Barra Mansa Realino de Souza","https://s.glbimg.com/es/sde/f/2022/05/05/a190fc01a5c5880c8de5c5854ac2f555_FORMATO.png","Bragantino",NA,2,3,5,3,2,4,11,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA
"209",72359,11,354,"zag","6",0,2.33,0,0.95,4,NA,"luiz-otavio","Luiz Otávio","L. Otávio","Luiz Otávio Anacleto Leandro","https://s.glbimg.com/es/sde/f/2022/02/22/18d80f2c9d7f3c212842019dab63bd77_FORMATO.png","Ceará",NA,1,1,2,NA,NA,2,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",107516,11,263,"mei","6",0,2,0,0,0,NA,"enio","Ênio","Ênio","Sebastião Ênio Santos de Almeida","https://s.glbimg.com/es/sde/f/2022/02/21/ecd7af7a3462266c90eb1a66567aa95a_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",103695,11,280,"mei","6",-1.2,3.82,-0.43,1.38,8,NA,"jadsom-silva","Jadsom Silva","J. Silva","Jadsom Meemyas de Oliveira da Silva","https://s.glbimg.com/es/sde/f/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png","Bragantino",1,4,9,9,NA,3,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",109668,11,263,"lat","2",3.5,5.67,0.3,2.89,8,NA,"hugo","Hugo","Hugo","Hugo Gonçalves Ferreira Neto","https://s.glbimg.com/es/sde/f/2022/02/21/55a04cd7d976a348bbe092c252b13d06_FORMATO.png","Botafogo",NA,1,18,8,2,1,5,58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",109114,11,263,"ata","6",0.4,3.98,-0.28,0.76,7,NA,"matheus-nascimento","Matheus Nascimento","M. Nascimento","Matheus Nascimento de Paula","https://s.glbimg.com/es/sde/f/2022/02/21/e418df52ba2f53e2edcd3d07b685533c_FORMATO.png","Botafogo",NA,NA,1,3,1,2,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"214",107972,11,263,"mei","2",1.2,2.49,-0.21,2.1,7,NA,"del-piage","Del Piage","D. Piage","Romildo Del Piage de Souza","https://s.glbimg.com/es/sde/f/2022/02/21/a34959446ac5b131b7047f846855f309_FORMATO.png","Botafogo",NA,1,11,9,1,2,7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"215",70925,11,354,"mei","6",0,3.48,0,2.65,2,NA,"wescley","Wescley","Wescley","Wescley Gomes dos Santos","https://s.glbimg.com/es/sde/f/2022/02/22/661d0c727249c5c00f69dead20c6d16e_FORMATO.png","Ceará",NA,NA,4,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",78851,11,354,"gol","7",0,5,0,0,0,NA,"richard","Richard","Richard","Richard de Oliveira da Costa","https://s.glbimg.com/es/sde/f/2022/02/22/9d468ebf560bb9e0da9699ba4df38391_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",81881,11,354,"gol","3",1,5.37,-0.99,3.66,10,NA,"joao-ricardo","João Ricardo","J. Ricardo","João Ricardo Riedi","https://s.glbimg.com/es/sde/f/2022/02/22/adaab64e1f87d21062e8d3820e969b1c_FORMATO.png","Ceará",NA,3,1,NA,NA,NA,1,NA,2,NA,34,13,NA,NA,NA,NA,NA,NA,NA,1
"218",106299,11,280,"zag","6",0,2.95,0,1.33,4,NA,"realpe","Realpe","Realpe","Leonardo Javier Realpe Montaño","https://s.glbimg.com/es/sde/f/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png","Bragantino",NA,2,8,4,NA,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",108683,11,280,"mei","6",0,4,0,0,0,NA,"emiliano-martinez","Emiliano Martínez","E. Martínez","Emiliano Martínez Toranza","https://s.glbimg.com/es/sde/f/2022/05/05/62bad876ad70013104c71097262f0fc3_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",110715,11,280,"lat","7",0,3.66,0,2.38,5,NA,"andres-hurtado","Andrés Hurtado","A. Hurtado","José Andrés Hurtado Cheme","https://s.glbimg.com/es/sde/f/2022/05/05/495e0cd517eacede744f14fefa06d6d5_FORMATO.png","Bragantino",1,1,6,5,NA,NA,2,27,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"221",107744,11,280,"mei","2",5.1,8.94,0.49,4.3,6,NA,"praxedes","Praxedes","Praxedes","Bruno Conceição Praxedes","https://s.glbimg.com/es/sde/f/2022/05/05/f8aea5d525d74bdbe77382da13d85ed2_FORMATO.png","Bragantino",2,1,10,8,2,1,14,29,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"222",60859,11,354,"ata","6",0,6,0,0,0,NA,"jael","Jael","Jael","Jael Ferreira Vieira","https://s.glbimg.com/es/sde/f/2022/02/22/7d9b7c475629a1800313155c896a0e49_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",107110,11,280,"zag","7",0.3,7.64,-1.22,4.8,6,NA,"natan","Natan","Natan","Natan Bernardo de Souza","https://s.glbimg.com/es/sde/f/2022/05/05/ebc6c140c001d68b3b50f27e354d27e2_FORMATO.png","Bragantino",NA,1,6,4,2,NA,4,16,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"224",80076,11,354,"ata","6",0.8,4.45,-0.33,1.86,5,NA,"ze-roberto","Zé Roberto","Z. Roberto","José Roberto Assunção de Araújo Filho","https://s.glbimg.com/es/sde/f/2022/02/22/d2d6e5f9f0b8f9299ec51823ad4791c8_FORMATO.png","Ceará",1,2,1,2,1,3,6,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"225",115558,11,263,"ata","6",0,1.46,0,0,1,NA,"rikelmi","Rikelmi","Rikelmi","Rikelmi Valentim dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/20551ff81ad88eb0a57cf39ffcd66604_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",111807,11,263,"mei","6",0,1,0,0,0,NA,"juninho","Juninho","Juninho","Robson Tosta Silva Júnior","https://s.glbimg.com/es/sde/f/2022/02/21/5eda24f8ca23099ebcd88d6024570fc4_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",111333,11,280,"ata","2",2.1,4.92,0.23,1.59,8,NA,"sorriso","Sorriso","Sorriso","Marcos Vinicios Moura","https://s.glbimg.com/es/sde/f/2022/05/05/7924434ef39a0546d8ad7fa23ca14168_FORMATO.png","Bragantino",NA,1,4,5,2,2,4,36,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"228",109426,11,280,"lat","6",0,3.08,0,1,1,NA,"weverson","Weverson","Weverson","Weverson Moreira da Costa","https://s.glbimg.com/es/sde/f/2022/05/05/73de6346549a47db6b8bf37e5f4f06fa_FORMATO.png","Bragantino",NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",109639,11,280,"ata","5",0,4,0,0,0,NA,"gabriel-novaes","Gabriel Novaes","G. Novaes","Gabriel Novaes Fernandes","https://s.glbimg.com/es/sde/f/2022/05/05/f9a266e73e23a467f58f96fac79380bc_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",108176,11,354,"zag","7",-0.7,3.34,-0.8,1.47,9,NA,"gabriel-lacerda","Gabriel Lacerda","G. Lacerda","Gabriel Santos Cordeiro Lacerda","https://s.glbimg.com/es/sde/f/2022/02/22/6e64fcfbd8fd5ae5f3a9f615b801c4bd_FORMATO.png","Ceará",NA,NA,6,4,NA,3,NA,42,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",38229,11,264,"lat","6",4.5,6.25,-0.12,3.7,4,NA,"fabio-santos","Fábio Santos","F. Santos","Fábio Santos Romeu","https://s.glbimg.com/es/sde/f/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png","Corinthians",NA,1,8,6,NA,NA,1,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",78893,11,263,"gol","6",0,3,0,0,0,NA,"douglas-borges","Douglas Borges","D. Borges","Douglas Borges","https://s.glbimg.com/es/sde/f/2022/02/21/837aacbeb34486f2c8bdc9348c44ba72_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
