"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FF","FS","PI","SG","I","CV","FD","FT","PC","G","PP","GC","DE","GS","PS","DP"
"24",69012,16,262,"gol","7",0,8.49,-0.95,5,3,NA,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,2,NA,NA
"25",42500,16,264,"lat","5",0,9.81,0,5.3,2,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,1,2,1,NA,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",91708,16,266,"zag","7",1.8,12.19,-1.25,5.03,12,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,1,16,7,2,20,35,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",82453,16,290,"gol","7",2.5,7.5,-0.16,4.02,16,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,NA,1,NA,NA,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,63,19,NA,NA
"28",74061,16,263,"gol","7",2.5,6.73,-1.27,3.32,14,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,50,19,NA,NA
"29",71631,16,275,"gol","7",10,11.78,1.4,4.38,13,NA,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,39,12,NA,NA
"30",85425,16,277,"gol","7",9,13.75,1.02,4.09,14,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,3,1,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,52,14,NA,NA
"31",69040,16,314,"gol","7",4,3.88,0.55,2.33,6,NA,"vladimir","Vladimir","Vladimir","Vladimir Orlando Cardoso de Araújo Filho","https://s.glbimg.com/es/sde/f/2022/02/21/e22d32eba9a08cd74e7a00236a0e70b1_FORMATO.png","Avaí",NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,20,11,NA,NA
"32",72079,16,314,"lat","7",-1.5,5.96,-1.05,2.03,15,NA,"bruno-cortez","Bruno Cortez","B. Cortez","Bruno Cortês Barbosa","https://s.glbimg.com/es/sde/f/2022/02/23/da8da8af4eaf5969bda304828d27ac27_FORMATO.png","Avaí",NA,5,21,12,2,19,135,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",73533,16,314,"gol","6",0,1.98,0,-1,0,NA,"gledson","Glédson","Glédson","Glédson Ribeiro dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/bc56106b0fb8c7ecaadd679cfb316662_FORMATO.png","Avaí",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
