,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
29,6,0.79,David Braz de Oliveira Filho,Fluminense,26,9,D. Braz,3,David Braz,4.64,david-braz,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,50317,0.0,266,0.0,1.34,,2.0,2.0,9.0,10.0,1.0,4.0,2.0,,,,,32.0,2.0,,,,,,
30,5,2.93,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,26,5,A. Kardec,5,Alan Kardec,7.85,alan-kardec,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,50347,0.0,282,0.0,4.6,,,,1.0,3.0,1.0,3.0,1.0,1.0,2.0,,,4.0,,,,,,,
31,7,2.77,Christian Chagas Tarouco,Fortaleza,26,23,Titi,3,Titi,6.07,titi,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,50353,2.4,356,0.07,3.35,,2.0,,32.0,33.0,,2.0,18.0,,,2.0,,96.0,10.0,,,,,,
32,5,-0.08,Bruno Ferreira Bonfim,Ceará,26,5,Dentinho,5,Dentinho,3.31,dentinho,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,50428,-0.6,354,-0.48,0.36,,,,3.0,5.0,,,,,,1.0,,2.0,,,,,,,
33,6,3.99,Carlos Eduardo Santos Oliveira,América-MG,26,0,Eduardo,2,Eduardo,4.0,eduardo,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,50645,0.0,327,0.0,0.0,,,,,,,,,,,,,,,,,,,,
34,6,2.83,Henrique Adriano Buss,Coritiba,26,16,Henrique,3,Henrique,5.07,henrique,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,50856,0.0,294,0.0,1.73,,4.0,1.0,18.0,12.0,3.0,6.0,4.0,1.0,,1.0,2.0,66.0,3.0,,,,,1.0,
35,6,2.6,Marlos Romero Bonfim,Athlético-PR,26,4,Marlos,4,Marlos,4.03,marlos,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,50879,0.0,293,0.0,0.58,,,,1.0,,1.0,,2.0,,,,,11.0,,,,,,,
36,7,0.82,Luiz Diallison de Souza Alves,Goiás,26,13,Apodi,4,Apodi,5.51,apodi,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,51042,0.2,290,0.2,2.41,1.0,1.0,,12.0,17.0,2.0,3.0,14.0,,1.0,1.0,,27.0,,,,,,,1.0
37,5,2.5,Walter Leandro Capeloza Artune,Cuiabá,26,23,Walter,1,Walter,11.76,walter,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,51413,0.0,1371,0.0,3.92,,,,3.0,,,,3.0,,,,,,6.0,,76.0,21.0,,,
38,2,5.03,Giuliano Victor de Paula,Corinthians,26,20,Giuliano,4,Giuliano,5.66,giuliano,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,51548,5.4,264,0.66,1.64,2.0,2.0,,17.0,11.0,2.0,8.0,9.0,,,2.0,,54.0,,,,,,,
39,7,2.03,Everton Augusto de Barros Ribeiro,Flamengo,26,24,E. Ribeiro,4,Everton Ribeiro,8.6,everton-ribeiro,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,51772,1.1,262,-0.21,4.0,4.0,,,30.0,20.0,8.0,4.0,49.0,2.0,2.0,1.0,,133.0,,,,,,,
40,6,5.22,Réver Humberto Alves Araújo,Atlético-MG,26,10,Réver,3,Réver,5.14,rever,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,52253,0.0,282,0.0,2.82,,1.0,,8.0,6.0,,1.0,4.0,,1.0,,1.0,34.0,3.0,,,,,,
41,7,1.08,David Luiz Moreira Marinho,Flamengo,26,13,D. Luiz,3,David Luiz,4.36,david-luiz,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,52827,0.7,262,-0.53,1.39,,3.0,,10.0,19.0,5.0,2.0,4.0,,,2.0,,46.0,2.0,,,,,,
42,5,2.44,Leonardo Gamalho de Souza,Coritiba,26,18,L. Gamalho,5,Léo Gamalho,12.65,leo-gamalho,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,53865,0.9,294,-0.32,4.78,,,,6.0,16.0,8.0,8.0,26.0,1.0,7.0,5.0,,49.0,,,,,,,1.0
43,7,1.78,Renan dos Santos,Atlético-GO,26,6,Renan,1,Renan,3.97,renan,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,60795,1.5,373,-0.53,5.0,,1.0,,,,,,2.0,,,,,,1.0,,33.0,8.0,,,
44,7,2.95,Felipe Azevedo dos Santos,América-MG,26,25,F. Azevedo,5,Felipe Azevedo,6.13,felipe-azevedo,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,60825,2.7,327,0.34,2.09,,1.0,1.0,22.0,25.0,6.0,14.0,18.0,,3.0,2.0,,140.0,,,,,,,
