"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PP","PS","SG","CV","DE","GS","GC","PC","DP"
"27",88423,18,280,"lat","7",0.5,7.71,-0.62,3.94,13,NA,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",1,3,33,32,NA,5,5,NA,NA,2,120,NA,NA,5,NA,NA,NA,NA,NA,NA
"28",63289,18,285,"mei","7",11.3,12,1.65,4.42,14,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",1,3,18,11,5,10,13,2,3,1,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",90061,18,354,"lat","7",0,10.18,0,4.48,13,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",1,3,33,12,3,1,22,1,1,2,120,NA,NA,2,1,NA,NA,NA,1,NA
"30",71631,18,275,"gol","7",8,11.75,0.4,4.73,15,NA,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,43,12,NA,NA,NA
"31",71071,18,282,"tec","7",3.65,12.55,-0.54,5.41,17,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",110506,18,275,"tec","7",7.27,13.45,0.26,6.25,17,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",88916,18,373,"gol","6",0,5.03,0,2.25,2,NA,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA
"34",38398,18,264,"mei","6",0,7.07,0,2.78,11,NA,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png","Corinthians",NA,NA,18,9,3,2,11,NA,1,1,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",42500,18,264,"lat","2",1.1,8.88,-0.93,3.9,3,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,1,3,2,NA,NA,2,NA,NA,NA,13,NA,NA,2,NA,NA,NA,NA,NA,NA
"36",95638,18,356,"zag","7",0,6.76,-0.96,3.48,16,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,1,25,11,6,2,14,NA,NA,NA,50,NA,NA,4,NA,NA,NA,NA,1,NA
"37",87228,18,282,"lat","7",5.6,11.97,-0.45,4.45,12,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png","Atlético-MG",2,4,16,19,1,12,7,NA,NA,NA,95,NA,NA,6,NA,NA,NA,NA,1,NA
"38",104257,18,1371,"lat","7",3.1,6.8,0.54,3.6,15,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,5,45,21,1,4,18,NA,NA,NA,171,NA,NA,4,1,NA,NA,NA,2,NA
"39",89226,18,327,"zag","6",-1.1,6.24,-0.39,3.15,8,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,2,5,10,NA,1,NA,NA,3,NA,26,NA,NA,1,1,NA,NA,NA,NA,NA
"40",85004,18,266,"gol","6",0,7,0,0,0,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",72372,18,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",90285,18,262,"ata","5",0,14.9,0,5.88,8,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",2,3,13,11,7,4,20,1,1,8,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",98484,18,263,"zag","7",1.2,4.04,-0.05,2.53,15,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,3,20,13,2,4,11,NA,NA,NA,53,NA,NA,3,NA,NA,NA,NA,NA,NA
"44",86864,18,327,"lat","7",0,4.12,0,3.04,13,NA,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",NA,2,26,13,2,9,16,NA,NA,NA,103,NA,NA,2,1,NA,NA,NA,NA,NA
"45",97867,18,280,"zag","3",-0.9,10.15,-1.13,4.42,11,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA,3,20,8,1,1,4,NA,1,1,69,NA,NA,5,NA,NA,NA,NA,NA,NA
"46",90444,18,285,"lat","6",0.2,5.93,-1.34,5.41,8,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",1,5,13,9,3,2,8,NA,2,1,47,NA,NA,2,NA,NA,NA,NA,NA,NA
"47",87863,18,262,"mei","7",7.3,18.17,0.93,7.41,13,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo",5,NA,27,6,5,11,33,2,2,2,133,NA,1,NA,NA,NA,NA,NA,NA,NA
"48",80692,18,275,"zag","6",8.3,8.02,0.69,4.69,8,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",1,1,11,14,NA,3,6,NA,NA,1,28,NA,NA,5,NA,NA,NA,1,NA,NA
"49",91573,18,276,"zag","5",0,5.93,0,2.71,8,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,1,16,9,2,3,3,1,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",71684,18,275,"zag","7",9.1,15.95,0.44,7.7,12,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,4,19,13,3,5,8,NA,6,3,58,NA,NA,5,NA,NA,NA,NA,1,NA
"51",95794,18,282,"zag","7",0,9.04,0,4.22,9,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2022/07/15/d0236fbab3979985ac474c82ddc56fe1_FORMATO.png","Atlético-MG",NA,5,9,16,1,2,2,NA,NA,NA,18,NA,NA,7,NA,NA,NA,NA,NA,NA
"52",82463,18,282,"mei","7",3.2,4.39,0.35,1.75,15,NA,"otavio","Otávio ","Otávio ","Otávio Henrique Passos Santos","https://s.glbimg.com/es/sde/f/2022/07/15/2b6c169672a8205f14e8ac4bb25388c6_FORMATO.png","Atlético-MG",NA,1,27,15,1,NA,3,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",91708,18,266,"zag","7",4.1,12.33,0.14,4.96,13,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,1,19,8,2,2,20,NA,NA,1,39,NA,NA,7,NA,NA,NA,NA,NA,NA
"54",102878,18,293,"mei","7",14.5,11.61,2.04,5.41,16,NA,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",2,2,8,13,9,17,7,1,7,2,101,1,NA,NA,NA,NA,NA,NA,NA,NA
"55",85931,18,280,"mei","5",0,7.88,0,5.19,11,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino",2,1,11,11,8,12,5,NA,3,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",80196,18,356,"mei","6",0,10.41,0,5.05,13,NA,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",NA,2,15,8,6,13,27,1,4,3,97,1,NA,NA,NA,NA,NA,NA,NA,NA
"57",69705,18,276,"mei","7",16.8,8.5,1.33,5.94,5,NA,"nikao","Nikão","Nikão","Maycon Vinícius Ferreira da Cruz","https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png","São Paulo",NA,NA,2,1,2,1,7,NA,3,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",98909,18,293,"ata","3",15.5,9.49,2.21,3.95,15,NA,"cuello","Cuello","Cuello","Tomás Esteban Cuello","https://s.glbimg.com/es/sde/f/2022/02/24/6bec1ac11713040382a43683f3ec06ba_FORMATO.png","Athlético-PR",2,3,22,11,6,17,21,NA,1,5,97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",79188,18,356,"ata","7",-0.2,3.36,-1.09,0.98,16,NA,"silvio-romero","Silvio Romero","S. Romero","Silvio Ezequiel Romero","https://s.glbimg.com/es/sde/f/2022/05/12/c5b6ac96aea31d2271156591230c8f4c_FORMATO.png","Fortaleza",1,1,2,3,4,8,7,NA,NA,7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",93790,18,373,"mei","7",1.4,7.4,-0.39,4.04,17,NA,"marlon-freitas","Marlon Freitas","M. Freitas","Marlon Rodrigues Freitas","https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png","Atlético-GO",3,1,40,11,5,7,1,1,2,2,138,1,NA,NA,NA,NA,NA,1,NA,NA
