"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","DP","DS","FS","GS","SG","CA","PC","A","FC","FD","FF","PI","FT","G","I","PS","PP","CV","GC"
"38", 63289,23, 285,"mei","2", 1.00,10.63,-0.16, 4.26,18, 2.13,  6.28571429,  2.96363636, 86.00000000, 26.00000000,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",NA,NA,23,15,NA,NA, 3,NA, 3,13, 5,10,105, 2, 3, 1,NA,NA,NA,NA
"39", 80692,23, 275,"zag","6", 0.00, 8.44, 0.00, 4.75,10, 8.89,  5.30000000,  4.20000000, 82.00000000,102.00000000,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",NA,NA,15, 6,NA, 6, 1,NA, 1,14,NA, 4, 34,NA,NA, 1,NA,NA,NA, 1
"40", 99815,23, 266,"mei","7", 8.00, 8.15, 1.27, 4.77,18, 7.28,  5.53333333,  3.26666667, 75.00000000, 67.00000000,"arias","Arias","Arias","Jhon Adolfo Arias Andrade","https://s.glbimg.com/es/sde/f/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png","Fluminense",NA,NA,22,25,NA,NA, 4,NA, 4,28, 6, 8,140,NA, 5, 1,NA,NA,NA,NA
"41",104276,23, 266,"lat","6", 0.00, 9.74, 0.00, 4.22, 4, 9.50,NA,NA, 81.00000000, 51.00000000,"calegari","Calegari","Calegari","Lucas Felipe Calegari","https://s.glbimg.com/es/sde/f/2022/04/20/af7df060c7d357b2bbd0f6602c974e33_FORMATO.png","Fluminense",NA,NA, 8, 4,NA, 2, 1,NA,NA, 2,NA,NA, 31,NA,NA,NA,NA,NA,NA,NA
"42", 73384,23, 266,"lat","7", 1.70, 8.56, 0.26, 5.22,19, 2.14,  6.96666667,  3.65000000, 88.00000000, 95.00000000,"samuel-xavier","Samuel Xavier","S. Xavier","Samuel Xavier Brito","https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png","Fluminense",NA,NA,27,29,NA, 6, 1,NA, 2,11, 4,10,130, 3, 1, 2,NA,NA,NA,NA
"43", 95638,23, 356,"zag","7", 0.00, 8.01, 0.00, 4.11,20, 4.47,  4.56666667,  3.70909091, 92.00000000,108.00000000,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,NA,28,15,NA, 8, 3, 1, 1,11, 6, 3, 65,NA,NA,NA,NA,NA,NA,NA
"44", 38750,23, 262,"lat","6", 0.00, 6.68, 0.00, 3.10, 6, 6.70,NA,NA, 56.00000000, 92.00000000,"filipe-luis","Filipe Luís","F. Luís","Filipe Luís Kasmirski","https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png","Flamengo",NA,NA,11, 6,NA, 1, 1,NA,NA, 4,NA, 2, 20,NA,NA,NA,NA,NA,NA,NA
"45", 87999,23, 275,"mei","7", 0.10,11.53,-0.15, 6.65,20, 1.43,  6.31818182,  7.05555556, 82.00000000, 98.00000000,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",NA,NA,11,40,NA,NA,NA,NA, 8, 7,20,29,225, 2, 4, 8,NA,NA,NA,NA
"46", 38394,23, 293,"zag","7", 0.40, 5.83,-0.47, 0.47, 3, 1.04,  1.65000000, -1.90000000, 86.00000000, 96.00000000,"thiago-heleno","Thiago Heleno","T. Heleno","Thiago Heleno Henrique Ferreira","https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png","Athlético-PR",NA,NA, 3,NA,NA, 1, 2,NA,NA, 4, 1,NA, 12,NA,NA,NA,NA, 1,NA,NA
"47", 85931,23, 280,"mei","7", 1.90, 7.37, 0.38, 4.27,14, 2.27,  5.30000000,  3.67142857, 51.00000000, 74.00000000,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino",NA,NA,13, 6,NA,NA, 1,NA, 2,11, 9,12, 89,NA, 3,NA,NA,NA,NA,NA
