,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
401,Rodrigo Fernández,R. Fernández,99214,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/29/6fdde8730fb97a5d12a85b4ebd9d4e93_FORMATO.png,19,2.29,2.4,Rodrigo Fernández Cedrés,0.0,4,5.65,24,rodrigo-fernandez,7,0.0,,8.0,,,,50.0,45.0,1.0,8.0,18.0,,,,,,2.0,93.0,,,
402,Pablo García,P. García,99236,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/56af95dcedcbf6410efc1e0d9432d9a2_FORMATO.png,1,0.0,1.68,Pablo Javier García Lafluf,0.0,4,2.2,24,pablo-garcia,6,0.0,,,,,,,,,,,,,,,,,,,,
403,Diego Loureiro,D. Loureiro,99430,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/08/16/0d6ff68525592d2d97d4cedb5317c66b_FORMATO.png,2,0.5,2.07,Diego Terra Loureiro,0.0,1,2.06,24,diego-loureiro,6,0.0,,1.0,,4.0,,,,,,,,,,2.0,,,,,,
404,Baralhas,Baralhas,99440,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/03/23016221adbd611a74993ecdc84843f5_FORMATO.png,20,3.21,3.33,Gabriel Baralhas dos Santos,3.5,4,7.19,24,baralhas,6,0.07,1.0,7.0,,,,43.0,25.0,4.0,10.0,11.0,1.0,1.0,,,,1.0,64.0,,,
405,Igor,Igor,99573,Avaí,314,https://s.glbimg.com/es/sde/f/2022/07/28/d97bc45782baf456d1b40b1d16ed352c_FORMATO.png,0,0.0,3.49,Igor José Bohn,0.0,1,3.0,24,igor,6,0.0,,,,,,,,,,,,,,,,,,,,
406,Arthur,Arthur,99670,Goiás,290,https://s.glbimg.com/es/sde/f/2022/06/27/cfeea87e1e558108c5c50dfd084e1f04_FORMATO.png,0,0.0,2.24,Arthur Henrique Vieira Araújo,0.0,3,2.0,24,arthur,6,0.0,,,,,,,,,,,,,,,,,,,,
407,Arias,Arias,99815,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png,19,4.82,5.16,Jhon Adolfo Arias Andrade,5.7,4,7.89,24,arias,7,-0.26,5.0,4.0,,,,23.0,32.0,6.0,9.0,26.0,,5.0,,,1.0,,146.0,,,
408,Léo Passos,L. Passos,99878,América-MG,327,https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png,0,0.0,2.24,Leonardo da Silva Passos,0.0,5,2.0,24,leo-passos,6,0.0,,,,,,,,,,,,,,,,,,,,
409,Jhojan Julio,J. Julio,100074,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/31/c076d4a6758a288c3f3f7521da98c18f_FORMATO.png,10,2.52,5.04,Jhojan Esmaides Julio Palacios,0.0,5,6.23,24,jhojan-julio,6,0.0,1.0,2.0,,,,17.0,20.0,2.0,2.0,17.0,,,,,2.0,,45.0,,,
410,Zaracho,Zaracho,100079,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/2298d241c4ec2d5e60d0b370bba36921_FORMATO.png,12,6.96,5.57,Federico Matías Javier Zaracho,5.6,4,13.48,24,zaracho,7,-0.28,1.0,,,,,37.0,18.0,5.0,10.0,12.0,3.0,2.0,,,,,55.0,,,
411,Igor Gomes,I. Gomes,100084,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/b6d68ea91db4955b888e119a851704eb_FORMATO.png,21,1.59,0.44,Igor Silveira Gomes,0.0,4,5.21,24,igor-gomes,7,-0.52,2.0,3.0,1.0,,,25.0,28.0,4.0,8.0,21.0,,,,,2.0,,136.0,,,
412,Pedrinho,Pedrinho,100103,América-MG,327,https://s.glbimg.com/es/sde/f/2022/03/08/309c47dae98681ea166c6c5dfef07f5a_FORMATO.png,18,3.06,-0.92,Pedro Gabriel Pereira Lopes,-1.5,5,5.22,24,pedrinho,7,-0.46,2.0,4.0,,,,13.0,16.0,7.0,9.0,10.0,1.0,3.0,,,4.0,,88.0,,,
413,Felipe Pires,F. Pires,100289,Juventude,286,https://s.glbimg.com/es/sde/f/2022/08/06/f016d3ea4f1bdceef28512d7bf47fd36_FORMATO.png,4,1.8,2.07,Felipe Augusto Rodrigues Pires,2.2,5,3.65,24,felipe-pires,7,-0.22,1.0,2.0,,,,1.0,2.0,1.0,2.0,5.0,,,,,2.0,,15.0,,,
414,Yuri Alberto,Y. Alberto,100652,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/06/29/f38436c0ef035f0395ad96c1c09a1d6e_FORMATO.png,7,1.27,2.44,Yuri Alberto Monteiro da Silva,2.2,5,8.31,24,yuri-alberto,7,0.02,,1.0,,,,5.0,9.0,3.0,4.0,5.0,,,,,3.0,,24.0,,,
415,Liziero,Liziero,100761,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/68d5b0b8c93444cf3f88161d109fe461_FORMATO.png,7,0.76,0.65,Igor Matheus Liziero Pereira ,0.0,4,3.27,24,liziero,6,0.0,,2.0,,,,8.0,9.0,,,5.0,,,,,,,21.0,,,
416,Bissoli,Bissoli,100762,Avaí,314,https://s.glbimg.com/es/sde/f/2022/04/08/c60eb6c17dd46f0a98ac8d236bddbbd7_FORMATO.png,21,5.54,3.76,Guilherme Bissoli Campos,0.0,5,8.83,24,bissoli,7,0.0,,3.0,,,,14.0,39.0,10.0,16.0,17.0,,11.0,,,8.0,,76.0,,1.0,
417,Luan Cândido,L. Cândido,100848,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png,19,6.95,2.27,Luan Cândido de Almeida,2.0,2,10.12,24,luan-candido,7,-0.96,2.0,2.0,1.0,,,28.0,24.0,15.0,19.0,10.0,2.0,6.0,,,7.0,,159.0,,,5.0
418,Conti,Conti,100943,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png,16,2.13,4.93,Germán Andrés Conti,0.0,3,4.57,24,conti,6,0.0,,1.0,,,,14.0,10.0,,6.0,2.0,,,,,,,45.0,,,4.0
419,Ronald,Ronald,100969,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/50ab9a9c9ef9edc1a9bed39d4552c026_FORMATO.png,13,1.08,2.77,Ronald dos Santos Lopes,3.1,4,3.19,24,ronald,7,0.14,,5.0,,,,20.0,19.0,1.0,1.0,8.0,,,,,,,52.0,,,
420,Nonato,Nonato,100987,Fluminense,266,https://s.glbimg.com/es/sde/f/2021/07/30/7536d1f5782d6ce621dfd8aa405d0e28_FORMATO.png,17,2.81,1.5,Gustavo Nonato Santana,1.3,4,6.44,24,nonato,6,-0.05,2.0,3.0,1.0,,,29.0,16.0,3.0,7.0,33.0,,,,,1.0,,118.0,,,
421,Júnior Santos,J. Santos,101002,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/08/16/b90d064488716f8526c5c2519944eceb_FORMATO.png,2,5.4,1.62,José Antonio dos Santos Júnior,1.4,5,7.19,24,junior-santos,2,-0.77,,,,,,1.0,5.0,1.0,2.0,2.0,,1.0,,,,,7.0,,,
422,Diego,Diego,101027,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/fb1b4d53c6475f4e02123bf33a52a0c2_FORMATO.png,21,3.57,3.12,Jackson Diego Ibrahim Fagundes,3.3,4,7.06,24,diego,7,-0.18,3.0,1.0,,,,45.0,16.0,1.0,7.0,41.0,,,,,1.0,,154.0,,,
423,Diego Matos,D. Matos,101036,Avaí,314,https://s.glbimg.com/es/sde/f/2022/02/23/f8cc329ae5ae96be77c98caf774621fd_FORMATO.png,1,-2.3,0.16,Diego Daniel Rodrigues de Matos,0.0,2,1.72,24,diego-matos,6,0.0,,,1.0,,,2.0,2.0,,,,,,,,,,11.0,,,
424,Felipe Marques,F. Marques,101054,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/a6d728d21e5ecaec684045ba4d68975c_FORMATO.png,16,0.79,0.06,Felipe Marques da Silva,-0.2,5,2.46,24,felipe-marques,6,-0.21,,1.0,,,,9.0,10.0,1.0,4.0,12.0,,,,,2.0,,54.0,,1.0,
425,Umberto Louzer,U. Louzer,101077,Juventude,286,https://s.glbimg.com/es/sde/f/2021/04/15/6b25bcef84ca2ca67c4b19b4e5356ca3_FORMATO.png,17,3.13,2.7,Umberto Lourenço Louzer Filho,2.65,6,5.8,24,umberto-louzer,7,-0.37,,,,,,,,,,,,,,,,,,,,
426,Danilo Cardoso,D. Cardoso,101155,Goiás,290,https://s.glbimg.com/es/sde/f/2022/08/02/c396b10bc3e37dd7731bf8715e8279e0_FORMATO.png,3,7.13,1.48,Danilo Cardoso Novais da Silva,0.0,3,6.4,24,danilo-cardoso,6,0.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,3.0,,,2.0
427,Alef Manga,A. Manga,101254,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/2f591fe9297201b345f8815815be56ef_FORMATO.png,21,4.4,3.49,Alef Mangueira Severino Pereira,3.4,5,9.71,24,alef-manga,7,-0.95,2.0,6.0,,,,29.0,21.0,12.0,22.0,10.0,1.0,4.0,,,8.0,,113.0,,,
428,Ademir,Ademir,101314,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/bcc9ab9fbdafb24cad6b5c34a3a4e9a7_FORMATO.png,21,2.84,3.01,Ademir da Silva Santos Júnior,2.8,5,10.35,24,ademir,2,0.36,1.0,3.0,,,,16.0,14.0,5.0,10.0,39.0,2.0,1.0,,,10.0,,47.0,,1.0,
429,Guga,Guga,101319,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/627768175034855e87f15e0a373b34b8_FORMATO.png,11,4.79,6.09,Cláudio Rodrigues Gomes,0.0,2,8.94,24,guga,6,0.0,,,,,,32.0,9.0,1.0,5.0,12.0,,,,,,,92.0,,,3.0
430,Thonny Anderson,T. Anderson,101484,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/aeb4c66a481ba3a88847f5c30bbf5d53_FORMATO.png,13,1.59,4.51,Thonny Anderson da Silva Carvalho,5.3,4,3.19,24,thonny-anderson,2,0.17,1.0,,2.0,,,17.0,13.0,1.0,6.0,12.0,,,,,,,69.0,,,
431,Pepê,Pepê,101573,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/f7d3a51faa57213871975b0e01258892_FORMATO.png,18,3.72,0.45,João Pedro Vilardi Pinto,0.0,4,6.06,24,pepe,7,-0.94,,2.0,,,,46.0,26.0,8.0,9.0,30.0,,,,,,,104.0,,,
432,Hugo Souza,H. Souza,101574,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/03/04/f29cb0d7b60a53cf87b5131d4fcf8d45_FORMATO.png,9,1.72,3.44,Hugo de Souza Nogueira,0.0,1,3.27,24,hugo-souza,6,0.0,,3.0,,21.0,,2.0,,,,,,,,10.0,,,,,,1.0
433,Robson Bambu,R. Bambu,101579,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/44c60f9696fad0a8a8156b8192e4af04_FORMATO.png,5,4.8,0.19,Robson Alves de Barros,0.0,3,4.86,24,robson-bambu,6,0.0,,,,,,8.0,2.0,,,2.0,,,,,,,10.0,,,3.0
434,Hugo Moura,H. Moura,101594,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/02/21/267f14bd41575e2b58bcb3d6ba014a46_FORMATO.png,15,3.44,3.7,Hugo Moura Arruda da Silva,0.0,4,7.07,24,hugo-moura,7,0.0,,4.0,1.0,,,40.0,24.0,5.0,5.0,16.0,,1.0,,,1.0,1.0,71.0,,,
435,Vitor Gabriel,V. Gabriel,101596,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/0744b4a85cead311d99a4c1d6d279b39_FORMATO.png,15,1.25,0.71,Vitor Gabriel Claudino Rego Ferreira,0.0,5,2.62,24,vitor-gabriel,6,0.0,,4.0,,,,5.0,20.0,9.0,4.0,9.0,,1.0,,,3.0,,36.0,,,
436,Ramon,Ramon,101597,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/10/5ffd61aa5589cf28ad0820b15df29250_FORMATO.png,8,0.95,0.33,Ramon Ramos Lima,0.0,2,2.32,24,ramon,6,0.0,,2.0,1.0,,,7.0,8.0,2.0,2.0,6.0,,,,,,,54.0,,,1.0
437,Alex,Alex,101600,Santos,277,https://s.glbimg.com/es/sde/f/2021/05/04/14060d89e54c755512bce4ee1bd0d8fd_FORMATO.png,1,9.5,3.57,Alex de Oliveira Nascimento,0.0,3,4.02,24,alex,6,0.0,,,,,,4.0,,,,,,,,,,,3.0,,,1.0
438,Caio,Caio,101601,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/a34434b7c2c45f0720de34fdeaf8fca5_FORMATO.png,19,1.39,-2.85,Caio Vinicius da Conceição,-3.8,4,2.37,24,caio,3,-0.98,,6.0,1.0,,,30.0,30.0,1.0,4.0,21.0,,,,,1.0,1.0,53.0,,,
439,Rhaldney,Rhaldney,101666,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/07/11/76df69db50a4a1fc1c463bd08cfd5e26_FORMATO.png,3,0.73,1.18,Rhaldney Norberto Simião Gomes,0.0,4,3.65,24,rhaldney,6,0.0,,,,,,2.0,1.0,,,1.0,,,,,,,4.0,,,
440,Felipe Jonatan,F. Jonatan,101708,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png,14,3.16,5.14,Felipe Jonatan Rocha Andrade,5.8,2,5.74,24,felipe-jonatan,7,-0.11,,2.0,,,,17.0,13.0,3.0,2.0,11.0,,,,,1.0,,108.0,,,6.0
441,Alerrandro,Alerrandro,101715,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/a190fc01a5c5880c8de5c5854ac2f555_FORMATO.png,14,5.14,1.72,Alerrandro Barra Mansa Realino de Souza,1.6,5,5.99,24,alerrandro,7,-0.34,,2.0,,,,7.0,9.0,12.0,10.0,10.0,1.0,5.0,,,3.0,,18.0,,,
442,Marrony,Marrony,101717,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/07/07/cf3959cd704eeabb2140114fefee94eb_FORMATO.png,5,0.3,3.95,Marrony da Silva Liberato,0.0,5,4.48,24,marrony,6,0.0,,1.0,1.0,,,3.0,1.0,,1.0,5.0,,,,,,,11.0,,,
443,Matheusinho,Matheusinho,101725,Goiás,290,https://s.glbimg.com/es/sde/f/2022/04/30/c4508af01cb1a796f08b6846127c31c0_FORMATO.png,1,0.0,0.43,Matheus Santos Soares,0.0,5,0.73,24,matheusinho,6,0.0,,,,,,,,,,,,,,,,,,,,
444,Matheuzinho,Matheuzinho,101727,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/f8b82a43e5e935dc7a17f7f142575c55_FORMATO.png,17,4.82,5.55,Matheus França Silva,6.3,2,8.2,24,matheuzinho,7,0.61,2.0,2.0,,,,44.0,16.0,1.0,5.0,6.0,,,,,,1.0,111.0,,,6.0
445,Diego,Diego,101728,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png,19,2.13,4.08,Diego Henrique Costa Barbosa,4.4,3,6.59,24,diego,7,-0.27,,7.0,,,,38.0,33.0,,4.0,7.0,,,,,,1.0,90.0,,,3.0
446,Guilherme Castilho,G. Castilho,101798,Ceará,354,https://s.glbimg.com/es/sde/f/2022/08/02/844e36a5e930dd313402265a86bfdf2c_FORMATO.png,7,1.19,1.67,Guilherme Castilho Carvalho,0.0,4,3.24,24,guilherme-castilho,6,0.0,,1.0,,,,8.0,7.0,1.0,2.0,5.0,,,,,,,35.0,,,
447,Vitinho,Vitinho,101960,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/05/02/6f194f584e7ed2293b58deb814cde16c_FORMATO.png,13,2.11,2.17,Vitor Hugo Naum dos Santos,2.3,5,3.98,24,vitinho,6,-0.08,,1.0,,,,9.0,10.0,9.0,6.0,12.0,1.0,,,,4.0,,37.0,,,
448,Brítez,Brítez,101995,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/933d90afd9fed6c8f8426f4c450f232e_FORMATO.png,7,9.4,8.91,Emanuel Fermín Brítez,10.5,2,11.09,24,britez,7,1.17,1.0,,,,,26.0,16.0,1.0,2.0,3.0,,1.0,,,,,79.0,,,6.0
449,Braian Romero,B. Romero,101997,Internacional,285,https://s.glbimg.com/es/sde/f/2022/07/29/d2bcddb0a2e0d7cc5c363b5a72f8c39d_FORMATO.png,5,1.3,0.33,Braian Ezequiel Romero,0.0,5,5.02,24,braian-romero,6,-0.38,,1.0,,,,4.0,6.0,1.0,2.0,4.0,,,,,1.0,,2.0,,,
450,Xavier,Xavier,102067,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/695e017b3a4e70b82e28dd504e54cd9b_FORMATO.png,4,-0.17,0.62,João Vitor Xavier de Almeida,0.0,4,1.79,24,xavier,6,0.0,,1.0,,,,1.0,2.0,,,,,,,,,,3.0,,,
451,Piquerez,Piquerez,102130,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png,15,5.64,2.39,Joaquín Piquerez Moreira,2.3,2,8.05,24,piquerez,7,-0.14,1.0,4.0,,,,40.0,16.0,3.0,7.0,15.0,,,,,,1.0,104.0,,,7.0
452,Lucas Halter,L. Halter,102253,Goiás,290,https://s.glbimg.com/es/sde/f/2022/08/02/9cc3cba8dbd74e03b0471fdcd2c66414_FORMATO.png,5,3.34,4.56,Lucas Halter,0.0,3,4.05,24,lucas-halter,6,0.0,,1.0,,,,3.0,4.0,,1.0,1.0,,,,,,,10.0,,,3.0
453,Luan Silva,L. Silva,102295,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/5b2d607b7868aa4b0e2f6d3bc4884981_FORMATO.png,0,0.0,2.24,Luan Silva dos Santos,0.0,5,2.0,24,luan-silva,6,0.0,,,,,,,,,,,,,,,,,,,,
454,Mikael,Mikael,102299,Internacional,285,https://s.glbimg.com/es/sde/f/2022/07/28/db7bd8471d05f588d15b51c836794a5a_FORMATO.png,0,0.0,7.24,Mikael Filipe Viana,0.0,5,6.0,24,mikael,6,0.0,,,,,,,,,,,,,,,,,,,,
455,Bruno Leite,B. Leite,102301,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/05/02/ec03227352d407507044b7dc5b7ab340_FORMATO.png,0,0.0,2.24,Bruno da Silva Costa Leite,0.0,4,2.0,24,bruno-leite,6,0.0,,,,,,,,,,,,,,,,,,,,
456,Matheus Felipe,M. Felipe,102310,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/04/20/bbb32c1a415166c6cb106f4cae3b7d67_FORMATO.png,16,3.72,5.34,Matheus Felipe Santos Nascimento,6.2,3,5.4,24,matheus-felipe,7,0.39,,2.0,,,,22.0,9.0,2.0,,4.0,,1.0,,,,,46.0,,,6.0
457,Caio Paulista,C. Paulista,102318,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/3ad79908bf278d43f6fb870ec7af5f46_FORMATO.png,21,2.76,0.23,Caio Fernando de Oliveira,-0.3,5,4.55,24,caio-paulista,7,-1.85,3.0,3.0,,,,21.0,9.0,4.0,9.0,20.0,1.0,1.0,,,,,98.0,,,
458,Kelvyn,Kelvyn,102464,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/b0ae3ad3abe8dabd95e5f349d5c3b9c7_FORMATO.png,2,-0.05,1.31,Kelvyn Ramos da Fonseca,0.0,2,1.98,24,kelvyn,6,0.0,,,,,,1.0,2.0,,,,,,,,,,7.0,,,
459,Mastriani,Mastriani,102561,América-MG,327,https://s.glbimg.com/es/sde/f/2022/08/10/2c133460f6f214aed522ba40302a5c33_FORMATO.png,0,0.0,7.24,Gonzalo Mathías Mastriani Borges,0.0,5,6.0,24,mastriani,6,0.0,,,,,,,,,,,,,,,,,,,,
460,Miguel Figueira,M. Figueira,102565,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/091756669981fb60d8c35b9e12479795_FORMATO.png,0,0.0,4.74,Miguel Ferreira Damasceno,0.0,4,4.0,24,miguel-figueira,6,0.0,,,,,,,,,,,,,,,,,,,,
461,Jonathan Silva,J. Silva,102597,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/6e4a3c5ef09ca42e9212c2aabf9392ed_FORMATO.png,1,0.6,2.75,Jonathan Silva Vieira,0.0,2,2.38,24,jonathan-silva,6,0.0,,,,,,1.0,1.0,,,,,,,,,,3.0,,,
462,Helinho,Helinho,102598,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,20,2.1,2.39,Hélio Júnio Nunes de Castro,0.0,5,4.88,24,helinho,7,0.0,1.0,6.0,,,,16.0,27.0,5.0,14.0,14.0,1.0,2.0,,,2.0,,110.0,,,
463,Julimar,Julimar,102796,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/02/20/de210ca4fcb3c0000bf820510f8926b3_FORMATO.png,0,0.0,2.24,Julimar Silva Oliveira Júnior,0.0,5,2.0,24,julimar,5,0.0,,,,,,,,,,,,,,,,,,,,
464,Terans,Terans,102878,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png,18,4.85,3.72,Miguel David Terans Pérez  ,0.0,4,9.45,24,terans,7,0.0,2.0,3.0,,,,8.0,17.0,11.0,20.0,8.0,1.0,7.0,,,4.0,,123.0,1.0,,
465,Anderson,Anderson,102906,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png,2,6.5,7.54,Anderson Silva da Paixão,9.0,1,3.9,24,anderson,7,0.98,,,,13.0,,,,,,,,,,5.0,,,,,,1.0
466,Luan,Luan,102909,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,2,0.75,3.43,Luan Vinícius da Silva Santos ,0.0,4,5.04,24,luan,6,0.0,,,,,,2.0,1.0,,,,,,,,,,6.0,,,
467,Canobbio,Canobbio,102928,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/03/30/ae776027bce5d99b2a19ab81b191f35b_FORMATO.png,16,3.01,3.49,Agustín Canobbio Graviz,0.0,5,5.39,24,canobbio,6,0.0,,1.0,,,,21.0,17.0,1.0,7.0,24.0,,2.0,,,3.0,,64.0,,1.0,
468,Lucas Ribeiro,L. Ribeiro,103088,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/aae12a036ac543be8da51c964dc65831_FORMATO.png,6,1.92,4.12,Lucas Ribeiro dos Santos,4.6,3,5.14,24,lucas-ribeiro,6,0.76,,2.0,,,,1.0,5.0,,,5.0,,1.0,,,,,17.0,,,1.0
469,Rodrigo Freitas,R. Freitas,103261,Avaí,314,https://s.glbimg.com/es/sde/f/2022/04/08/d5bcf8daa04da76c1372d8a8a834cf98_FORMATO.png,8,0.99,-1.1,Rodrigo dos Santos de Freitas,-1.5,3,1.39,24,rodrigo-freitas,6,-0.16,,2.0,,,,4.0,3.0,,1.0,4.0,,,,,,,18.0,,,1.0
470,Eric Ramires,E. Ramires,103295,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,15,1.34,3.21,Eric dos Santos Rodrigues,3.6,4,4.3,24,eric-ramires,6,0.51,,1.0,2.0,,,21.0,12.0,2.0,4.0,7.0,,,,,,1.0,27.0,,,
471,Matheus Alexandre,M. Alexandre,103347,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/f37a5a9aa16b6e174f7e05e22b7a1b62_FORMATO.png,17,3.72,1.59,Matheus Alexandre Anastácio de Souza,0.0,2,7.89,24,matheus-alexandre,6,0.0,,4.0,,,,47.0,17.0,,,5.0,,,,,1.0,,66.0,,,4.0
472,Emmanuel Martínez,E. Martínez,103388,América-MG,327,https://s.glbimg.com/es/sde/f/2022/08/13/68f9c27625c8107e59119604bba5e322_FORMATO.png,2,4.9,2.86,Leandro Emmanuel Martínez,3.2,4,5.25,24,emmanuel-martinez,7,-0.05,,,,,,3.0,,2.0,2.0,6.0,,,,,,,8.0,,,
473,Caetano,Caetano,103575,Goiás,290,https://s.glbimg.com/es/sde/f/2022/03/10/0b26178145c836bb7862ed5729e22c14_FORMATO.png,20,3.25,9.37,João Victor Andrade Caetano,11.1,3,6.98,24,caetano,7,1.29,,1.0,,,,28.0,17.0,2.0,1.0,6.0,1.0,1.0,,,,1.0,87.0,,,6.0
474,Kaíque Rocha,K. Rocha,103684,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/c6484aba6ef03823515d831dbbed3145_FORMATO.png,6,3.33,1.43,Kaíque Rocha Lima,0.0,3,3.61,24,kaique-rocha,6,0.0,,2.0,,,,8.0,3.0,1.0,,3.0,1.0,,,,,,24.0,,,2.0
475,Jadsom Silva,J. Silva,103695,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,15,0.96,1.18,Jadsom Meemyas de Oliveira da Silva,1.1,4,3.62,24,jadsom-silva,6,0.12,1.0,5.0,,,,13.0,12.0,,4.0,4.0,,,,,,,30.0,,,
476,Bruno Méndez,B. Méndez,103700,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/06/24/c1cadb36bdc2e9c961a181dac5a10494_FORMATO.png,14,3.62,5.35,Bruno Méndez Cittadini,6.2,3,5.42,24,bruno-mendez,6,0.78,,1.0,,,,23.0,6.0,1.0,1.0,3.0,,1.0,,,,,57.0,,,4.0
477,Neto,Neto,103706,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/9b9b740b77ea9d769449355001908e78_FORMATO.png,0,0.0,0.99,Antônio Fialho de Carvalho Neto,0.0,4,1.0,24,neto,6,0.0,,,,,,,,,,,,,,,,,,,,
478,Gabriel Silva,G. Silva,103766,Palmeiras,275,https://s.glbimg.com/es/sde/f/2021/04/30/89c3f9a0c359529df91f2489bdd05f2c_FORMATO.png,1,0.0,0.78,Gabriel Silva Vieira,0.0,5,2.2,24,gabriel-silva,6,0.0,,,,,,,,,,,,,,,,,,,,
479,Gabriel Menino,G. Menino,103767,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/70a1d9b700a17145850b034cd6c9a885_FORMATO.png,15,3.14,0.09,Gabriel Vinícius Menino,-0.4,4,5.64,24,gabriel-menino,6,-0.52,,2.0,1.0,,,21.0,11.0,4.0,9.0,13.0,,2.0,,,,,42.0,,,
480,Pedro Bicalho,P. Bicalho,103777,Palmeiras,275,https://s.glbimg.com/es/sde/f/2021/01/08/3ec8503326f8e51a9fe7bafc9265f01d_FORMATO.jpeg,1,1.2,1.65,Pedro Henrique Rodrigues Bicalho,0.0,4,1.72,24,pedro-bicalho,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
