"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FD","FF","FS","PI","CA","FT","G","I","SG","A","PC","DE","GS","CV","PS","DP","GC","PP"
"134",114790,7,262,"zag","6",0,2,0,0,0,NA,"cleiton","Cleiton","Cleiton","Cleiton Santana dos Santos","https://s.glbimg.com/es/sde/f/2022/04/25/7291f9193cdbd0c264bbbf2610f2a5fa_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",63058,7,294,"mei","7",3.3,8.33,-0.21,4.23,7,NA,"willian-farias","Willian Farias","W. Farias","Willian Roberto Farias","https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png","Coritiba",22,2,NA,1,12,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",38162,7,266,"ata","6",0,4.53,0,0.5,4,NA,"fred","Fred","Fred","Frederico Chaves Guedes","https://s.glbimg.com/es/sde/f/2022/04/20/9685a046f69fb11824832142e8c5f364_FORMATO.png","Fluminense",NA,1,1,NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",62104,7,294,"mei","6",-0.4,3.29,-0.45,0.67,6,NA,"robinho","Robinho","Robinho","Róbson Michael Signorini","https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png","Coritiba",5,5,NA,1,8,52,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",69010,7,1371,"gol","6",0,4,0,0,0,NA,"joao-carlos","João Carlos","J. Carlos","João Carlos Heidemann","https://s.glbimg.com/es/sde/f/2021/05/28/9d5caf065f11413aa6bf28e1d6b8acf8_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",62977,7,266,"mei","7",2.5,6.99,0.12,4.72,5,NA,"ganso","Ganso","Ganso","Paulo Henrique Chagas de Lima","https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png","Fluminense",6,2,1,NA,6,22,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",68690,7,1371,"ata","6",-0.9,2.19,-0.56,0.2,5,NA,"andre","André","André","André Felipe Ribeiro de Souza","https://s.glbimg.com/es/sde/f/2022/02/23/ee02dcfd3fef8bb6cb823ff266baa89a_FORMATO.png","Cuiabá",1,10,NA,2,7,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",101573,7,1371,"mei","7",8.5,6.48,1.52,3.13,7,NA,"pepe","Pepê","Pepê","João Pedro Vilardi Pinto","https://s.glbimg.com/es/sde/f/2022/02/23/f7d3a51faa57213871975b0e01258892_FORMATO.png","Cuiabá",20,13,1,NA,10,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",50317,7,266,"zag","7",7.6,7.22,1.47,2.58,5,NA,"david-braz","David Braz","D. Braz","David Braz de Oliveira Filho","https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png","Fluminense",5,8,NA,4,1,24,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",38545,7,266,"zag","5",0,9,0,0,0,NA,"felipe-melo","Felipe Melo","F. Melo","Felipe Melo de Carvalho","https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
