"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"27",91573,2,276,"zag","6",0,8,0,0,0,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",104250,2,264,"zag","7",6.9,5.5,1.8,3.75,2,NA,"joao-victor","João Victor","J. Victor","João Victor da Silva Marcelino","https://s.glbimg.com/es/sde/f/2021/08/06/2ad4f10146673233d9d0dcb117cd81b9_FORMATO.png","Corinthians",NA,1,NA,1,NA,NA,1,NA,NA,6,4,4,NA,NA,NA,NA,NA,NA,NA
"29",86864,2,327,"lat","3",0,3.17,0,-4.2,1,NA,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,NA,NA,NA,NA
"30",79631,2,266,"ata","6",1.1,10.46,-1.43,4.05,2,NA,"cano","Cano","Cano","Germán Ezequiel Cano","https://s.glbimg.com/es/sde/f/2022/02/24/ebd67d14776321547687f37e46153d21_FORMATO.png","Fluminense",NA,NA,NA,NA,5,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",68808,2,354,"lat","7",1.2,6.14,-1.52,1.4,2,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,NA,NA,1,NA,NA,6,NA,NA,22,3,2,NA,NA,NA,NA,NA,NA,NA
"32",71684,2,275,"zag","7",4.4,14.09,-0.64,6.35,2,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,3,1,1,1,14,3,1,NA,NA,NA,NA,NA,NA,NA
"33",38144,2,276,"lat","7",5.8,10.81,1.1,6.25,2,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",NA,1,NA,1,NA,NA,2,NA,NA,5,4,6,1,NA,NA,NA,NA,NA,NA
"34",40006,2,266,"tec","7",4.9,11.52,0.08,5.61,2,NA,"abel-braga","Abel Braga","A. Braga","Abel Carlos da Silva Braga","https://s.glbimg.com/es/sde/f/2020/11/10/0f92efccde1103a2d235bd9cb9fa4deb_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",89226,2,327,"zag","7",15.8,8.65,5.15,7.55,2,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,NA,NA,1,NA,1,NA,2,NA,10,1,3,NA,NA,NA,NA,NA,NA,NA
"36",110506,2,275,"tec","7",4.26,9.43,-0.59,3.71,2,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
