,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
205,Hyoran,Hyoran,hyoran,25,4,6.96,280,https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png,6,Hyoran Kaue Dalmoro,3.51,-0.36,38,85931,Bragantino,0.6,2.3,1.0,22.0,17.0,137.0,,,21.0,14.0,3.0,1.0,3.0,13.0,,1.0,,,,,,
206,Gustavo Sauer,G. Sauer,gustavo-sauer,9,5,3.89,263,https://s.glbimg.com/es/sde/f/2022/04/13/ece78d4e91579f63c336f5010cbf9053_FORMATO.png,6,Gustavo Affonso Sauerbeck,1.11,0.0,38,85993,Botafogo,0.0,0.98,1.0,7.0,5.0,23.0,,,1.0,4.0,,,,3.0,,,,,,,,
207,Diego,Diego,diego,6,4,2.61,354,https://s.glbimg.com/es/sde/f/2022/06/23/a9b4d32f7d6d9e4fc96279399e6ab904_FORMATO.png,6,Diego Rigonato Rodrigues,1.33,0.0,38,86029,Ceará,0.0,2.85,1.0,6.0,4.0,24.0,,,,6.0,,,,2.0,,,,,,,,
208,Wanderson,Wanderson,wanderson,28,3,2.39,373,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png,7,Wanderson Santos Pereira,0.81,0.21,38,86143,Atlético-GO,1.2,0.13,2.0,12.0,19.0,70.0,3.0,,5.0,6.0,,2.0,,1.0,,,,,,,,
209,Natanael,Natanael,natanael,13,2,9.35,314,https://s.glbimg.com/es/sde/f/2022/07/18/04d6865853a44f1a0a32d6f5ce32e9fe_FORMATO.png,6,Natanael Batista Pimenta,5.54,0.0,38,86264,Avaí,0.0,15.51,,26.0,13.0,135.0,2.0,,9.0,11.0,1.0,3.0,4.0,4.0,,1.0,,,,,,
210,Alê,Alê,ale,28,4,7.9,327,https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png,7,Alexandre Egea,3.44,-0.8,38,86388,América-MG,-0.5,4.88,2.0,52.0,45.0,131.0,,1.0,10.0,50.0,2.0,,3.0,3.0,2.0,,,,,,,
211,Victor Luis,V. Luis,victor-luis,22,2,4.55,354,https://s.glbimg.com/es/sde/f/2022/02/22/451062f55ce1f1bb899af8a090cd1bb5_FORMATO.png,6,Victor Luis Chuab Zamblauskas,1.76,0.0,38,86410,Ceará,0.0,0.82,1.0,20.0,19.0,101.0,3.0,,4.0,19.0,,,,3.0,,,,,,,,
212,Pablo Dyego,P. Dyego,pablo-dyego,8,5,3.3,314,https://s.sde.globo.com/media/person_role/2022/08/16/aa71716a1e7b6d5f4f466762f82871f8_FORMATO.png,6,Pablo Dyego da Silva Rosa,1.96,0.0,38,86444,Avaí,0.0,3.45,1.0,9.0,6.0,18.0,,,2.0,11.0,,,,2.0,,,,,,,,
213,Keno,Keno,keno,27,5,7.36,282,https://s.sde.globo.com/media/person_role/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png,7,Marcos da Silva França,3.67,-2.88,38,86485,Atlético-MG,1.3,18.57,5.0,33.0,19.0,188.0,,,23.0,26.0,4.0,6.0,1.0,10.0,,3.0,,,,,,
214,Jandrei,Jandrei,jandrei,19,1,6.39,276,https://s.glbimg.com/es/sde/f/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,6,Jandrei Chitolina Carniel,2.6,0.0,38,86508,São Paulo,0.0,1.37,,,,,4.0,,,3.0,,,,,,,,47.0,19.0,,,
215,Richardson,Richardson,richardson,28,4,3.23,354,https://s.glbimg.com/es/sde/f/2022/02/22/6e7e2815732004f3d9c34e0dae8ce6f7_FORMATO.png,7,Richardson Fernandes dos Santos,1.76,0.0,38,86536,Ceará,0.6,0.87,13.0,57.0,61.0,82.0,,1.0,6.0,33.0,,,,,1.0,1.0,,,,,,
216,Arthur Henrique,A. Henrique,arthur-henrique,22,2,4.0,373,https://s.glbimg.com/es/sde/f/2022/03/03/ac8a8dbf454accfda9793bed640e7799_FORMATO.png,6,Arthur Henrique Peixoto Santos,1.63,0.0,38,86629,Atlético-GO,0.0,5.22,,30.0,13.0,90.0,2.0,1.0,1.0,10.0,,,,,,,,,,,,
217,Rodrigo Soares,R. Soares,rodrigo-soares,33,2,2.47,286,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_FORMATO.png,7,Rodrigo Alves Soares,1.48,0.06,38,86675,Juventude,0.2,0.05,4.0,35.0,22.0,244.0,4.0,,5.0,5.0,1.0,,1.0,2.0,,,,,,,,
218,Tchê Tchê,T. Tchê,tche-tche,29,4,4.21,263,https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png,7,Danilo das Neves Pinheiro,1.76,-0.06,38,86686,Botafogo,1.0,1.68,3.0,31.0,41.0,114.0,,,9.0,42.0,1.0,,,3.0,,,1.0,,,,,
219,Richard Coelho,R. Coelho,richard-coelho,27,4,5.33,354,https://s.glbimg.com/es/sde/f/2022/02/22/a9032c07d987ecaec7516f2037a7de70_FORMATO.png,6,Richard Cândido Coelho,2.23,0.0,38,86711,Ceará,0.0,4.32,11.0,56.0,49.0,122.0,,1.0,8.0,31.0,,2.0,1.0,6.0,,,,,,,,
220,Everton,Everton,everton,18,5,12.66,262,https://s.sde.globo.com/media/person_role/2022/07/15/353ea5b8887c0e119da1d3a27bff35d6_FORMATO.png,6,Everton Sousa Soares,4.64,0.0,38,86757,Flamengo,0.0,8.51,,16.0,13.0,99.0,,1.0,17.0,16.0,2.0,,5.0,13.0,,1.0,,,,,,
221,Luan,Luan,luan,8,4,4.83,277,https://s.glbimg.com/es/sde/f/2022/08/05/844f17537a7b2cdc6437bb662770240a_FORMATO.png,6,Luan Guilherme de Jesus Vieira,3.25,0.0,38,86759,Santos,0.0,2.2,,3.0,4.0,25.0,,,4.0,15.0,1.0,,1.0,2.0,,,,,,,,
222,Sidcley,Sidcley,sidcley,7,2,4.12,1371,https://s.glbimg.com/es/sde/f/2022/08/04/f1b96cd2e1a5c62c2aec694945991675_FORMATO.png,6,Sidcley Ferreira Pereira,2.59,-0.58,38,86764,Cuiabá,0.0,1.32,,5.0,,27.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,
223,Danilo Barbosa,D. Barbosa,danilo-barbosa,6,4,3.97,263,https://s.glbimg.com/es/sde/f/2022/08/12/7d590ab4c6d70f44e3ca55f066cacbb7_FORMATO.png,6,Danilo Barbosa da Silva,0.72,0.0,38,86777,Botafogo,0.0,2.91,1.0,4.0,4.0,15.0,,,,4.0,,,,1.0,,,,,,,,
224,Boschilia,Boschilia,boschilia,11,4,4.17,294,https://s.glbimg.com/es/sde/f/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,6,Gabriel Boschilia,2.25,0.0,38,86841,Coritiba,0.0,3.06,3.0,12.0,12.0,43.0,,,7.0,8.0,,,1.0,3.0,,1.0,,,,,,
225,José Welison,J. Welison,jose-welison,26,4,5.4,356,https://s.glbimg.com/es/sde/f/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,7,José Welison da Silva,2.78,-1.32,38,86859,Fortaleza,3.1,11.02,5.0,47.0,37.0,113.0,,,14.0,17.0,2.0,,,4.0,,1.0,,,,,,
226,Marlon,Marlon,marlon,29,2,5.88,327,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png,7,Marlon Matheus Lopes do Nascimento,4.21,0.05,38,86864,América-MG,2.5,2.5,5.0,64.0,34.0,239.0,9.0,1.0,16.0,31.0,,,1.0,5.0,,1.0,,,,,,
227,Eduardo Bauermann,E. Bauermann,eduardo-bauermann,31,3,8.83,277,https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_FORMATO.png,3,Eduardo Gabriel dos Santos Bauermann,3.77,0.0,38,86970,Santos,0.0,-0.46,7.0,41.0,13.0,101.0,11.0,1.0,7.0,34.0,,1.0,1.0,4.0,,1.0,1.0,,,,,
228,Emerson Santos,E. Santos,emerson-santos,0,3,4.0,373,https://s.glbimg.com/es/sde/f/2022/07/28/5ddfe529ef61fe54a0aa6410f1a57699_FORMATO.png,5,Emerson Raymundo Santos,0.0,0.0,38,86972,Atlético-GO,0.0,3.11,,,,,,,,,,,,,,,,,,,,
229,Nathan,Nathan,nathan,23,4,4.34,266,https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png,6,Nathan Allan de Souza,2.18,-0.11,38,87009,Fluminense,-0.2,0.85,3.0,13.0,16.0,108.0,,,13.0,10.0,2.0,1.0,2.0,10.0,,,,,,,,
230,Matheus Peixoto,M. Peixoto,matheus-peixoto,11,5,5.51,354,https://s.glbimg.com/es/sde/f/2022/03/14/2eb9eaecb0ea8315d3d9f2e457dac7c4_FORMATO.png,5,Matheus Vieira Campos Peixoto,1.48,0.0,38,87098,Ceará,0.0,2.95,,5.0,6.0,28.0,,,3.0,6.0,,3.0,1.0,4.0,,,,,,,,
231,Pedro Henrique,P. Henrique,pedro-henrique,27,3,8.01,293,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,6,Pedro Henrique Ribeiro Gonçalves,3.98,0.0,38,87225,Athlético-PR,0.0,4.25,7.0,56.0,22.0,164.0,8.0,,7.0,22.0,,,1.0,5.0,,1.0,,,,,,
232,Guilherme Arana,G. Arana,guilherme-arana,18,2,12.12,282,https://s.sde.globo.com/media/person_role/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png,5,Guilherme Antonio Arana Lopes,4.23,0.0,38,87228,Atlético-MG,0.0,7.82,4.0,22.0,25.0,147.0,8.0,,16.0,13.0,,1.0,2.0,4.0,1.0,1.0,,,,,,
233,Guillermo Santos,G. Santos,guillermo-santos,14,3,5.34,294,https://s.glbimg.com/es/sde/f/2022/02/23/e40fd20b4f4e43234a7d5ac7d2107fc6_FORMATO.png,6,Guillermo Gabriel de los Santos Viana - Daniel,3.58,0.0,38,87238,Coritiba,0.0,1.32,2.0,24.0,5.0,65.0,4.0,1.0,2.0,6.0,,,1.0,4.0,,,,,,,,
234,Carlos de Pena,C. Pena,carlos-de-pena,32,5,6.72,285,https://s.glbimg.com/es/sde/f/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,7,Carlos María de Pena Bonino,4.3,-0.31,38,87242,Internacional,1.2,2.79,6.0,59.0,29.0,350.0,,,24.0,21.0,5.0,,6.0,15.0,,1.0,,,,,1.0,
235,Soteldo,Soteldo,soteldo,7,5,8.53,277,https://s.sde.globo.com/media/person_role/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,5,Yeferson Julio Soteldo Martínez,1.79,0.0,38,87258,Santos,0.0,3.69,1.0,2.0,4.0,67.0,,,5.0,13.0,,1.0,1.0,3.0,,,,,,,,
236,Willian Maranhão,W. Maranhão,willian-maranhao,22,4,2.56,373,https://s.glbimg.com/es/sde/f/2022/07/22/3d441c6c216df311f638855e5ae9f952_FORMATO.png,7,Willian Marlon Ferreira Moraes,0.65,-0.96,38,87262,Atlético-GO,-3.8,2.31,7.0,25.0,25.0,63.0,,1.0,5.0,11.0,,2.0,,,1.0,,,,,,,
237,Messias,Messias,messias,23,3,3.67,354,https://s.glbimg.com/es/sde/f/2022/02/22/871ec7ac3407b7d4cb4080a3fce62515_FORMATO.png,6,Messias Rodrigues da Silva Júnior,1.51,0.0,38,87402,Ceará,0.0,0.66,4.0,13.0,21.0,78.0,5.0,,4.0,7.0,,,,3.0,1.0,1.0,,,,,,
238,Vitor Bueno,V. Bueno,vitor-bueno,20,4,4.29,293,https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png,6,Vitor Frezarin Bueno,3.14,0.0,38,87552,Athlético-PR,0.0,1.62,2.0,12.0,9.0,92.0,,,13.0,20.0,4.0,1.0,1.0,4.0,,,,,,,,
239,Anderson Leite,A. Leite,anderson-leite,2,4,3.71,286,https://s.glbimg.com/es/sde/f/2022/07/29/30173d69a7048132aa419f0efded3f32_FORMATO.png,5,Anderson Leite Moraes,1.95,0.0,38,87691,Juventude,0.0,2.92,,4.0,3.0,5.0,,,,1.0,,,,,,,,,,,,
240,Yago Felipe,Y. Felipe,yago-felipe,20,4,4.92,266,https://s.glbimg.com/es/sde/f/2022/04/20/ab8a626607a5cce566a4090db8ae4c19_FORMATO.png,7,Yago Felipe da Costa Rocha,2.39,-1.05,38,87747,Fluminense,-1.3,5.27,3.0,27.0,15.0,100.0,,,9.0,32.0,,4.0,,6.0,,1.0,,,,,,
241,Philipe Sampaio,P. Sampaio,philipe-sampaio,16,3,3.16,263,https://s.glbimg.com/es/sde/f/2022/03/10/0b9c95c7f9a5612681798da7797e3cec_FORMATO.png,6,Philipe Sampaio Azevedo,1.61,0.0,38,87808,Botafogo,0.0,4.97,2.0,17.0,18.0,48.0,4.0,2.0,1.0,8.0,,2.0,,,1.0,,,,,,,
242,Pineida,Pineida,pineida,7,2,4.72,266,https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png,6,Mario Alberto Pineida Martínez,2.74,0.0,38,87838,Fluminense,0.0,3.73,,,6.0,28.0,4.0,,1.0,6.0,,,,,,,,,,,,
243,Arrascaeta,Arrascaeta,arrascaeta,22,4,17.02,262,https://s.sde.globo.com/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png,6,Giorgian Daniel de Arrascaeta Benedetti,6.2,0.0,38,87863,Flamengo,0.0,5.47,1.0,33.0,9.0,199.0,,,20.0,42.0,2.0,2.0,9.0,13.0,,2.0,1.0,,,,,
244,Balbuena,Balbuena,balbuena,13,3,9.48,264,https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_FORMATO.png,6,Fabián Cornelio Balbuena González,4.71,0.0,38,87887,Corinthians,0.0,3.12,2.0,20.0,7.0,84.0,4.0,,3.0,4.0,3.0,,,2.0,1.0,,,,,,,
245,Matheus Vargas,M. Vargas,matheus-vargas,11,4,3.19,356,https://s.glbimg.com/es/sde/f/2022/05/12/8d527aee11a3ca28fe1dab544e70733d_FORMATO.png,6,Matheus de Vargas,1.01,0.0,38,87929,Fortaleza,0.0,0.73,2.0,4.0,11.0,40.0,,,7.0,11.0,,3.0,,4.0,,,,,,,,
246,Gustavo Scarpa,G. Scarpa,gustavo-scarpa,33,4,11.89,275,https://s.sde.globo.com/media/person_role/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png,7,Gustavo Henrique Furtado Scarpa,6.48,-2.24,38,87999,Palmeiras,-0.4,13.5,2.0,17.0,13.0,399.0,,,38.0,71.0,7.0,13.0,14.0,36.0,,3.0,,,,,1.0,
247,Alan Empereur,A. Empereur,alan-empereur,27,3,5.69,1371,https://s.glbimg.com/es/sde/f/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,7,Alan Pereira Empereur,1.67,1.14,38,88033,Cuiabá,7.5,1.05,7.0,20.0,20.0,120.0,6.0,1.0,1.0,21.0,1.0,1.0,,,,,,,,,,
248,Luís Castro,L. Castro,luis-castro,38,6,9.28,263,https://s.glbimg.com/es/sde/f/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png,7,Luís Manuel Ribeiro de Castro,4.22,-1.09,38,88037,Botafogo,1.79,8.81,,,,,,,,,,,,,,,,,,,,
249,Jorge,Jorge,jorge,9,2,2.77,275,https://s.glbimg.com/es/sde/f/2022/02/21/93adceb828cf61a7789b7674fbd4e929_FORMATO.png,6,Jorge Marco de Oliveira Moraes,3.53,0.0,38,88065,Palmeiras,0.0,-0.4,1.0,9.0,5.0,51.0,5.0,,2.0,10.0,,,,,,,,,,1.0,,
250,Ramon Menezes,R. Menezes,ramon-menezes,14,3,3.94,373,https://s.glbimg.com/es/sde/f/2022/03/03/addba459fcb5f0a6de801f763b1f8375_FORMATO.png,5,Ramon Menezes Roma,1.48,0.0,38,88087,Atlético-GO,0.0,2.23,2.0,9.0,10.0,33.0,2.0,,2.0,,,,,3.0,,1.0,,,,,,
251,Daniel Guedes,D. Guedes,daniel-guedes,14,2,2.97,1371,https://s.sde.globo.com/media/person_role/2022/04/21/eb1d1f53750f2ecb8c48b5caa3985a22_FORMATO.png,6,Daniel Guedes da Silva,2.33,0.0,38,88225,Cuiabá,0.0,1.17,3.0,15.0,13.0,129.0,2.0,,3.0,5.0,,3.0,4.0,,,,,,,,,
252,Junior Alonso,J. Alonso,junior-alonso,29,3,11.27,282,https://s.glbimg.com/es/sde/f/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,6,Junior Osmar Ignacio Alonso Mujica,3.53,0.0,38,88312,Atlético-MG,0.0,2.24,4.0,31.0,14.0,146.0,13.0,,9.0,7.0,,1.0,2.0,1.0,2.0,1.0,,,,,,
253,Ayrton Lucas,A. Lucas,ayrton-lucas,29,2,8.38,262,https://s.glbimg.com/es/sde/f/2022/04/14/36837bfe151af329a80e71d5dc2bc8e0_FORMATO.png,6,Ayrton Lucas Dantas de Medeiros,5.02,0.0,38,88393,Flamengo,0.0,4.0,4.0,58.0,40.0,235.0,8.0,,5.0,44.0,2.0,,5.0,7.0,,,,,,,,
254,Eduardo Souza,E. Souza,eduardo-souza,10,6,7.58,373,https://s.sde.globo.com/media/person_role/2021/05/18/3eff8b36039d819b6583407b9c2b8823_FORMATO.png,7,Eduardo do Nascimento Souza,3.39,-0.17,38,88406,Atlético-GO,2.55,3.78,,,,,,,,,,,,,,,,,,,,
255,Aderlan,Aderlan,aderlan,30,2,7.64,280,https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,7,Aderlan de Lima Silva,3.21,-0.05,38,88423,Bragantino,0.5,0.58,10.0,83.0,76.0,325.0,7.0,,9.0,15.0,,4.0,2.0,2.0,,,,,,,,
256,Marlon,Marlon,marlon,10,4,2.43,286,https://s.glbimg.com/es/sde/f/2022/03/27/52ccdcb0c3400c65e20b83b56e0a5800_FORMATO.png,6,Marlon Adriano Prezotti,0.75,0.0,38,88427,Juventude,0.0,0.25,1.0,10.0,13.0,26.0,,,,6.0,,,,,,,,,,,,
257,Auro,Auro,auro,7,2,2.5,277,https://s.glbimg.com/es/sde/f/2022/03/14/540966ca01d0e0b65fec115d8e24488b_FORMATO.png,6,Auro Álvaro da Cruz Júnior,1.04,0.0,38,88540,Santos,0.0,0.17,2.0,6.0,7.0,21.0,1.0,,1.0,1.0,,,,,,,,,,,,
258,Buiú,Buiú,buiu,2,2,2.39,354,https://s.glbimg.com/es/sde/f/2022/02/22/ba7e99bec918671e0921368e6c04d2d8_FORMATO.png,7,Marcos Ytalo Benício da Silva,3.65,0.57,38,88544,Ceará,5.3,1.93,,5.0,5.0,15.0,,,2.0,3.0,,,,1.0,,,,,,,,
259,Lucas Crispim,L. Crispim,lucas-crispim,22,4,2.44,356,https://s.glbimg.com/es/sde/f/2022/05/12/043b82cd8bbcab2108944aa3cf34372e_FORMATO.png,6,Lucas de Figueiredo Crispim,0.95,0.0,38,88597,Fortaleza,0.0,0.17,4.0,16.0,13.0,136.0,,,4.0,14.0,1.0,1.0,1.0,,,,,,,,,
260,Luan Polli,L. Polli,luan-polli,2,1,5.03,356,https://s.glbimg.com/es/sde/f/2022/07/29/8a9128472f54ae0e854e5a35d456eb76_FORMATO.png,6,Luan Polli Gomes,2.25,0.0,38,88916,Fortaleza,0.0,4.24,,,,,,,,1.0,,,,,,,,9.0,5.0,,,
261,Jean,Jean,jean,24,4,5.63,286,https://s.glbimg.com/es/sde/f/2022/04/02/6414b12330ce3b868c7e9b91a6289866_FORMATO.png,6,Jean Carlos de Souza Irmer,2.97,0.0,38,89150,Juventude,0.0,8.99,6.0,52.0,24.0,77.0,,,13.0,14.0,,1.0,1.0,6.0,,,,,,,,
262,Iago Maidana,I. Maidana,iago-maidana,17,3,6.73,327,https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png,6,Iago Justen Maidana Martins,3.27,0.0,38,89226,América-MG,0.0,2.07,3.0,9.0,19.0,50.0,7.0,1.0,2.0,2.0,3.0,,,,,,,,,,,
263,Matheus Sales,M. Sales,matheus-sales,30,4,3.48,290,https://s.glbimg.com/es/sde/f/2022/04/13/4c8702a05eb20f2e973e719c61d29092_FORMATO.png,7,Matheus de Sales Cabral,1.4,0.02,38,89285,Goiás,2.0,2.12,5.0,39.0,22.0,64.0,,,7.0,12.0,,,,2.0,1.0,,,,,,,
264,Bryan Angulo,B. Angulo,bryan-angulo,15,5,3.59,277,https://s.glbimg.com/es/sde/f/2022/04/02/e926d395a2b2a6225aa44474e5fa8e26_FORMATO.png,6,Brayan Dennis Angulo Tenorio,2.25,0.0,38,89435,Santos,0.0,1.06,,5.0,1.0,26.0,,,2.0,6.0,2.0,4.0,1.0,2.0,,1.0,,,,,,
265,Igor Rabello,I. Rabello,igor-rabello,7,3,7.5,282,https://s.glbimg.com/es/sde/f/2022/07/15/2609f439079631b8b5b1affd471b8813_FORMATO.png,5,Igor Rabello da Costa,6.65,0.0,38,89493,Atlético-MG,0.0,7.78,1.0,20.0,7.0,16.0,2.0,,2.0,3.0,1.0,,1.0,1.0,,,,,,,,
266,Thiago Maia,T. Maia,thiago-maia,22,4,4.05,262,https://s.glbimg.com/es/sde/f/2022/04/25/5ffefa1d5a1967debcc7f42bdaacdd9e_FORMATO.png,6,Thiago Maia Alencar,1.63,0.0,38,89637,Flamengo,0.0,-0.07,5.0,38.0,25.0,61.0,,,3.0,6.0,,,,3.0,,,,,,,,
267,Cristiano,Cristiano,cristiano,13,2,8.46,266,https://s.sde.globo.com/media/person_role/2022/04/20/9d80cf4bd9412d6ee60e6c21830ece85_FORMATO.png,6,Cristiano da Silva Leite,4.42,0.0,38,89668,Fluminense,0.0,1.97,,20.0,8.0,84.0,5.0,,3.0,12.0,,,1.0,5.0,,,,,,,,
268,Iury Castilho,I. Castilho,iury-castilho,10,5,1.92,354,https://s.glbimg.com/es/sde/f/2022/02/22/86c0d4d6ac47c43279f6f3574192781d_FORMATO.png,6,Iury Lirio Freitas de Castilho,2.14,0.0,38,89695,Ceará,0.0,0.71,3.0,7.0,10.0,27.0,,,2.0,20.0,,5.0,1.0,3.0,,,1.0,,,,,
269,Rômulo ,Rômulo ,romulo,13,5,2.87,314,https://s.glbimg.com/es/sde/f/2022/02/24/474334d9aac64c11c2e9ba0bfa9b0931_FORMATO.png,6,Rômulo dos Santos de Souza,1.31,0.0,38,89696,Avaí,0.0,2.76,,6.0,6.0,27.0,,,2.0,10.0,,,,4.0,,1.0,,,,,,
270,Calleri,Calleri,calleri,33,5,22.16,276,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,7,Jonathan Calleri,6.07,-0.19,38,89840,São Paulo,5.7,6.12,5.0,17.0,39.0,177.0,,,31.0,62.0,16.0,25.0,2.0,21.0,1.0,1.0,,,,,1.0,
271,Róger Guedes,R. Guedes,roger-guedes,33,5,13.81,264,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/27/3af9c1a520b0f11a9c40163e925db245_FORMATO.png,7,Róger Krug Guedes,4.38,0.04,38,89898,Corinthians,4.6,5.39,6.0,4.0,15.0,162.0,,,29.0,47.0,10.0,10.0,2.0,23.0,,1.0,,,,,,
272,Wellington,Wellington,wellington,2,3,3.38,314,https://s.sde.globo.com/media/person_role/2022/08/16/8897dbb1a4d7e0fdcd072c424097d0d1_FORMATO.png,6,Wellington Ferreira Nascimento,2.65,0.0,38,89900,Avaí,0.0,6.18,,,2.0,11.0,1.0,,,,,,,,1.0,1.0,,,,,,
273,Mendoza,Mendoza,mendoza,28,5,12.86,354,https://s.sde.globo.com/media/person_role/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png,6,John Stiven Mendoza Valencia,6.01,0.0,38,90031,Ceará,0.0,4.93,6.0,22.0,27.0,153.0,,,28.0,54.0,10.0,12.0,1.0,20.0,,6.0,,,,,1.0,
274,Bruno Pacheco,B. Pacheco,bruno-pacheco,26,2,8.39,354,https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png,7,Bruno de Jesus Pacheco,3.67,-0.07,38,90061,Ceará,2.5,2.68,5.0,56.0,33.0,214.0,4.0,1.0,7.0,45.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,
275,Bruno Henrique,B. Henrique,bruno-henrique,8,5,14.9,262,https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png,5,Bruno Henrique Pinto,5.88,0.0,38,90285,Flamengo,0.0,10.46,3.0,13.0,11.0,41.0,,,4.0,20.0,1.0,8.0,2.0,7.0,,1.0,,,,,,
276,Jailson,Jailson,jailson,1,4,4.77,275,https://s.glbimg.com/es/sde/f/2022/02/21/959fdcde3ba551592e0b385a5bf68f88_FORMATO.png,5,Jaílson Marques Siqueira,0.0,0.0,38,90290,Palmeiras,0.0,2.91,,,,,,,,,,,,,,,,,,,,
277,Pedro Rocha,P. Rocha,pedro-rocha,19,5,3.98,356,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,7,Pedro Rocha Neves,3.93,-2.79,38,90302,Fortaleza,3.3,19.49,1.0,12.0,8.0,46.0,,,11.0,9.0,3.0,7.0,5.0,5.0,,,1.0,,,,,
278,David,David,david,21,5,4.33,285,https://s.glbimg.com/es/sde/f/2022/02/22/2bd5fca2e1d0dc67b0755602e00a7e66_FORMATO.png,3,David Correa da Fonseca,1.39,0.0,38,90309,Internacional,0.0,0.56,2.0,13.0,22.0,57.0,,1.0,7.0,16.0,,7.0,2.0,4.0,,1.0,,,,,,
279,Diego Gonçalves,D. Gonçalves,diego-goncalves,10,5,6.52,263,https://s.glbimg.com/es/sde/f/2022/02/21/9f275ce14e02c8b8be4c38953dda7e07_FORMATO.png,6,Diego Gonçalves,2.23,0.0,38,90540,Botafogo,0.0,1.25,1.0,5.0,8.0,51.0,,,3.0,6.0,2.0,2.0,,3.0,,,,,,,,
280,Yuri Lima,Y. Lima,yuri-lima,21,4,3.52,286,https://s.glbimg.com/es/sde/f/2022/03/18/fd7d4f0e5e6c5b59c85b542484321ecd_FORMATO.png,7,Yuri Oliveira Lima,1.32,-0.01,38,90569,Juventude,2.3,2.61,6.0,31.0,44.0,104.0,,,7.0,14.0,,,,6.0,,,,,,,,
281,Luiz Fernando,L. Fernando,luiz-fernando,29,5,5.37,373,https://s.sde.globo.com/media/person_role/2022/04/30/1d40d4deebb60cfac62aee9763f8e18f_FORMATO.png,7,Luiz Fernando Moraes dos Santos,3.47,-0.72,38,90715,Atlético-GO,2.7,6.36,5.0,28.0,26.0,92.0,,2.0,24.0,38.0,2.0,11.0,4.0,13.0,,2.0,,,,,,
