,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.media_num,atletas.apelido,atletas.status_id,atletas.rodada_id,atletas.slug,atletas.posicao_id,atletas.jogos_num,atletas.foto,atletas.variacao_num,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.apelido_abreviado,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,PP,DE,DP,GC,GS,PC,SG,CV,PS
25,294,11.32,-0.1,4.06,Egídio,6,37,egidio,2,20,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,-1.33,Egídio de Araújo Pereira Júnior,42145,Coritiba,,Egídio,2.0,1.0,32.0,12.0,7.0,4.0,17.0,,1.0,2.0,166.0,,,,,,1.0,6.0,1.0,
26,264,11.06,0.0,4.79,Cássio,7,37,cassio,1,30,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,-1.62,Cássio Roberto Ramos,42234,Corinthians,,Cássio,,2.0,1.0,,,,5.0,,,,,,101.0,,,24.0,,13.0,,
27,282,11.79,8.09,4.59,Cuca,7,37,cuca,6,17,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,0.7,Alexi Stival,42411,Atlético-MG,,Cuca,,,,,,,,,,,,,,,,,,,,
28,264,9.74,0.0,3.4,Fagner,6,37,fagner,2,14,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,0.0,Fagner Conserva Lemos,42500,Corinthians,,Fagner,2.0,3.0,23.0,11.0,,,7.0,,,2.0,120.0,,,,,,,5.0,,
29,293,9.44,2.71,4.22,Luiz Felipe Scolari,7,37,luiz-felipe-scolari,6,31,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,0.04,Luiz Felipe Scolari,43618,Athlético-PR,,L. Scolari,,,,,,,,,,,,,,,,,,,,
30,266,6.53,0.0,2.21,David Braz,6,37,david-braz,3,11,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,0.0,David Braz de Oliveira Filho,50317,Fluminense,,D. Braz,,2.0,12.0,11.0,1.0,4.0,2.0,,1.0,,43.0,,,,,,,3.0,3.0,
31,282,6.61,0.0,2.25,Alan Kardec,5,37,alan-kardec,5,12,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,0.0,Alan Kardec de Sousa Pereira Júnior,50347,Atlético-MG,,A. Kardec,,,2.0,6.0,2.0,5.0,4.0,1.0,2.0,,11.0,,,,,,,,,
32,356,6.42,4.9,3.11,Titi,7,37,titi,3,32,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,0.6,Christian Chagas Tarouco,50353,Fortaleza,,Titi,,4.0,39.0,48.0,,3.0,24.0,,,2.0,127.0,,,,,,,14.0,,
33,327,4.0,0.0,0.0,Eduardo,6,37,eduardo,2,0,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,0.0,Carlos Eduardo Santos Oliveira,50645,América-MG,,Eduardo,,,,,,,,,,,,,,,,,,,,
34,294,5.07,0.0,1.73,Henrique,5,37,henrique,3,16,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,0.0,Henrique Adriano Buss,50856,Coritiba,,Henrique,,4.0,18.0,12.0,3.0,6.0,4.0,1.0,,1.0,66.0,,,,1.0,,2.0,3.0,1.0,
35,293,3.15,0.0,0.48,Marlos,6,37,marlos,4,6,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,0.0,Marlos Romero Bonfim,50879,Athlético-PR,,Marlos,,,2.0,1.0,1.0,,2.0,,,,14.0,,,,,,,,,
36,290,4.87,-1.0,1.89,Apodi,6,37,apodi,4,17,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,-0.36,Luiz Diallison de Souza Alves,51042,Goiás,,Apodi,1.0,3.0,13.0,22.0,3.0,6.0,15.0,,1.0,2.0,37.0,,,,,,,,,1.0
37,1371,11.43,1.0,4.6,Walter,7,37,walter,1,27,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,-1.76,Walter Leandro Capeloza Artune,51413,Cuiabá,,Walter,,,3.0,,,,3.0,,,,,,104.0,,,25.0,,8.0,,
38,264,4.72,0.7,1.44,Giuliano,2,37,giuliano,4,29,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,0.01,Giuliano Victor de Paula,51548,Corinthians,,Giuliano,2.0,2.0,23.0,15.0,2.0,9.0,14.0,1.0,,2.0,84.0,,,,,,,,,
39,262,8.29,0.0,3.93,Everton Ribeiro,6,37,everton-ribeiro,4,28,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,0.0,Everton Augusto de Barros Ribeiro,51772,Flamengo,,E. Ribeiro,4.0,,41.0,27.0,10.0,5.0,56.0,2.0,2.0,1.0,172.0,,,,,,,,,
40,282,4.94,5.7,2.35,Réver,7,37,rever,3,14,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,1.0,Réver Humberto Alves Araújo,52253,Atlético-MG,,Réver,,2.0,10.0,6.0,,1.0,5.0,,1.0,,55.0,,,,,,1.0,4.0,,
41,262,4.83,0.0,1.41,David Luiz,6,37,david-luiz,3,16,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,0.0,David Luiz Moreira Marinho,52827,Flamengo,,D. Luiz,,4.0,12.0,23.0,5.0,3.0,4.0,,,2.0,61.0,,,,,,,3.0,,
42,294,11.58,0.5,3.57,Léo Gamalho,6,37,leo-gamalho,5,26,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,-0.2,Leonardo Gamalho de Souza,53865,Coritiba,,L. Gamalho,,2.0,8.0,21.0,8.0,13.0,31.0,2.0,7.0,5.0,64.0,,,,,,,,,1.0
