,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.posicao_id,atletas.foto,atletas.rodada_id,atletas.slug,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.jogos_num,atletas.variacao_num,atletas.media_num,CA,DS,FC,FD,FF,FS,PI,SG,A,G,I,FT,DE,GS,GC,PP,CV,DP,PC,PS
25,3.5,11.54,Cássio Roberto Ramos,1,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,28,cassio,Cássio,Cássio,Corinthians,3.44,42234,264,7,24,-0.46,4.77,,1.0,,,,2.0,,10.0,,,,,81.0,19.0,,,,,,
26,1.81,10.36,Alexi Stival,6,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,28,cuca,Cuca,Cuca,Atlético-MG,1.97,42411,282,7,8,-0.39,4.4,,,,,,,,,,,,,,,,,,,,
27,2.0,8.7,Fagner Conserva Lemos,2,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,28,fagner,Fagner,Fagner,Corinthians,2.07,42500,264,7,9,-0.05,3.08,1.0,12.0,4.0,,,4.0,64.0,3.0,1.0,,1.0,,,,,,,,,
28,1.75,9.2,Luiz Felipe Scolari,6,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,28,luiz-felipe-scolari,L. Scolari,Luiz Felipe Scolari,Athlético-PR,1.8,43618,293,7,23,-0.55,4.42,,,,,,,,,,,,,,,,,,,,
29,0.0,4.07,David Braz de Oliveira Filho,3,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,28,david-braz,D. Braz,David Braz,Fluminense,0.81,50317,266,6,9,0.0,1.01,2.0,9.0,10.0,1.0,4.0,2.0,32.0,2.0,,,,,,,,,3.0,,,
30,1.1,7.17,Alan Kardec de Sousa Pereira Júnior,5,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,28,alan-kardec,A. Kardec,Alan Kardec,Atlético-MG,1.3,50347,282,6,7,-0.13,3.53,,1.0,5.0,2.0,4.0,2.0,6.0,,,2.0,,1.0,,,,,,,,
31,0.0,5.79,Christian Chagas Tarouco,3,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,28,titi,Titi,Titi,Fortaleza,1.45,50353,356,6,24,0.0,3.23,2.0,33.0,34.0,,2.0,18.0,100.0,10.0,,,2.0,,,,,,,,,
32,0.0,3.31,Bruno Ferreira Bonfim,5,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,28,dentinho,Dentinho,Dentinho,Ceará,0.21,50428,354,6,5,0.0,0.36,,3.0,5.0,,,,2.0,,,,1.0,,,,,,,,,
33,0.0,4.0,Carlos Eduardo Santos Oliveira,2,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,28,eduardo,Eduardo,Eduardo,América-MG,1.42,50645,327,6,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
34,0.0,5.07,Henrique Adriano Buss,3,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,28,henrique,Henrique,Henrique,Coritiba,1.36,50856,294,6,16,0.0,1.73,4.0,18.0,12.0,3.0,6.0,4.0,66.0,3.0,,,1.0,1.0,,,1.0,,1.0,,2.0,
