"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","PI","SG","CA","DE","FS","GS","PC","A","FC","FD","FF","G","I","FT","PP","CV","PS","DP","GC"
"18",80196,13,356,"mei","7",10.9,11.45,1.28,5.89,10,8.62,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",12,82,NA,2,NA,24,NA,NA,NA,6,4,11,4,1,1,1,NA,NA,NA,NA
"19",102878,13,293,"mei","7",2.7,9.53,-1.48,4.91,12,2.6,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",8,77,NA,1,NA,6,NA,NA,1,10,3,13,5,1,1,1,NA,NA,NA,NA
"20",72580,13,327,"gol","5",0,7,0,0,0,9.71,"matheus-cavichioli","Matheus Cavichioli","M. Cavichioli","Matheus Fernando Cavichioli","https://s.glbimg.com/es/sde/f/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",97062,13,327,"mei","5",0.7,5.02,-0.53,2.24,7,0.87,"juan-ramirez","Juan Ramírez","J. Ramírez","Juan Pablo Ramírez Velásquez","https://s.glbimg.com/es/sde/f/2022/02/24/2e0263bb5e40212a4b61690039d26668_FORMATO.png","América-MG",2,11,NA,2,NA,5,NA,NA,1,6,1,2,1,1,NA,NA,NA,NA,NA,NA
"22",97317,13,327,"mei","6",0,1.88,0,0.43,7,1.51,"ze-ricardo","Zé Ricardo","Z. Ricardo","José Ricardo Barbosa Ribeiro Drumond","https://s.glbimg.com/es/sde/f/2022/02/24/55526a7acacc680703923482c9c2fd9d_FORMATO.png","América-MG",4,21,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",71162,13,354,"mei","7",0,3.94,0,1.74,9,1.42,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",4,69,NA,NA,NA,12,NA,NA,NA,4,5,9,NA,3,1,NA,1,NA,NA,NA
"24",104095,13,327,"lat","6",0,1,0,0,0,1.37,"vitor-hugo","Vitor Hugo","V. Hugo","Vitor Hugo de Andrade Oliveira","https://s.glbimg.com/es/sde/f/2021/06/04/e9cf2ae071e26c5218c971210de0a112_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",69138,13,293,"ata","7",0.6,5.69,-0.43,4.39,9,0.81,"pablo","Pablo","Pablo","Pablo Felipe Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png","Athlético-PR",8,36,NA,4,NA,9,NA,NA,1,16,8,6,2,6,1,NA,NA,NA,NA,NA
"26",62114,13,285,"mei","6",0.3,3.92,-0.3,1.18,7,0.51,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional",5,16,NA,3,NA,10,NA,NA,NA,5,1,3,NA,2,NA,NA,NA,NA,NA,NA
"27",78478,13,262,"mei","6",0,6.08,-0.33,2.76,12,0.42,"willian-arao","Willian Arão","W. Arão","Willian Souza Arão da Silva","https://s.glbimg.com/es/sde/f/2022/04/25/de6583b845572b4fd501530503901c3a_FORMATO.png","Flamengo",13,47,NA,1,NA,6,NA,NA,NA,12,2,3,2,NA,1,NA,NA,NA,NA,NA
"28",38279,13,327,"ata","6",-0.3,4.44,-0.26,0.2,5,0.13,"wellington-paulista","Wellington Paulista","W. Paulista","Wellington Pereira do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png","América-MG",1,10,NA,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"29",100079,13,282,"mei","6",0,14.08,0,5.58,5,11.52,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2021/04/23/ccb1d73771f04699045f78f794f4481d_FORMATO.png","Atlético-MG",9,24,NA,NA,NA,6,NA,NA,1,7,2,4,1,NA,NA,NA,NA,NA,NA,NA
"30",105608,13,327,"mei","6",0,1.8,0,1.3,1,2.08,"flavio","Flávio","Flávio","Luiz Flávio Silvério Silva","https://s.glbimg.com/es/sde/f/2022/02/24/6731a6bf57665f93f078e83ce29b0d02_FORMATO.png","América-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"31",72372,13,286,"gol","6",0,7,0,0,0,9.71,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
