"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","FT","G","I","PI","PP","CA","DE","GS","SG","PC","CV","GC","PS","DP"
"25",91708,12,266,"zag","7",6.3,12.54,-0.76,4.81,8,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA,11,5,1,2,15,NA,NA,NA,25,NA,1,NA,NA,4,NA,NA,NA,NA,NA
"26",97867,12,280,"zag","7",1.2,10.83,-0.42,5.73,6,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA,12,3,NA,1,4,NA,1,NA,39,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"27",90061,12,354,"lat","7",0,7.93,0,3.27,9,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",1,22,9,2,1,15,NA,NA,2,78,NA,3,NA,NA,1,1,1,NA,NA,NA
"28",95794,12,282,"zag","7",4.5,9.15,0.74,4.13,7,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,9,14,1,2,2,NA,NA,NA,15,NA,5,NA,NA,5,NA,NA,NA,NA,NA
"29",80692,12,275,"zag","2",3,7.29,-0.49,5.75,4,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",1,6,9,NA,1,5,NA,NA,1,17,NA,NA,NA,NA,3,NA,NA,1,NA,NA
"30",88423,12,280,"lat","7",0,7.85,0,3.56,7,NA,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",NA,18,21,NA,2,4,NA,NA,2,58,NA,3,NA,NA,3,NA,NA,NA,NA,NA
"31",87863,12,262,"mei","7",9.9,19.13,-0.2,9.17,8,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://s.glbimg.com/es/sde/f/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png","Flamengo",4,22,4,4,8,25,2,1,2,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",90285,12,262,"ata","5",5.1,14.9,-0.81,5.88,8,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",2,13,11,7,4,20,1,1,8,41,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"33",63289,12,285,"mei","7",9.8,11.6,1.42,3.89,10,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",1,14,8,3,7,9,2,1,NA,52,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"34",89274,12,262,"mei","7",0.5,5.97,-1.22,3.07,11,NA,"andreas-pereira","Andreas Pereira","A. Pereira","Andreas Hugo Hoelgebaum Pereira","https://s.glbimg.com/es/sde/f/2022/04/25/f1b80901d66489365ffcdbed4c29a086_FORMATO.png","Flamengo",1,11,12,3,9,7,NA,2,1,90,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"35",95638,12,356,"zag","6",1.5,5.98,-0.69,2.17,10,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,13,10,3,1,11,NA,NA,NA,38,NA,1,NA,NA,1,1,NA,NA,NA,NA
"36",53148,12,280,"ata","7",0.5,7.48,-0.32,3.31,10,NA,"ytalo","Ytalo","Ytalo","Ytalo José Oliveira dos Santos","https://s.glbimg.com/es/sde/f/2022/05/05/c2e17a280e19cf13328cce44f755ed84_FORMATO.png","Bragantino",NA,7,NA,2,2,6,1,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",87999,12,275,"mei","7",9.1,11.91,0.66,7.88,10,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",5,8,3,11,17,20,NA,2,2,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",85931,12,280,"mei","6",25.1,10.5,4.62,5.73,7,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino",2,8,7,4,6,4,NA,2,NA,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"39",102878,12,293,"mei","7",13.7,11.01,2.56,5.11,11,NA,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",1,7,9,2,12,6,1,5,1,75,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"40",38398,12,264,"mei","7",3.4,6.83,0.05,2.64,10,NA,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png","Corinthians",NA,14,8,3,2,10,NA,1,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
