"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","I","PI","DE","GS","SG","CA","G","FT","PC","CV","PP","GC","PS"
"24",72372,4,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",90768,4,262,"zag","6",0,7,0,0,0,NA,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",87228,4,282,"lat","3",3.6,13.16,-0.02,4.37,4,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2021/05/02/282a160d63e94aaad12311a7c3bbf3f0_FORMATO.png","Atlético-MG",1,4,6,1,3,5,NA,26,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA
"27",85004,4,266,"gol","6",0,7,0,0,0,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",110506,4,275,"tec","7",0,11.51,0,6.02,3,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",96468,4,285,"gol","7",9,7.78,1.48,4.5,4,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,12,3,2,1,NA,NA,NA,NA,NA,NA,NA
"30",74061,4,263,"gol","7",2,5.03,-0.91,2,2,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",89284,4,262,"tec","7",0,9.18,0,4.82,3,NA,"paulo-sousa","Paulo Sousa","P. Sousa","Paulo Manuel Carvalho Sousa","https://s.glbimg.com/es/sde/f/2021/12/29/c720dfbf4b03311b98345900861f7158_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",71684,4,275,"zag","7",0,17.17,0,9.3,3,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,4,1,1,4,2,1,19,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA
"33",104250,4,264,"zag","7",4.5,6.09,0.73,3.62,4,NA,"joao-victor","João Victor","J. Victor","João Victor da Silva Marcelino","https://s.glbimg.com/es/sde/f/2022/04/27/f3e5573d52686895a481f6eb2b0189bb_FORMATO.png","Corinthians",NA,5,6,NA,NA,5,NA,12,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"34",89226,4,327,"zag","7",5.3,8.5,-0.15,6.8,3,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,2,5,NA,1,NA,NA,13,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA
"35",38398,4,264,"mei","7",-0.2,5.36,-0.73,0.23,3,NA,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2021/08/06/35684e60fd3427c98c6ffec1cb51d7d5_FORMATO.png","Corinthians",NA,NA,1,1,1,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",85931,4,280,"mei","7",9.8,7.68,2.43,3.93,3,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/02/21/43a05fa2efd0e95b4b3f0c4713721fe1_FORMATO.png","Bragantino",1,4,4,2,3,2,NA,16,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"37",71071,4,282,"tec","7",4.5,11.85,0.05,5.83,4,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",98484,4,263,"zag","5",0,2.09,0,-0.23,3,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,NA,1,NA,2,NA,NA,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"39",50879,4,293,"mei","6",0,4.73,0,0.87,3,NA,"marlos","Marlos","Marlos","Marlos Romero Bonfim","https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png","Athlético-PR",NA,1,NA,1,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",97867,4,280,"zag","7",7.2,12.77,1.1,7.83,3,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/02/21/6a781965c7d790e1392f74796dd30127_FORMATO.png","Bragantino",NA,5,2,NA,1,1,NA,12,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"41",93790,4,373,"mei","7",5.8,6.99,-0.21,5.27,4,NA,"marlon-freitas","Marlon Freitas","M. Freitas","Marlon Rodrigues Freitas","https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png","Atlético-GO",NA,12,2,2,1,NA,NA,29,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"42",95794,4,282,"zag","3",3.1,9.66,-0.82,4.87,3,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2021/07/09/f485b236f55b942d9ffa6588b0d47e8f_FORMATO.png","Atlético-MG",NA,6,6,NA,2,2,NA,4,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"43",78478,4,262,"mei","7",0,4.98,0,1.6,3,NA,"willian-arao","Willian Arão","W. Arão","Willian Souza Arão da Silva","https://s.glbimg.com/es/sde/f/2022/04/25/de6583b845572b4fd501530503901c3a_FORMATO.png","Flamengo",NA,5,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",62114,4,285,"mei","7",0.3,4.39,-1.69,0.25,2,NA,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional",NA,NA,2,1,NA,3,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"45",95638,4,356,"zag","7",1.5,6.25,-0.92,2.85,2,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/02/25/aca760bc951756f3a3788376d3e31a69_FORMATO.png","Fortaleza",NA,5,1,NA,NA,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",71162,4,354,"mei","7",1.1,3.84,-0.78,1.55,2,NA,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",NA,2,1,NA,1,4,1,17,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
