,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FF,GC,I,PI,FD,FT,G,DP,PC,CV,PP,PS
39,32,4.49,Everton Ribeiro,4.07,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,51772,0.0,0.0,27,E. Ribeiro,4,9.08,6,everton-ribeiro,Everton Augusto de Barros Ribeiro,Flamengo,262,,41.0,53.0,,,4.0,,26.0,5.0,,1.0,161.0,10.0,2.0,2.0,,,,,
40,32,0.51,Réver,2.56,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,52253,0.0,0.0,11,Réver,3,4.29,6,rever,Réver Humberto Alves Araújo,Atlético-MG,282,,8.0,4.0,,3.0,,1.0,6.0,1.0,,,34.0,,,1.0,,1.0,,,
41,32,3.96,David Luiz,1.41,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,52827,0.0,0.0,16,D. Luiz,3,4.83,6,david-luiz,David Luiz Moreira Marinho,Flamengo,262,,12.0,4.0,,3.0,,4.0,23.0,3.0,,2.0,61.0,5.0,,,,,,,
42,32,1.96,Léo Gamalho,4.14,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,53865,0.0,-0.4,21,L. Gamalho,5,11.94,6,leo-gamalho,Leonardo Gamalho de Souza,Coritiba,294,,6.0,28.0,,,,,17.0,9.0,,5.0,55.0,8.0,1.0,7.0,,,,,1.0
43,32,4.07,Renan,3.79,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,60795,4.0,-0.02,12,Renan,1,4.52,7,renan,Renan dos Santos,Atlético-GO,373,58.0,,3.0,17.0,1.0,,2.0,,,,,,,,,,,,,
44,32,3.26,Felipe Azevedo,2.61,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,60825,2.8,-1.38,30,F. Azevedo,5,6.47,7,felipe-azevedo,Felipe Azevedo dos Santos,América-MG,327,,24.0,23.0,,,1.0,1.0,28.0,19.0,,3.0,176.0,13.0,,4.0,,,1.0,,
45,32,2.7,Uendel,1.76,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,60852,0.0,0.0,15,Uendel,2,4.29,5,uendel,Uendel Pereira Gonçalves,Cuiabá,1371,,14.0,7.0,,3.0,1.0,,10.0,4.0,,,152.0,1.0,,,,,,,
46,32,4.88,Patric,1.97,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,60969,0.0,0.0,27,Patric,2,6.5,2,patric,Patric Cabral Lalau,América-MG,327,,34.0,20.0,,6.0,,5.0,27.0,5.0,,4.0,237.0,5.0,,,,,,,
47,32,0.59,Rodriguinho,2.58,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,61033,-0.3,-0.28,28,Rodriguinho,4,6.15,7,rodriguinho,Rodrigo Eduardo Costa Marinho,Cuiabá,1371,,12.0,23.0,,,2.0,,14.0,16.0,,6.0,90.0,11.0,,3.0,,,,,
48,32,-0.11,Robinho,1.15,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,62104,0.0,0.0,16,Robinho,4,2.8,5,robinho,Róbson Michael Signorini,Coritiba,294,,14.0,11.0,,,2.0,2.0,10.0,3.0,,1.0,113.0,,,,,,,,
49,32,0.76,Taison,1.53,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,62114,0.2,-0.14,15,Taison,4,3.73,3,taison,Taison Barcellos Freda,Internacional,285,,10.0,18.0,,,1.0,6.0,6.0,5.0,,2.0,38.0,4.0,,,,,,,
50,32,-0.15,Wellington,0.58,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,62129,0.0,0.0,11,Wellington,4,2.46,6,wellington,Wellington Aparecido Martins,Fluminense,266,,7.0,5.0,,,1.0,2.0,9.0,,,,47.0,,,,,,,,
