,atletas.status_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.preco_num,atletas.apelido,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.foto,atletas.nome,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PI,PS,SG,FT,PP,CV,PC,DE,DP,GS,GC
43,7,Renan,1,373,60795,4.54,Renan,31,,0.57,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,Renan dos Santos,11,renan,3.77,Atlético-GO,4.5,,2.0,,,,,3.0,,,,,1.0,,,,,53.0,,16.0,
44,7,F. Azevedo,5,327,60825,7.85,Felipe Azevedo,31,,2.03,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,Felipe Azevedo dos Santos,29,felipe-azevedo,2.6,América-MG,12.3,1.0,1.0,24.0,28.0,11.0,18.0,22.0,4.0,3.0,167.0,,,,,1.0,,,,,
45,5,Uendel,2,1371,60852,4.29,Uendel,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel Pereira Gonçalves,15,uendel,1.76,Cuiabá,0.0,1.0,,14.0,10.0,1.0,4.0,7.0,,,152.0,,3.0,,,,,,,,
46,7,Patric,2,327,60969,6.5,Patric,31,,0.68,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,Patric Cabral Lalau,27,patric,1.97,América-MG,4.7,,5.0,34.0,27.0,5.0,5.0,20.0,,4.0,237.0,,6.0,,,,,,,,
47,7,Rodriguinho,4,1371,61033,6.43,Rodriguinho,31,,-0.29,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,Rodrigo Eduardo Costa Marinho,27,rodriguinho,2.69,Cuiabá,1.2,2.0,,12.0,14.0,11.0,16.0,23.0,3.0,6.0,87.0,,,,,,,,,,
48,5,Robinho,4,294,62104,2.8,Robinho,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,Róbson Michael Signorini,16,robinho,1.15,Coritiba,0.0,2.0,2.0,14.0,10.0,,3.0,11.0,,1.0,113.0,,,,,,,,,,
49,6,Taison,4,285,62114,3.87,Taison,31,,0.09,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,Taison Barcellos Freda,14,taison,1.63,Internacional,1.0,1.0,5.0,9.0,6.0,4.0,5.0,17.0,,2.0,33.0,,,,,,,,,,
50,6,Wellington,4,266,62129,2.46,Wellington,31,,0.0,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,Wellington Aparecido Martins,11,wellington,0.58,Fluminense,0.0,1.0,2.0,7.0,9.0,,,5.0,,,47.0,,,,,,,,,,
51,6,W. Matheus,2,286,62130,1.69,William Matheus,31,,0.0,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,William Matheus da Silva,13,william-matheus,0.8,Juventude,0.0,,4.0,9.0,10.0,2.0,4.0,6.0,,,80.0,,2.0,,,1.0,2.0,,,,
52,6,Alan,5,266,62969,8.0,Alan,31,,0.0,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,Alan Douglas Borges de Carvalho,0,alan,0.0,Fluminense,0.0,,,,,,,,,,,,,,,,,,,,
