"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","DE","DP","GS","PC","SG","CV","PP","PS","GC"
"25", 95638,22, 356,"zag","3", 4.50, 8.01,-0.30, 4.11,20, 4.20,  3.82222222,  3.70909091, 78.00000000,106.00000000,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza", 1, 3,28,11, 6, 3,15,NA,NA,NA, 65,NA,NA,NA, 1, 8,NA,NA,NA,NA
"26", 82453,22, 290,"gol","7", 1.00, 7.78,-0.38, 4.17,22, 1.33,NA,NA,NA,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,NA, 1,NA,NA,NA, 9,NA,NA,NA,NA,83, 1,29,NA, 5,NA,NA,NA,NA
"27", 98484,22, 263,"zag","6", 0.00, 4.04, 0.00, 2.53,15, 2.13,  1.97142857,  3.01250000, 82.00000000,  0.00000000,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA, 3,20,13, 2, 4,11,NA,NA,NA, 53,NA,NA,NA,NA, 3,NA,NA,NA,NA
"28", 91573,22, 276,"zag","5", 0.00, 5.93, 0.00, 2.71, 8, 3.79,NA,NA, 88.00000000,  0.00000000,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA, 1,16, 9, 2, 3, 3, 1,NA,NA, 31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29", 38144,22, 276,"lat","6", 0.00, 9.20, 0.00, 3.31,19, 4.74,  3.57000000,  2.51111111, 78.00000000,  0.00000000,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo", 3, 4,33,20,NA, 1,16,NA,NA,NA,108,NA,NA,NA,NA, 4,NA,NA,NA,NA
"30", 94509,22, 275,"mei","7", 3.50,14.28,-1.36, 4.48,16, 4.02,  5.05555556,  2.02857143, 63.00000000, 64.00000000,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras", 3,NA,19,13, 7,12,26, 1, 2, 3, 77,NA,NA,NA,NA,NA,NA, 1,NA,NA
"31", 95794,22, 282,"zag","7", 5.90, 9.13, 0.37, 4.01,12, 5.44,  4.12500000,  3.48750000, 82.00000000, 95.00000000,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2022/07/15/d0236fbab3979985ac474c82ddc56fe1_FORMATO.png","Atlético-MG",NA, 5,13,21, 1, 4, 3,NA,NA,NA, 21,NA,NA,NA,NA, 8,NA,NA,NA,NA
"32", 83257,22, 262,"ata","7",-0.20, 9.84,-1.32, 3.78,19, 0.70,  5.12500000,  2.10909091, 63.00000000,  9.00000000,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo", 1, 6, 5, 8,11,13,13, 1, 6,13, 64,NA,NA,NA,NA,NA,NA, 1,NA,NA
"33", 91708,22, 266,"zag","7", 2.70,12.03,-0.95, 4.52,17, 3.13,  3.92500000,  4.06666667, 77.00000000, 96.00000000,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",NA, 2,25,15, 3, 3,25,NA,NA, 2, 52,NA,NA,NA,NA, 8,NA,NA,NA,NA
"34", 90285,22, 262,"ata","5", 0.00,14.90, 0.00, 5.88, 8,11.48,NA,NA,NA,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo", 2, 3,13,11, 7, 4,20, 1, 1, 8, 41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35", 88423,22, 280,"lat","7", 0.00, 7.51,-0.36, 3.36,17, 0.58,NA,NA,NA,NA,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino", 1, 4,39,42,NA, 5, 8,NA,NA, 2,159,NA,NA,NA,NA, 6,NA,NA,NA,NA
"36", 63289,22, 285,"mei","7", 0.00,10.79, 0.00, 4.45,17, 2.97,  6.28571429,  3.04000000, 84.00000000,  0.00000000,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional", 3, 3,22,13, 5,10,15, 2, 3, 1,103,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37", 87863,22, 262,"mei","7", 4.60,17.69, 0.44, 7.04,16, 5.01,  8.27500000,  5.72500000, 60.00000000, 10.00000000,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo", 7,NA,29, 7, 7,15,34, 2, 2, 2,153,NA,NA,NA,NA,NA,NA,NA, 1,NA
"38", 82381,22, 327,"mei","7", 6.80, 6.56, 1.17, 2.26,20, 5.91,  3.19000000,  1.36000000, 81.00000000, 96.00000000,"juninho","Juninho","Juninho","Adilson dos Anjos Oliveira","https://s.glbimg.com/es/sde/f/2022/02/24/fb366714954149fbf7b493465bba1d9e_FORMATO.png","América-MG", 1, 2,34, 9, 3, 5,18,NA,NA, 3,124,NA,NA,NA, 1,NA,NA,NA, 1,NA
"39", 80692,22, 275,"zag","6", 0.00, 8.44, 0.00, 4.75,10, 8.84,NA,NA,NA,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras", 1, 1,15,14,NA, 4, 6,NA,NA, 1, 34,NA,NA,NA,NA, 6,NA,NA,NA, 1
"40", 86864,22, 327,"lat","6",14.00, 6.66, 1.03, 4.20,15,11.79,  5.18571429,  3.35000000, 68.00000000, 96.00000000,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG", 1, 3,36,20, 2,10,17,NA,NA,NA,120,NA,NA,NA,NA, 4, 1,NA,NA,NA
"41", 87999,22, 275,"mei","7", 0.00,11.68, 0.00, 7.00,19, 1.94,NA,NA,NA,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras", 8,NA,11, 7,20,27,38, 2, 4, 8,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42", 85931,22, 280,"mei","7",-0.30, 6.99,-0.33, 4.45,13, 0.27,  5.98000000,  3.51428571, 31.00000000, 66.00000000,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino", 2, 1,12,11, 8,12, 5,NA, 3,NA, 79,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43", 88916,22, 356,"gol","6", 0.00, 5.03, 0.00, 2.25, 2, 5.73,NA,NA, 97.00000000,  0.00000000,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/07/29/8a9128472f54ae0e854e5a35d456eb76_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA, 9,NA, 5,NA,NA,NA,NA,NA,NA
"44", 80079,22, 327,"gol","6", 0.00, 2.61, 0.00, 6.00, 1, 4.41,NA,NA,  0.00000000,  0.00000000,"airton","Airton","Airton","Airton Moraes Michellon","https://s.glbimg.com/es/sde/f/2021/06/04/81208059e023912c79130d05f5ec68f0_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 7,NA, 1,NA,NA,NA,NA,NA,NA
"45", 91203,22, 327,"zag","7", 5.70, 4.27,-0.18, 2.59,19, 4.89,  2.56363636,  1.65000000, 82.00000000, 96.00000000,"eder","Éder","Éder","Éder Ferreira Graminho","https://s.glbimg.com/es/sde/f/2022/02/24/e0b5f4c6647fe1b42922ddb4458dade0_FORMATO.png","América-MG", 2, 4,21,26, 1,NA, 4,NA,NA,NA, 74,NA,NA,NA,NA, 6,NA,NA,NA,NA
"46", 93886,22, 327,"mei","7", 3.50, 2.09, 0.29, 2.30,13, 2.96,NA,NA,NA,NA,"matheusinho","Matheusinho","Matheusinho","Matheus Leonardo Sales Cardoso","https://s.glbimg.com/es/sde/f/2022/02/24/d160f8f8c1464cbcc27b4195e6255175_FORMATO.png","América-MG", 1, 2,19,12, 3, 5,16,NA,NA, 1, 48,NA,NA,NA,NA,NA, 1,NA,NA,NA
"47", 69138,22, 293,"ata","7", 0.00, 5.24, 0.00, 3.53,11, 1.89,  2.31428571,  5.65000000, 63.00000000,  0.00000000,"pablo","Pablo","Pablo","Pablo Felipe Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png","Athlético-PR", 1, 4, 8,20, 8, 7,11, 1, 2, 9, 46,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48", 97317,22, 327,"mei","6", 0.00, 1.78, 0.00, 0.50, 8, 1.35,NA,NA, 31.00000000,  0.00000000,"ze-ricardo","Zé Ricardo","Z. Ricardo","José Ricardo Barbosa Ribeiro Drumond","https://s.glbimg.com/es/sde/f/2022/02/24/55526a7acacc680703923482c9c2fd9d_FORMATO.png","América-MG",NA,NA, 4, 4,NA, 1, 4,NA,NA,NA, 24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49", 90846,22, 373,"zag","6", 0.00, 2.55, 0.00,-0.23, 3, 0.06,  0.00000000, -0.23333333, 18.00000000,  0.00000000,"klaus","Klaus","Klaus","Willian Klaus","https://s.glbimg.com/es/sde/f/2022/07/28/2e6810da83e32c74e1f49b68ac61260d_FORMATO.png","Atlético-GO",NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,  4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50", 86388,22, 327,"mei","6", 0.40, 7.88,-0.58, 3.44,13, 0.97,  2.25714286,  4.80000000, 64.00000000, 30.00000000,"ale","Alê","Alê","Alexandre Egea","https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png","América-MG", 1,NA,24,25, 2, 5,28,NA, 1,NA, 71,NA,NA,NA,NA,NA, 1,NA,NA,NA
"51", 99878,22, 327,"ata","6", 0.00, 2.00, 0.00, 0.00, 0, 2.24,NA,NA,NA,NA,"leo-passos","Léo Passos","L. Passos","Leonardo da Silva Passos","https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52", 97062,22, 327,"mei","6", 0.00, 4.86, 0.00, 2.05,11, 1.71,  3.08000000,  1.00000000, 32.00000000,  0.00000000,"juan-ramirez","Juan Ramírez","J. Ramírez","Juan Pablo Ramírez Velásquez","https://s.glbimg.com/es/sde/f/2022/02/24/2e0263bb5e40212a4b61690039d26668_FORMATO.png","América-MG", 1, 2, 5, 9, 2, 4,10,NA, 1, 1, 23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",104095,22, 327,"lat","6", 0.00, 1.00, 0.00, 0.00, 0, 0.99,NA,NA,NA,NA,"vitor-hugo","Vitor Hugo","V. Hugo","Vitor Hugo de Andrade Oliveira","https://s.glbimg.com/es/sde/f/2021/06/04/e9cf2ae071e26c5218c971210de0a112_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54", 87225,22, 293,"zag","7", 0.00, 7.62, 0.00, 4.41,17, 1.03,  4.88750000,  4.02222222, 80.00000000,  0.00000000,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Ribeiro Gonçalves","https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png","Athlético-PR",NA, 5,41,14, 4, 1,18,NA,NA,NA, 96,NA,NA,NA,NA, 6,NA,NA,NA,NA
"55",105608,22, 327,"mei","6", 0.00, 1.72, 0.00, 1.55, 2, 1.58,NA,NA, 16.00000000,  0.00000000,"flavio","Flávio","Flávio","Luiz Flávio Silvério Silva","https://s.glbimg.com/es/sde/f/2022/02/24/6731a6bf57665f93f078e83ce29b0d02_FORMATO.png","América-MG",NA,NA, 2, 1,NA, 1, 1,NA,NA,NA,  3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",100943,22, 327,"zag","6", 0.00, 4.57, 0.00, 2.13,16, 4.79,  2.47500000,  1.78750000, 63.00000000,  0.00000000,"conti","Conti","Conti","Germán Andrés Conti","https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png","América-MG",NA, 1,14,10,NA, 6, 2,NA,NA,NA, 45,NA,NA,NA,NA, 4,NA,NA,NA,NA
"57",106704,22, 327,"ata","6", 0.00, 1.75, 0.00, 1.22, 6, 1.13,  1.55000000,  1.05000000, 32.00000000,  0.00000000,"carlos-alberto","Carlos Alberto","C. Alberto","Carlos Alberto Gomes da Silva Filho","https://s.glbimg.com/es/sde/f/2022/02/25/c051db5190893370b401c6f37c4c427d_FORMATO.png","América-MG",NA, 1, 2, 1, 4, 3, 1,NA,NA,NA, 15,NA,NA,NA,NA,NA,NA,NA,NA,NA
