"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FF","FS","PI","CA","FD","SG","A","I","FT","G","DE","GS","PC","CV","PP","PS","GC","DP"
"262",38229,5,264,"lat","7",0,7,0,0,0,NA,"fabio-santos","Fábio Santos","F. Santos","Fábio Santos Romeu","https://s.glbimg.com/es/sde/f/2021/08/06/cc510671e18768fd48ef8d0f7c4714db_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",101715,5,280,"ata","6",0.2,4.51,-0.31,2.32,5,NA,"alerrandro","Alerrandro","Alerrandro","Alerrandro Barra Mansa Realino de Souza","https://s.glbimg.com/es/sde/f/2022/05/05/a190fc01a5c5880c8de5c5854ac2f555_FORMATO.png","Bragantino",2,4,1,3,11,1,2,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"264",80076,5,354,"ata","6",-0.5,4.27,-1.19,0.6,2,NA,"ze-roberto","Zé Roberto","Z. Roberto","José Roberto Assunção de Araújo Filho","https://s.glbimg.com/es/sde/f/2022/02/22/d2d6e5f9f0b8f9299ec51823ad4791c8_FORMATO.png","Ceará",1,1,1,2,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",81881,5,354,"gol","7",13.2,5.96,2.72,4.05,4,NA,"joao-ricardo","João Ricardo","J. Ricardo","João Ricardo Riedi","https://s.glbimg.com/es/sde/f/2022/02/22/adaab64e1f87d21062e8d3820e969b1c_FORMATO.png","Ceará",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16,7,NA,NA,NA,NA,NA,1
"266",110909,5,280,"lat","6",0,2,0,0,0,NA,"guilherme","Guilherme","Guilherme","Guilherme Lopes de Almeida","https://s.glbimg.com/es/sde/f/2022/05/05/c4a6b00325dcd78ae592203ed116a738_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",38138,5,264,"ata","2",0,4.48,0,0.1,2,NA,"jo","Jô","Jô","João Alves de Assis Silva","https://s.glbimg.com/es/sde/f/2022/04/27/bc018428c31ef7fa4ad6f779a0c51d9c_FORMATO.png","Corinthians",1,3,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",106819,5,354,"gol","6",0,2,0,0,0,NA,"vinicius-machado","Vinicius Machado","V. Machado","Vinicius Réquia Machado","https://s.glbimg.com/es/sde/f/2022/02/22/141e34a4013c3361e1d6514578362558_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",86759,5,264,"mei","6",0,6,0,0,0,NA,"luan","Luan","Luan","Luan Guilherme de Jesus Vieira","https://s.glbimg.com/es/sde/f/2022/04/27/8fa8c0762fab2d871b554ca9eb802b65_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",70925,5,354,"mei","7",0,3.91,0,3.9,1,NA,"wescley","Wescley","Wescley","Wescley Gomes dos Santos","https://s.glbimg.com/es/sde/f/2022/02/22/661d0c727249c5c00f69dead20c6d16e_FORMATO.png","Ceará",3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",109389,5,264,"zag","7",10,7.75,1.7,5.4,5,NA,"raul-gustavo","Raul Gustavo","R. Gustavo","Raul Gustavo Pereira Bicalho","https://s.glbimg.com/es/sde/f/2022/04/27/2ec2dcd4fbfa5f682f9e2f993c93e57a_FORMATO.png","Corinthians",10,3,1,8,29,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
