,atletas.foto,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.atleta_id,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.nome,atletas.slug,atletas.rodada_id,CA,DE,DS,FS,GS,SG,A,CV,FC,FD,FF,FT,G,I,PI,PP,PS,DP,PC,GC
37,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,Cuiabá,4.74,Walter,11.0,Walter,51413,1,13.19,7,0.54,26,,1371,Walter Leandro Capeloza Artune,walter,36,,100.0,3.0,3.0,22.0,8.0,,,,,,,,,,,,,,
38,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,Corinthians,1.47,Giuliano,-0.1,Giuliano,51548,4,4.71,7,-0.6,28,,264,Giuliano Victor de Paula,giuliano,36,2.0,,22.0,14.0,,,2.0,,15.0,2.0,9.0,1.0,,2.0,79.0,,,,,
39,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,Flamengo,3.93,Everton Ribeiro,0.0,E. Ribeiro,51772,4,8.29,6,0.0,28,,262,Everton Augusto de Barros Ribeiro,everton-ribeiro,36,,,41.0,56.0,,,4.0,,27.0,10.0,5.0,2.0,2.0,1.0,172.0,,,,,
40,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,Atlético-MG,2.09,Réver,-1.1,Réver,52253,3,3.94,6,-0.21,13,,282,Réver Humberto Alves Araújo,rever,36,2.0,,9.0,5.0,,3.0,,,6.0,,1.0,,1.0,,50.0,,,,1.0,
41,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,Flamengo,1.41,David Luiz,0.0,D. Luiz,52827,3,4.83,6,0.0,16,,262,David Luiz Moreira Marinho,david-luiz,36,4.0,,12.0,4.0,,3.0,,,23.0,5.0,3.0,,,2.0,61.0,,,,,
42,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,Coritiba,3.69,Léo Gamalho,-0.1,L. Gamalho,53865,5,11.78,6,0.1,25,,294,Leonardo Gamalho de Souza,leo-gamalho,36,2.0,,8.0,31.0,,,,,20.0,8.0,12.0,2.0,7.0,5.0,64.0,,1.0,,,
43,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,Atlético-GO,3.5,Renan,0.0,Renan,60795,1,4.0,7,0.0,15,,373,Renan dos Santos,renan,36,2.0,65.0,,3.0,22.0,2.0,,,,,,,,,,,,,,
44,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,América-MG,2.59,Felipe Azevedo,4.6,F. Azevedo,60825,5,6.82,7,0.26,34,,327,Felipe Azevedo dos Santos,felipe-azevedo,36,1.0,,29.0,31.0,,,1.0,1.0,32.0,15.0,20.0,,4.0,3.0,197.0,,,,,
45,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Cuiabá,1.76,Uendel,0.0,Uendel,60852,2,4.29,5,0.0,15,,1371,Uendel Pereira Gonçalves,uendel,36,,,14.0,7.0,,3.0,1.0,,10.0,1.0,4.0,,,,152.0,,,,,
46,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,América-MG,1.85,Patric,0.0,Patric,60969,2,5.42,2,0.0,28,,327,Patric Cabral Lalau,patric,36,6.0,,34.0,20.0,,6.0,,,28.0,5.0,5.0,,,4.0,239.0,,,,,
