"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","DD","DP","GS","SG","CA","FT","G","I","A","CV","PP","GC"
"373","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2019/04/30/6a944e1d16107a51b11f73eb6278ef11_FORMATO.png",103700,5,264,"zag","Nulo",0,6,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Kelvin Mateus de Oliveira","kelvin","Kelvin","https://s.glbimg.com/es/sde/f/2019/04/30/4ac354c2c0fa03ebeb8343419ae93c11_FORMATO.png",71549,5,266,"ata","Nulo",0,3.72,0,0.2,"Fluminense",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","Luiz Fernando Ferreira de Souza","luiz-fernando","Luiz Fernando","https://s.glbimg.com/es/sde/f/2019/03/29/e24fbad9c5a59102582fe73677a63e71_FORMATO.png",105176,5,293,"ata","Nulo",0,2,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","Roni Medeiros de Moura","roni","Roni","https://s.glbimg.com/es/sde/f/2019/04/30/4d83ae2a6fb83ce19a30e77021066844_FORMATO.png",105585,5,264,"mei","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,5,290,"ata","Nulo",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"378","Janderson Santos de Souza","janderson","Janderson","https://s.glbimg.com/es/sde/f/2019/04/30/813c0919a982172ffb025e8d81021a44_FORMATO.png",97245,5,264,"ata","Nulo",0,1.23,0,-0.5,"Corinthians",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2019/05/07/16dd4157b1d7457f46c1c3f0e15cfc70_FORMATO.png",104459,5,354,"ata","Nulo",1.4,1.95,-0.05,1.4,"Ceará",NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,5,267,"tec","Provável",4.38,7.27,0.02,4.38,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Lucas Piton Crivellaro","lucas-piton","Lucas Piton","https://s.glbimg.com/es/sde/f/2019/04/28/5ed7e99f209f90f0aaa290e985138e59_FORMATO.png",105584,5,264,"lat","Nulo",0,1,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2019/05/09/5068741391b0dcdd7fef7972922e2b38_FORMATO.png",104257,5,262,"lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Jairo Santos de Oliveira Filho","jairinho","Jairinho","https://s.glbimg.com/es/sde/f/2019/05/04/5f48ebf39427ff35dd65f6f1b4768386_FORMATO.png",102139,5,267,"ata","Nulo",2.2,2.85,0.16,1.85,"Vasco",1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Matheus Sousa de Jesus","matheus-jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2019/05/09/e71fd15038b4159201c4558cc307a573_FORMATO.png",95335,5,264,"mei","Nulo",0,5,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Igor Henrique Pereira de Campos","igor-campos","Igor Campos","https://s.glbimg.com/es/sde/f/2018/05/24/97ef928b4d8da38916e72a5166792dc8_FORMATO.png",101421,5,315,"gol","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","William José de Souza","amaral","Amaral","https://s.glbimg.com/es/sde/f/2018/05/24/1c24cfcea8b33cf62a5b111551e4c34f_FORMATO.png",42232,5,315,"mei","Nulo",0,3.47,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","José Renato da Silva Júnior","renato","Renato","https://s.glbimg.com/es/sde/f/2019/03/28/74aa8332c0e0807706717ee6b2595fa9_FORMATO.png",39572,5,315,"ata","Nulo",0,5.74,0,2.55,"Chapecoense",NA,2,3,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Geovane Silva Santos","geovane","Geovane","",105635,5,293,"mei","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2019/05/15/50ad076df15a064baadf9eaf5d832c7c_FORMATO.png",105612,5,266,"mei","Nulo",0,3,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","Gabriel Henrique Chavoni Fornari","gabriel-fornari","Gabriel Fornari","https://s.glbimg.com/es/sde/f/2019/05/19/7cabec74a311c35c7c5daf6981bea68f_FORMATO.png",105636,5,293,"zag","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"391","Felipe Rodrigues da Silva","morato","Morato","https://s.glbimg.com/es/sde/f/2019/05/17/06c314cb618673bb9ed533eb908ec42a_FORMATO.png",105613,5,276,"zag","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","Carlos Eduardo Santos Oliveira","eduardo","Eduardo","https://s.glbimg.com/es/sde/f/2018/05/24/315077e18e31e9afaf1e1c4bcb25f7e2_FORMATO.png",50645,5,315,"lat","Contundido",0,9.19,0,3.3,"Chapecoense",NA,NA,NA,2,7,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"393","Elicarlos Souza Santos","elicarlos","Elicarlos","https://s.glbimg.com/es/sde/f/2018/05/24/3e401f24a4a1c1988cafbd700ba6e5c5_FORMATO.png",50313,5,315,"mei","Provável",3.9,5.86,0.26,4,"Chapecoense",3,1,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Márcio Rodrigues Araújo","marcio-araujo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2018/05/24/ad0bb7dfe5663137f7dcd53d1cddc61e_FORMATO.png",38311,5,315,"mei","Provável",8.4,9.89,1.49,5.6,"Chapecoense",3,1,3,5,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Ernandes Dias Luz","ernandes","Ernandes","https://s.glbimg.com/es/sde/f/2019/05/21/481baff58528c3c0c9bf4bdeb61d8264_FORMATO.png",68956,5,315,"lat","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Rafael Pereira dos Santos","rafael-pereira","Rafael Pereira","https://s.glbimg.com/es/sde/f/2019/03/28/d22ece348b83caa8bf2cd42abd7538e5_FORMATO.png",51194,5,315,"zag","Provável",0.9,3.92,-1.08,0.9,"Chapecoense",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","Mauricio Magalhães Prado","mauricio","Mauricio","",105647,5,283,"mei","Nulo",0,1,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Alan Luciano Ruschel","alan-ruschel","Alan Ruschel","https://s.glbimg.com/es/sde/f/2018/05/24/ddefa1a922260aeb7a1835dd4a8117f5_FORMATO.png",63110,5,315,"lat","Nulo",0,5.57,0,0.98,"Chapecoense",13,1,NA,10,6,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"399","Giovanni Silva Tiepo","tiepo","Tiepo","https://s.glbimg.com/es/sde/f/2018/05/24/032ba79a6516fa519217f825972c92b9_FORMATO.png",98412,5,315,"gol","Provável",-3.6,14.6,-3.16,6.22,"Chapecoense",NA,NA,NA,2,3,NA,11,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"400","Welington Pereira Rodrigues","gum","Gum","https://s.glbimg.com/es/sde/f/2019/03/26/488951a254180fbde4b0bad80672f6f8_FORMATO.png",68887,5,315,"zag","Provável",0.7,7.06,-1.5,3.42,"Chapecoense",NA,1,3,2,10,2,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA
"401","Kendy Tateishi Berbel","kendy","Kendy","https://s.glbimg.com/es/sde/f/2018/05/24/523e1089d0afe7b92de643fefef0ec55_FORMATO.png",98421,5,315,"mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Augusto César dos Santos Moreira","augusto","Augusto","https://s.glbimg.com/es/sde/f/2019/03/28/a943ff6068ab0a2af942a381c74055b4_FORMATO.png",71042,5,315,"mei","Provável",0.4,4,-0.42,2.43,"Chapecoense",5,2,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Hélio Hermito Zampier Neto","neto","Neto","https://s.glbimg.com/es/sde/f/2018/08/01/51a34fdddb000e59403320c7aa8b8db4_FORMATO.png",69008,5,315,"zag","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Douglas Silva Bacelar","douglas","Douglas","https://s.glbimg.com/es/sde/f/2018/05/24/4db663cbb6a8ecaa23942948844e63ac_FORMATO.png",63128,5,315,"zag","Nulo",0,2.45,0,-0.48,"Chapecoense",6,NA,1,1,4,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"405","Roberto Heuchayer Santos de Araújo","roberto","Roberto","https://s.glbimg.com/es/sde/f/2018/08/29/ee96b4652f7fe6a58750ecd5d477ee2f_FORMATO.png",71116,5,315,"lat","Nulo",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Yann Del Pino Rolim","yann-rolim","Yann Rolim","https://s.glbimg.com/es/sde/f/2018/08/01/42e8f3434bff7d6238a0dca11f2239f8_FORMATO.png",102892,5,315,"mei","Contundido",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Diego Fabián Torres","diego-torres","Diego Torres","https://s.glbimg.com/es/sde/f/2019/03/28/a16774fba850b0c0dafc5cb1c27fbb4f_FORMATO.png",98794,5,315,"mei","Nulo",0,3.78,0,1.7,"Chapecoense",NA,1,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Edgardo Daniel Orzusa Cáceres","orzusa","Orzusa","https://s.glbimg.com/es/sde/f/2019/03/28/f097d7229e237a4c8f098bd3ee11656a_FORMATO.png",99160,5,315,"mei","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Marcos Vinícius de Jesus Araújo","marcos-vinicius","Marcos Vinícius","https://s.glbimg.com/es/sde/f/2019/05/13/158e2a7f1c6d280fee1a1bd3cf12b6fc_FORMATO.png",73721,5,315,"mei","Nulo",0,5,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Bruno da Silva Costa","bruno-silva","Bruno Silva","https://s.glbimg.com/es/sde/f/2018/05/24/c08c1ffb51c09b59126c4f9ae3771ec7_FORMATO.png",101422,5,315,"ata","Nulo",0,2.8,0,-0.3,"Chapecoense",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","Rildo de Andrade Felicissimo","rildo","Rildo","https://s.glbimg.com/es/sde/f/2019/03/26/a767420a07d616038c0c02ad7324e41d_FORMATO.png",73635,5,315,"ata","Provável",13.6,7.94,3.16,7.45,"Chapecoense",1,NA,5,2,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"412","Vitor Eudes de Souza Costa","vitor-eudes","Vitor Eudes","https://s.glbimg.com/es/sde/f/2018/11/22/3fc8cbbb0eff85d2cfd8e31bd040d110_FORMATO.png",102137,5,283,"gol","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,5,315,"mei","Suspenso",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Gustavo Campanharo","gustavo-campanharo","Gustavo Campanharo","https://s.glbimg.com/es/sde/f/2019/03/26/9799555064b37105b45b0acc0e54c2b7_FORMATO.png",72497,5,315,"mei","Contundido",0,3.64,0,2.1,"Chapecoense",4,1,2,2,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Everaldo Stum","everaldo","Everaldo","https://s.glbimg.com/es/sde/f/2019/03/28/06c711b652c1c301dcb21fa9dc4a4b81_FORMATO.png",78117,5,315,"ata","Provável",5.9,16.94,0.51,7.66,"Chapecoense",10,4,8,5,8,2,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA
"416","Joílson de Jesus Cardoso","joilson","Joílson","https://s.glbimg.com/es/sde/f/2019/03/28/c399a208d27940ebedbddfb51a1ec884_FORMATO.png",80779,5,315,"zag","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Tharlis Sartori","tharlis","Tharlis","https://s.glbimg.com/es/sde/f/2019/04/18/f819791c50769c7bd2a9f1e7f5a77afa_FORMATO.png",102997,5,315,"mei","Nulo",0,3.43,0,2.9,"Chapecoense",2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Vinicius Farias Locatelli","vini-locatelli","Vini Locatelli","https://s.glbimg.com/es/sde/f/2019/04/03/dd414ff9b71a2dad41b8695b82517f67_FORMATO.png",102998,5,315,"mei","Nulo",0,1,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,5,315,"lat","Provável",0.3,14.58,-1.85,6.46,"Chapecoense",6,NA,NA,11,9,13,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA
"420","Victor Andrade Santos","victor-andrade","Victor Andrade","https://s.glbimg.com/es/sde/f/2018/08/03/f380d4813f712ab88644cb0ed0972599_FORMATO.png",80536,5,315,"ata","Nulo",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Régis Tosatti Giacomin","regis","Régis","https://s.glbimg.com/es/sde/f/2019/04/18/bad714f682461e54632caf1faf4cc374_FORMATO.png",102999,5,315,"mei","Provável",0.6,4.34,-0.5,2.04,"Chapecoense",4,2,3,2,7,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"422","Lincoln Corrêa dos Santos","lincoln","Lincoln","https://s.glbimg.com/es/sde/f/2019/04/26/255d9bff72ac266df10afb5e3a477f23_FORMATO.png",100065,5,262,"ata","Nulo",2.8,4.56,-0.81,3.8,"Flamengo",3,4,3,8,5,1,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"423","Vagner Silva de Souza","vagner-love","Vagner Love","https://s.glbimg.com/es/sde/f/2019/02/06/68c6e37ae1fb16494de79cafff02b90e_FORMATO.png",38959,5,264,"ata","Provável",5.5,4.67,0.9,1,"Corinthians",8,2,1,4,9,1,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA
"424","Thiago Nascimento dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/05/08/d6ea24feb54f6ea2b6f7eb5c8ed0c4da_FORMATO.png",93151,5,315,"ata","Contundido",0,3,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Henrique Adriano Buss","henrique","Henrique","https://s.glbimg.com/es/sde/f/2019/02/06/c1dcf8b178ef0c12c35bf8d549977f9c_FORMATO.png",50856,5,264,"zag","Provável",4.4,7.38,0.29,4.3,"Corinthians",1,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"426","Jadson Rodrigues da Silva","jadson","Jadson","https://s.glbimg.com/es/sde/f/2019/02/06/06365d7f224d6960706a6f69aef8fba0_FORMATO.png",38315,5,264,"mei","Nulo",1.3,4.09,-0.03,-0.47,"Corinthians",3,NA,2,1,10,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA
"427","Walter Leandro Capeloza Artune","walter","Walter","https://s.glbimg.com/es/sde/f/2019/02/06/0ef34549e3f26ba2061fcdd3996db419_FORMATO.png",51413,5,264,"gol","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Mauro Boselli","boselli","Boselli","https://s.glbimg.com/es/sde/f/2019/02/06/6b93d99737afb37518db7860237c6493_FORMATO.png",69161,5,264,"ata","Nulo",0,3.06,0,0.07,"Corinthians",NA,1,NA,3,5,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"429","Manoel Messias Silva Carvalho","manoel","Manoel","https://s.glbimg.com/es/sde/f/2019/02/06/7a29ceb9ee49fa81fe21cb9050fbb645_FORMATO.png",69014,5,264,"zag","Provável",5.5,10.89,0.19,5.55,"Corinthians",3,NA,1,NA,7,8,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
"430","Gustavo Henrique da Silva Sousa","gustavo","Gustavo","https://s.glbimg.com/es/sde/f/2019/02/06/6d494d9e7c83261edbd17de7facd16d6_FORMATO.png",86932,5,264,"ata","Nulo",0.5,3.81,-1.19,0.5,"Corinthians",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Ralf de Souza Telles","ralf","Ralf","https://s.glbimg.com/es/sde/f/2019/02/06/4e5beab65201f8f8c1735830d6a02dcc_FORMATO.png",52190,5,264,"mei","Provável",-2.6,9.6,-1.81,3.62,"Corinthians",5,NA,1,10,9,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"432","Lourency do Nascimento Rodrigues","lourency","Lourency","https://s.glbimg.com/es/sde/f/2017/04/24/31a53361a6013019b911ee81b38648a9_FORMATO.png",94249,5,315,"ata","Nulo",2.4,2.84,-0.16,2.4,"Chapecoense",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Marllon Gonçalves Jerônimo Borges","marllon","Marllon","https://s.glbimg.com/es/sde/f/2019/02/06/e29c0106aa1974e4cd90a90ef59b4195_FORMATO.png",70666,5,264,"zag","Nulo",0,5.9,0,6.7,"Corinthians",NA,NA,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Carlos de Menezes Júnior","caca","Cacá","https://s.glbimg.com/es/sde/f/2018/05/18/9e847531623845ec5f88f060b157da00_FORMATO.png",102340,5,283,"zag","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Renê dos Santos Júnior","rene-junior","Renê Júnior","https://s.glbimg.com/es/sde/f/2019/04/01/ac8a13be4c13b203361f517988495e10_FORMATO.png",73281,5,264,"mei","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Michel Borges De Jesus","michel","Michel","https://s.glbimg.com/es/sde/f/2019/03/28/a3e3e2db3e62bb26d03186bd96da7bed_FORMATO.png",103579,5,283,"mei","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Danilo Fernando Avelar","danilo-avelar","Danilo Avelar","https://s.glbimg.com/es/sde/f/2019/02/06/b4161a8d9e42934abe47084d766a4281_FORMATO.png",72142,5,264,"lat","Provável",5.9,6.92,0.42,6.55,"Corinthians",NA,1,NA,5,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"438","Éderson José dos Santos Lourenço da Silva","ederson","Éderson","https://s.glbimg.com/es/sde/f/2018/09/25/2b532258f7e60e9ec20bb6d04c574566_FORMATO.png",103099,5,283,"mei","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Gabriel Girotto Franco","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/02/06/baef4698c6d846c8be6992cf2f289979_FORMATO.png",78605,5,264,"mei","Nulo",0,7,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Ocimar de Almeida Júnior","junior-urso","Júnior Urso","https://s.glbimg.com/es/sde/f/2019/02/06/924a08f9c06e25b8362d702640759f02_FORMATO.png",71829,5,264,"mei","Provável",-0.9,6.4,-0.98,0.9,"Corinthians",2,1,1,2,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"441","Fábio Luiz Carille de Araújo","fabio-carille","Fábio Carille","https://s.glbimg.com/es/sde/f/2018/03/20/3e7bfa01fec16848b569ba9368ea13ef_FORMATO.png",70696,5,264,"tec","Provável",5.35,10.73,0.4,4.27,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Pedro Henrique Perotti","perotti","Perotti","https://s.glbimg.com/es/sde/f/2018/05/24/7a6258cfd7a8c2d933e2e742f3c6f783_FORMATO.png",94286,5,315,"ata","Nulo",0,1.66,0,0.5,"Chapecoense",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Johnatan Lucas da Silva Vital","vital","Vital","https://s.glbimg.com/es/sde/f/2019/03/23/fb790a1d32b257ad9a64d7752826981f_FORMATO.png",102452,5,341,"zag","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Michel Macedo Rocha Machado","michel","Michel","https://s.glbimg.com/es/sde/f/2019/02/06/5cf4145bc72e5abb6bd4f33581c5dcf7_FORMATO.png",80664,5,264,"lat","Nulo",0,2.48,0,0.9,"Corinthians",1,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2019/02/06/04b6a8b3d67031f34903841aeb161e48_FORMATO.png",78715,5,264,"mei","Nulo",1.3,12.08,0.12,2.36,"Corinthians",10,1,1,5,9,8,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"446","Madson Formagini Caridade","madson","Madson","https://s.glbimg.com/es/sde/f/2019/05/08/c9bb1f5c1ae81ac847abefc7ea36f736_FORMATO.png",42467,5,341,"mei","Dúvida",0.5,6.46,-0.23,1.86,"CSA",2,1,6,11,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Marcelo Ribeiro Cabo","marcelo-cabo","Marcelo Cabo","https://s.glbimg.com/es/sde/f/2019/03/23/843c23143eca2d56e0f4bbd3030f4324_FORMATO.png",37333,5,341,"tec","Provável",2,4.55,0.02,2.82,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Clayson Henrique da Silva Vieira","clayson","Clayson","https://s.glbimg.com/es/sde/f/2019/02/06/077539db6d686eb07bf2ca8639d9dc01_FORMATO.png",83817,5,264,"ata","Provável",0,11.8,0,4.23,"Corinthians",5,3,1,5,10,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"449","Carlos Andrade Souza","carlinhos","Carlinhos","https://s.glbimg.com/es/sde/f/2019/03/23/f1d152fe2c81a717de8d0f472e57f90d_FORMATO.png",38451,5,341,"lat","Provável",3.7,4.48,0.12,2.83,"CSA",NA,1,1,3,10,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"450","Vinícius Santana da Silva","vinicius-popo","Vinícius Popó","https://s.glbimg.com/es/sde/f/2019/03/28/4a8cc6dc2e1b9cb619a2da8fe306b9da_FORMATO.png",105201,5,283,"ata","Nulo",0,2,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Régis Augusto Salmazzo","regis","Régis","https://s.glbimg.com/es/sde/f/2019/03/25/ddaf043a6b531a4c6a2bcd253dcb7f46_FORMATO.png",82647,5,264,"mei","Nulo",0,3.81,0,0.5,"Corinthians",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Fabrício Barros Santana","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2019/03/23/1c71c2070af8670cdc9e45e7d111715c_FORMATO.png",61228,5,341,"gol","Nulo",0,1,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Caíque França Godoy","caique-franca","Caíque França","https://s.glbimg.com/es/sde/f/2019/02/06/5727bf3b322002fefed32bc455906a37_FORMATO.png",91808,5,264,"gol","Nulo",0,3,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
