"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","DD","DP","GS","SG","CA","FT","G","I","A","CV","PP","GC"
"21","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,5,293,"mei","Dúvida",0,19.7,0,7.2,"Athlético-PR",3,4,3,7,3,5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"22","José Fernando Viana de Santana","fernandao","Fernandão","https://s.glbimg.com/es/sde/f/2019/02/27/c71b608a8727463f7418750e4b406c48_FORMATO.png",62033,5,265,"ata","Nulo",2.3,5.87,0,1.9,"Bahia",1,4,4,2,3,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"23","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2019/03/29/e664bac2dfda2416beb75fb9615b8a4f_FORMATO.png",61188,5,265,"ata","Provável",3.7,12.64,0.17,3.56,"Bahia",4,4,7,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"24","Ernando Rodrigues Lopes","ernando","Ernando","https://s.glbimg.com/es/sde/f/2019/02/27/6fa92b9ae476bc3a5c60c6beed20ac71_FORMATO.png",49651,5,265,"zag","Provável",5.7,9.91,1.09,4.74,"Bahia",2,NA,NA,2,1,4,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA
"25","Nílton Ferreira Júnior","nilton","Nilton","https://s.glbimg.com/es/sde/f/2019/05/14/417d6279fba50eafc9af2314f1114933_FORMATO.png",38573,5,341,"mei","Provável",-1.3,3.23,-0.52,-0.17,"CSA",5,NA,1,5,6,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"26","Guilherme Milhomem Gusmão","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2019/05/04/999c57638fe8815a7060966d05a4be93_FORMATO.png",50294,5,266,"mei","Nulo",0,3.76,0,-3.9,"Fluminense",2,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"27","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2019/04/27/6b41336a5a8911ee8ee9b1b8ce87488f_FORMATO.png",62137,5,354,"tec","Provável",3.76,10.4,0.11,3.78,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Elton Junior Melo Ataíde","elton","Elton","https://s.glbimg.com/es/sde/f/2019/03/29/ba5687c390564e23e74776f29ea757f3_FORMATO.png",71719,5,265,"mei","Provável",0.7,4.88,-0.38,1.82,"Bahia",12,NA,2,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","José Rogério de Oliveira","rogerio","Rogério","https://s.glbimg.com/es/sde/f/2019/02/27/92700f5dfefdb214d227ca999caedfb3_FORMATO.png",73540,5,265,"ata","Nulo",0.2,9.47,-0.97,3.1,"Bahia",6,5,2,9,7,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"30","Jackson de Souza","jackson","Jackson","https://s.glbimg.com/es/sde/f/2019/03/29/8e6d89c654da352b89c77cb432a0df14_FORMATO.png",70934,5,265,"zag","Nulo",0,6,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Clayton Silveira da Silva","clayton","Clayton","https://s.glbimg.com/es/sde/f/2019/03/29/517eea2fd0045d94a6d18118ffe21008_FORMATO.png",81770,5,265,"ata","Nulo",0,5,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Lucas Barros da Cunha","lucas-barros","Lucas Barros","https://s.glbimg.com/es/sde/f/2019/03/28/be4f63d854fc719f9e9072cf24e0d7f3_FORMATO.png",104650,5,263,"lat","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Douglas Alan Schuck Friedrich","douglas-friedrich","Douglas Friedrich","https://s.glbimg.com/es/sde/f/2019/03/29/ef148b9e6c0fb1706902616959184e5b_FORMATO.png",78584,5,265,"gol","Provável",8.5,10.12,0.33,6.62,"Bahia",NA,NA,NA,1,NA,NA,8,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
