,atletas.clube_id,atletas.rodada_id,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.atleta_id,atletas.slug,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.variacao_num,atletas.pontos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido,CA,DS,FC,FD,FF,FS,G,I,SG,A,FT,CV,PC,PP,PS,DE,GS,DP,GC,V
45,285,15,12,Alan Patrick Lourenço,4,68685,alan-patrick,2.48,,7.96,7,A. Patrick,-0.19,-0.1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,Internacional,Alan Patrick,3.0,4.0,10.0,4.0,5.0,24.0,,,,2.0,,,,,,,,,,
46,263,15,13,Carlos Eduardo de Oliveira Alves,4,68708,eduardo,5.7,,14.14,7,Eduardo,0.51,11.7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Botafogo,Eduardo,3.0,8.0,19.0,3.0,2.0,30.0,4.0,,,3.0,2.0,,,,,,,,,
47,277,15,2,José Rodolfo Pires Ribeiro,2,68727,dodo,2.55,,3.74,7,Dodô,-0.2,2.9,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,Santos,Dodô,,3.0,,,,3.0,,,,,,,,,,,,,,
48,277,15,6,Guilherme de Aguiar Camacho,4,68770,camacho,1.28,,2.42,6,Camacho,0.51,2.4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Santos,Camacho,1.0,12.0,12.0,,,2.0,,1.0,,,,1.0,,,,,,,,
49,327,15,4,Henrique Almeida Caixeta Nascentes,5,68773,henrique-almeida,0.88,,3.0,6,H. Almeida,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,América-MG,Henrique Almeida,,,3.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,
50,275,15,1,Marcelo Lomba do Nascimento,1,68872,marcelo-lomba,1.0,,5.89,6,M. Lomba,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,Palmeiras,Marcelo Lomba,,,,,,,,,,,,,,,,2.0,1.0,,,
51,1371,15,13,Wellington Alves da Silva,5,68895,wellington-silva,1.77,,3.82,6,W. Silva,0.06,2.7,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,Cuiabá,Wellington Silva,1.0,10.0,6.0,2.0,3.0,18.0,,2.0,,,,,,,,,,,,
52,290,15,7,Vinicius Santos Silva,5,68917,vinicius,3.35,,6.73,7,Vinicius,-0.57,2.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Goiás,Vinicius,1.0,10.0,4.0,4.0,7.0,7.0,,2.0,,,,,,,,,,,,
53,275,15,13,Eduardo Pereira Rodrigues,5,68920,dudu,6.36,,16.34,6,Dudu,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Palmeiras,Dudu,,6.0,8.0,7.0,11.0,38.0,3.0,3.0,,3.0,1.0,,,,,,,,,
54,264,15,13,Carlos Gilberto do Nascimento Silva,3,68923,gil,2.39,,5.49,6,Gil,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Corinthians,Gil,4.0,13.0,13.0,3.0,4.0,3.0,,,3.0,,,,,,,,,,,
55,276,15,14,Rafael Pires Monteiro,1,68928,rafael,3.42,,7.52,7,Rafael,-0.97,1.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,São Paulo,Rafael,,,,,,2.0,,,4.0,,,,,,,41.0,14.0,,,
56,283,15,15,Rafael Cabral Barbosa,1,68940,rafael-cabral,5.05,,11.79,7,R. Cabral,0.9,11.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,Cruzeiro,Rafael Cabral,1.0,1.0,,,,1.0,,,7.0,,,,,,,51.0,11.0,,,
57,283,15,14,Luciano Castán da Silva,3,68942,luciano-castan,3.24,,6.63,7,L. Castán,0.24,5.9,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,Cruzeiro,Luciano Castán,3.0,12.0,11.0,1.0,1.0,11.0,,1.0,6.0,,,,,,,,,,,
58,356,15,6,Mário Sérgio Santos Costa,5,68952,marinho,1.17,,2.7,7,Marinho,-0.11,1.7,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Fortaleza,Marinho,2.0,2.0,5.0,4.0,2.0,4.0,,3.0,,,,,,,,,,,,
