,atletas.posicao_id,atletas.foto,atletas.nome,atletas.variacao_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube.id.full.name,atletas.atleta_id,CA,DS,FC,FF,FS,PC,SG,A,FD,G,I,CV,PS,FT,DE,GS,V,DP,PP,GC
10,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,Filipe Luís Kasmirski,0.91,262,6.27,13,3.76,3,F. Luís,5.8,6,filipe-luis,Filipe Luís,2.33,Flamengo,38750,,1.0,,1.0,,,1.0,,,,,,,,,,,,,
11,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,Mariano Ferreira Filho,-0.48,282,5.5,13,1.52,9,Mariano,2.4,2,mariano,Mariano,2.61,Atlético-MG,38877,2.0,15.0,14.0,,1.0,,2.0,,1.0,,,,,,,,,,,
12,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Givanildo Vieira de Souza,0.73,282,17.78,13,6.85,12,Hulk,10.7,3,hulk,Hulk,8.45,Atlético-MG,39148,4.0,2.0,19.0,17.0,41.0,,,2.0,16.0,6.0,6.0,1.0,1.0,,,,,,,
13,4,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,Alan Steven Franco Palma,0.0,282,5.0,13,-0.01,0,A. Franco,0.0,6,alan-franco,Alan Franco,0.0,Atlético-MG,39656,,,,,,,,,,,,,,,,,,,,
14,6,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,Vagner Carmo Mancini,0.44,327,7.68,13,3.51,13,V. Mancini,5.5,7,vagner-mancini,Vagner Mancini,3.83,América-MG,39850,,,,,,,,,,,,,,,,,2.0,,,
15,6,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,Dorival Silvestre Júnior,1.07,276,11.48,13,5.41,12,D. Júnior,8.45,7,dorival-junior,Dorival Júnior,5.42,São Paulo,40990,,,,,,,,,,,,,,,,,6.0,,,
16,6,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,Vanderlei Luxemburgo da Silva,0.12,264,7.19,13,2.18,10,V. Luxemburgo,3.45,7,vanderlei-luxemburgo,Vanderlei Luxemburgo,4.09,Corinthians,41327,,,,,,,,,,,,,,,,,2.0,,,
17,6,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Portaluppi,-0.59,284,12.78,13,3.68,13,R. Gaúcho,5.81,7,renato-gaucho,Renato Gaúcho,5.75,Grêmio,41929,,,,,,,,,,,,,,,,,8.0,,,
18,5,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,Willian Gomes de Siqueira,0.0,293,5.03,13,-0.88,6,Willian,0.0,6,willian,Willian,2.8,Athlético-PR,42116,,,,1.0,,,,,,2.0,,,,,,,,,,
19,1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,Cássio Roberto Ramos,-0.24,264,6.91,13,1.91,13,Cássio,3.0,7,cassio,Cássio,2.34,Corinthians,42234,2.0,,,,3.0,1.0,2.0,,,,,,,,39.0,17.0,,,,
20,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Fagner Conserva Lemos,-0.44,264,8.1,13,2.74,11,Fagner,4.3,7,fagner,Fagner,4.13,Corinthians,42500,4.0,19.0,6.0,3.0,16.0,,2.0,1.0,,,,,,1.0,,,,,,
21,6,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,Luiz Felipe Scolari,0.05,282,9.04,13,2.48,3,L. Scolari,3.9,7,luiz-felipe-scolari,Luiz Felipe Scolari,3.28,Atlético-MG,43618,,,,,,,,,,,,,,,,,,,,
22,5,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,Alexandre Rodrigues da Silva,0.0,276,5.0,13,6.8,0,A. Pato,0.0,6,alexandre-pato,Alexandre Pato,0.0,São Paulo,49675,,,,,,,,,,,,,,,,,,,,
23,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,David Braz de Oliveira Filho,0.0,266,5.64,13,1.51,7,D. Braz,0.0,6,david-braz,David Braz,2.67,Fluminense,50317,1.0,3.0,5.0,2.0,2.0,,3.0,,,,,,,,,,,,,
24,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,Alan Kardec de Sousa Pereira Júnior,-1.52,282,4.43,13,-0.73,2,A. Kardec,-1.1,2,alan-kardec,Alan Kardec,3.8,Atlético-MG,50347,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
25,3,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Christian Chagas Tarouco,0.0,356,8.68,13,3.98,11,Titi,0.0,7,titi,Titi,5.43,Fortaleza,50353,3.0,21.0,10.0,1.0,9.0,1.0,6.0,1.0,1.0,,,,,,,,,,,
26,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,Henrique Adriano Buss,-0.85,294,2.66,13,-0.02,8,Henrique,0.0,6,henrique,Henrique,0.99,Coritiba,50856,2.0,4.0,7.0,,2.0,,1.0,,1.0,,,,,,,,,,,
27,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Luiz Diallison de Souza Alves,0.03,290,5.29,13,1.66,9,Apodi,2.6,6,apodi,Apodi,2.46,Goiás,51042,1.0,3.0,6.0,1.0,2.0,,1.0,,5.0,1.0,5.0,,1.0,,,,,,,
28,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Walter Leandro Capeloza Artune,1.09,1371,6.18,13,4.5,13,Walter,7.0,7,walter,Walter,2.77,Cuiabá,51413,1.0,,,,2.0,1.0,3.0,,,,,,,,38.0,16.0,,,,
29,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Giuliano Victor de Paula,0.0,264,2.97,13,1.79,9,Giuliano,0.0,6,giuliano,Giuliano,0.79,Corinthians,51548,1.0,5.0,5.0,2.0,4.0,,,,,,,,,,,,,,,
30,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,Everton Augusto de Barros Ribeiro,-1.34,262,8.7,13,-0.04,9,E. Ribeiro,0.0,7,everton-ribeiro,Everton Ribeiro,4.4,Flamengo,51772,,9.0,7.0,2.0,12.0,,,1.0,2.0,2.0,1.0,,,,,,,,,
31,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Réver Humberto Alves Araújo,0.0,282,4.52,13,3.53,2,Réver,0.0,6,rever,Réver,4.85,Atlético-MG,52253,1.0,,1.0,,,,2.0,,,,,,,,,,,,,
32,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,David Luiz Moreira Marinho,0.87,262,7.65,13,3.99,8,D. Luiz,6.2,7,david-luiz,David Luiz,4.71,Flamengo,52827,1.0,8.0,9.0,2.0,2.0,,3.0,1.0,1.0,1.0,,,,,,,,,,
33,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,Alex Teixeira Santos,0.23,267,6.55,13,2.09,13,A. Teixeira,3.3,7,alex-teixeira,Alex Teixeira,2.93,Vasco,60793,1.0,6.0,19.0,10.0,19.0,,,3.0,5.0,,8.0,,,,,,,,,
