,atletas.variacao_num,atletas.preco_num,atletas.foto,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.media_num,atletas.apelido,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,PP,I,SG,PS,CV,DE,GS,V,PC,DP,GC
30,1.31,10.01,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,Everton Augusto de Barros Ribeiro,Flamengo,51772,E. Ribeiro,14,4,7,262,7.5,,10,4.71,Everton Ribeiro,everton-ribeiro,2.0,,10.0,7.0,2.0,3.0,13.0,,2.0,,1.0,,,,,,,,,
31,0.0,4.52,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Réver Humberto Alves Araújo,Atlético-MG,52253,Réver,14,3,6,282,0.0,,2,4.85,Réver,rever,,1.0,,1.0,,,,,,,,2.0,,,,,,,,
32,-0.78,6.87,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,David Luiz Moreira Marinho,Flamengo,52827,D. Luiz,14,3,7,262,0.6,,9,4.25,David Luiz,david-luiz,1.0,1.0,9.0,11.0,1.0,2.0,2.0,,1.0,,,3.0,,,,,,,,
33,-0.55,6.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,Alex Teixeira Santos,Vasco,60793,A. Teixeira,14,4,6,267,-0.3,,14,2.7,Alex Teixeira,alex-teixeira,3.0,1.0,6.0,20.0,5.0,10.0,19.0,,,,8.0,,,,,,,,,
34,0.0,4.66,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,Felipe Azevedo dos Santos,América-MG,60825,F. Azevedo,14,5,6,327,0.0,,12,2.45,Felipe Azevedo,felipe-azevedo,,,7.0,11.0,3.0,5.0,12.0,1.0,1.0,,1.0,,,,,,,,,
35,-1.13,2.87,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel Pereira Gonçalves,Cuiabá,60852,Uendel,14,2,6,1371,0.0,,1,0.0,Uendel,uendel,,,,,,,,,,,,,,,,,,,,
36,0.0,3.95,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Neuciano de Jesus Gusmão,Bahia,61106,Cicinho,14,2,2,265,0.0,,6,4.22,Cicinho,cicinho,,3.0,12.0,17.0,1.0,1.0,8.0,1.0,,,,2.0,,,,,,,,
37,-0.45,8.43,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Gilberto Oliveira Souza Júnior,Cruzeiro,61188,Gilberto,14,5,7,283,0.5,,13,4.04,Gilberto,gilberto,1.0,2.0,5.0,12.0,5.0,17.0,8.0,,3.0,,4.0,,,,,,,,,
38,0.0,5.29,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,Alan Douglas Borges de Carvalho,Fluminense,62969,Alan,14,5,6,266,0.0,,1,8.0,Alan,alan,,,,,,,,,1.0,,,,,,,,,,,
39,0.0,11.22,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Paulo Henrique Chagas de Lima,Fluminense,62977,Ganso,14,4,6,266,0.0,,11,5.39,Ganso,ganso,3.0,1.0,9.0,4.0,2.0,1.0,17.0,,3.0,,1.0,,,,,,,,,
