,atletas.jogos_num,atletas.preco_num,atletas.pontos_num,atletas.status_id,atletas.posicao_id,atletas.apelido,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.foto,atletas.slug,atletas.clube_id,atletas.nome,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.media_num,DS,FC,FS,CA,FD,FF,G,I,SG,V,DE,GS,DP,A,FT,PS,GC,PC,CV,PP
33,0,4.0,0.0,6,2,Uendel,60852,3,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,uendel,1371,Uendel Pereira Gonçalves,Cuiabá,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
34,0,4.0,0.0,6,2,Cicinho,61106,3,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,cicinho,265,Neuciano de Jesus Gusmão,Bahia,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
35,3,8.57,10.6,7,5,Gilberto,61188,3,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,gilberto,283,Gilberto Oliveira Souza Júnior,Cruzeiro,2.51,,4.53,1.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,
36,1,5.29,8.0,6,5,Alan,62969,3,Alan,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_DUu9QkT.png,alan,266,Alan Douglas Borges de Carvalho,Fluminense,1.29,,8.0,,,,,,,1.0,,,,,,,,,,,,,
37,3,10.92,5.0,7,4,Ganso,62977,3,Ganso,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,ganso,266,Paulo Henrique Chagas de Lima,Fluminense,0.26,,5.5,4.0,1.0,4.0,,,,,,,,,,,2.0,,,,,,
38,1,6.26,0.0,5,2,Marcos Rocha,63013,3,M. Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,marcos-rocha,275,Marcos Luis Rocha Aquino,Palmeiras,0.0,,4.7,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
39,2,3.78,4.7,7,4,Willian Farias,63058,3,W. Farias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,willian-farias,294,Willian Roberto Farias,Coritiba,1.13,,2.35,4.0,2.0,1.0,,,,,,,,,,,,,,,,,
40,3,6.09,5.2,7,4,Edenílson,63289,3,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,edenilson,282,Edenílson Andrade dos Santos,Atlético-MG,0.81,,3.3,4.0,3.0,2.0,,,,,,,,,,,1.0,,,,,,
41,1,3.94,0.0,7,3,Rodrigo Moledo,63354,3,R. Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,rodrigo-moledo,285,Rodrigo Modesto da Silva Moledo,Internacional,0.0,,1.1,2.0,1.0,,1.0,,,,,,,,,,,,,,,,
42,3,10.18,-0.3,7,4,Alan Patrick,68685,3,A. Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,alan-patrick,285,Alan Patrick Lourenço,Internacional,-1.45,,3.77,2.0,3.0,6.0,1.0,1.0,2.0,,,,,,,,1.0,,,,,,
