,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
28,Giuliano Victor de Paula,23,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,,31,Corinthians,-0.17,51548,4.4,Giuliano,4,7,3.58,1.79,True,giuliano,Giuliano,264,20.0,7.0,12.0,2.0,13.0,3.0,,,,,,,,1.0,,,,,,,
29,Everton Augusto de Barros Ribeiro,24,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,,31,Flamengo,0.0,51772,0.0,E. Ribeiro,4,2,9.14,3.31,False,everton-ribeiro,Everton Ribeiro,262,18.0,5.0,35.0,3.0,15.0,5.0,,,,,4.0,1.0,1.0,2.0,,,,1.0,,,
30,Réver Humberto Alves Araújo,7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,,31,Atlético-MG,0.0,52253,0.0,Réver,3,6,3.97,3.67,False,rever,Réver,282,,,2.0,1.0,1.0,,,,5.0,,,,,,,,,,,,
31,David Luiz Moreira Marinho,15,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,,31,Flamengo,0.0,52827,0.0,D. Luiz,3,5,7.06,3.5,False,david-luiz,David Luiz,262,12.0,2.0,3.0,1.0,15.0,2.0,,,5.0,,1.0,,,1.0,,,,,,,
32,Alex Teixeira Santos,19,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,,31,Vasco,-0.18,60793,-0.8,A. Teixeira,4,6,5.34,2.61,True,alex-teixeira,Alex Teixeira,267,8.0,10.0,22.0,1.0,24.0,6.0,,,,,3.0,,10.0,1.0,,,,,,,
33,Felipe Azevedo dos Santos,23,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,,31,América-MG,0.13,60825,1.0,F. Azevedo,5,2,5.47,3.3,True,felipe-azevedo,Felipe Azevedo,327,12.0,10.0,24.0,2.0,19.0,8.0,,,,,1.0,1.0,4.0,4.0,,,,,,,
34,Uendel Pereira Gonçalves,4,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,31,Cuiabá,0.0,60852,0.0,Uendel,2,6,3.66,2.3,False,uendel,Uendel,1371,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,
35,Neuciano de Jesus Gusmão,10,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,,31,Bahia,0.0,61106,0.0,Cicinho,2,7,3.71,3.41,False,cicinho,Cicinho,265,14.0,1.0,10.0,3.0,20.0,2.0,,,3.0,,,1.0,,,,,,,,,
36,Gilberto Oliveira Souza Júnior,20,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,,31,Cruzeiro,0.0,61188,0.0,Gilberto,5,6,7.86,2.8,False,gilberto,Gilberto,283,8.0,19.0,11.0,4.0,20.0,6.0,,,,,1.0,,4.0,3.0,,,,,,,
37,Paulo Henrique Chagas de Lima,21,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,,31,Fluminense,0.0,62977,0.0,Ganso,4,6,11.68,4.28,False,ganso,Ganso,266,16.0,6.0,30.0,3.0,13.0,3.0,,,,,6.0,,1.0,3.0,,,,,,,
