,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
391,Vitor Eudes de Souza Costa,0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_FvWKOzt.png,,31,Fluminense,0.0,102137,0.0,V. Eudes,1,6,2.0,0.0,False,vitor-eudes,Vitor Eudes,266,,,,,,,,,,,,,,,,,,,,,
392,Lucas Halter,23,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_DlFIoVh.png,,31,Goiás,-0.44,102253,-1.3,L. Halter,3,7,5.33,3.26,True,lucas-halter,Lucas Halter,290,24.0,5.0,6.0,7.0,19.0,,,,7.0,,,,2.0,3.0,,,2.0,1.0,,,
393,Gabriel José Ferreira Mesquita,0,https://s.sde.globo.com/media/person_role/2023/05/30/photo_220x220.png,,31,Cruzeiro,0.0,102290,0.0,G. Mesquita,1,6,0.7,-1.0,False,gabriel-mesquita,Gabriel Mesquita,283,,,,1.0,,,,,,,,,,,,,,,,,
394,Mikael Filipe Viana,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_rNTDYYW.png,,31,América-MG,0.0,102299,0.0,Mikael,5,6,3.0,1.68,False,mikael,Mikael,327,1.0,5.0,2.0,,,2.0,,,,,,,2.0,,,,,,,,
395,Rafael Elias da Silva,7,https://s.sde.globo.com/media/person_role/2023/07/27/photo_FORMATO_C3BThsf.png,,31,Cruzeiro,0.21,102302,1.4,R. Elias,5,3,4.94,2.73,True,rafael-elias,Rafael Elias,283,3.0,5.0,6.0,3.0,14.0,4.0,,,,,,1.0,1.0,1.0,,,,,,,
396,Matheus Felipe Santos Nascimento,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,,31,Athlético-PR,0.0,102310,0.0,M. Felipe,3,6,2.53,1.7,False,matheus-felipe,Matheus Felipe,293,2.0,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,,,
397,Caio Fernando de Oliveira,22,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,,31,São Paulo,1.09,102318,7.9,C. Paulista,2,6,9.86,4.26,True,caio-paulista,Caio Paulista,276,21.0,8.0,29.0,3.0,15.0,11.0,,,6.0,,2.0,1.0,,,,,,1.0,,,
398,Carlos de Menezes Júnior,13,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_EPR1F0c.png,,31,Athlético-PR,0.21,102340,1.8,Cacá,3,7,4.85,3.23,True,caca,Cacá,293,18.0,3.0,8.0,1.0,20.0,,,,1.0,,,,,2.0,,,,,,,
399,Gonzalo Mathías Mastriani Borges,17,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_6Ys1TEq.png,,31,América-MG,-2.48,102561,1.1,Mastriani,5,7,5.69,6.26,True,mastriani,Mastriani,327,7.0,16.0,12.0,1.0,11.0,8.0,,,,,1.0,,3.0,9.0,,,1.0,,,,
400,Hélio Júnio Nunes de Castro,17,https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,,31,Bragantino,1.47,102598,9.1,Helinho,5,6,6.83,3.99,True,helinho,Helinho,280,18.0,15.0,13.0,4.0,16.0,9.0,,,,,2.0,,2.0,2.0,,,,,,,
401,Anderson Silva da Paixão,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Lvl4bA5.png,,31,Cruzeiro,-1.48,102906,-4.0,Anderson,1,3,1.76,1.0,True,anderson,Anderson,283,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,
402,Matheus Henrique Teixeira,0,https://s.sde.globo.com/media/person_role/2022/04/05/ff4149be4042453395add145d010bd49_FORMATO.png,,31,Bahia,0.0,102907,0.0,M. Teixeira,1,6,2.0,0.0,False,matheus-teixeira,Matheus Teixeira,265,,,,,,,,,,,,,,,,,,,,,
403,Luan Vinícius da Silva Santos ,10,https://s.sde.globo.com/media/person_role/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,,31,São Paulo,0.0,102909,0.0,Luan,4,6,4.2,1.97,False,luan,Luan,276,12.0,3.0,5.0,,9.0,,,,,,,1.0,,,,,,,,,
404,Agustín Canobbio Graviz,23,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,,31,Athlético-PR,-0.38,102928,5.0,Canobbio,5,7,8.11,5.64,True,canobbio,Canobbio,293,45.0,18.0,39.0,8.0,30.0,20.0,,,,,5.0,1.0,11.0,1.0,,1.0,,1.0,,,
405,Gonzalo Daniel Escobar,8,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO_LH8zzYb.png,,31,Fortaleza,0.35,102975,3.6,Escobar,2,6,3.92,2.11,True,escobar,Escobar,356,10.0,2.0,5.0,4.0,14.0,,,,,,2.0,,,,,,,1.0,,,
406,Ignacio Jesús Laquintana Marsico,3,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_roWm5iE.png,,31,Bragantino,0.0,103014,0.0,Laquintana,5,6,3.09,1.73,False,laquintana,Laquintana,280,2.0,,3.0,,3.0,2.0,,,,,,,2.0,,,,,,,,
407,Eric dos Santos Rodrigues,19,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,,31,Bragantino,0.0,103295,0.0,E. Ramires,4,5,3.72,3.38,False,eric-ramires,Eric Ramires,280,15.0,6.0,13.0,1.0,20.0,4.0,,,,,2.0,1.0,1.0,3.0,,,,,,,
408,Matheus Alexandre Anastácio de Souza,27,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,,31,Cuiabá,-1.27,103347,2.0,M. Alexandre,2,7,7.72,4.8,True,matheus-alexandre,Matheus Alexandre,1371,73.0,3.0,8.0,4.0,27.0,1.0,,,8.0,,,,3.0,1.0,,,,1.0,,,
409,Leandro Emmanuel Martínez,27,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_cPLErDD.png,,31,América-MG,0.19,103388,3.5,E. Martínez,4,7,6.91,4.22,True,emmanuel-martinez,Emmanuel Martínez,327,44.0,9.0,49.0,2.0,23.0,7.0,,,,,4.0,1.0,,1.0,,,,1.0,,,
410,João Victor Andrade Caetano,12,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,,31,Corinthians,0.49,103575,5.0,Caetano,3,6,3.49,2.44,True,caetano,Caetano,264,13.0,1.0,6.0,2.0,7.0,,,,3.0,,,,,,,,,1.0,,,
411,Rafael Bilu Mudesto,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_L5qGZ0n.png,,31,Cruzeiro,0.0,103576,0.0,R. Bilu,5,5,2.83,2.08,False,rafael-bilu,Rafael Bilu,283,4.0,3.0,3.0,,1.0,,,,,,,,1.0,,,,,,,,
412,Lúcio Flávio dos Santos,6,https://s.sde.globo.com/media/person_role/2022/03/08/fb8a9a99b74f23b669c36d16348d819f_FORMATO.png,,31,Botafogo,0.22,103582,4.78,L. Flávio,6,7,11.54,5.93,True,lucio-flavio,Lúcio Flávio,263,,,,,,,,,,3.0,,,,,,,,,,,
413,Marcos Paulo Costa do Nascimento,15,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png,,31,São Paulo,0.0,103645,0.0,M. Paulo,5,5,7.42,3.06,False,marcos-paulo,Marcos Paulo,276,15.0,4.0,12.0,2.0,8.0,2.0,,,,,1.0,,2.0,2.0,,,,,,,
414,Kaíque Rocha Lima,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,,31,Athlético-PR,0.0,103684,0.0,K. Rocha,3,6,3.33,3.12,False,kaique-rocha,Kaíque Rocha,293,5.0,2.0,2.0,2.0,3.0,,,,1.0,,,,,1.0,,,,,,,
415,Jadsom Meemyas de Oliveira da Silva,23,https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,,31,Bragantino,-0.87,103695,-1.1,J. Silva,4,7,2.28,1.45,True,jadsom-silva,Jadsom Silva,280,29.0,5.0,15.0,7.0,28.0,4.0,,,,,,,1.0,,,,,2.0,,,
416,Bruno Méndez Cittadini,22,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,,31,Corinthians,0.0,103700,0.0,B. Méndez,3,6,3.47,2.77,False,bruno-mendez,Bruno Méndez,264,26.0,4.0,4.0,5.0,15.0,,,,6.0,,1.0,,1.0,,,,,1.0,,,
417,Gabriel Vinícius Menino,24,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,,31,Palmeiras,0.0,103767,0.0,G. Menino,4,5,8.5,4.19,False,gabriel-menino,Gabriel Menino,275,38.0,17.0,28.0,5.0,39.0,6.0,,,,,3.0,2.0,2.0,2.0,,,,,,,
418,Higor Matheus Meritão,6,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_uo7UAHd.png,,31,Goiás,0.0,103987,0.0,H. Meritão,4,6,1.49,1.28,False,higor-meritao,Higor Meritão,290,3.0,4.0,,,7.0,,,,,,,1.0,,,,,,,,,
419,Maycon Cleiton de Paula Azevedo,0,https://s.sde.globo.com/media/person_role/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,,31,Bragantino,0.0,104017,0.0,Maycon,1,6,3.0,0.0,False,maycon,Maycon,280,,,,,,,,,,,,,,,,,,,,,
420,Walce da Silva Costa Filho,0,https://s.sde.globo.com/media/person_role/2022/03/01/42769c38f612d4af2143de3132ce1cec_220x220.png,,31,São Paulo,0.0,104074,0.0,Walce,3,6,3.0,0.0,False,walce,Walce,276,,,,,,,,,,,,,,,,,,,,,
421,João Fernando Monteiro Siqueira,0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5Z0375l.png,,31,Botafogo,0.0,104079,0.0,J. Fernando,1,6,2.0,0.0,False,joao-fernando,João Fernando,263,,,,,,,,,,,,,,,,,,,,,
422,Carlos Miguel dos Santos Pereira,0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,,31,Corinthians,0.0,104084,0.0,C. Miguel,1,6,2.0,0.0,False,carlos-miguel,Carlos Miguel,264,,,,,,,,,,,,,,,,,,,,,
423,Bruno de Lara Fuchs,15,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,,31,Atlético-MG,0.0,104085,0.0,B. Fuchs,3,5,4.75,3.31,False,bruno-fuchs,Bruno Fuchs,282,12.0,,11.0,2.0,11.0,,,,7.0,,,,,,,,,,,,
424,Ruan de Oliveira Ferreira,17,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,,31,Corinthians,0.0,104153,0.0,Ruan,4,6,3.67,3.6,False,ruan,Ruan,264,22.0,6.0,12.0,2.0,18.0,4.0,,,,,2.0,,1.0,2.0,,1.0,,,,,
425,João Lucas de Almeida Carvalho,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,,31,Santos,-0.05,104257,0.0,J. Lucas,2,7,4.46,3.62,True,joao-lucas,João Lucas,277,23.0,4.0,18.0,1.0,11.0,1.0,,,2.0,,1.0,,,,,,,1.0,,,
426,Lucas Rafael Gonçalves da Silva,2,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_J1rhwK6.png,,31,Bragantino,0.0,104360,0.0,L. Rafael,3,5,3.95,3.15,False,lucas-rafael,Lucas Rafael,280,,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,
427,Matheus Mendes Werneck de Oliveira,1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,,31,Atlético-MG,0.0,104383,0.0,M. Mendes,1,6,3.42,7.0,False,matheus-mendes,Matheus Mendes,282,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,
428,Igor Gomes Silva,18,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,,31,Internacional,-0.32,104385,-0.6,I. Gomes,3,6,4.67,2.51,True,igor-gomes,Igor Gomes,285,22.0,3.0,12.0,3.0,10.0,2.0,,,3.0,,,,,,,,,1.0,,,
429,Reinaldo Nascimento Satorno,1,https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png,,31,Athlético-PR,0.0,104420,0.0,Reinaldo,5,6,2.39,1.7,False,reinaldo,Reinaldo,293,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
430,Felipe Mateus Scheibig,0,https://s.sde.globo.com/media/person_role/2021/07/16/79af8f6f344db19983598078705340fc_FORMATO.png,,31,Grêmio,0.0,104424,0.0,F. Scheibig,1,5,1.0,0.0,False,felipe-scheibig,Felipe Scheibig,284,,,,,,,,,,,,,,,,,,,,,
431,Christian Roberto Alves Cardoso,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,,31,Athlético-PR,0.0,104502,0.0,Christian,4,6,10.5,4.7,False,christian,Christian,293,17.0,7.0,15.0,,21.0,3.0,,,,,,1.0,,4.0,,,,,,,
432,Henrique Vermudt,0,https://s.sde.globo.com/media/person_role/2023/07/30/photo_FORMATO_iztb5Pm.png,,31,Botafogo,0.0,104504,0.0,H. Vermudt,3,6,3.0,0.0,False,henrique-vermudt,Henrique Vermudt,263,,,,,,,,,,,,,,,,,,,,,
433,Vinícius Nelson de Souza Zanocelo,6,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_OPlr7ly.png,,31,Fortaleza,0.0,104521,0.0,V. Zanocelo,4,6,3.32,0.68,False,vinicius-zanocelo,Vinícius Zanocelo,356,4.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,,
434,Sandry Roberto Santos Goes,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_bbHXWKZ.png,,31,Santos,0.0,104580,0.0,Sandry,4,5,2.54,0.52,False,sandry,Sandry,277,4.0,,2.0,2.0,4.0,,,,,,,,,,,,,,,,
435,Fabrício Oliveira de Souza,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AAId2Kq.png,,31,Bragantino,0.0,104588,0.0,Fabrício,1,6,1.0,0.0,False,fabricio,Fabrício,280,,,,,,,,,,,,,,,,,,,,,
436,Matheus Henrique Bianqui,21,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_nFBy3HF.png,,31,Coritiba,-0.84,104640,1.6,M. Bianqui,4,7,3.88,2.92,True,matheus-bianqui,Matheus Bianqui,294,32.0,10.0,21.0,8.0,33.0,4.0,,,,,1.0,,3.0,2.0,1.0,,,,,,
437,Juan Pablo Vojvoda Rizzo,29,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,,31,Fortaleza,-0.11,104754,2.96,J. Vojvoda,6,7,12.38,5.06,True,juan-vojvoda,Juan Vojvoda,356,,,,,,,,,,12.0,,,,,,,,,,,
438,Nicolás Brian Acevedo Tabárez,23,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,,31,Bahia,0.0,104783,0.0,Acevedo,4,6,4.49,2.34,False,acevedo,Acevedo,265,40.0,10.0,22.0,5.0,29.0,3.0,,,,,,,,,,,1.0,,,,
439,Sebastián Gómez Londoño,13,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_fnuIkZJ.png,,31,Coritiba,0.1,104811,2.9,S. Gómez,4,7,6.44,3.39,True,sebastian-gomez,Sebastián Gómez,294,16.0,1.0,12.0,1.0,10.0,1.0,,,,,1.0,,2.0,2.0,,,,,,,
440,Igo Gabriel Santos Pereira,0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_C8GywEv.png,,31,Botafogo,0.0,104991,0.0,I. Gabriel,1,6,1.0,0.0,False,igo-gabriel,Igo Gabriel,263,,,,,,,,,,,,,,,,,,,,,
441,João Marcelo Messias Ferreira,1,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_vuySYbE.png,,31,Cruzeiro,0.0,105047,0.0,J. Marcelo,3,6,2.43,0.9,False,joao-marcelo,João Marcelo,283,1.0,,,,1.0,,,,,,,,,,,,,,,,
442,Luis Henrique Tomaz de Lima,27,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,,31,Botafogo,0.0,105049,0.0,L. Henrique,5,6,5.44,2.8,False,luis-henrique,Luis Henrique,263,12.0,10.0,5.0,,5.0,8.0,,,,,2.0,,1.0,4.0,,1.0,,,,,
443,Khellven Douglas Silva Oliveira,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7lRpDNN.png,,31,Athlético-PR,0.0,105175,0.0,Khellven,2,6,7.74,4.5,False,khellven,Khellven,293,15.0,3.0,8.0,1.0,9.0,2.0,,,5.0,,3.0,,3.0,,,,,,,,
444,Bento Matheus Krepski,25,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,,31,Athlético-PR,0.1,105208,1.0,Bento,1,7,9.14,3.34,True,bento,Bento,293,,,2.0,3.0,2.0,,74.0,30.0,6.0,,1.0,,,,,,,,,1.0,
445,Patrick de Lucca Chaves de Oliveira,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_J73ZkrF.png,,31,Vasco,0.0,105294,0.0,D. Lucca,4,5,3.0,0.0,False,de-lucca,De Lucca,267,,,,,,,,,,,,,,,,,,,,,
446,Nahuel Adolfo Ferraresi Hernández,1,https://s.sde.globo.com/media/person_role/2022/08/13/a5301263d96806640ddf67cec70f99e7_FORMATO.png,,31,São Paulo,0.0,105300,0.0,Ferraresi,3,6,4.47,0.0,False,ferraresi,Ferraresi,276,,,,,,,,,,,,,,,,,,,,,
447,Gabriel Lheman Xavier - Lhman,12,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,,31,Bahia,0.0,105373,0.0,G. Xavier,3,7,4.32,3.51,False,gabriel-xavier,Gabriel Xavier,265,17.0,3.0,8.0,2.0,13.0,1.0,,,4.0,,,,,,,,,,,,
448,Matheus Lima Beltrão Oliveira Valin,20,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,,31,Corinthians,1.2,105531,9.8,M. Bidu,2,6,7.32,3.69,True,matheus-bidu,Matheus Bidu,264,29.0,6.0,27.0,2.0,21.0,5.0,,,5.0,,,,,,,,,2.0,,,
449,Rikelme Hernandes Amorim Rocha,23,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,,31,Cuiabá,-0.22,105547,1.4,Rikelme,5,7,4.48,3.86,True,rikelme,Rikelme,1371,55.0,9.0,14.0,1.0,20.0,5.0,,,,,1.0,,3.0,1.0,1.0,,,,,,
450,Riquelme Carvalho Araújo Viana,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_smA6Xym.png,,31,Vasco,0.0,105566,0.0,Riquelme,2,6,3.0,0.0,False,riquelme,Riquelme,267,,,,,,,,,,,,,,,,,,,,,
451,Juan Martín Lucero,23,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,,31,Fortaleza,1.33,105568,10.1,Lucero,5,7,7.97,4.62,True,lucero,Lucero,356,10.0,14.0,25.0,2.0,25.0,10.0,,,,,,1.0,9.0,8.0,,2.0,,,,,
452,Lucas Piton Crivellaro,29,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,,31,Vasco,0.83,105584,5.2,L. Piton,2,7,7.38,2.92,True,lucas-piton,Lucas Piton,267,32.0,10.0,6.0,3.0,37.0,4.0,,,6.0,,3.0,,2.0,,,,,,,,
453,Roni Medeiros de Moura,15,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png,,31,Corinthians,-0.02,105585,0.0,Roni,4,6,2.03,1.19,True,roni,Roni,264,16.0,2.0,5.0,2.0,15.0,1.0,,,,,,,,,,,,,,,
454,Maurício Magalhães Prado,19,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,,31,Internacional,0.0,105647,0.0,Maurício,4,7,8.53,4.71,False,mauricio,Maurício,285,11.0,12.0,21.0,3.0,11.0,5.0,,,,,3.0,3.0,4.0,4.0,,1.0,,,,,
455,Nicolás Hernández Rodríguez,19,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_l85XoS0.png,,31,Internacional,0.09,105672,4.9,N. Hernández,3,2,4.06,1.9,True,nicolas-hernandez,Nicolás Hernández,285,10.0,1.0,5.0,6.0,14.0,,,,4.0,,2.0,1.0,,,1.0,1.0,,,,,
456,Wesley Ribeiro Silva,25,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,,31,Cruzeiro,0.06,105811,0.9,Wesley,5,6,7.87,4.13,True,wesley,Wesley,283,32.0,18.0,42.0,6.0,48.0,11.0,,,,,1.0,,3.0,4.0,,,,,,,
457,Lucas Eduardo Ribeiro de Souza,6,https://s.sde.globo.com/media/person_role/2023/06/25/photo_FORMATO_bGsyKIs.png,,31,Goiás,0.0,105842,0.0,Edu,3,6,2.45,2.78,False,edu,Edu,290,5.0,1.0,5.0,1.0,6.0,1.0,,,2.0,,,,,,,,,1.0,,,
458,Lucas Belezi Barbosa,0,https://s.sde.globo.com/media/person_role/2023/10/08/photo_FORMATO.png,,31,Athlético-PR,0.0,105844,0.0,Belezi,3,6,1.0,0.0,False,belezi,Belezi,293,,,,,,,,,,,,,,,,,,,,,
459,Matheus de Araújo Andrade,10,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,,31,Corinthians,0.0,105845,0.0,M. Araújo,4,6,5.44,1.96,False,matheus-araujo,Matheus Araújo,264,8.0,,7.0,,9.0,1.0,,,,,,,1.0,1.0,,,,,,,
460,José Gabriel dos Santos Silva,19,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,,31,Vasco,0.48,105902,2.5,Z. Gabriel,4,7,3.1,1.86,True,ze-gabriel,Zé Gabriel,267,22.0,6.0,13.0,5.0,23.0,1.0,,,,,,,,1.0,,,,,,,
461,Vinicius Alessandro Mingotti,14,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_YH7397F.png,,31,Bahia,0.0,105909,0.0,V. Mingotti,5,6,2.73,2.12,False,vinicius-mingotti,Vinicius Mingotti,265,4.0,3.0,13.0,2.0,11.0,5.0,,,,,,,7.0,2.0,,,,,,,
462,Rômulo Zanre Zwarg,17,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png,,31,Internacional,-0.18,105911,0.8,Rômulo,4,6,3.53,3.06,True,romulo,Rômulo,285,24.0,5.0,24.0,1.0,17.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,
463,Carlos Eduardo Bertolassi da Silva,1,https://s.sde.globo.com/media/person_role/2020/02/28/8b8a13f401928e0adf73a1998a49f868_FORMATO.png,,31,Santos,0.0,105914,0.0,C. Silva,2,6,0.71,0.0,False,cadu-silva,Cadu Silva,277,,,,,,,,,,,,,,,,,,,,,
464,Sergio Ramón Rochet Álvarez,12,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,,31,Internacional,0.32,105949,1.0,Rochet,1,7,5.81,2.0,True,rochet,Rochet,285,,,6.0,4.0,,,34.0,19.0,2.0,,,,,,,,,,,,
465,Vinícius dos Santos de Oliveira Paiva,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_Oqt8wcz.png,,31,Vasco,0.0,105998,0.0,Vinícius,5,6,2.0,0.0,False,vinicius,Vinícius,267,,,,,,,,,,,,,,,,,,,,,
466,Lucas de Ramos Silveira,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_Tdt3VkZ.png,,31,Internacional,0.0,106000,0.0,L. Ramos,4,5,2.81,0.0,False,lucas-ramos,Lucas Ramos,285,,,,,,,,,,,,,,,,,,,,,
467,João Lucas Souza Cardoso,16,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,,31,Internacional,0.0,106002,0.0,Johnny,4,7,7.6,3.91,False,johnny,Johnny,285,25.0,1.0,20.0,6.0,16.0,4.0,,,,,2.0,1.0,2.0,2.0,,,,1.0,,,
468,Lucas Alexandre Galdino de Azevedo,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png,,31,Bragantino,0.0,106160,0.0,Lucão,1,6,1.74,0.6,False,lucao,Lucão,280,,,,1.0,,,7.0,8.0,1.0,,,,,,,,,,,,
469,Gabriel Fortes Chaves,29,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,,31,Vasco,0.95,106199,8.6,G. Pec,5,7,15.91,5.63,True,gabriel-pec,Gabriel Pec,267,33.0,23.0,45.0,5.0,29.0,14.0,,,,,3.0,3.0,5.0,7.0,,,,,,,
470,Lucas Figueiredo dos Santos,16,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png,,31,Vasco,0.0,106201,0.0,Figueiredo,4,6,2.69,1.92,False,figueiredo,Figueiredo,267,8.0,11.0,15.0,3.0,17.0,8.0,,,,,,1.0,6.0,,,1.0,,,,,
471,Bruno Gomes da Silva Clevelário,24,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uLOhgzA.png,,31,Coritiba,-0.31,106202,2.2,B. Gomes,4,6,9.46,4.17,True,bruno-gomes,Bruno Gomes,294,43.0,15.0,42.0,4.0,31.0,11.0,,,,,,1.0,2.0,2.0,,1.0,1.0,1.0,,,
472,Kawan Gabriel da Silva,0,https://s.sde.globo.com/media/person_role/2022/02/21/f32be788b285e944b21d286da2e5b28d_FORMATO.png,,31,Athlético-PR,0.0,106219,0.0,Kawan,4,5,2.0,0.0,False,kawan,Kawan,293,,,,,,,,,,,,,,,,,,,,,
473,Leonardo Javier Realpe Montaño,13,https://s.sde.globo.com/media/person_role/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png,,31,Bragantino,0.73,106299,4.9,Realpe,3,7,3.05,3.05,True,realpe,Realpe,280,9.0,2.0,1.0,2.0,14.0,,,,6.0,,,1.0,,,,,,,,,
474,Caio Alexandre Souza e Silva,27,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mYQOurq.png,,31,Fortaleza,-0.17,106323,0.9,C. Alexandre,4,7,8.16,3.16,True,caio-alexandre,Caio Alexandre,356,42.0,6.0,31.0,4.0,38.0,4.0,,,,,2.0,,4.0,2.0,,,,,,,
475,Wesley David de Oliveira Andrade,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_IHO297R.png,,31,Cruzeiro,0.0,106327,0.0,W. Gasolina,2,6,3.0,0.0,False,wesley-gasolina,Wesley Gasolina,283,,,,,,,,,,,,,,,,,,,,,
476,Jhonata Robert Alves da Silva,0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Yc1vcMc.png,,31,Grêmio,0.0,106371,0.0,J. Robert,4,6,4.0,0.0,False,jhonata-robert,Jhonata Robert,284,,,,,,,,,,,,,,,,,,,,,
