,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.media_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.posicao_id,atletas.atleta_id,CA,DS,FC,FF,FS,FD,G,I,SG,A,FT,CV,DE,DP,GC,GS,PS,PC,PP,V
31,262,12,David Luiz Moreira Marinho,4.5,7,0.28,David Luiz,6.78,D. Luiz,david-luiz,Flamengo,6,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,0.0,3,52827,1.0,7.0,9.0,2.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,
32,267,12,Alex Teixeira Santos,2.9,12,0.92,Alex Teixeira,6.32,A. Teixeira,alex-teixeira,Vasco,7,-0.56,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,1.5,4,60793,1.0,5.0,19.0,10.0,17.0,4.0,,7.0,,3.0,,,,,,,,,,
33,327,12,Felipe Azevedo dos Santos,2.56,11,0.34,Felipe Azevedo,4.63,F. Azevedo,felipe-azevedo,América-MG,6,-0.93,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,0.6,5,60825,,7.0,10.0,3.0,12.0,3.0,1.0,1.0,,,1.0,,,,,,,,,
34,1371,12,Uendel Pereira Gonçalves,0.0,0,5.38,Uendel,4.0,Uendel,uendel,Cuiabá,6,0.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,2,60852,,,,,,,,,,,,,,,,,,,,
35,265,12,Neuciano de Jesus Gusmão,4.68,5,2.17,Cicinho,4.16,Cicinho,cicinho,Bahia,7,-0.26,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,3.4,2,61106,2.0,9.0,13.0,1.0,7.0,1.0,,,2.0,,1.0,,,,,,,,,
36,283,12,Gilberto Oliveira Souza Júnior,4.34,12,1.1,Gilberto,8.88,Gilberto,gilberto,Cruzeiro,7,0.12,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,1.8,5,61188,2.0,5.0,12.0,17.0,7.0,5.0,3.0,4.0,,1.0,,,,,,,,,,
37,266,12,Alan Douglas Borges de Carvalho,8.0,1,5.98,Alan,5.29,Alan,alan,Fluminense,6,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,0.0,5,62969,,,,,,,1.0,,,,,,,,,,,,,
38,266,12,Paulo Henrique Chagas de Lima,5.39,11,-0.08,Ganso,11.22,Ganso,ganso,Fluminense,7,-0.79,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,0.0,4,62977,1.0,9.0,4.0,1.0,17.0,2.0,3.0,1.0,,3.0,,,,,,,,,,
39,275,12,Marcos Luis Rocha Aquino,3.3,2,1.83,Marcos Rocha,5.12,M. Rocha,marcos-rocha,Palmeiras,5,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,0.0,2,63013,,5.0,3.0,,3.0,,,,,,,,,,,,,,,
40,294,12,Willian Roberto Farias,2.43,3,1.52,Willian Farias,3.8,W. Farias,willian-farias,Coritiba,6,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,0.0,4,63058,1.0,6.0,3.0,,4.0,,,,,,,,,,,,,,,
41,282,12,Edenílson Andrade dos Santos,2.24,11,4.13,Edenílson,5.9,Edenílson,edenilson,Atlético-MG,2,1.06,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,6.4,4,63289,,10.0,5.0,,6.0,1.0,,,,2.0,,,,,,,,,,
42,285,12,Rodrigo Modesto da Silva Moledo,1.26,7,-0.02,Rodrigo Moledo,2.82,R. Moledo,rodrigo-moledo,Internacional,6,-0.04,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,0.0,3,63354,3.0,4.0,2.0,,3.0,1.0,,1.0,1.0,,,,,,,,,,,
43,285,12,Alan Patrick Lourenço,3.08,10,2.13,Alan Patrick,9.05,A. Patrick,alan-patrick,Internacional,7,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,0.0,4,68685,2.0,4.0,7.0,4.0,24.0,4.0,,,,2.0,,,,,,,,,,
