,atletas.posicao_id,atletas.foto,atletas.status_id,atletas.apelido_abreviado,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.pontos_num,atletas.rodada_id,atletas.slug,atletas.media_num,atletas.apelido,atletas.nome,atletas.preco_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,SG,CV,PC,PS,DE,GS,PP,DP,GC,V
47,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,6,Camacho,277,6,68770,0.0,16,camacho,1.28,Camacho,Guilherme de Aguiar Camacho,2.42,Santos,0.0,,,1.0,12.0,12.0,,,2.0,,,1.0,,1.0,,,,,,,,
48,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,6,M. Lomba,275,1,68872,0.0,16,marcelo-lomba,1.0,Marcelo Lomba,Marcelo Lomba do Nascimento,5.89,Palmeiras,0.0,,,,,,,,,,,,,,,,2.0,1.0,,,,
49,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,6,W. Silva,1371,14,68895,0.0,16,wellington-silva,1.64,Wellington Silva,Wellington Alves da Silva,3.42,Cuiabá,-0.4,,,1.0,10.0,6.0,2.0,3.0,18.0,,,2.0,,,,,,,,,,
50,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,7,Vinicius,290,8,68917,0.4,16,vinicius,2.98,Vinicius,Vinicius Santos Silva,6.47,Goiás,-0.26,,,1.0,10.0,6.0,4.0,7.0,9.0,,,2.0,,,,,,,,,,
51,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,6,Dudu,275,13,68920,0.0,16,dudu,6.36,Dudu,Eduardo Pereira Rodrigues,16.34,Palmeiras,0.0,,3.0,,6.0,8.0,7.0,11.0,38.0,1.0,3.0,3.0,,,,,,,,,,
52,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,7,Gil,264,14,68923,7.5,16,gil,2.76,Gil,Carlos Gilberto do Nascimento Silva,5.88,Corinthians,0.39,,,5.0,16.0,13.0,3.0,4.0,3.0,,,1.0,4.0,,,,,,,,,
53,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,7,Rafael,276,15,68928,2.0,16,rafael,3.33,Rafael,Rafael Pires Monteiro,7.67,São Paulo,0.15,,,,,,,,2.0,,,,4.0,,,,45.0,16.0,,,,
54,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,7,R. Cabral,283,16,68940,-1.0,16,rafael-cabral,4.67,Rafael Cabral,Rafael Cabral Barbosa,10.03,Cruzeiro,-1.76,,,2.0,1.0,,,,1.0,,,,7.0,,,,52.0,12.0,,,,
55,3,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,7,L. Castán,283,15,68942,0.1,16,luciano-castan,3.03,Luciano Castán,Luciano Castán da Silva,5.79,Cruzeiro,-0.84,,,4.0,12.0,13.0,2.0,1.0,12.0,,,1.0,6.0,,,,,,,,,
56,5,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,7,Marinho,356,7,68952,2.3,16,marinho,1.33,Marinho,Mário Sérgio Santos Costa,2.86,Fortaleza,0.16,,,2.0,2.0,9.0,5.0,3.0,7.0,,,3.0,,,,,,,,,,
57,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,7,L. Sasha,356,8,68991,1.9,16,lucas-sasha,3.15,Lucas Sasha,Lucas Pacheco Affini,6.02,Fortaleza,-0.06,,,2.0,22.0,14.0,,2.0,7.0,,,1.0,,,,,,,,,,
58,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,6,J. Carlos,1371,0,69010,0.0,16,joao-carlos,0.0,João Carlos,João Carlos Heidemann,3.0,Cuiabá,0.0,,,,,,,,,,,,,,,,,,,,,
59,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,6,Santos,262,6,69012,0.0,16,santos,3.25,Santos,Aderbar Melo dos Santos Neto,9.47,Flamengo,0.0,,,,,,,,1.0,,,,2.0,,,,17.0,8.0,,,,
60,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,3,Manoel,266,6,69014,0.0,16,manoel,1.97,Manoel,Manoel Messias Silva Carvalho,5.19,Fluminense,0.0,,,1.0,3.0,1.0,,,1.0,,,,2.0,,1.0,,,,,,,
61,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,6,M. Cirino,293,3,69022,0.0,16,marcelo-cirino,0.4,Marcelo Cirino,Marcelo Cirino da Silva,3.57,Athlético-PR,0.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
62,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,5,Paulinho,264,4,69034,0.0,16,paulinho,2.1,Paulinho,José Paulo Bezerra Maciel Júnior,4.5,Corinthians,0.0,,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
63,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,6,Vladimir,277,1,69040,0.0,16,vladimir,0.0,Vladimir,Vladimir Orlando Cardoso de Araújo Filho,2.61,Santos,0.29,,,,,,,,,,,,,1.0,,,2.0,2.0,,,,
64,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,5,D. Fernandes,265,1,69051,0.0,16,danilo-fernandes,7.0,Danilo Fernandes,Danilo Fernandes Batista,4.64,Bahia,0.0,,,1.0,,,,,,,,,,,,,7.0,,,,,
65,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,3,Vargas,282,11,69102,0.0,16,vargas,1.24,Vargas,Eduardo Jesús Vargas Rojas,3.95,Atlético-MG,0.0,,,3.0,3.0,7.0,2.0,2.0,4.0,,1.0,,,,,1.0,,,,,,
66,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,6,Pablo,293,10,69138,0.0,16,pablo,4.05,Pablo,Pablo Felipe Teixeira,9.8,Athlético-PR,-0.16,,2.0,2.0,10.0,8.0,3.0,8.0,10.0,,1.0,1.0,,,,,,,,,,
67,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,6,Pablo,262,1,69165,0.0,16,pablo,4.4,Pablo,Pablo Nascimento Castro,4.36,Flamengo,0.0,,,,,2.0,,,,,,,1.0,,,,,,,,,
68,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,7,Sidimar,290,7,69189,5.6,16,sidimar,2.04,Sidimar,Sidimar Fernando Cigolini,2.92,Goiás,0.31,,,1.0,4.0,6.0,1.0,2.0,5.0,,,,2.0,,,,,,,,1.0,
69,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,6,L. Suárez,284,12,69318,0.0,16,luis-suarez,8.99,Luis Suárez,Luis Alberto Suárez Díaz,16.18,Grêmio,0.0,,3.0,2.0,8.0,13.0,15.0,19.0,28.0,5.0,4.0,11.0,,,,,,,1.0,,,
70,4,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,7,Aránguiz,285,4,69325,2.4,16,aranguiz,1.3,Aránguiz,Charles Mariano Aránguiz Sandoval,7.33,Internacional,0.24,,,,3.0,5.0,,2.0,3.0,,,,,,,,,,,,,
71,4,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,7,Medel,267,1,69355,1.5,16,medel,1.5,Medel,Gary Alexis Medel Soto,4.82,Vasco,-1.18,,,,2.0,3.0,,,,,,,,,,,,,,,,
72,4,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,7,Vidal,293,8,69375,3.8,16,vidal,2.49,Vidal,Arturo Erasmo Vidal Pardo,5.81,Athlético-PR,0.33,,,2.0,9.0,6.0,2.0,5.0,7.0,1.0,,,,,,,,,,,,
73,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,6,Nikão,283,5,69705,0.0,16,nikao,0.3,Nikão,Maycon Vinícius Ferreira da Cruz,3.48,Cruzeiro,0.0,,,1.0,2.0,4.0,,,3.0,,,2.0,,,,,,,,,,
74,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,5,Rafael,263,9,70171,0.0,16,rafael,5.16,Rafael,Rafael Pereira da Silva,6.7,Botafogo,0.0,,,2.0,22.0,12.0,1.0,,5.0,,,,5.0,1.0,,,,,,,,
75,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,6,Fábio,284,4,70172,0.0,16,fabio,2.75,Fábio,Fábio Pereira da Silva,4.63,Grêmio,0.0,,1.0,,4.0,2.0,,1.0,2.0,,,,,,,,,,,,,
76,3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,7,B. Uvini,284,11,70221,4.9,16,bruno-uvini,2.25,Bruno Uvini,Bruno Uvini,3.82,Grêmio,0.61,,,4.0,5.0,7.0,3.0,4.0,6.0,1.0,1.0,,1.0,,1.0,,,,,,,
77,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,7,E. Sasha,280,16,70360,1.8,16,eduardo-sasha,5.77,Eduardo Sasha,Eduardo Colcenti Antunes,11.41,Bragantino,-0.31,,2.0,2.0,8.0,12.0,5.0,10.0,22.0,2.0,6.0,6.0,,,,,,,,,,
78,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,7,Gabriel,294,14,70449,9.0,16,gabriel,3.32,Gabriel,Gabriel Vasconcelos Ferreira - Vasconcellos,5.97,Coritiba,0.56,,1.0,3.0,,,,,1.0,,,,3.0,,,,54.0,25.0,,,,
79,3,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,7,Marllon,1371,15,70666,0.1,16,marllon,3.31,Marllon,Marllon Gonçalves Jerônimo Borges,6.78,Cuiabá,-0.95,,1.0,4.0,15.0,12.0,,4.0,8.0,,1.0,,4.0,,1.0,,,,,,,
80,5,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,7,E. Valencia,285,3,70788,8.7,16,enner-valencia,3.53,Enner Valencia,Enner Remberto Valencia Lastra,9.94,Internacional,1.4,,,,2.0,5.0,2.0,2.0,6.0,1.0,,3.0,,,,,,,,,,
81,6,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,7,J. Sampaoli,262,15,70800,4.67,16,jorge-sampaoli,5.95,Jorge Sampaoli,Jorge Sampaoli,11.8,Flamengo,0.02,,,,,,,,,,,,,,,,,,,,,7.0
82,2,https://s.sde.globo.com/media/person_role/2023/06/23/photo_FORMATO.png,7,D. Barbosa,266,7,70916,3.9,16,diogo-barbosa,2.27,Diogo Barbosa,Diogo Barbosa Mendanha,6.86,Fluminense,-0.09,,,1.0,7.0,4.0,,1.0,8.0,,,1.0,1.0,,,,,,,,,
83,4,https://s.sde.globo.com/media/person_role/2023/07/19/photo_FORMATO_oLjIZUt.png,6,B. Henrique,285,0,70944,0.0,16,bruno-henrique,0.0,Bruno Henrique,Bruno Henrique Corsini,9.0,Internacional,0.0,,,,,,,,,,,,,,,,,,,,,
84,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,6,L. Cittadini,293,5,70986,0.0,16,leo-cittadini,0.58,Léo Cittadini,Leonardo Cittadini,1.85,Athlético-PR,0.0,,,,1.0,6.0,1.0,1.0,3.0,,,,,,,,,,,,,
85,3,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO.png,6,Maicon,267,2,71227,0.0,16,maicon,4.4,Maicon,Maicon Pereira Roque,5.32,Vasco,0.0,,,,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,
