,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.preco_num,atletas.pontos_num,atletas.jogos_num,atletas.clube.id.full.name,atletas.foto,atletas.atleta_id,atletas.posicao_id,atletas.media_num,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.nome,atletas.clube_id,atletas.slug,atletas.apelido,atletas.rodada_id,CA,DS,FC,FF,FS,G,SG,A,FD,PS,I,CV,PC,FT,PP,DE,GS,GC,V,DP,PI
34,False,,3.77,0.0,9,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,61106,2,3.63,6,0.0,Cicinho,Neuciano de Jesus Gusmão,265,cicinho,Cicinho,25,3.0,13.0,19.0,1.0,9.0,,3.0,,2.0,,,,,1.0,,,,,,,
35,False,,7.86,0.0,20,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,61188,5,2.8,6,0.0,Gilberto,Gilberto Oliveira Souza Júnior,283,gilberto,Gilberto,25,4.0,8.0,20.0,19.0,11.0,3.0,,1.0,6.0,,4.0,,,,,,,,,,
36,False,,10.8,0.0,17,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,62977,4,4.07,6,0.0,Ganso,Paulo Henrique Chagas de Lima,266,ganso,Ganso,25,2.0,14.0,10.0,3.0,27.0,3.0,,3.0,2.0,,1.0,,,,,,,,,,
37,False,,2.74,0.0,2,Santos,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,63011,2,1.2,6,0.0,J. Caiçara,Uilson de Souza Paula Júnior,277,junior-caicara,Júnior Caiçara,25,1.0,3.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,
38,False,,5.42,0.0,11,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,63013,2,4.28,6,0.0,M. Rocha,Marcos Luis Rocha Aquino,275,marcos-rocha,Marcos Rocha,25,1.0,20.0,13.0,,8.0,,5.0,,,,,,1.0,,,,,,,,
39,True,,3.83,-0.1,11,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,63024,4,1.41,6,-0.39,Fransérgio,Fransérgio Rodrigues Barbosa,294,fransergio,Fransérgio,25,,7.0,5.0,5.0,7.0,,,,1.0,,1.0,,,,,,,,,,
40,True,,2.94,0.3,5,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,63058,4,1.24,7,0.22,W. Farias,Willian Roberto Farias,294,willian-farias,Willian Farias,25,2.0,7.0,9.0,,5.0,,,,,,,,,,,,,,,,
41,True,,5.15,2.6,20,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,63289,4,1.87,7,0.38,Edenílson,Edenílson Andrade dos Santos,282,edenilson,Edenílson,25,,19.0,14.0,1.0,11.0,,,2.0,2.0,,,,,,,,,,,,
42,False,,2.82,0.0,7,Internacional,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,63354,3,1.26,3,0.0,R. Moledo,Rodrigo Modesto da Silva Moledo,285,rodrigo-moledo,Rodrigo Moledo,25,3.0,4.0,2.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,,,
43,True,,7.85,0.0,22,Internacional,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,68685,4,2.29,6,-0.18,A. Patrick,Alan Patrick Lourenço,285,alan-patrick,Alan Patrick,25,4.0,10.0,17.0,11.0,32.0,,,3.0,4.0,,2.0,,,1.0,,,,,,,
