,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.entrou_em_campo,atletas.rodada_id,atletas.apelido,atletas.preco_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.clube.id.full.name,atletas.atleta_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,CV,PC,PS,V,GC,DP,PI
13,7,D. Júnior,21,dorival-junior,True,23,Dorival Júnior,11.15,6,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,4.96,,276,São Paulo,40990,3.39,Dorival Silvestre Júnior,0.06,,,,,,,,,,,,,,,,,,7.0,,,
14,7,V. Luxemburgo,19,vanderlei-luxemburgo,True,23,Vanderlei Luxemburgo,8.37,6,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,4.72,,264,Corinthians,41327,3.12,Vanderlei Luxemburgo da Silva,-0.34,,,,,,,,,,,,,,,,,,5.0,,,
15,7,R. Gaúcho,22,renato-gaucho,True,23,Renato Gaúcho,12.55,6,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,5.45,,284,Grêmio,41929,1.96,Renato Portaluppi,-0.91,,,,,,,,,,,,,,,,,,12.0,,,
16,5,Willian,8,willian,True,23,Willian,4.86,5,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,2.52,,293,Athlético-PR,42116,2.9,Willian Gomes de Siqueira,0.01,,,2.0,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,
17,7,Cássio,22,cassio,True,23,Cássio,7.77,1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,3.42,,264,Corinthians,42234,2.0,Cássio Roberto Ramos,-1.06,,2.0,,,,,4.0,,,,,76.0,25.0,5.0,,1.0,,,,,
18,6,Fagner,16,fagner,False,23,Fagner,7.73,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,3.86,,264,Corinthians,42500,0.0,Fagner Conserva Lemos,0.0,1.0,5.0,22.0,11.0,1.0,3.0,24.0,1.0,,,,,,4.0,,,,,,,
19,7,L. Scolari,13,luiz-felipe-scolari,True,23,Luiz Felipe Scolari,10.96,6,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,4.92,,282,Atlético-MG,43618,7.62,Luiz Felipe Scolari,0.69,,,,,,,,,,,,,,,,,,4.0,,,
20,6,A. Pato,8,alexandre-pato,True,23,Alexandre Pato,4.07,5,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,2.23,,276,São Paulo,49675,0.0,Alexandre Rodrigues da Silva,-0.85,,,1.0,,1.0,2.0,4.0,,2.0,2.0,1.0,,,,,,,,,,
21,7,D. Braz,12,david-braz,False,23,David Braz,6.51,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,3.24,,266,Fluminense,50317,0.0,David Braz de Oliveira Filho,0.0,,1.0,6.0,8.0,1.0,3.0,3.0,,,,,,,6.0,,,,,,,
22,6,A. Kardec,9,alan-kardec,True,23,Alan Kardec,4.35,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,1.11,,282,Atlético-MG,50347,1.5,Alan Kardec de Sousa Pereira Júnior,0.24,,1.0,1.0,6.0,,3.0,3.0,,1.0,3.0,,,,,,,,,,,
