,atletas.atleta_id,atletas.apelido,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.posicao_id,atletas.clube_id,atletas.preco_num,atletas.nome,atletas.variacao_num,atletas.media_num,atletas.foto,FF,G,CA,DS,FC,FD,FS,I,SG,DE,DP,GS,PC,CV,FT,A,PS,V,PP
39,63058,Willian Farias,,7,W. Farias,1,willian-farias,0.0,Coritiba,2,4,294,2.65,Willian Roberto Farias,-1.35,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,,,,,,,,,,,,,,,,,,,
40,63289,Edenílson,,7,Edenílson,2,edenilson,4.7,Atlético-MG,2,4,282,5.28,Edenílson Andrade dos Santos,0.12,2.35,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,,,,4.0,2.0,,1.0,,,,,,,,,,,,
41,63354,Rodrigo Moledo,,6,R. Moledo,1,rodrigo-moledo,0.0,Internacional,2,3,285,3.94,Rodrigo Modesto da Silva Moledo,0.0,1.1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,,,1.0,2.0,1.0,,,,,,,,,,,,,,
42,68685,Alan Patrick,,7,A. Patrick,2,alan-patrick,3.7,Internacional,2,4,285,11.63,Alan Patrick Lourenço,-0.56,5.8,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,1.0,,,2.0,1.0,1.0,5.0,,,,,,,,,1.0,,,
43,68708,Eduardo,,7,Eduardo,2,eduardo,0.4,Botafogo,2,4,263,13.61,Carlos Eduardo de Oliveira Alves,-1.16,7.15,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,1.0,1.0,1.0,,5.0,,6.0,,,,,,,,,1.0,,,
44,68727,Dodô,,7,Dodô,0,dodo,0.0,Atlético-MG,2,2,282,5.0,José Rodolfo Pires Ribeiro,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,,,,,,,,,,,,,,,,,,,
45,68770,Camacho,,2,Camacho,1,camacho,0.0,Santos,2,4,277,2.77,Guilherme de Aguiar Camacho,0.0,-0.7,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,,,1.0,1.0,3.0,,,,,,,,,,,,,,
46,68773,Henrique Almeida,,6,H. Almeida,2,henrique-almeida,-0.3,América-MG,2,5,327,4.23,Henrique Almeida Caixeta Nascentes,-1.06,1.45,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,1.0,,,,3.0,,,,,,,,,,1.0,,,,
47,68808,Nino Paraíba,,7,N. Paraíba,2,nino-paraiba,3.9,América-MG,2,2,327,4.41,Severino do Ramo Clementino da Silva,-0.24,1.55,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_LO6uOVK.png,,,1.0,2.0,3.0,1.0,5.0,1.0,,,,,1.0,,,,,,
48,68872,Marcelo Lomba,,6,M. Lomba,0,marcelo-lomba,0.0,Palmeiras,2,1,275,8.0,Marcelo Lomba do Nascimento,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,,,,,,,,,,,,,,,,,,
49,68895,Wellington Silva,,6,W. Silva,1,wellington-silva,0.0,Cuiabá,2,5,1371,3.31,Wellington Alves da Silva,-1.69,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,,,,,,,,,,,,,,,,,,,
50,68911,Diego Souza,,5,D. Souza,0,diego-souza,0.0,Grêmio,2,5,284,7.0,Diego Souza de Andrade,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,,,,,,,,,,,,,,,,,,,
51,68917,Vinicius,,7,Vinicius,2,vinicius,6.9,Goiás,2,5,290,8.68,Vinicius Santos Silva,1.91,6.2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,5.0,,,5.0,3.0,2.0,2.0,1.0,,,,,,,,,,,
52,68920,Dudu,,7,Dudu,2,dudu,8.7,Palmeiras,2,5,275,16.17,Eduardo Pereira Rodrigues,0.36,8.6,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,1.0,,,1.0,,1.0,2.0,,,,,,,,1.0,2.0,,,
53,68923,Gil,,7,Gil,2,gil,-0.3,Corinthians,2,3,264,4.68,Carlos Gilberto do Nascimento Silva,-1.77,0.85,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,1.0,,,,1.0,1.0,,,,,,,,,,,,,
54,68928,Rafael,,7,Rafael,2,rafael,12.0,São Paulo,2,1,276,7.49,Rafael Pires Monteiro,2.97,5.5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,,,,,,,,1.0,8.0,,2.0,,,,,,,
55,68940,Rafael Cabral,,7,R. Cabral,2,rafael-cabral,12.5,Cruzeiro,2,1,283,10.46,Rafael Cabral Barbosa,3.36,7.75,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,,,,,,,1.0,,1.0,12.0,,2.0,,,,,,,
56,68942,Luciano Castán,,7,L. Castán,2,luciano-castan,5.9,Cruzeiro,2,3,283,5.02,Luciano Castán da Silva,1.54,3.65,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,1.0,,,2.0,3.0,,,,1.0,,,,,,,,,,
57,68952,Marinho,,2,Marinho,2,marinho,0.5,Flamengo,2,5,262,3.12,Mário Sérgio Santos Costa,-1.33,0.2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
58,68991,Lucas Sasha,,6,L. Sasha,2,lucas-sasha,-0.3,Fortaleza,2,4,356,5.92,Lucas Pacheco Affini,-1.44,2.05,https://s.sde.globo.com/media/person_role/2022/07/16/d91654c9e126e6f3f17fd09b816eedf5_FORMATO.png,,,,5.0,6.0,,,1.0,,,,,,,,,,,
59,69010,João Carlos,,6,J. Carlos,0,joao-carlos,0.0,Cuiabá,2,1,1371,3.0,João Carlos Heidemann,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,,,,,,,,,,,,,,,,,,
60,69012,Santos,,7,Santos,2,santos,0.0,Flamengo,2,1,262,10.57,Aderbar Melo dos Santos Neto,-2.01,4.25,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,,,,,,1.0,,1.0,5.0,,2.0,,,,,,,
