,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
29,Atlético-MG,4.99,0.0,1,Réver,6,Réver Humberto Alves Araújo,rever,4.42,Réver,6,3,4.7,0.0,282,52253,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,1.0,,1.0,,,,,,,1.0,,,,,,,,,,
30,Flamengo,7.47,13.3,3,D. Luiz,6,David Luiz Moreira Marinho,david-luiz,8.37,David Luiz,5,3,6.63,2.15,262,52827,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1.0,2.0,5.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,
31,Vasco,1.6,2.5,6,A. Teixeira,6,Alex Teixeira Santos,alex-teixeira,6.23,Alex Teixeira,7,4,2.93,0.23,267,60793,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,,3.0,10.0,2.0,3.0,5.0,,3.0,,,,,,,,2.0,,,,
32,América-MG,0.89,1.3,6,F. Azevedo,6,Felipe Azevedo dos Santos,felipe-azevedo,3.59,Felipe Azevedo,7,5,1.07,0.02,327,60825,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,,1.0,4.0,2.0,2.0,5.0,,1.0,,,,,,,,,,,,
33,Cuiabá,4.52,0.0,0,Uendel,6,Uendel Pereira Gonçalves,uendel,4.0,Uendel,6,2,0.0,0.0,1371,60852,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,,,,,,,,,,,,,,,,,,,
34,Bahia,3.07,0.0,1,Cicinho,6,Neuciano de Jesus Gusmão,cicinho,2.72,Cicinho,6,2,-0.1,0.0,265,61106,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
35,Cruzeiro,8.96,16.1,6,Gilberto,6,Gilberto Oliveira Souza Júnior,gilberto,10.83,Gilberto,2,5,6.08,3.03,283,61188,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,1.0,3.0,9.0,1.0,12.0,4.0,3.0,2.0,,,,,,,,,,,,
36,Fluminense,5.98,0.0,1,Alan,6,Alan Douglas Borges de Carvalho,alan,5.29,Alan,6,5,8.0,0.0,266,62969,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,,,,,,,1.0,,,,,,,,,,,,,
37,Fluminense,7.72,13.5,6,Ganso,6,Paulo Henrique Chagas de Lima,ganso,13.46,Ganso,7,4,7.27,1.56,266,62977,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,,5.0,1.0,2.0,,9.0,2.0,,,,,,,,,3.0,,,,
38,Palmeiras,7.07,0.0,1,M. Rocha,6,Marcos Luis Rocha Aquino,marcos-rocha,6.26,Marcos Rocha,5,2,4.7,0.0,275,63013,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,,4.0,2.0,,,1.0,,,,,,,,,,,,,,
