,atletas.status_id,atletas.foto,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.clube_id,atletas.slug,atletas.nome,atletas.rodada_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.minimo_para_valorizar,CA,DE,FS,GS,PC,SG,V,A,CV,DS,FC,FD,FF,I,PS,FT,G,PP,DP,GC
40,6,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,4.21,63024,0.14,4,1.75,Coritiba,294,fransergio,Fransérgio Rodrigues Barbosa,17,1.7,Fransérgio,Fransérgio,4,1.22,,,3.0,,,,,,,3.0,3.0,1.0,2.0,,,,,,,
41,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,3.8,63058,0.0,4,2.43,Coritiba,294,willian-farias,Willian Roberto Farias,17,0.0,W. Farias,Willian Farias,3,3.08,1.0,,4.0,,,,,,,6.0,3.0,,,,,,,,,
42,7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,5.38,63289,0.0,4,2.15,Atlético-MG,282,edenilson,Edenílson Andrade dos Santos,17,0.0,Edenílson,Edenílson,14,1.72,,,7.0,,,,,2.0,,15.0,11.0,1.0,1.0,,,,,,,
43,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,2.82,63354,0.0,3,1.26,Internacional,285,rodrigo-moledo,Rodrigo Modesto da Silva Moledo,17,0.0,R. Moledo,Rodrigo Moledo,7,-1.95,3.0,,3.0,,,1.0,,,,4.0,2.0,1.0,,1.0,,,,,,
44,7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,8.54,68685,0.64,4,2.43,Internacional,285,alan-patrick,Alan Patrick Lourenço,17,4.3,A. Patrick,Alan Patrick,14,3.09,4.0,,26.0,,,,,2.0,,5.0,12.0,4.0,6.0,1.0,,1.0,,,,
45,7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,12.08,68708,-2.06,4,5.2,Botafogo,263,eduardo,Carlos Eduardo de Oliveira Alves,17,-1.3,Eduardo,Eduardo,14,-1.08,4.0,,30.0,,,,,3.0,,8.0,20.0,3.0,2.0,,,2.0,4.0,,,
46,7,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,3.36,68727,-0.48,2,1.98,Santos,277,dodo,José Rodolfo Pires Ribeiro,17,-0.1,Dodô,Dodô,4,-0.05,1.0,,4.0,,,,,,,6.0,1.0,,,,,,,,,
47,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,1.72,68770,-0.7,4,0.83,Santos,277,camacho,Guilherme de Aguiar Camacho,17,-1.9,Camacho,Camacho,7,-1.36,2.0,,2.0,,,,,,1.0,12.0,15.0,,,1.0,,,,,,
48,6,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,5.89,68872,0.0,1,1.0,Palmeiras,275,marcelo-lomba,Marcelo Lomba do Nascimento,17,0.0,M. Lomba,Marcelo Lomba,1,7.91,,2.0,,1.0,,,,,,,,,,,,,,,,
49,6,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,4.78,68895,1.36,5,2.06,Cuiabá,1371,wellington-silva,Wellington Alves da Silva,17,7.9,W. Silva,Wellington Silva,15,5.72,1.0,,20.0,,,,,,,16.0,7.0,2.0,3.0,2.0,,,,,,
50,7,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,7.2,68917,0.73,5,3.2,Goiás,290,vinicius,Vinicius Santos Silva,17,5.0,Vinicius,Vinicius,9,3.61,1.0,,10.0,,,,,,,13.0,8.0,4.0,9.0,3.0,,,,,,
51,6,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,16.34,68920,0.0,5,6.36,Palmeiras,275,dudu,Eduardo Pereira Rodrigues,17,0.0,Dudu,Dudu,13,9.86,,,38.0,,,,,3.0,,6.0,8.0,7.0,11.0,3.0,,1.0,3.0,,,
52,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,4.72,68923,-1.16,3,2.56,Corinthians,264,gil,Carlos Gilberto do Nascimento Silva,17,-0.3,Gil,Gil,15,-0.28,5.0,,3.0,,,4.0,,,,16.0,14.0,3.0,4.0,1.0,,,,,,
53,7,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,8.74,68928,1.07,1,3.63,São Paulo,276,rafael,Rafael Pires Monteiro,17,8.2,Rafael,Rafael,16,5.89,,47.0,2.0,16.0,,5.0,,,,1.0,,,,,,,,,,
54,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,9.65,68940,-0.38,1,4.28,Cruzeiro,283,rafael-cabral,Rafael Cabral Barbosa,17,-2.0,R. Cabral,Rafael Cabral,17,-1.61,3.0,55.0,1.0,15.0,1.0,7.0,,,,1.0,,,,,,,,,,
55,7,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,5.78,68942,-0.01,3,2.87,Cruzeiro,283,luciano-castan,Luciano Castán da Silva,17,0.5,L. Castán,Luciano Castán,16,0.28,4.0,,12.0,,,6.0,,,,12.0,14.0,2.0,2.0,1.0,,,,,,
56,7,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,3.11,68952,0.25,5,1.59,Fortaleza,356,marinho,Mário Sérgio Santos Costa,17,3.4,Marinho,Marinho,8,2.49,2.0,,14.0,,,,,,,2.0,9.0,5.0,3.0,4.0,,,,,,
57,6,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,6.34,68991,0.32,4,3.22,Fortaleza,356,lucas-sasha,Lucas Pacheco Affini,17,3.8,L. Sasha,Lucas Sasha,9,2.73,2.0,,7.0,,,,,,,25.0,16.0,,3.0,1.0,,,,,,
58,6,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,3.0,69010,0.0,1,0.0,Cuiabá,1371,joao-carlos,João Carlos Heidemann,17,0.0,J. Carlos,João Carlos,0,3.96,,,,,,,,,,,,,,,,,,,,
59,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,9.47,69012,0.0,1,3.25,Flamengo,262,santos,Aderbar Melo dos Santos Neto,17,0.0,Santos,Santos,6,5.55,,17.0,1.0,8.0,,2.0,,,,,,,,,,,,,,
60,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,5.19,69014,0.0,3,1.97,Fluminense,266,manoel,Manoel Messias Silva Carvalho,17,0.0,Manoel,Manoel,6,1.25,1.0,,1.0,,1.0,2.0,,,,3.0,1.0,,,,,,,,,
61,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,3.57,69022,0.0,5,0.4,Athlético-PR,293,marcelo-cirino,Marcelo Cirino da Silva,17,0.0,M. Cirino,Marcelo Cirino,3,2.19,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,
62,5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,4.5,69034,0.0,4,2.1,Corinthians,264,paulinho,José Paulo Bezerra Maciel Júnior,17,0.0,Paulinho,Paulinho,4,2.7,,,2.0,,,,,,,6.0,2.0,,1.0,,,,,,,
