,atletas.clube.id.full.name,atletas.posicao_id,atletas.jogos_num,atletas.atleta_id,atletas.nome,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.foto,CA,DS,FC,FD,FF,FS,FT,G,SG,A,I,V,PP,PS,DE,GS,CV,DP,GC,PC
21,São Paulo,5,0,49675,Alexandre Rodrigues da Silva,0.0,11,A. Pato,,0.0,6,alexandre-pato,Alexandre Pato,0.0,276,5.0,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,,,,,,,,,,,,,,,,,,,,
22,Fluminense,3,6,50317,David Braz de Oliveira Filho,2.3,11,D. Braz,,0.5,6,david-braz,David Braz,2.7,266,5.57,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,1.0,2.0,4.0,,,2.0,,,3.0,,,,,,,,,,,
23,Atlético-MG,5,0,50347,Alan Kardec de Sousa Pereira Júnior,0.0,11,A. Kardec,,0.0,6,alan-kardec,Alan Kardec,0.0,282,6.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,,,,,,,,,,,,,,,,,,,,
24,Fortaleza,3,10,50353,Christian Chagas Tarouco,8.8,11,Titi,,1.31,7,titi,Titi,5.36,356,8.83,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,2.0,19.0,9.0,1.0,1.0,9.0,,,6.0,,,,,,,,,,,1.0
25,Coritiba,3,7,50856,Henrique Adriano Buss,0.0,11,Henrique,,0.0,7,henrique,Henrique,1.13,294,3.51,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,2.0,4.0,7.0,1.0,,2.0,,,1.0,,,,,,,,,,,
26,Goiás,2,7,51042,Luiz Diallison de Souza Alves,3.3,11,Apodi,,0.11,6,apodi,Apodi,2.46,290,5.36,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,1.0,1.0,4.0,3.0,,2.0,,1.0,1.0,,4.0,,,1.0,,,,,,
27,Cuiabá,1,11,51413,Walter Leandro Capeloza Artune,0.0,11,Walter,,-0.73,7,walter,Walter,2.59,1371,5.09,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1.0,,,,,1.0,,,2.0,,,,,,35.0,15.0,,,,1.0
28,Corinthians,4,8,51548,Giuliano Victor de Paula,1.2,11,Giuliano,,0.16,6,giuliano,Giuliano,0.43,264,2.47,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,1.0,3.0,5.0,,1.0,3.0,,,,,,,,,,,,,,
29,Flamengo,4,7,51772,Everton Augusto de Barros Ribeiro,0.5,11,E. Ribeiro,,-0.7,2,everton-ribeiro,Everton Ribeiro,4.51,262,8.75,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,,9.0,7.0,2.0,2.0,12.0,,1.0,,1.0,1.0,,,,,,,,,
30,Atlético-MG,3,2,52253,Réver Humberto Alves Araújo,0.0,11,Réver,,0.0,6,rever,Réver,4.85,282,4.52,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,1.0,,1.0,,,,,,2.0,,,,,,,,,,,
