,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.entrou_em_campo,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.media_num,atletas.atleta_id,atletas.clube_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.foto,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PC,SG,PS,PP,DE,GS,PI,DP,GC,V
28,,4,Everton Augusto de Barros Ribeiro,Flamengo,everton-ribeiro,14,6,True,19,0.2,Everton Ribeiro,3.71,51772,262,E. Ribeiro,8.61,-0.27,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,2.0,1.0,12.0,10.0,3.0,5.0,16.0,,2.0,1.0,,,,,,,,,,,
29,,3,Réver Humberto Alves Araújo,Atlético-MG,rever,3,6,True,19,5.0,Réver,4.9,52253,282,Réver,4.49,-0.03,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,,1.0,,1.0,,,,,,,,,3.0,,,,,,,,
30,,3,David Luiz Moreira Marinho,Flamengo,david-luiz,12,6,False,19,0.0,David Luiz,4.0,52827,262,D. Luiz,6.95,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1.0,1.0,12.0,13.0,2.0,2.0,3.0,,1.0,,,,4.0,,,,,,,,
31,,4,Alex Teixeira Santos,Vasco,alex-teixeira,14,6,False,19,0.0,Alex Teixeira,2.7,60793,267,A. Teixeira,6.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,3.0,1.0,6.0,20.0,5.0,10.0,19.0,,,8.0,,,,,,,,,,,
32,,5,Felipe Azevedo dos Santos,América-MG,felipe-azevedo,14,6,False,19,0.0,Felipe Azevedo,2.77,60825,327,F. Azevedo,4.84,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,,,7.0,12.0,4.0,5.0,13.0,1.0,2.0,1.0,,,,,,,,,,,
33,,2,Uendel Pereira Gonçalves,Cuiabá,uendel,2,6,False,19,0.0,Uendel,2.0,60852,1371,Uendel,3.42,0.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,1.0,,,,,,,,,,,1.0,,,,,,,,
34,,2,Neuciano de Jesus Gusmão,Bahia,cicinho,9,6,False,19,0.0,Cicinho,3.63,61106,265,Cicinho,3.77,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,,3.0,13.0,19.0,2.0,1.0,9.0,1.0,,,,,3.0,,,,,,,,
35,,5,Gilberto Oliveira Souza Júnior,Cruzeiro,gilberto,17,6,True,19,-1.6,Gilberto,3.15,61188,283,Gilberto,7.65,-0.32,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,1.0,4.0,6.0,16.0,5.0,19.0,11.0,,3.0,4.0,,,,,,,,,,,
36,,5,Alan Douglas Borges de Carvalho,Fluminense,alan,1,6,False,19,0.0,Alan,8.0,62969,266,Alan,5.29,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,,,,,,,,,1.0,,,,,,,,,,,,
37,,4,Paulo Henrique Chagas de Lima,Fluminense,ganso,16,7,True,19,1.7,Ganso,4.11,62977,266,Ganso,10.59,0.11,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,3.0,2.0,12.0,9.0,2.0,2.0,26.0,,3.0,1.0,,,,,,,,,,,
38,,2,Marcos Luis Rocha Aquino,Palmeiras,marcos-rocha,6,6,False,19,0.0,Marcos Rocha,2.8,63013,275,M. Rocha,4.91,0.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,,,10.0,9.0,,,7.0,,,,,1.0,1.0,,,,,,,,
39,,4,Fransérgio Rodrigues Barbosa,Coritiba,fransergio,6,7,True,19,2.1,Fransérgio,1.82,63024,294,Fransérgio,4.37,0.1,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,,,5.0,5.0,1.0,4.0,4.0,,,,,,,,,,,,,,
40,,4,Willian Roberto Farias,Coritiba,willian-farias,3,6,False,19,0.0,Willian Farias,2.43,63058,294,W. Farias,3.8,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
