,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
32,Alex Teixeira Santos,4.2,,9,9,6.25,60793,0.58,4,A. Teixeira,alex-teixeira,Vasco,2.48,Alex Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,7,267,2.0,5.0,15.0,3.0,6.0,8.0,,,5.0,1.0,,,,,,,,,,
33,Felipe Azevedo dos Santos,6.5,,9,9,5.07,60825,1.19,5,F. Azevedo,felipe-azevedo,América-MG,2.25,Felipe Azevedo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,7,327,,4.0,8.0,3.0,3.0,8.0,,1.0,1.0,,,,,,,,,,,
34,Uendel Pereira Gonçalves,0.0,,9,0,4.0,60852,0.0,2,Uendel,uendel,Cuiabá,0.0,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,6,1371,,,,,,,,,,,,,,,,,,,,
35,Neuciano de Jesus Gusmão,9.0,,9,2,4.18,61106,1.46,2,Cicinho,cicinho,Bahia,4.45,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,7,265,,4.0,3.0,,,4.0,,,,2.0,1.0,,,,,,,,,
36,Gilberto Oliveira Souza Júnior,0.7,,9,9,8.69,61188,-0.69,5,Gilberto,gilberto,Cruzeiro,4.79,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,7,283,,5.0,10.0,4.0,14.0,5.0,,3.0,4.0,2.0,,,,,,,,,,
37,Alan Douglas Borges de Carvalho,0.0,,9,1,5.29,62969,0.0,5,Alan,alan,Fluminense,8.0,Alan,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,6,266,,,,,,,,1.0,,,,,,,,,,,,
38,Paulo Henrique Chagas de Lima,7.6,,9,9,12.57,62977,0.95,4,Ganso,ganso,Fluminense,6.11,Ganso,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,7,266,3.0,7.0,3.0,2.0,,14.0,,3.0,,1.0,,,,,,,,,,
39,Marcos Luis Rocha Aquino,0.0,,9,2,5.12,63013,0.0,2,M. Rocha,marcos-rocha,Palmeiras,3.3,Marcos Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,6,275,,5.0,3.0,,,3.0,,,,,,,,,,,,,,
40,Willian Roberto Farias,0.0,,9,3,3.8,63058,0.0,4,W. Farias,willian-farias,Coritiba,2.43,Willian Farias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,6,294,,6.0,3.0,,,4.0,,,,1.0,,,,,,,,,,
41,Edenílson Andrade dos Santos,0.5,,9,8,5.03,63289,-0.66,4,Edenílson,edenilson,Atlético-MG,2.22,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,7,282,1.0,9.0,4.0,1.0,,4.0,,,,,,,,,,,,,,
