,atletas.apelido,atletas.posicao_id,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.rodada_id,atletas.preco_num,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,PP,PC,SG,PS,CV,DE,DP,GC,GS,FT,V,PI
387,Vitinho,5,-0.22,,True,3.84,Bragantino,1.2,vitinho,Vitinho,101960,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Hob15WK.png,280,21,Vitor Hugo Naum dos Santos,27,6.7,7,2.0,7.0,14.0,30.0,14.0,23.0,38.0,2.0,3.0,,,,,,,,,,,,
388,Brítez,3,0.0,,False,3.35,Fortaleza,0.0,britez,Brítez,101995,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qvH6Q9A.png,356,22,Emanuel Fermín Brítez,27,7.62,2,1.0,8.0,25.0,31.0,3.0,9.0,19.0,,2.0,,1.0,8.0,,1.0,,,,,,,
389,Anderson Oliveira,5,0.0,,False,2.42,Goiás,0.0,anderson-oliveira,A. Oliveira,102096,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_AFDNRnG.png,290,13,Anderson de Oliveira da Silva,27,4.96,7,1.0,1.0,14.0,14.0,,7.0,13.0,,1.0,,,,,,,,,,1.0,,
390,Piquerez,2,0.41,,True,5.66,Palmeiras,6.5,piquerez,Piquerez,102130,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_04Y9scz.png,275,19,Joaquín Piquerez Moreira,27,10.86,7,3.0,5.0,40.0,11.0,2.0,5.0,19.0,,2.0,,,8.0,,,,,1.0,,,,
391,Vitor Eudes,1,0.0,,False,0.0,Fluminense,0.0,vitor-eudes,V. Eudes,102137,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_FvWKOzt.png,266,0,Vitor Eudes de Souza Costa,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
392,Lucas Halter,3,0.0,,False,3.58,Goiás,0.0,lucas-halter,L. Halter,102253,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_DlFIoVh.png,290,21,Lucas Halter,27,5.59,6,,6.0,23.0,18.0,,5.0,6.0,3.0,2.0,,1.0,7.0,,2.0,,,,,,,
393,Gabriel Mesquita,1,0.0,,False,-1.0,Cruzeiro,0.0,gabriel-mesquita,G. Mesquita,102290,https://s.sde.globo.com/media/person_role/2023/05/30/photo_220x220.png,283,0,Gabriel José Ferreira Mesquita,27,0.7,6,,1.0,,,,,,,,,,,,,,,,,,,
394,Mikael,5,0.0,,False,1.68,América-MG,0.0,mikael,Mikael,102299,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_rNTDYYW.png,327,5,Mikael Filipe Viana,27,3.0,6,,,1.0,,2.0,5.0,2.0,,2.0,,,,,,,,,,,,
395,Rafael Elias,5,0.0,,False,3.82,Cruzeiro,0.0,rafael-elias,R. Elias,102302,https://s.sde.globo.com/media/person_role/2023/07/27/photo_FORMATO_C3BThsf.png,283,5,Rafael Elias da Silva,27,5.71,5,,1.0,3.0,9.0,4.0,5.0,5.0,1.0,1.0,,,,,,,,,,,,
396,Matheus Felipe,3,0.0,,False,1.7,Athlético-PR,0.0,matheus-felipe,M. Felipe,102310,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,293,5,Matheus Felipe Santos Nascimento,27,2.53,6,,,2.0,3.0,1.0,1.0,,,,,,1.0,,,,,,,,,
397,Caio Paulista,2,-1.22,,True,4.24,São Paulo,1.6,caio-paulista,C. Paulista,102318,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,276,20,Caio Fernando de Oliveira,27,8.96,3,2.0,3.0,19.0,15.0,11.0,8.0,26.0,,,,1.0,5.0,,,,,,,1.0,,
398,Cacá,3,0.3,,True,4.12,Athlético-PR,3.6,caca,Cacá,102340,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_EPR1F0c.png,293,9,Carlos de Menezes Júnior,27,5.12,7,,1.0,14.0,11.0,,2.0,4.0,2.0,,,,1.0,,,,,,,,,
399,Mastriani,5,-1.3,,True,5.58,América-MG,7.9,mastriani,Mastriani,102561,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_6Ys1TEq.png,327,13,Gonzalo Mathías Mastriani Borges,27,5.99,7,1.0,1.0,5.0,8.0,5.0,12.0,9.0,6.0,2.0,,,,,1.0,,,,,,,
400,Helinho,5,1.45,,True,3.91,Bragantino,9.3,helinho,Helinho,102598,https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,280,15,Hélio Júnio Nunes de Castro,27,6.74,7,1.0,4.0,18.0,15.0,8.0,11.0,13.0,2.0,2.0,,,,,,,,,,,,
401,Anderson,1,0.0,,False,6.0,Cruzeiro,0.0,anderson,Anderson,102906,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Lvl4bA5.png,283,1,Anderson Silva da Paixão,27,3.24,6,,,,,,,,,,,,1.0,,,1.0,,,,,,
402,Matheus Teixeira,1,0.0,,False,0.0,Bahia,0.0,matheus-teixeira,M. Teixeira,102907,https://s.sde.globo.com/media/person_role/2022/04/05/ff4149be4042453395add145d010bd49_FORMATO.png,265,0,Matheus Henrique Teixeira,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
403,Luan,4,0.0,,False,1.97,São Paulo,0.0,luan,Luan,102909,https://s.sde.globo.com/media/person_role/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,276,10,Luan Vinícius da Silva Santos ,27,4.2,6,,,12.0,9.0,,3.0,5.0,,,,,,,,,,,,1.0,,
404,Canobbio,5,-0.13,,True,5.24,Athlético-PR,3.7,canobbio,Canobbio,102928,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,293,20,Agustín Canobbio Graviz,27,7.49,3,3.0,8.0,39.0,28.0,17.0,14.0,35.0,1.0,6.0,,1.0,,1.0,,,,,,1.0,,
405,Escobar,2,0.1,,True,1.9,Fortaleza,1.1,escobar,Escobar,102975,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO_LH8zzYb.png,356,7,Gonzalo Daniel Escobar,27,3.57,3,1.0,3.0,9.0,12.0,,2.0,5.0,,,,,,,,,,,,,,
406,Laquintana,5,0.0,,False,1.73,Bragantino,0.0,laquintana,Laquintana,103014,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_roWm5iE.png,280,3,Ignacio Jesús Laquintana Marsico,27,3.09,6,,,2.0,3.0,2.0,,3.0,,2.0,,,,,,,,,,,,
407,Eric Ramires,4,0.17,,True,3.57,Bragantino,8.0,eric-ramires,E. Ramires,103295,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,280,18,Eric dos Santos Rodrigues,27,4.9,6,2.0,1.0,15.0,17.0,4.0,5.0,13.0,3.0,1.0,,,,,,,,,,1.0,,
408,Matheus Alexandre,2,0.45,,True,5.01,Cuiabá,8.3,matheus-alexandre,M. Alexandre,103347,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,1371,23,Matheus Alexandre Anastácio de Souza,27,8.47,7,,3.0,62.0,21.0,1.0,3.0,8.0,1.0,3.0,,,7.0,,,,,,,,,
409,Emmanuel Martínez,4,0.37,,True,4.02,América-MG,2.7,emmanuel-martinez,E. Martínez,103388,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_cPLErDD.png,327,23,Leandro Emmanuel Martínez,27,6.43,7,4.0,2.0,37.0,22.0,6.0,7.0,44.0,,,,1.0,,,,,,,,1.0,,
410,Caetano,3,-0.03,,True,2.21,Corinthians,2.1,caetano,Caetano,103575,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,264,11,João Victor Andrade Caetano,27,3.0,6,,2.0,13.0,7.0,,1.0,6.0,,,,1.0,2.0,,,,,,,,,
411,Rafael Bilu,5,0.0,,False,2.08,Cruzeiro,0.0,rafael-bilu,R. Bilu,103576,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_L5qGZ0n.png,283,4,Rafael Bilu Mudesto,27,2.83,5,,,4.0,1.0,,3.0,3.0,,1.0,,,,,,,,,,,,
412,Lúcio Flávio,6,-0.58,,True,8.0,Botafogo,4.96,lucio-flavio,L. Flávio,103582,https://s.sde.globo.com/media/person_role/2022/03/08/fb8a9a99b74f23b669c36d16348d819f_FORMATO.png,263,3,Lúcio Flávio dos Santos,27,11.63,7,,,,,,,,,,,,,,,,,,,,3.0,
413,Marcos Paulo,5,0.0,,False,3.06,São Paulo,0.0,marcos-paulo,M. Paulo,103645,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png,276,15,Marcos Paulo Costa do Nascimento,27,7.42,5,1.0,2.0,15.0,8.0,2.0,4.0,12.0,2.0,2.0,,,,,,,,,,,,
414,Kaíque Rocha,3,0.74,,True,4.88,Athlético-PR,7.0,kaique-rocha,K. Rocha,103684,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,293,4,Kaíque Rocha Lima,27,4.41,6,,1.0,5.0,2.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,
415,Jadsom Silva,4,-0.5,,True,1.39,Bragantino,-0.3,jadsom-silva,J. Silva,103695,https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,280,20,Jadsom Meemyas de Oliveira da Silva,27,2.3,7,,6.0,24.0,24.0,4.0,4.0,13.0,,1.0,,2.0,,,,,,,,,,
416,Bruno Méndez,3,0.0,,False,2.72,Corinthians,0.0,bruno-mendez,B. Méndez,103700,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,264,20,Bruno Méndez Cittadini,27,3.38,7,1.0,3.0,22.0,13.0,,4.0,3.0,,1.0,,,5.0,,,,,,,,,
417,Gabriel Menino,4,-1.39,,True,4.19,Palmeiras,0.0,gabriel-menino,G. Menino,103767,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,275,24,Gabriel Vinícius Menino,27,8.5,2,3.0,5.0,38.0,39.0,6.0,17.0,28.0,2.0,2.0,,,,,,,,,,2.0,,
418,Higor Meritão,4,0.33,,True,0.52,Goiás,2.7,higor-meritao,H. Meritão,103987,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_uo7UAHd.png,290,4,Higor Matheus Meritão,27,1.5,7,,,,3.0,,,,,,,,,,,,,,,1.0,,
419,Maycon,1,0.0,,False,0.0,Bragantino,0.0,maycon,Maycon,104017,https://s.sde.globo.com/media/person_role/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,280,0,Maycon Cleiton de Paula Azevedo,27,3.0,6,,,,,,,,,,,,,,,,,,,,,
420,Walce,3,0.0,,False,0.0,São Paulo,0.0,walce,Walce,104074,https://s.sde.globo.com/media/person_role/2022/03/01/42769c38f612d4af2143de3132ce1cec_220x220.png,276,0,Walce da Silva Costa Filho,27,3.0,6,,,,,,,,,,,,,,,,,,,,,
421,João Fernando,1,0.0,,False,0.0,Botafogo,0.0,joao-fernando,J. Fernando,104079,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5Z0375l.png,263,0,João Fernando Monteiro Siqueira,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
422,Carlos Miguel,1,0.0,,False,0.0,Corinthians,0.0,carlos-miguel,C. Miguel,104084,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,264,0,Carlos Miguel dos Santos Pereira,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
423,Bruno Fuchs,3,1.04,,True,3.71,Atlético-MG,5.9,bruno-fuchs,B. Fuchs,104085,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,282,13,Bruno de Lara Fuchs,27,5.39,7,,1.0,10.0,9.0,,,10.0,,,,,7.0,,,,,,,,,
424,Ruan,4,0.26,,True,4.33,Corinthians,4.6,ruan,Ruan,104153,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,264,14,Ruan de Oliveira Ferreira,27,4.38,6,2.0,2.0,22.0,17.0,3.0,6.0,12.0,2.0,,,,,1.0,,,,,,,,
425,João Lucas,2,0.0,,False,4.23,Santos,0.0,joao-lucas,J. Lucas,104257,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,277,12,João Lucas de Almeida Carvalho,27,4.62,6,1.0,1.0,23.0,11.0,1.0,4.0,18.0,,,,1.0,2.0,,,,,,,,,
426,Lucas Rafael,3,0.0,,False,3.15,Bragantino,0.0,lucas-rafael,L. Rafael,104360,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_J1rhwK6.png,280,2,Lucas Rafael Gonçalves da Silva,27,3.95,6,,,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,
427,Matheus Mendes,1,0.0,,False,7.0,Atlético-MG,0.0,matheus-mendes,M. Mendes,104383,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,282,1,Matheus Mendes Werneck de Oliveira,27,3.42,6,,1.0,,,,,,,,,,1.0,,,3.0,,,,,,
428,Igor Gomes,3,0.0,,False,2.85,Internacional,0.0,igor-gomes,I. Gomes,104385,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,285,15,Igor Gomes Silva,27,4.7,6,,3.0,20.0,8.0,2.0,3.0,11.0,,,,1.0,3.0,,,,,,,,,
429,Vitor Mendes,3,0.0,,False,4.95,Fluminense,0.0,vitor-mendes,V. Mendes,104401,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_L4w297p.png,266,2,Vitor Mendes Alves,27,6.66,3,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,
430,Reinaldo,5,0.0,,False,1.7,Athlético-PR,0.0,reinaldo,Reinaldo,104420,https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png,293,1,Reinaldo Nascimento Satorno,27,2.39,6,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
431,Felipe Scheibig,1,0.0,,False,0.0,Grêmio,0.0,felipe-scheibig,F. Scheibig,104424,https://s.sde.globo.com/media/person_role/2021/07/16/79af8f6f344db19983598078705340fc_FORMATO.png,284,0,Felipe Mateus Scheibig,27,1.0,5,,,,,,,,,,,,,,,,,,,,,
432,Christian,4,0.0,,False,4.7,Athlético-PR,0.0,christian,Christian,104502,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,293,14,Christian Roberto Alves Cardoso,27,10.5,5,,,17.0,21.0,3.0,7.0,15.0,4.0,,,,,,,,,,,1.0,,
433,Henrique Vermudt,3,0.0,,False,0.0,Botafogo,0.0,henrique-vermudt,H. Vermudt,104504,https://s.sde.globo.com/media/person_role/2023/07/30/photo_FORMATO_iztb5Pm.png,263,0,Henrique Vermudt,27,3.0,6,,,,,,,,,,,,,,,,,,,,,
434,Vinícius Zanocelo,4,0.0,,False,0.68,Fortaleza,0.0,vinicius-zanocelo,V. Zanocelo,104521,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_OPlr7ly.png,356,6,Vinícius Nelson de Souza Zanocelo,27,3.32,6,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,
435,Sandry,4,0.0,,False,0.52,Santos,0.0,sandry,Sandry,104580,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_bbHXWKZ.png,277,5,Sandry Roberto Santos Goes,27,2.54,5,,2.0,4.0,4.0,,,2.0,,,,,,,,,,,,,,
436,Fabrício,1,0.0,,False,0.0,Bragantino,0.0,fabricio,Fabrício,104588,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AAId2Kq.png,280,0,Fabrício Oliveira de Souza,27,1.0,6,,,,,,,,,,,,,,,,,,,,,
437,Matheus Bianqui,4,-0.5,,True,3.01,Coritiba,5.8,matheus-bianqui,M. Bianqui,104640,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_nFBy3HF.png,294,17,Matheus Henrique Bianqui,27,4.33,7,1.0,6.0,30.0,26.0,4.0,5.0,15.0,1.0,2.0,,,,,,,,,,,,
438,Juan Vojvoda,6,-0.49,,True,5.24,Fortaleza,2.8,juan-vojvoda,J. Vojvoda,104754,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,356,27,Juan Pablo Vojvoda Rizzo,27,12.51,7,,,,,,,,,,,,,,,,,,,,12.0,
439,Acevedo,4,0.09,,True,2.52,Bahia,0.8,acevedo,Acevedo,104783,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,265,20,Nicolás Brian Acevedo Tabárez,27,4.68,7,,5.0,35.0,24.0,3.0,10.0,18.0,,,,,,,,,,,,,,
440,Sebastián Gómez,4,-0.04,,True,3.88,Coritiba,1.6,sebastian-gomez,S. Gómez,104811,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_fnuIkZJ.png,294,9,Sebastián Gómez Londoño,27,6.18,7,1.0,1.0,11.0,7.0,,,8.0,2.0,2.0,,,,,,,,,,,,
441,Igo Gabriel,1,0.0,,False,0.0,Botafogo,0.0,igo-gabriel,I. Gabriel,104991,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_C8GywEv.png,263,0,Igo Gabriel Santos Pereira,27,1.0,6,,,,,,,,,,,,,,,,,,,,,
442,João Marcelo,3,0.0,,False,0.9,Cruzeiro,0.0,joao-marcelo,J. Marcelo,105047,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_vuySYbE.png,283,1,João Marcelo Messias Ferreira,27,2.43,6,,,1.0,1.0,,,,,,,,,,,,,,,,,
443,Luis Henrique,5,-0.45,,True,2.97,Botafogo,-0.3,luis-henrique,L. Henrique,105049,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,263,25,Luis Henrique Tomaz de Lima,27,5.29,6,2.0,,12.0,5.0,7.0,10.0,5.0,4.0,1.0,,,,1.0,,,,,,,,
444,Khellven,2,0.0,,False,4.5,Athlético-PR,0.0,khellven,Khellven,105175,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7lRpDNN.png,293,14,Khellven Douglas Silva Oliveira,27,7.74,6,3.0,1.0,15.0,9.0,2.0,3.0,8.0,,3.0,,,5.0,,,,,,,,,
445,Bento,1,0.27,,True,3.69,Athlético-PR,3.0,bento,Bento,105208,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,293,21,Bento Matheus Krepski,27,9.52,7,1.0,3.0,,2.0,,,2.0,,,,,6.0,,,63.0,1.0,,25.0,,,
446,De Lucca,4,0.0,,False,0.0,Vasco,0.0,de-lucca,D. Lucca,105294,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_J73ZkrF.png,267,0,Patrick de Lucca Chaves de Oliveira,27,3.0,5,,,,,,,,,,,,,,,,,,,,,
447,Ferraresi,3,0.0,,False,0.0,São Paulo,0.0,ferraresi,Ferraresi,105300,https://s.sde.globo.com/media/person_role/2022/08/13/a5301263d96806640ddf67cec70f99e7_FORMATO.png,276,0,Nahuel Adolfo Ferraresi Hernández,27,6.0,6,,,,,,,,,,,,,,,,,,,,,
448,Gabriel Xavier,3,0.0,,False,3.59,Bahia,0.0,gabriel-xavier,G. Xavier,105373,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,265,11,Gabriel Lheman Xavier - Lhman,27,4.36,6,,2.0,14.0,8.0,1.0,3.0,7.0,,,,,4.0,,,,,,,,,
449,Matheus Bidu,2,0.0,,False,3.42,Corinthians,0.0,matheus-bidu,M. Bidu,105531,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,264,18,Matheus Lima Beltrão Oliveira Valin,27,5.99,6,,2.0,25.0,20.0,4.0,6.0,24.0,,,,2.0,4.0,,,,,,,,,
450,Rikelme,5,0.38,,True,4.14,Cuiabá,3.1,rikelme,Rikelme,105547,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,1371,19,Rikelme Hernandes Amorim Rocha,27,4.59,6,1.0,,48.0,17.0,5.0,7.0,10.0,1.0,3.0,,,,,,,,1.0,,,,
451,Riquelme,2,0.0,,False,0.0,Vasco,0.0,riquelme,Riquelme,105566,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_smA6Xym.png,267,0,Riquelme Carvalho Araújo Viana,27,3.0,6,,,,,,,,,,,,,,,,,,,,,
452,Lucero,5,-0.75,,True,4.5,Fortaleza,4.0,lucero,Lucero,105568,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,356,21,Juan Martín Lucero,27,6.95,7,,2.0,9.0,24.0,9.0,13.0,23.0,7.0,8.0,,,,2.0,,,,,,1.0,,
453,Lucas Piton,2,0.06,,True,2.9,Vasco,5.5,lucas-piton,L. Piton,105584,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,267,25,Lucas Piton Crivellaro,27,7.29,7,3.0,3.0,27.0,33.0,4.0,8.0,4.0,,2.0,,,5.0,,,,,,,,,
454,Roni,4,0.43,,True,1.38,Corinthians,3.2,roni,Roni,105585,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png,264,13,Roni Medeiros de Moura,27,2.53,2,,2.0,16.0,15.0,1.0,2.0,5.0,,,,,,,,,,,,,,
455,Maurício,4,0.03,,True,4.08,Internacional,6.3,mauricio,Maurício,105647,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,285,16,Maurício Magalhães Prado,27,8.69,7,1.0,2.0,10.0,9.0,4.0,9.0,17.0,3.0,4.0,,,,,,,,,,3.0,,
456,Nicolás Hernández,3,0.0,,False,1.64,Internacional,0.0,nicolas-hernandez,N. Hernández,105672,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_l85XoS0.png,285,16,Nicolás Hernández Rodríguez,27,3.06,6,1.0,6.0,9.0,11.0,,1.0,4.0,,,,,4.0,,,,,1.0,,,,
457,Wesley,5,-0.22,,True,4.45,Cruzeiro,0.8,wesley,Wesley,105811,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,283,23,Wesley Ribeiro Silva,27,8.04,3,1.0,6.0,31.0,47.0,11.0,18.0,42.0,4.0,3.0,,,,,,,,,,,,
458,Edu,3,0.0,,False,2.78,Goiás,0.0,edu,Edu,105842,https://s.sde.globo.com/media/person_role/2023/06/25/photo_FORMATO_bGsyKIs.png,290,6,Lucas Eduardo Ribeiro de Souza,27,2.45,6,,1.0,5.0,6.0,1.0,1.0,5.0,,,,1.0,2.0,,,,,,,,,
459,Belezi,3,0.0,,False,0.0,Athlético-PR,0.0,belezi,Belezi,105844,https://s.sde.globo.com/media/person_role/2023/10/08/photo_FORMATO.png,293,0,Lucas Belezi Barbosa,27,1.0,6,,,,,,,,,,,,,,,,,,,,,
460,Matheus Araújo,4,0.0,,False,1.96,Corinthians,0.0,matheus-araujo,M. Araújo,105845,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,264,10,Matheus de Araújo Andrade,27,5.44,6,,,8.0,9.0,1.0,,7.0,1.0,1.0,,,,,,,,,,,,
461,Zé Gabriel,4,0.33,,True,1.85,Vasco,2.9,ze-gabriel,Z. Gabriel,105902,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,267,15,José Gabriel dos Santos Silva,27,3.04,7,,4.0,16.0,18.0,1.0,5.0,9.0,1.0,,,,,,,,,,,,,
462,Vinicius Mingotti,5,0.0,,False,2.18,Bahia,0.0,vinicius-mingotti,V. Mingotti,105909,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_YH7397F.png,265,13,Vinicius Alessandro Mingotti,27,2.74,6,,2.0,4.0,10.0,4.0,3.0,12.0,2.0,7.0,,,,,,,,,,,,
463,Rômulo,4,-0.3,,True,3.3,Internacional,0.5,romulo,Rômulo,105911,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png,285,15,Rômulo Zanre Zwarg,27,3.5,6,,1.0,22.0,14.0,2.0,5.0,22.0,1.0,1.0,,,,,,,,,,1.0,,
464,Cadu Silva,2,0.0,,False,0.0,Santos,0.0,cadu-silva,C. Silva,105914,https://s.sde.globo.com/media/person_role/2020/02/28/8b8a13f401928e0adf73a1998a49f868_FORMATO.png,277,1,Carlos Eduardo Bertolassi da Silva,27,0.71,6,,,,,,,,,,,,,,,,,,,,,
465,Rochet,1,0.0,,False,2.5,Internacional,0.0,rochet,Rochet,105949,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,285,8,Sergio Ramón Rochet Álvarez,27,5.66,7,,3.0,,,,,4.0,,,,,2.0,,,23.0,,,12.0,,,
466,Vinícius,5,0.0,,False,0.0,Vasco,0.0,vinicius,Vinícius,105998,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_Oqt8wcz.png,267,0,Vinícius dos Santos de Oliveira Paiva,27,2.0,6,,,,,,,,,,,,,,,,,,,,,
467,Lucas Ramos,4,0.0,,False,0.0,Internacional,0.0,lucas-ramos,L. Ramos,106000,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_Tdt3VkZ.png,285,1,Lucas de Ramos Silveira,27,2.81,5,,,,,,,,,,,,,,,,,,,,,
468,Johnny,4,0.0,,False,4.16,Internacional,0.0,johnny,Johnny,106002,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,285,13,João Lucas Souza Cardoso,27,6.45,7,1.0,5.0,23.0,14.0,3.0,1.0,17.0,2.0,2.0,,1.0,,,,,,,,1.0,,
469,Lucão,1,0.0,,False,0.6,Bragantino,0.0,lucao,Lucão,106160,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png,280,5,Lucas Alexandre Galdino de Azevedo,27,1.74,6,,1.0,,,,,,,,,,1.0,,,7.0,,,8.0,,,
470,Gabriel Pec,5,-0.65,,True,5.56,Vasco,2.8,gabriel-pec,G. Pec,106199,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,267,25,Gabriel Fortes Chaves,27,14.87,7,3.0,5.0,25.0,26.0,11.0,22.0,39.0,6.0,4.0,,,,,,,,,,3.0,,
471,Figueiredo,4,0.0,,False,1.92,Vasco,0.0,figueiredo,Figueiredo,106201,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png,267,16,Lucas Figueiredo dos Santos,27,2.69,6,,3.0,8.0,17.0,8.0,11.0,15.0,,6.0,,,,1.0,,,,,,1.0,,
472,Bruno Gomes,4,0.0,,False,4.45,Coritiba,0.0,bruno-gomes,B. Gomes,106202,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uLOhgzA.png,294,20,Bruno Gomes da Silva Clevelário,27,9.69,5,,4.0,39.0,28.0,8.0,14.0,36.0,2.0,1.0,,,,,1.0,,,,,1.0,,
