,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.status_id,atletas.jogos_num,atletas.media_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.preco_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.nome,atletas.foto,A,CA,DS,FC,FF,FS,G,I,PC,SG,CV,DE,DP,GC,GS,FD,FT,PS,V,PP,PI
41,35,,275,M. Rocha,7,17,5.95,True,Palmeiras,6.06,marcos-rocha,0.1,Marcos Rocha,63013,-1.9,2,Marcos Luis Rocha Aquino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,1.0,1.0,31.0,16.0,3.0,11.0,1.0,1.0,1.0,10.0,,,,,,,,,,,
42,35,,294,Fransérgio,6,15,1.04,False,Coritiba,3.7,fransergio,0.0,Fransérgio,63024,0.0,4,Fransérgio Rodrigues Barbosa,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,,1.0,8.0,8.0,6.0,7.0,,1.0,,,,,,,,1.0,,,,,
43,35,,294,W. Farias,6,12,1.04,True,Coritiba,2.78,willian-farias,0.0,Willian Farias,63058,-0.01,4,Willian Roberto Farias,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,,3.0,13.0,13.0,4.0,7.0,,,,,1.0,,,,,,,,,,
44,35,,282,Edenílson,6,25,1.59,True,Atlético-MG,4.66,edenilson,1.4,Edenílson,63289,0.14,4,Edenílson Andrade dos Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,2.0,1.0,20.0,17.0,1.0,11.0,,,,,,,,,,2.0,1.0,,,,
45,35,,285,R. Moledo,3,7,1.26,False,Internacional,2.82,rodrigo-moledo,0.0,Rodrigo Moledo,63354,0.0,3,Rodrigo Modesto da Silva Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,,3.0,4.0,2.0,,3.0,,1.0,,1.0,,,,,,1.0,,,,,
46,35,,285,A. Patrick,7,31,3.54,False,Internacional,9.16,alan-patrick,0.0,Alan Patrick,68685,0.0,4,Alan Patrick Lourenço,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,5.0,6.0,16.0,28.0,21.0,54.0,3.0,4.0,,,,,,,,8.0,1.0,,,,
47,35,,263,Eduardo,7,31,4.39,True,Botafogo,13.02,eduardo,7.7,Eduardo,68708,-0.17,4,Carlos Eduardo de Oliveira Alves,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,6.0,5.0,18.0,32.0,10.0,48.0,6.0,,,,,,,,,11.0,2.0,,,,
48,35,,277,Dodô,7,15,2.11,False,Santos,4.03,dodo,0.0,Dodô,68727,0.0,2,José Rodolfo Pires Ribeiro,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,1.0,3.0,24.0,11.0,2.0,8.0,,3.0,1.0,,,,,,,,,,,,
49,35,,277,Camacho,2,11,0.73,True,Santos,1.95,camacho,1.7,Camacho,68770,0.16,4,Guilherme de Aguiar Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,,3.0,15.0,18.0,,3.0,,1.0,,,1.0,,,,,,,,,,
50,35,,275,M. Lomba,6,3,4.83,False,Palmeiras,6.17,marcelo-lomba,0.0,Marcelo Lomba,68872,0.0,1,Marcelo Lomba do Nascimento,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,,,,,,1.0,,,,1.0,,12.0,,,3.0,,,,,,
51,35,,1371,W. Silva,6,29,2.57,True,Cuiabá,4.43,wellington-silva,0.5,Wellington Silva,68895,-0.7,5,Wellington Alves da Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,2.0,1.0,26.0,13.0,6.0,39.0,1.0,3.0,,,,,,,,5.0,,,,,
52,35,,290,Vinicius,7,22,2.35,True,Goiás,6.28,vinicius,1.1,Vinicius,68917,0.03,5,Vinicius Santos Silva,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,2.0,1.0,16.0,19.0,15.0,12.0,,4.0,,,,,,,,7.0,1.0,,,,
53,35,,275,Dudu,5,14,6.04,False,Palmeiras,14.16,dudu,0.0,Dudu,68920,0.0,5,Eduardo Pereira Rodrigues,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,3.0,,7.0,9.0,11.0,40.0,3.0,3.0,,,,,,,,7.0,1.0,,,,
54,35,,264,Gil,6,29,3.77,False,Corinthians,6.27,gil,0.0,Gil,68923,0.0,3,Carlos Gilberto do Nascimento Silva,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,2.0,8.0,32.0,27.0,8.0,8.0,2.0,5.0,,8.0,,,,,,9.0,,,,,
55,35,,276,Rafael,7,29,3.44,True,São Paulo,8.07,rafael,5.0,Rafael,68928,-0.49,1,Rafael Pires Monteiro,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,,1.0,1.0,,,3.0,,,,11.0,,74.0,,,31.0,,,,,,
56,35,,283,R. Cabral,7,31,3.81,True,Cruzeiro,10.77,rafael-cabral,8.5,Rafael Cabral,68940,1.2,1,Rafael Cabral Barbosa,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,,3.0,1.0,,,5.0,,,1.0,12.0,,86.0,,,28.0,,,,,,
57,35,,283,L. Castán,7,30,3.41,True,Cruzeiro,7.42,luciano-castan,7.3,Luciano Castán,68942,0.93,3,Luciano Castán da Silva,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,,6.0,20.0,23.0,9.0,16.0,1.0,1.0,,12.0,,,,,,7.0,,,,,
58,35,,356,Marinho,3,21,3.07,True,Fortaleza,3.71,marinho,-0.2,Marinho,68952,-0.19,5,Mário Sérgio Santos Costa,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,1.0,6.0,12.0,21.0,15.0,54.0,1.0,7.0,,,,,,,,10.0,,3.0,,1.0,
59,35,,356,L. Sasha,6,15,3.55,False,Fortaleza,7.01,lucas-sasha,0.0,Lucas Sasha,68991,0.0,4,Lucas Pacheco Affini,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,,3.0,44.0,22.0,3.0,13.0,,2.0,,,,,,,,1.0,,,,,
60,35,,1371,J. Carlos,6,1,-2.0,False,Cuiabá,1.9,joao-carlos,0.0,João Carlos,69010,0.0,1,João Carlos Heidemann,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,,,,,,,,,,,,,,,2.0,,,,,,
61,35,,262,Santos,6,6,3.25,False,Flamengo,9.47,santos,0.0,Santos,69012,0.0,1,Aderbar Melo dos Santos Neto,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,,,,,,1.0,,,,2.0,,17.0,,,8.0,,,,,,
62,35,,266,Manoel,3,6,1.97,False,Fluminense,5.19,manoel,0.0,Manoel,69014,0.0,3,Manoel Messias Silva Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,,1.0,3.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,
