,atletas.pontos_num,atletas.status_id,atletas.entrou_em_campo,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.foto,atletas.atleta_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.nome,V,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,SG,CV,FT,GC,PC,PP,PS,DP,PI
10,10.4,3,True,3.93,F. Luís,Filipe Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,38750,32,,6.8,Flamengo,2,1.14,262,filipe-luis,7,Filipe Luís Kasmirski,,1.0,7.0,4.0,,1.0,7.0,,,3.0,,,3.0,,,,1.0,,,,
11,0.0,6,False,3.5,Mariano,Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,38877,32,,6.82,Atlético-MG,2,0.0,282,mariano,19,Mariano Ferreira Filho,,1.0,30.0,26.0,1.0,,4.0,,,5.0,,,7.0,,,,,,,,
12,0.5,3,True,8.54,Hulk,Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,39148,32,,17.75,Atlético-MG,5,-3.08,282,hulk,29,Givanildo Vieira de Souza,,7.0,12.0,46.0,30.0,45.0,98.0,12.0,16.0,7.0,,,,2.0,3.0,,,,1.0,,
13,-0.6,7,True,1.38,A. Franco,Alan Franco,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,39656,32,,3.15,Atlético-MG,4,-0.08,282,alan-franco,13,Alan Steven Franco Palma,,,18.0,28.0,1.0,1.0,3.0,,,2.0,,,,,1.0,,,,,,
14,0.0,7,False,4.85,D. Júnior,Dorival Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,40990,32,,12.12,São Paulo,6,0.0,276,dorival-junior,29,Dorival Silvestre Júnior,10.0,,,,,,,,,,,,,,,,,,,,
15,7.34,7,True,5.32,R. Gaúcho,Renato Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,41929,32,,13.53,Grêmio,6,0.29,284,renato-gaucho,31,Renato Portaluppi,17.0,,,,,,,,,,,,,,,,,,,,
16,0.0,6,True,1.78,Willian,Willian,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,42116,32,,4.17,Athlético-PR,5,-0.17,293,willian,12,Willian Gomes de Siqueira,,,2.0,1.0,,3.0,2.0,2.0,1.0,,,,,,,,,,,,
17,4.0,7,True,3.78,Cássio,Cássio,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,42234,32,,8.54,Corinthians,1,-0.59,264,cassio,31,Cássio Roberto Ramos,,,,,,,5.0,,,2.0,111.0,34.0,8.0,,,,1.0,,,,
18,-0.1,3,True,3.64,Fagner,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,42500,32,,7.5,Corinthians,2,-1.53,264,fagner,24,Fagner Conserva Lemos,,1.0,33.0,20.0,1.0,3.0,32.0,,,9.0,,,7.0,,1.0,,,,,,
19,3.33,7,True,5.36,L. Scolari,Luiz Felipe Scolari,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,43618,32,,11.25,Atlético-MG,6,-0.5,282,luiz-felipe-scolari,22,Luiz Felipe Scolari,10.0,,,,,,,,,,,,,,,,,,,,
