,atletas.preco_num,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.entrou_em_campo,atletas.status_id,atletas.posicao_id,atletas.foto,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.apelido,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,G,PS,SG,I,PP,CV,PC,FT,DE,GS,DP,GC,V,PI
30,6.45,14,david-luiz,3.41,262,0.0,False,6,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,52827,D. Luiz,Flamengo,David Luiz Moreira Marinho,24,0.0,David Luiz,,1.0,1.0,12.0,14.0,2.0,2.0,3.0,1.0,,4.0,,,,,,,,,,,
31,5.7,15,alex-teixeira,2.58,267,0.0,False,6,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,60793,A. Teixeira,Vasco,Alex Teixeira Santos,24,0.0,Alex Teixeira,,3.0,1.0,6.0,21.0,6.0,10.0,19.0,,,,8.0,,,,,,,,,,
32,6.49,18,felipe-azevedo,3.75,327,0.0,False,7,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,60825,F. Azevedo,América-MG,Felipe Azevedo dos Santos,24,0.0,Felipe Azevedo,,1.0,2.0,12.0,19.0,6.0,6.0,18.0,4.0,,,1.0,,,,1.0,,,,,,
33,2.81,3,uendel,1.33,1371,0.0,True,6,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,60852,Uendel,Cuiabá,Uendel Pereira Gonçalves,24,-0.61,Uendel,,,1.0,,,,,,,,1.0,,,,,,,,,,,
34,3.77,9,cicinho,3.63,265,0.0,False,6,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,61106,Cicinho,Bahia,Neuciano de Jesus Gusmão,24,0.0,Cicinho,,,3.0,13.0,19.0,2.0,1.0,9.0,,,3.0,,,,,1.0,,,,,,
35,7.86,20,gilberto,2.8,283,1.8,True,7,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,61188,Gilberto,Cruzeiro,Gilberto Oliveira Souza Júnior,24,0.2,Gilberto,,1.0,4.0,8.0,20.0,6.0,19.0,11.0,3.0,,,4.0,,,,,,,,,,
36,10.8,17,ganso,4.07,266,0.0,False,7,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,62977,Ganso,Fluminense,Paulo Henrique Chagas de Lima,24,0.0,Ganso,,3.0,2.0,14.0,10.0,2.0,3.0,27.0,3.0,,,1.0,,,,,,,,,,
37,2.74,2,junior-caicara,1.2,277,0.0,False,6,2,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,63011,J. Caiçara,Santos,Uilson de Souza Paula Júnior,24,0.0,Júnior Caiçara,,,1.0,3.0,2.0,,,1.0,,,,1.0,,,,,,,,,,
38,5.42,11,marcos-rocha,4.28,275,0.8,True,7,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,63013,M. Rocha,Palmeiras,Marcos Luis Rocha Aquino,24,-1.34,Marcos Rocha,,,1.0,20.0,13.0,,,8.0,,,5.0,,,,1.0,,,,,,,
39,4.22,10,fransergio,1.56,294,2.0,True,6,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,63024,Fransérgio,Coritiba,Fransérgio Rodrigues Barbosa,24,0.1,Fransérgio,,,,7.0,5.0,1.0,5.0,7.0,,,,,,,,,,,,,,
40,2.72,4,willian-farias,1.47,294,-1.4,True,6,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,63058,W. Farias,Coritiba,Willian Roberto Farias,24,-1.08,Willian Farias,,,2.0,6.0,6.0,,,5.0,,,,,,,,,,,,,,
41,4.77,19,edenilson,1.83,282,0.0,True,6,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,63289,Edenílson,Atlético-MG,Edenílson Andrade dos Santos,24,-0.08,Edenílson,,2.0,,18.0,13.0,1.0,1.0,10.0,,,,,,,,,,,,,,
42,2.82,7,rodrigo-moledo,1.26,285,0.0,False,3,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,63354,R. Moledo,Internacional,Rodrigo Modesto da Silva Moledo,24,0.0,Rodrigo Moledo,,,3.0,4.0,2.0,1.0,,3.0,,,1.0,1.0,,,,,,,,,,
43,8.03,21,alan-patrick,2.4,285,0.5,True,7,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,68685,A. Patrick,Internacional,Alan Patrick Lourenço,24,-1.15,Alan Patrick,,3.0,4.0,10.0,17.0,4.0,11.0,32.0,,,,2.0,,,,1.0,,,,,,
44,12.65,21,eduardo,4.41,263,3.5,True,7,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,68708,Eduardo,Botafogo,Carlos Eduardo de Oliveira Alves,24,0.56,Eduardo,,4.0,4.0,12.0,25.0,6.0,7.0,38.0,4.0,,,,,,,2.0,,,,,,
45,3.9,10,dodo,1.57,277,0.0,False,7,2,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,68727,Dodô,Santos,José Rodolfo Pires Ribeiro,24,0.0,Dodô,,,2.0,12.0,5.0,,2.0,7.0,,,,2.0,,,,,,,,,,
46,1.83,8,camacho,0.65,277,0.0,False,6,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,68770,Camacho,Santos,Guilherme de Aguiar Camacho,24,0.0,Camacho,,,2.0,12.0,17.0,,,2.0,,,,1.0,,1.0,,,,,,,,
47,6.78,2,marcelo-lomba,5.0,275,0.0,False,6,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,68872,M. Lomba,Palmeiras,Marcelo Lomba do Nascimento,24,0.0,Marcelo Lomba,,,,,,,,,,,1.0,,,,,,6.0,1.0,,,,
48,4.63,21,wellington-silva,2.8,1371,1.7,True,7,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,68895,W. Silva,Cuiabá,Wellington Alves da Silva,24,-0.96,Wellington Silva,,1.0,1.0,21.0,10.0,4.0,4.0,33.0,1.0,,,2.0,,,,,,,,,,
49,6.52,15,vinicius,2.81,290,-0.3,True,6,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,68917,Vinicius,Goiás,Vinicius Santos Silva,24,-0.07,Vinicius,,1.0,1.0,15.0,9.0,6.0,10.0,10.0,,,,3.0,,,,1.0,,,,,,
