,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
379,Miranda,6,3,22,,Matheus dos Santos Miranda,0.0,Vasco,2.57,miranda,6,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_dT3P0NV.png,Miranda,3.43,False,101720,0.0,267,,6.0,1.0,2.0,2.0,,,,,7.0,,1.0,,,,,,,,,
380,Matheuzinho,6,2,22,,Matheus França Silva,0.0,Flamengo,0.0,matheuzinho,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_wPSt5sW.png,Matheuzinho,6.0,False,101727,0.0,262,,,,,,,,,,,,,,,,,,,,,
381,D. Costa,6,3,22,,Diego Henrique Costa Barbosa,0.0,São Paulo,2.24,diego-costa,11,https://s.sde.globo.com/media/person_role/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png,Diego Costa,5.12,False,101728,0.0,276,,11.0,2.0,1.0,1.0,,,,3.0,11.0,1.0,3.0,,,,,,,,,
382,Vitinho,7,5,22,,Vitor Hugo Naum dos Santos,-0.1,Bragantino,3.58,vitinho,17,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Hob15WK.png,Vitinho,6.22,True,101960,0.02,280,,23.0,10.0,20.0,27.0,1.0,3.0,,7.0,13.0,,,2.0,,,,,,,,
383,Brítez,7,3,22,,Emanuel Fermín Brítez,0.8,Fortaleza,3.86,britez,19,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qvH6Q9A.png,Brítez,8.39,True,101995,-0.04,356,1.0,29.0,2.0,8.0,17.0,,2.0,,7.0,25.0,,8.0,1.0,,,,,,,,
384,A. Oliveira,7,5,22,,Anderson de Oliveira da Silva,1.4,Goiás,2.37,anderson-oliveira,9,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_AFDNRnG.png,Anderson Oliveira,3.96,True,102096,-0.4,290,,9.0,,4.0,9.0,,1.0,,1.0,12.0,,,,,,1.0,,,,,
385,Piquerez,7,2,22,,Joaquín Piquerez Moreira,10.7,Palmeiras,5.74,piquerez,15,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_04Y9scz.png,Piquerez,11.34,True,102130,0.94,275,,11.0,1.0,5.0,15.0,,2.0,,5.0,29.0,,7.0,3.0,,,,1.0,,,,
386,V. Eudes,6,1,22,,Vitor Eudes de Souza Costa,0.0,Fluminense,0.0,vitor-eudes,0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_FvWKOzt.png,Vitor Eudes,2.0,False,102137,0.0,266,,,,,,,,,,,,,,,,,,,,,
387,L. Halter,7,3,22,,Lucas Halter,4.4,Goiás,3.45,lucas-halter,18,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_DlFIoVh.png,Lucas Halter,6.2,True,102253,0.45,290,2.0,15.0,,5.0,5.0,2.0,2.0,,4.0,21.0,1.0,6.0,,,,,,,,,
388,G. Mesquita,6,1,22,,Gabriel José Ferreira Mesquita,0.0,Cruzeiro,-1.0,gabriel-mesquita,0,https://s.sde.globo.com/media/person_role/2023/05/30/photo_220x220.png,Gabriel Mesquita,0.7,False,102290,0.0,283,,,,,,,,,1.0,,,,,,,,,,,,
389,Mikael,6,5,22,,Mikael Filipe Viana,0.0,América-MG,1.68,mikael,5,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO_lQhctpS.png,Mikael,3.0,False,102299,0.0,327,,,2.0,5.0,2.0,,2.0,,,1.0,,,,,,,,,,,
390,R. Elias,7,5,22,,Rafael Elias da Silva,0.6,Cruzeiro,3.82,rafael-elias,5,https://s.sde.globo.com/media/person_role/2023/07/27/photo_FORMATO_C3BThsf.png,Rafael Elias,5.71,True,102302,-0.25,283,,9.0,4.0,5.0,5.0,1.0,1.0,,1.0,3.0,,,,,,,,,,,
391,M. Felipe,6,3,22,,Matheus Felipe Santos Nascimento,0.0,Athlético-PR,1.7,matheus-felipe,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,Matheus Felipe,2.53,False,102310,0.0,293,,3.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,
392,C. Paulista,5,2,22,,Caio Fernando de Oliveira,0.0,São Paulo,4.21,caio-paulista,16,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,Caio Paulista,9.04,False,102318,0.0,276,,13.0,10.0,7.0,21.0,,,,2.0,11.0,1.0,4.0,2.0,,,1.0,,,,,
393,Cacá,7,3,22,,Carlos de Menezes Júnior,0.0,Athlético-PR,3.68,caca,4,https://s.sde.globo.com/media/person_role/2023/07/21/photo_220x220_EPR1F0c.png,Cacá,3.5,True,102340,-1.22,293,,3.0,,2.0,,1.0,,,,5.0,,,,,,,,,,,
394,Mastriani,3,5,22,,Gonzalo Mathías Mastriani Borges,0.0,América-MG,4.42,mastriani,9,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_vHe1goh.png,Mastriani,5.05,False,102561,0.0,327,1.0,8.0,3.0,7.0,3.0,4.0,1.0,,1.0,3.0,,,,,,,,,,,
395,Helinho,7,5,22,,Hélio Júnio Nunes de Castro,3.3,Bragantino,4.05,helinho,11,https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,Helinho,5.75,True,102598,0.17,280,,10.0,8.0,8.0,7.0,2.0,2.0,,2.0,12.0,,,,,,,,,,,
396,Anderson,6,1,22,,Anderson Silva da Paixão,0.0,Cruzeiro,6.0,anderson,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Lvl4bA5.png,Anderson,3.24,False,102906,0.0,283,,,,,,,,,,,,1.0,,1.0,,,,,,,
397,M. Teixeira,6,1,22,,Matheus Henrique Teixeira,0.0,Bahia,0.0,matheus-teixeira,0,https://s.sde.globo.com/media/person_role/2022/04/05/ff4149be4042453395add145d010bd49_FORMATO.png,Matheus Teixeira,2.0,False,102907,0.0,265,,,,,,,,,,,,,,,,,,,,,
398,Luan,6,4,22,,Luan Vinícius da Silva Santos ,0.0,São Paulo,1.4,luan,9,https://s.sde.globo.com/media/person_role/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,Luan,3.41,False,102909,0.0,276,,7.0,,2.0,2.0,,,,,10.0,,,,,,,,,,,
399,Z. Ricardo,6,4,22,,José Ricardo Araújo Fernandes,0.0,Goiás,5.01,ze-ricardo,13,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_h43zEak.png,Zé Ricardo,7.15,False,102911,0.0,290,,33.0,6.0,5.0,40.0,,,,5.0,34.0,,,1.0,,,1.0,,,,,
400,Canobbio,3,5,22,,Agustín Canobbio Graviz,0.0,Athlético-PR,4.96,canobbio,16,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,Canobbio,7.5,False,102928,0.0,293,,17.0,13.0,10.0,30.0,1.0,6.0,,5.0,28.0,1.0,,2.0,,,,,,1.0,,
401,Escobar,6,2,22,,Gonzalo Daniel Escobar,-1.0,Fortaleza,1.6,escobar,3,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO_LH8zzYb.png,Escobar,3.13,True,102975,-0.04,356,,7.0,,,1.0,,,,2.0,7.0,,,,,,,,,,,
402,Laquintana,6,5,22,,Ignacio Jesús Laquintana Marsico,0.0,Bragantino,1.75,laquintana,2,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_roWm5iE.png,Laquintana,3.67,False,103014,0.0,280,,3.0,2.0,,2.0,,2.0,,,1.0,,,,,,,,,,,
403,E. Ramires,6,4,22,,Eric dos Santos Rodrigues,0.0,Bragantino,2.62,eric-ramires,14,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,Eric Ramires,3.4,False,103295,0.0,280,,17.0,4.0,4.0,12.0,,,,1.0,13.0,,,2.0,,,1.0,,,,,
404,M. Alexandre,7,2,22,,Matheus Alexandre Anastácio de Souza,5.4,Cuiabá,4.96,matheus-alexandre,19,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,Matheus Alexandre,7.81,True,103347,0.19,1371,,16.0,1.0,3.0,4.0,1.0,1.0,,3.0,53.0,,5.0,,,,,,,,,
405,E. Martínez,7,4,22,,Leandro Emmanuel Martínez,5.8,América-MG,4.21,emmanuel-martinez,20,https://s.sde.globo.com/media/person_role/2022/08/13/68f9c27625c8107e59119604bba5e322_FORMATO.png,Emmanuel Martínez,6.9,True,103388,0.03,327,,20.0,6.0,7.0,39.0,,,,2.0,35.0,,,3.0,,,1.0,,,,,
406,Caetano,6,3,22,,João Victor Andrade Caetano,0.0,Corinthians,2.36,caetano,8,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,Caetano,2.55,False,103575,0.0,264,,5.0,,1.0,6.0,,,,2.0,8.0,1.0,2.0,,,,,,,,,
407,R. Bilu,5,5,22,,Rafael Bilu Mudesto,0.0,Cruzeiro,2.08,rafael-bilu,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_L5qGZ0n.png,Rafael Bilu,2.83,False,103576,0.0,283,,1.0,,3.0,3.0,,1.0,,,4.0,,,,,,,,,,,
408,M. Paulo,6,5,22,,Marcos Paulo Costa do Nascimento,0.0,São Paulo,3.06,marcos-paulo,15,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png,Marcos Paulo,7.42,False,103645,0.0,276,,8.0,2.0,4.0,12.0,2.0,2.0,,2.0,15.0,,,1.0,,,,,,,,
409,K. Rocha,6,3,22,,Kaíque Rocha Lima,0.0,Athlético-PR,4.8,kaique-rocha,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,Kaíque Rocha,4.13,False,103684,0.0,293,,2.0,,2.0,,,,,,3.0,,1.0,,,,,,,,,
410,J. Silva,7,4,22,,Jadsom Meemyas de Oliveira da Silva,1.3,Bragantino,1.4,jadsom-silva,16,https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,Jadsom Silva,2.49,True,103695,0.17,280,,20.0,3.0,2.0,10.0,,1.0,,6.0,22.0,2.0,,,,,,,,,,
411,B. Méndez,7,3,22,,Bruno Méndez Cittadini,10.6,Corinthians,2.28,bruno-mendez,16,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,Bruno Méndez,4.51,True,103700,1.98,264,,9.0,,2.0,3.0,,1.0,,2.0,15.0,,4.0,,,,,,,,,
412,G. Menino,7,4,22,,Gabriel Vinícius Menino,2.2,Palmeiras,4.45,gabriel-menino,20,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,Gabriel Menino,8.93,True,103767,-0.39,275,,36.0,5.0,13.0,22.0,2.0,2.0,,4.0,37.0,,,2.0,,,2.0,,,,,
413,H. Meritão,6,4,22,,Higor Matheus Meritão,0.0,Goiás,-0.2,higor-meritao,3,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_uo7UAHd.png,Higor Meritão,1.17,False,103987,0.0,290,,2.0,,,,,,,,,,,,,,,,,,,
414,Maycon,6,1,22,,Maycon Cleiton de Paula Azevedo,0.0,Bragantino,0.0,maycon,0,https://s.sde.globo.com/media/person_role/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,Maycon,3.0,False,104017,0.0,280,,,,,,,,,,,,,,,,,,,,,
415,J. Fernando,6,1,22,,João Fernando Monteiro Siqueira,0.0,Botafogo,0.0,joao-fernando,0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5Z0375l.png,João Fernando,2.0,False,104079,0.0,263,,,,,,,,,,,,,,,,,,,,,
416,C. Miguel,6,1,22,,Carlos Miguel dos Santos Pereira,0.0,Corinthians,0.0,carlos-miguel,0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,Carlos Miguel,2.0,False,104084,0.0,264,,,,,,,,,,,,,,,,,,,,,
417,B. Fuchs,7,3,22,,Bruno de Lara Fuchs,0.7,Atlético-MG,2.3,bruno-fuchs,8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,Bruno Fuchs,4.01,True,104085,-0.32,282,,5.0,,,7.0,,,,1.0,2.0,,3.0,,,,,,,,,
418,Ruan,6,4,22,,Ruan de Oliveira Ferreira,0.5,Corinthians,4.42,ruan,12,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,Ruan,3.73,True,104153,-0.08,264,,13.0,2.0,5.0,10.0,2.0,,,2.0,18.0,,,2.0,,,,,,,,
419,J. Lucas,6,2,22,,João Lucas de Almeida Carvalho,0.0,Santos,4.61,joao-lucas,11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,João Lucas,4.78,False,104257,0.0,277,,11.0,1.0,4.0,18.0,,,,1.0,23.0,1.0,2.0,1.0,,,,,,,,
420,L. Rafael,6,3,22,,Lucas Rafael Gonçalves da Silva,0.0,Bragantino,1.2,lucas-rafael,1,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_J1rhwK6.png,Lucas Rafael,3.27,False,104360,0.0,280,,,1.0,,,,,,,,,,,,,,,,,,
421,M. Mendes,6,1,22,,Matheus Mendes Werneck de Oliveira,0.0,Atlético-MG,7.0,matheus-mendes,1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,Matheus Mendes,3.42,False,104383,0.0,282,,,,,,,,,1.0,,,1.0,,3.0,,,,,,,
422,I. Gomes,6,3,22,,Igor Gomes Silva,0.0,Internacional,3.76,igor-gomes,11,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,Igor Gomes,6.07,False,104385,0.0,285,,6.0,1.0,3.0,10.0,,,,1.0,18.0,1.0,3.0,,,,,,,,,
423,V. Mendes,3,3,22,,Vitor Mendes Alves,0.0,Fluminense,4.95,vitor-mendes,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_L4w297p.png,Vitor Mendes,6.66,False,104401,0.0,266,,1.0,1.0,,,,,,1.0,,,2.0,,,,,,,,,
424,Reinaldo,6,5,22,,Reinaldo Nascimento Satorno,0.0,Athlético-PR,1.7,reinaldo,1,https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png,Reinaldo,2.39,False,104420,0.0,293,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
425,F. Scheibig,6,1,22,,Felipe Mateus Scheibig,0.0,Grêmio,0.0,felipe-scheibig,0,https://s.sde.globo.com/media/person_role/2021/07/16/79af8f6f344db19983598078705340fc_FORMATO.png,Felipe Scheibig,1.0,False,104424,0.0,284,,,,,,,,,,,,,,,,,,,,,
426,Christian,5,4,22,,Christian Roberto Alves Cardoso,0.0,Athlético-PR,4.7,christian,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,Christian,10.5,False,104502,0.0,293,,21.0,3.0,7.0,15.0,4.0,,,,17.0,,,,,,1.0,,,,,
427,H. Vermudt,6,3,22,,Henrique Vermudt,0.0,Botafogo,0.0,henrique-vermudt,0,https://s.sde.globo.com/media/person_role/2023/07/30/photo_FORMATO_iztb5Pm.png,Henrique Vermudt,3.0,False,104504,0.0,263,,,,,,,,,,,,,,,,,,,,,
428,V. Zanocelo,6,4,22,,Vinícius Nelson de Souza Zanocelo,0.0,Fortaleza,0.68,vinicius-zanocelo,6,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_OPlr7ly.png,Vinícius Zanocelo,3.32,False,104521,0.0,356,,3.0,1.0,,,,,,1.0,4.0,,,,,,,,,,,
429,Sandry,5,4,22,,Sandry Roberto Santos Goes,0.0,Santos,0.52,sandry,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_bbHXWKZ.png,Sandry,2.54,False,104580,0.0,277,,4.0,,,2.0,,,,2.0,4.0,,,,,,,,,,,
430,Fabrício,6,1,22,,Fabrício Oliveira de Souza,0.0,Bragantino,0.0,fabricio,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AAId2Kq.png,Fabrício,1.0,False,104588,0.0,280,,,,,,,,,,,,,,,,,,,,,
431,M. Bianqui,3,4,22,,Matheus Henrique Bianqui,0.0,Coritiba,2.2,matheus-bianqui,14,https://s.sde.globo.com/media/person_role/2023/04/21/photo_FORMATO.png,Matheus Bianqui,3.32,False,104640,0.0,294,,19.0,3.0,3.0,13.0,,2.0,,6.0,21.0,,,1.0,,,,,,,,
432,J. Vojvoda,7,6,22,,Juan Pablo Vojvoda Rizzo,3.48,Fortaleza,5.25,juan-vojvoda,22,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,Juan Vojvoda,12.5,True,104754,-0.23,356,,,,,,,,,,,,,,,,,,9.0,,,
433,Acevedo,6,4,22,,Nicolás Brian Acevedo Tabárez,0.0,Bahia,3.05,acevedo,16,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,Acevedo,5.35,False,104783,0.0,265,,24.0,3.0,8.0,18.0,,,,5.0,35.0,,,,,,,,,,,
434,S. Gómez,6,4,22,,Sebastián Gómez Londoño,0.0,Coritiba,3.0,sebastian-gomez,4,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_hjOH0Bl.png,Sebastián Gómez,4.79,False,104811,0.0,294,,4.0,,,4.0,,,,1.0,6.0,,,1.0,,,,,,,,
435,I. Gabriel,6,1,22,,Igo Gabriel Santos Pereira,0.0,Botafogo,0.0,igo-gabriel,0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_C8GywEv.png,Igo Gabriel,1.0,False,104991,0.0,263,,,,,,,,,,,,,,,,,,,,,
436,J. Marcelo,6,3,22,,João Marcelo Messias Ferreira,0.0,Cruzeiro,0.9,joao-marcelo,1,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_vuySYbE.png,João Marcelo,2.43,False,105047,0.0,283,,1.0,,,,,,,,1.0,,,,,,,,,,,
437,L. Henrique,6,5,22,,Luis Henrique Tomaz de Lima,4.4,Botafogo,3.18,luis-henrique,20,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,Luis Henrique,5.93,True,105049,-0.36,263,,4.0,5.0,8.0,3.0,4.0,1.0,,,11.0,,,1.0,,,,,,1.0,,
438,Khellven,6,2,22,,Khellven Douglas Silva Oliveira,0.0,Athlético-PR,4.5,khellven,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7lRpDNN.png,Khellven,7.74,False,105175,0.0,293,,9.0,2.0,3.0,8.0,,3.0,,1.0,15.0,,5.0,3.0,,,,,,,,
439,Bento,5,1,22,,Bento Matheus Krepski,0.0,Athlético-PR,4.13,bento,18,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,Bento,9.79,False,105208,0.0,293,,2.0,,,2.0,,,,3.0,,,6.0,1.0,56.0,21.0,,,,,1.0,
440,D. Lucca,5,4,22,,Patrick de Lucca Chaves de Oliveira,0.0,Vasco,0.0,de-lucca,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_J73ZkrF.png,De Lucca,3.0,False,105294,0.0,267,,,,,,,,,,,,,,,,,,,,,
441,Ferraresi,6,3,22,,Nahuel Adolfo Ferraresi Hernández,0.0,São Paulo,0.0,ferraresi,0,https://s.sde.globo.com/media/person_role/2022/08/13/a5301263d96806640ddf67cec70f99e7_FORMATO.png,Ferraresi,6.0,False,105300,0.0,276,,,,,,,,,,,,,,,,,,,,,
442,G. Xavier,6,3,22,,Gabriel Lheman Xavier - Lhman,0.0,Bahia,4.08,gabriel-xavier,9,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,Gabriel Xavier,4.98,False,105373,0.0,265,,8.0,1.0,1.0,7.0,,,,2.0,13.0,,4.0,,,,,,,,,
443,M. Bidu,6,2,22,,Matheus Lima Beltrão Oliveira Valin,4.7,Corinthians,3.39,matheus-bidu,15,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,Matheus Bidu,6.38,True,105531,0.24,264,,15.0,4.0,6.0,22.0,,,,2.0,19.0,1.0,3.0,,,,,,,,,
444,Rikelme,7,5,22,,Rikelme Hernandes Amorim Rocha,2.5,Cuiabá,4.93,rikelme,15,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,Rikelme,4.57,True,105547,0.31,1371,,15.0,5.0,5.0,7.0,1.0,3.0,,,46.0,,,1.0,,,,1.0,,,,
445,Riquelme,6,2,22,,Riquelme Carvalho Araújo Viana,0.0,Vasco,0.0,riquelme,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_smA6Xym.png,Riquelme,3.0,False,105566,0.0,267,,,,,,,,,,,,,,,,,,,,,
446,Lucero,7,5,22,,Juan Martín Lucero,2.9,Fortaleza,3.54,lucero,17,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,Lucero,6.07,True,105568,-2.94,356,,21.0,7.0,8.0,18.0,4.0,8.0,,2.0,7.0,,,,,,1.0,,,2.0,,
447,L. Piton,7,2,22,,Lucas Piton Crivellaro,0.0,Vasco,2.52,lucas-piton,20,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,Lucas Piton,6.22,True,105584,-0.51,267,,28.0,2.0,7.0,3.0,,2.0,,3.0,23.0,,3.0,2.0,,,,,,,,
448,Roni,6,4,22,,Roni Medeiros de Moura,0.0,Corinthians,1.3,roni,11,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png,Roni,2.03,False,105585,0.0,264,,15.0,1.0,1.0,4.0,,,,2.0,14.0,,,,,,,,,,,
449,B. Lage,7,6,22,,Bruno Miguel Silva do Nascimento,2.95,Botafogo,6.55,bruno-lage,8,https://s.sde.globo.com/media/person_role/2023/07/12/photo_220x220_VnDqhyp.png,Bruno Lage,13.93,True,105631,-1.05,263,,,,,,,,,,,,,,,,,,4.0,,,
450,Maurício,6,4,22,,Maurício Magalhães Prado,0.9,Internacional,3.61,mauricio,12,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,Maurício,7.66,True,105647,0.28,285,,8.0,2.0,5.0,14.0,3.0,4.0,,2.0,4.0,,,,,,2.0,,,,,
451,N. Hernández,6,3,22,,Nicolás Hernández Rodríguez,0.0,Internacional,2.49,nicolas-hernandez,12,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_l85XoS0.png,Nicolás Hernández,4.34,False,105672,0.0,285,,6.0,,1.0,4.0,,,,4.0,9.0,,4.0,1.0,,,,1.0,,,,
452,Wesley,6,5,22,,Wesley Ribeiro Silva,0.0,Cruzeiro,4.98,wesley,19,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,Wesley,8.11,True,105811,0.12,283,,39.0,11.0,14.0,34.0,4.0,2.0,,3.0,26.0,,,1.0,,,,,,,,
453,Edu,6,3,22,,Lucas Eduardo Ribeiro de Souza,0.0,Goiás,3.24,edu,5,https://s.sde.globo.com/media/person_role/2023/06/25/photo_FORMATO_bGsyKIs.png,Edu,2.8,False,105842,0.0,290,,6.0,1.0,1.0,4.0,,,,1.0,5.0,1.0,2.0,,,,,,,,,
454,M. Araújo,6,4,22,,Matheus de Araújo Andrade,0.0,Corinthians,1.95,matheus-araujo,9,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,Matheus Araújo,5.64,False,105845,0.0,264,,8.0,1.0,,7.0,1.0,,,,6.0,,,,,,,,,,,
455,Z. Gabriel,3,4,22,,José Gabriel dos Santos Silva,0.0,Vasco,1.31,ze-gabriel,10,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,Zé Gabriel,2.4,False,105902,0.0,267,,13.0,1.0,4.0,7.0,,,,3.0,10.0,,,,,,,,,,,
456,V. Mingotti,6,5,22,,Vinicius Alessandro Mingotti,0.0,Bahia,2.18,vinicius-mingotti,13,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_YH7397F.png,Vinicius Mingotti,2.74,False,105909,0.0,265,,10.0,4.0,3.0,12.0,2.0,7.0,,2.0,4.0,,,,,,,,,,,
457,Rômulo,6,4,22,,Rômulo Zanre Zwarg,0.0,Internacional,3.96,romulo,11,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png,Rômulo,3.85,False,105911,0.0,285,,10.0,1.0,4.0,19.0,1.0,1.0,,1.0,19.0,,,,,,1.0,,,,,
458,C. Silva,6,2,22,,Carlos Eduardo Bertolassi da Silva,0.0,Santos,0.0,cadu-silva,1,https://s.sde.globo.com/media/person_role/2020/02/28/8b8a13f401928e0adf73a1998a49f868_FORMATO.png,Cadu Silva,0.71,False,105914,0.0,277,,,,,,,,,,,,,,,,,,,,,
459,Rochet,7,1,22,,Sergio Ramón Rochet Álvarez,7.5,Internacional,3.25,rochet,6,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,Rochet,7.36,True,105949,1.4,285,,,,,3.0,,,,3.0,,,2.0,,19.0,8.0,,,,,,
460,Vinícius,6,5,22,,Vinícius dos Santos de Oliveira Paiva,0.0,Vasco,0.0,vinicius,0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_Oqt8wcz.png,Vinícius,2.0,False,105998,0.0,267,,,,,,,,,,,,,,,,,,,,,
461,L. Ramos,5,4,22,,Lucas de Ramos Silveira,0.0,Internacional,0.0,lucas-ramos,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_Tdt3VkZ.png,Lucas Ramos,2.81,False,106000,0.0,285,,,,,,,,,,,,,,,,,,,,,
462,Johnny,6,4,22,,João Lucas Souza Cardoso,0.0,Internacional,4.61,johnny,12,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,Johnny,6.83,False,106002,0.0,285,,13.0,3.0,1.0,17.0,2.0,2.0,,4.0,23.0,1.0,,1.0,,,1.0,,,,,
463,Lucão,6,1,22,,Lucas Alexandre Galdino de Azevedo,0.0,Bragantino,0.6,lucao,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png,Lucão,1.74,False,106160,0.0,280,,,,,,,,,1.0,,,1.0,,7.0,8.0,,,,,,
464,G. Pec,7,5,22,,Gabriel Fortes Chaves,3.4,Vasco,4.9,gabriel-pec,20,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,Gabriel Pec,14.52,True,106199,0.4,267,,20.0,8.0,18.0,36.0,3.0,2.0,,3.0,21.0,,,2.0,,,2.0,,,,,
