,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
28,E. Ribeiro,6,4,22,,Everton Augusto de Barros Ribeiro,1.5,Flamengo,3.34,everton-ribeiro,17,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,Everton Ribeiro,8.72,True,51772,0.13,262,,12.0,3.0,5.0,22.0,2.0,1.0,,1.0,14.0,,,2.0,,,,,,,,
29,Réver,6,3,22,,Réver Humberto Alves Araújo,0.0,Atlético-MG,3.68,rever,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Réver,3.74,True,52253,-0.75,282,,1.0,,,,,,,1.0,,,3.0,,,,,,,,,
30,D. Luiz,6,3,22,,David Luiz Moreira Marinho,0.0,Flamengo,3.69,david-luiz,13,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,David Luiz,6.61,True,52827,-0.34,262,,13.0,2.0,2.0,3.0,1.0,,,1.0,12.0,,4.0,1.0,,,,,,,,
31,A. Teixeira,6,4,22,,Alex Teixeira Santos,0.0,Vasco,2.58,alex-teixeira,15,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,Alex Teixeira,5.7,False,60793,0.0,267,,21.0,6.0,10.0,19.0,,8.0,,1.0,6.0,,,3.0,,,,,,,,
32,F. Azevedo,7,5,22,,Felipe Azevedo dos Santos,8.1,América-MG,3.49,felipe-azevedo,17,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,Felipe Azevedo,6.33,True,60825,1.4,327,,17.0,5.0,6.0,17.0,3.0,1.0,,1.0,12.0,,,1.0,,,1.0,,,,,
33,Uendel,6,2,22,,Uendel Pereira Gonçalves,0.0,Cuiabá,2.0,uendel,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel,3.42,False,60852,0.0,1371,,,,,,,,,1.0,,,1.0,,,,,,,,,
34,Cicinho,6,2,22,,Neuciano de Jesus Gusmão,0.0,Bahia,3.63,cicinho,9,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Cicinho,3.77,False,61106,0.0,265,,19.0,2.0,1.0,9.0,,,,3.0,13.0,,3.0,,,,1.0,,,,,
35,Gilberto,6,5,22,,Gilberto Oliveira Souza Júnior,0.0,Cruzeiro,2.98,gilberto,18,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Gilberto,7.77,False,61188,0.0,283,,16.0,5.0,19.0,11.0,3.0,4.0,,4.0,6.0,,,1.0,,,,,,,,
36,Ganso,6,4,22,,Paulo Henrique Chagas de Lima,0.0,Fluminense,4.07,ganso,17,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Ganso,10.8,False,62977,0.0,266,,10.0,2.0,3.0,27.0,3.0,1.0,,2.0,14.0,,,3.0,,,,,,,,
37,J. Caiçara,6,2,22,,Uilson de Souza Paula Júnior,-0.4,Santos,-0.4,junior-caicara,1,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,Júnior Caiçara,2.1,True,63011,-0.9,277,,1.0,,,,,1.0,,,,,,,,,,,,,,
38,M. Rocha,7,2,22,,Marcos Luis Rocha Aquino,9.5,Palmeiras,4.0,marcos-rocha,9,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,Marcos Rocha,6.42,True,63013,0.95,275,,11.0,,,7.0,,,,,14.0,1.0,4.0,,,,,,,,,
39,Fransérgio,6,4,22,,Fransérgio Rodrigues Barbosa,0.0,Coritiba,1.49,fransergio,8,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,Fransérgio,4.06,False,63024,0.0,294,,5.0,1.0,4.0,6.0,,,,,5.0,,,,,,,,,,,
40,W. Farias,5,4,22,,Willian Roberto Farias,0.0,Coritiba,2.43,willian-farias,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,Willian Farias,3.8,False,63058,0.0,294,,3.0,,,4.0,,,,1.0,6.0,,,,,,,,,,,
41,Edenílson,7,4,22,,Edenílson Andrade dos Santos,0.0,Atlético-MG,1.93,edenilson,18,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Edenílson,4.85,True,63289,-0.72,282,,13.0,1.0,1.0,10.0,,,,,18.0,,,2.0,,,,,,,,
42,R. Moledo,3,3,22,,Rodrigo Modesto da Silva Moledo,0.0,Internacional,1.26,rodrigo-moledo,7,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,Rodrigo Moledo,2.82,False,63354,0.0,285,,2.0,1.0,,3.0,,1.0,,3.0,4.0,,1.0,,,,,,,,,
43,A. Patrick,7,4,22,,Alan Patrick Lourenço,3.1,Internacional,2.18,alan-patrick,19,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,Alan Patrick,8.28,True,68685,0.34,285,,14.0,4.0,10.0,31.0,,2.0,,4.0,7.0,,,2.0,,,1.0,,,,,
44,Eduardo,7,4,22,,Carlos Eduardo de Oliveira Alves,4.5,Botafogo,4.7,eduardo,19,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Eduardo,12.92,True,68708,0.65,263,,25.0,6.0,6.0,35.0,4.0,,,4.0,11.0,,,4.0,,,2.0,,,,,
