,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido_abreviado,atletas.nome,atletas.rodada_id,atletas.atleta_id,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.foto,atletas.pontos_num,A,CA,DS,FC,FF,FS,G,PP,SG,V,FD,FT,I,PC,CV,GC,PS,DE,GS,DP,PI
35,True,Cuiabá,2,-0.22,2.78,6,,6,uendel,Uendel,Uendel Pereira Gonçalves,37,60852,Uendel,1.62,1371,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,-0.3,,1.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,
36,False,Bahia,2,0.0,3.26,6,,11,cicinho,Cicinho,Neuciano de Jesus Gusmão,37,61106,Cicinho,3.0,265,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,0.0,,4.0,14.0,22.0,1.0,11.0,,,3.0,,2.0,1.0,,,,,,,,,
37,False,Cruzeiro,5,0.0,7.86,6,,20,gilberto,Gilberto,Gilberto Oliveira Souza Júnior,37,61188,Gilberto,2.8,283,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,0.0,1.0,4.0,8.0,20.0,19.0,11.0,3.0,,,,6.0,,4.0,,,,,,,,
38,False,Fluminense,4,0.0,10.45,7,,25,ganso,Ganso,Paulo Henrique Chagas de Lima,37,62977,Ganso,3.84,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,0.0,6.0,4.0,18.0,13.0,6.0,31.0,3.0,,,,4.0,1.0,1.0,,,,,,,,
39,False,Santos,2,0.0,2.91,6,,4,junior-caicara,J. Caiçara,Uilson de Souza Paula Júnior,37,63011,Júnior Caiçara,1.78,277,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,0.0,,1.0,3.0,3.0,,1.0,,,1.0,,,,1.0,,,,,,,,
40,True,Palmeiras,2,0.13,7.17,2,,19,marcos-rocha,M. Rocha,Marcos Luis Rocha Aquino,37,63013,Marcos Rocha,5.96,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,6.1,1.0,1.0,33.0,19.0,3.0,12.0,1.0,,12.0,,,,1.0,1.0,,,,,,,
41,False,Coritiba,4,0.0,3.7,6,,15,fransergio,Fransérgio,Fransérgio Rodrigues Barbosa,37,63024,Fransérgio,1.04,294,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,0.0,,1.0,8.0,8.0,6.0,7.0,,,,,1.0,,1.0,,,,,,,,
42,True,Coritiba,4,0.06,2.99,6,,14,willian-farias,W. Farias,Willian Roberto Farias,37,63058,Willian Farias,1.04,294,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,1.2,,3.0,15.0,14.0,4.0,7.0,,,,,,,,,1.0,,,,,,
43,True,Atlético-MG,4,-1.06,5.14,7,,27,edenilson,Edenílson,Edenílson Andrade dos Santos,37,63289,Edenílson,1.97,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,2.9,2.0,1.0,23.0,17.0,2.0,13.0,1.0,,,,2.0,1.0,,,,,,,,,
44,False,Internacional,3,0.0,2.82,3,,7,rodrigo-moledo,R. Moledo,Rodrigo Modesto da Silva Moledo,37,63354,Rodrigo Moledo,1.26,285,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,0.0,,3.0,4.0,2.0,,3.0,,,1.0,,1.0,,1.0,,,,,,,,
45,True,Internacional,4,-0.27,8.88,7,,33,alan-patrick,A. Patrick,Alan Patrick Lourenço,37,68685,Alan Patrick,3.48,285,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,1.6,5.0,6.0,17.0,29.0,23.0,57.0,3.0,,,,9.0,1.0,5.0,,,,,,,,
46,False,Botafogo,4,0.0,11.78,7,,32,eduardo,Eduardo,Carlos Eduardo de Oliveira Alves,37,68708,Eduardo,4.22,263,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,0.0,6.0,5.0,18.0,33.0,10.0,48.0,6.0,,,,13.0,2.0,,,1.0,,,,,,
47,True,Santos,2,-0.09,3.5,7,,17,dodo,Dodô,José Rodolfo Pires Ribeiro,37,68727,Dodô,1.86,277,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,-0.3,1.0,3.0,24.0,14.0,3.0,8.0,,,,,,,3.0,1.0,,,,,,,
48,False,Santos,4,0.0,1.95,6,,11,camacho,Camacho,Guilherme de Aguiar Camacho,37,68770,Camacho,0.73,277,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,0.0,,3.0,15.0,18.0,,3.0,,,,,,,1.0,,1.0,,,,,,
49,False,Palmeiras,1,0.0,6.17,6,,3,marcelo-lomba,M. Lomba,Marcelo Lomba do Nascimento,37,68872,Marcelo Lomba,4.83,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,,,,,,1.0,,,1.0,,,,,,,,,12.0,3.0,,
50,False,Cuiabá,5,0.0,4.43,6,,29,wellington-silva,W. Silva,Wellington Alves da Silva,37,68895,Wellington Silva,2.57,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,0.0,2.0,1.0,26.0,13.0,6.0,39.0,1.0,,,,5.0,,3.0,,,,,,,,
51,False,Goiás,5,0.0,6.65,6,,23,vinicius,Vinicius,Vinicius Santos Silva,37,68917,Vinicius,2.38,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,0.0,2.0,1.0,17.0,20.0,15.0,14.0,,,,,8.0,1.0,4.0,,,,,,,,
52,False,Palmeiras,5,0.0,14.16,5,,14,dudu,Dudu,Eduardo Pereira Rodrigues,37,68920,Dudu,6.04,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,0.0,3.0,,7.0,9.0,11.0,40.0,3.0,,,,7.0,1.0,3.0,,,,,,,,
