,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.pontos_num,atletas.jogos_num,atletas.preco_num,atletas.entrou_em_campo,atletas.status_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.foto,atletas.nome,atletas.apelido_abreviado,atletas.slug,atletas.rodada_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PC,PP,DE,DP,GS,CV,PS,GC,V,PI
42,285,3,1.26,Internacional,0.0,0.0,7,2.82,False,3,,Rodrigo Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,Rodrigo Modesto da Silva Moledo,R. Moledo,rodrigo-moledo,26,63354,,3.0,4.0,2.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,
43,285,4,2.65,Internacional,1.73,10.6,23,9.58,True,7,,Alan Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,Alan Patrick Lourenço,A. Patrick,alan-patrick,26,68685,3.0,4.0,10.0,18.0,4.0,11.0,38.0,1.0,3.0,,1.0,,,,,,,,,,
44,263,4,4.3,Botafogo,0.51,4.9,23,12.74,True,7,,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Carlos Eduardo de Oliveira Alves,Eduardo,eduardo,26,68708,4.0,4.0,15.0,26.0,7.0,8.0,40.0,4.0,,,2.0,,,,,,,,,,
45,277,2,1.75,Santos,0.0,0.0,11,4.02,False,3,,Dodô,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,José Rodolfo Pires Ribeiro,Dodô,dodo,26,68727,1.0,3.0,12.0,6.0,,2.0,7.0,,3.0,,,,,,,,,,,,
46,277,4,0.63,Santos,-0.21,-0.1,10,1.79,True,6,,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Guilherme de Aguiar Camacho,Camacho,camacho,26,68770,,3.0,14.0,18.0,,,2.0,,1.0,,,,,,,,1.0,,,,
47,275,1,4.83,Palmeiras,0.0,0.0,3,6.17,False,6,,Marcelo Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,Marcelo Lomba do Nascimento,M. Lomba,marcelo-lomba,26,68872,,,,,,,1.0,,,1.0,,,,12.0,,3.0,,,,,
48,1371,5,2.84,Cuiabá,0.0,0.0,22,4.96,False,6,,Wellington Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,Wellington Alves da Silva,W. Silva,wellington-silva,26,68895,1.0,1.0,22.0,11.0,5.0,6.0,33.0,1.0,2.0,,,,,,,,,,,,
49,290,5,2.81,Goiás,0.0,0.0,15,6.52,False,6,,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Vinicius Santos Silva,Vinicius,vinicius,26,68917,1.0,1.0,15.0,9.0,6.0,10.0,10.0,,3.0,,1.0,,,,,,,,,,
50,275,5,6.04,Palmeiras,0.0,0.0,14,14.16,False,5,,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Eduardo Pereira Rodrigues,Dudu,dudu,26,68920,3.0,,7.0,9.0,7.0,11.0,40.0,3.0,3.0,,1.0,,,,,,,,,,
51,264,3,3.37,Corinthians,0.24,1.2,22,5.75,True,7,,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Carlos Gilberto do Nascimento Silva,Gil,gil,26,68923,,7.0,23.0,21.0,5.0,6.0,6.0,2.0,4.0,6.0,,,,,,,,,,,
52,276,1,3.06,São Paulo,1.12,7.0,21,8.12,True,7,,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,Rafael Pires Monteiro,Rafael,rafael,26,68928,,,1.0,,,,2.0,,,6.0,,,,55.0,,23.0,,,,,
53,283,1,4.1,Cruzeiro,0.0,0.0,24,10.66,False,6,,Rafael Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,Rafael Cabral Barbosa,R. Cabral,rafael-cabral,26,68940,,3.0,1.0,,,,4.0,,,9.0,,1.0,,76.0,,22.0,,,,,
54,283,3,3.4,Cruzeiro,0.0,0.0,23,7.64,False,6,,Luciano Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,Luciano Castán da Silva,L. Castán,luciano-castan,26,68942,,6.0,15.0,18.0,6.0,6.0,14.0,1.0,1.0,9.0,,,,,,,,,,,
55,356,5,3.32,Fortaleza,0.0,0.0,14,4.38,False,5,,Marinho,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Mário Sérgio Santos Costa,Marinho,marinho,26,68952,1.0,5.0,10.0,17.0,6.0,8.0,39.0,1.0,5.0,,,,1.0,,,,,3.0,,,
56,356,4,3.28,Fortaleza,0.0,0.0,13,6.87,False,6,,Lucas Sasha,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,Lucas Pacheco Affini,L. Sasha,lucas-sasha,26,68991,,2.0,34.0,19.0,1.0,3.0,12.0,,1.0,,,,,,,,,,,,
57,1371,1,0.0,Cuiabá,0.0,0.0,0,3.0,False,6,,João Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,João Carlos Heidemann,J. Carlos,joao-carlos,26,69010,,,,,,,,,,,,,,,,,,,,,
