,atletas.pontos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.preco_num,atletas.slug,atletas.nome,atletas.foto,atletas.variacao_num,atletas.status_id,atletas.entrou_em_campo,atletas.atleta_id,atletas.rodada_id,atletas.clube.id.full.name,CV,DE,DP,FC,FS,GC,GS,SG,A,CA,DS,FD,FF,G,I,FT,PP,PC,PS,V,PI
56,3.9,Marinho,356,,3.37,5,Marinho,19,4.36,marinho,Mário Sérgio Santos Costa,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,0.17,7,True,68952,33,Fortaleza,,,,21.0,53.0,,,,1.0,5.0,12.0,10.0,14.0,1.0,7.0,,1.0,,3.0,,
57,0.0,L. Sasha,356,,3.55,4,Lucas Sasha,15,7.01,lucas-sasha,Lucas Pacheco Affini,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,0.0,6,False,68991,33,Fortaleza,,,,22.0,13.0,,,,,3.0,44.0,1.0,3.0,,2.0,,,,,,
58,0.0,J. Carlos,1371,,-2.0,1,João Carlos,1,1.9,joao-carlos,João Carlos Heidemann,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,6,False,69010,33,Cuiabá,,,,,,,2.0,,,,,,,,,,,,,,
59,0.0,Santos,262,,3.25,1,Santos,6,9.47,santos,Aderbar Melo dos Santos Neto,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,0.0,6,False,69012,33,Flamengo,,17.0,,,1.0,,8.0,2.0,,,,,,,,,,,,,
60,0.0,Manoel,266,,1.97,3,Manoel,6,5.19,manoel,Manoel Messias Silva Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,0.0,3,False,69014,33,Fluminense,,,,1.0,1.0,,,2.0,,1.0,3.0,,,,,,,1.0,,,
61,0.0,M. Cirino,293,,0.6,5,Marcelo Cirino,4,3.44,marcelo-cirino,Marcelo Cirino da Silva,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,6,False,69022,33,Athlético-PR,,,,2.0,2.0,,,,,1.0,2.0,,1.0,,2.0,,,,,,
62,0.0,Paulinho,264,,2.1,4,Paulinho,4,4.5,paulinho,José Paulo Bezerra Maciel Júnior,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,0.0,5,False,69034,33,Corinthians,,,,2.0,2.0,,,,,,6.0,,1.0,,,,,,,,
63,0.0,Vladimir,277,,-1.0,1,Vladimir,3,1.51,vladimir,Vladimir Orlando Cardoso de Araújo Filho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,6,False,69040,33,Santos,1.0,10.0,,,,,13.0,,,,,,,,,,,,,,
64,0.0,D. Fernandes,265,,6.0,1,Danilo Fernandes,1,3.42,danilo-fernandes,Danilo Fernandes Batista,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,0.0,6,False,69051,33,Bahia,,7.0,,,,,,,,2.0,,,,,,,,,,,
65,0.0,J. Rodríguez,276,,2.93,4,James Rodríguez,10,9.89,james-rodriguez,James David Rodríguez Rubio,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,0.0,6,False,69063,33,São Paulo,,,,9.0,7.0,,,,2.0,,5.0,2.0,4.0,1.0,1.0,1.0,1.0,,,,
