,atletas.slug,atletas.clube_id,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.foto,atletas.jogos_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.apelido,atletas.nome,atletas.apelido_abreviado,atletas.preco_num,atletas.media_num,A,CA,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,PP,CV,V,DE,GS,PS,DP,PI
389,anderson-oliveira,290,102096,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/07/06/photo_FORMATO_AFDNRnG.png,13,6,Goiás,28,Anderson Oliveira,Anderson de Oliveira da Silva,A. Oliveira,4.96,2.42,1.0,1.0,14.0,14.0,,7.0,13.0,1.0,,,,,1.0,,,,,,,,
390,piquerez,275,102130,19.4,,2.31,True,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_04Y9scz.png,20,7,Palmeiras,28,Piquerez,Joaquín Piquerez Moreira,Piquerez,13.17,6.35,3.0,5.0,44.0,11.0,2.0,7.0,19.0,,1.0,,9.0,1.0,2.0,,,,,,,,
391,vitor-eudes,266,102137,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_FvWKOzt.png,0,6,Fluminense,28,Vitor Eudes,Vitor Eudes de Souza Costa,V. Eudes,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
392,lucas-halter,290,102253,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_DlFIoVh.png,21,6,Goiás,28,Lucas Halter,Lucas Halter,L. Halter,5.59,3.58,,6.0,23.0,18.0,,5.0,6.0,,,1.0,7.0,3.0,2.0,,2.0,,,,,,
393,gabriel-mesquita,283,102290,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/05/30/photo_220x220.png,0,6,Cruzeiro,28,Gabriel Mesquita,Gabriel José Ferreira Mesquita,G. Mesquita,0.7,-1.0,,1.0,,,,,,,,,,,,,,,,,,,
394,mikael,327,102299,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_rNTDYYW.png,5,6,América-MG,28,Mikael,Mikael Filipe Viana,Mikael,3.0,1.68,,,1.0,,2.0,5.0,2.0,,,,,,2.0,,,,,,,,
395,rafael-elias,283,102302,-1.4,,-0.98,True,5,https://s.sde.globo.com/media/person_role/2023/07/27/photo_FORMATO_C3BThsf.png,6,5,Cruzeiro,28,Rafael Elias,Rafael Elias da Silva,R. Elias,4.73,2.95,,2.0,3.0,12.0,4.0,5.0,6.0,,,,,1.0,1.0,,,,,,,,
396,matheus-felipe,293,102310,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_e7P4JVL.png,5,6,Athlético-PR,28,Matheus Felipe,Matheus Felipe Santos Nascimento,M. Felipe,2.53,1.7,,,2.0,3.0,1.0,1.0,,,,,1.0,,,,,,,,,,
397,caio-paulista,276,102318,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/01/27/photo_FORMATO_rRBJfVv.png,20,6,São Paulo,28,Caio Paulista,Caio Fernando de Oliveira,C. Paulista,8.96,4.24,2.0,3.0,19.0,15.0,11.0,8.0,26.0,1.0,,1.0,5.0,,,,,,,,,,
398,caca,293,102340,3.1,,0.03,True,3,https://s.sde.globo.com/media/person_role/2023/07/21/photo_FORMATO_EPR1F0c.png,10,7,Athlético-PR,28,Cacá,Carlos de Menezes Júnior,Cacá,5.15,4.02,,1.0,16.0,12.0,,2.0,6.0,,,,1.0,2.0,,,,,,,,,
399,mastriani,327,102561,2.6,,-0.72,True,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_6Ys1TEq.png,14,7,América-MG,28,Mastriani,Gonzalo Mathías Mastriani Borges,Mastriani,5.27,5.37,1.0,1.0,6.0,9.0,6.0,12.0,10.0,,,,,6.0,2.0,,1.0,,,,,,
400,helinho,280,102598,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png,15,6,Bragantino,28,Helinho,Hélio Júnio Nunes de Castro,Helinho,6.74,3.91,1.0,4.0,18.0,15.0,8.0,11.0,13.0,,,,,2.0,2.0,,,,,,,,
401,anderson,283,102906,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Lvl4bA5.png,1,6,Cruzeiro,28,Anderson,Anderson Silva da Paixão,Anderson,3.24,6.0,,,,,,,,,,,1.0,,,,,,1.0,,,,
402,matheus-teixeira,265,102907,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2022/04/05/ff4149be4042453395add145d010bd49_FORMATO.png,0,6,Bahia,28,Matheus Teixeira,Matheus Henrique Teixeira,M. Teixeira,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
403,luan,276,102909,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/03/01/6b4e62b423e7b34762e0c7f626ea5ebd_FORMATO.png,10,6,São Paulo,28,Luan,Luan Vinícius da Silva Santos ,Luan,4.2,1.97,,,12.0,9.0,,3.0,5.0,1.0,,,,,,,,,,,,,
404,canobbio,293,102928,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_VXCkQFM.png,20,7,Athlético-PR,28,Canobbio,Agustín Canobbio Graviz,Canobbio,7.49,5.24,3.0,8.0,39.0,28.0,17.0,14.0,35.0,1.0,,1.0,,1.0,6.0,,,,,,1.0,,
405,escobar,356,102975,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/07/03/photo_FORMATO_LH8zzYb.png,7,6,Fortaleza,28,Escobar,Gonzalo Daniel Escobar,Escobar,3.57,1.9,1.0,3.0,9.0,12.0,,2.0,5.0,,,,,,,,,,,,,,
406,laquintana,280,103014,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_roWm5iE.png,3,6,Bragantino,28,Laquintana,Ignacio Jesús Laquintana Marsico,Laquintana,3.09,1.73,,,2.0,3.0,2.0,,3.0,,,,,,2.0,,,,,,,,
407,eric-ramires,280,103295,-0.1,,-1.18,True,4,https://s.sde.globo.com/media/person_role/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png,19,7,Bragantino,28,Eric Ramires,Eric dos Santos Rodrigues,E. Ramires,3.72,3.38,2.0,1.0,15.0,20.0,4.0,6.0,13.0,1.0,,,,3.0,1.0,,,,,,,,
408,matheus-alexandre,1371,103347,-1.0,,-1.39,True,2,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_4eKoeL1.png,24,7,Cuiabá,28,Matheus Alexandre,Matheus Alexandre Anastácio de Souza,M. Alexandre,7.08,4.76,,3.0,62.0,21.0,1.0,3.0,8.0,,,1.0,7.0,1.0,3.0,,,,,,,,
409,emmanuel-martinez,327,103388,4.9,,0.42,True,4,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_cPLErDD.png,24,7,América-MG,28,Emmanuel Martínez,Leandro Emmanuel Martínez,E. Martínez,6.85,4.06,4.0,2.0,40.0,22.0,6.0,8.0,45.0,1.0,,1.0,,,,,,,,,,,
410,caetano,264,103575,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_72Ycs9o.png,11,6,Corinthians,28,Caetano,João Victor Andrade Caetano,Caetano,3.0,2.21,,2.0,13.0,7.0,,1.0,6.0,,,1.0,2.0,,,,,,,,,,
411,rafael-bilu,283,103576,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_L5qGZ0n.png,4,5,Cruzeiro,28,Rafael Bilu,Rafael Bilu Mudesto,R. Bilu,2.83,2.08,,,4.0,1.0,,3.0,3.0,,,,,,1.0,,,,,,,,
412,lucio-flavio,263,103582,3.29,,-0.22,True,6,https://s.sde.globo.com/media/person_role/2022/03/08/fb8a9a99b74f23b669c36d16348d819f_FORMATO.png,4,6,Botafogo,28,Lúcio Flávio,Lúcio Flávio dos Santos,L. Flávio,11.41,6.82,,,,,,,,,,,,,,,,3.0,,,,,
413,marcos-paulo,276,103645,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png,15,5,São Paulo,28,Marcos Paulo,Marcos Paulo Costa do Nascimento,M. Paulo,7.42,3.06,1.0,2.0,15.0,8.0,2.0,4.0,12.0,,,,,2.0,2.0,,,,,,,,
414,kaique-rocha,293,103684,-0.8,,-1.16,True,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,5,7,Athlético-PR,28,Kaíque Rocha,Kaíque Rocha Lima,K. Rocha,3.25,3.74,,2.0,5.0,3.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,
415,jadsom-silva,280,103695,2.0,,0.37,True,4,https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,21,6,Bragantino,28,Jadsom Silva,Jadsom Meemyas de Oliveira da Silva,J. Silva,2.67,1.42,,6.0,25.0,24.0,4.0,5.0,13.0,,,2.0,,,1.0,,,,,,,,
416,bruno-mendez,264,103700,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,20,6,Corinthians,28,Bruno Méndez,Bruno Méndez Cittadini,B. Méndez,3.38,2.72,1.0,3.0,22.0,13.0,,4.0,3.0,,,,5.0,,1.0,,,,,,,,
417,gabriel-menino,275,103767,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,24,5,Palmeiras,28,Gabriel Menino,Gabriel Vinícius Menino,G. Menino,8.5,4.19,3.0,5.0,38.0,39.0,6.0,17.0,28.0,2.0,,,,2.0,2.0,,,,,,,,
418,higor-meritao,290,103987,4.5,,0.45,True,4,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_uo7UAHd.png,5,7,Goiás,28,Higor Meritão,Higor Matheus Meritão,H. Meritão,1.95,1.32,,,2.0,4.0,,3.0,,1.0,,,,,,,,,,,,,
419,maycon,280,104017,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,0,6,Bragantino,28,Maycon,Maycon Cleiton de Paula Azevedo,Maycon,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
420,walce,276,104074,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2022/03/01/42769c38f612d4af2143de3132ce1cec_220x220.png,0,6,São Paulo,28,Walce,Walce da Silva Costa Filho,Walce,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
421,joao-fernando,263,104079,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5Z0375l.png,0,6,Botafogo,28,João Fernando,João Fernando Monteiro Siqueira,J. Fernando,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
422,carlos-miguel,264,104084,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,0,6,Corinthians,28,Carlos Miguel,Carlos Miguel dos Santos Pereira,C. Miguel,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
423,bruno-fuchs,282,104085,-0.4,,-0.93,True,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,14,7,Atlético-MG,28,Bruno Fuchs,Bruno de Lara Fuchs,B. Fuchs,4.46,3.42,,2.0,11.0,11.0,,,10.0,,,,7.0,,,,,,,,,,
424,ruan,264,104153,0.8,,-0.54,True,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,15,7,Corinthians,28,Ruan,Ruan de Oliveira Ferreira,Ruan,3.84,4.09,2.0,2.0,22.0,18.0,4.0,6.0,12.0,,,,,2.0,1.0,,,,,,1.0,,
425,joao-lucas,277,104257,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,12,6,Santos,28,João Lucas,João Lucas de Almeida Carvalho,J. Lucas,4.62,4.23,1.0,1.0,23.0,11.0,1.0,4.0,18.0,,,1.0,2.0,,,,,,,,,,
426,lucas-rafael,280,104360,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_J1rhwK6.png,2,5,Bragantino,28,Lucas Rafael,Lucas Rafael Gonçalves da Silva,L. Rafael,3.95,3.15,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,
427,matheus-mendes,282,104383,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,1,6,Atlético-MG,28,Matheus Mendes,Matheus Mendes Werneck de Oliveira,M. Mendes,3.42,7.0,,1.0,,,,,,,,,1.0,,,,,,3.0,,,,
428,igor-gomes,285,104385,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,15,6,Internacional,28,Igor Gomes,Igor Gomes Silva,I. Gomes,4.7,2.85,,3.0,20.0,8.0,2.0,3.0,11.0,,,1.0,3.0,,,,,,,,,,
429,vitor-mendes,266,104401,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_L4w297p.png,2,3,Fluminense,28,Vitor Mendes,Vitor Mendes Alves,V. Mendes,6.66,4.95,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,,,
430,reinaldo,293,104420,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png,1,6,Athlético-PR,28,Reinaldo,Reinaldo Nascimento Satorno,Reinaldo,2.39,1.7,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,
431,felipe-scheibig,284,104424,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2021/07/16/79af8f6f344db19983598078705340fc_FORMATO.png,0,5,Grêmio,28,Felipe Scheibig,Felipe Mateus Scheibig,F. Scheibig,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
432,christian,293,104502,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_V2OPAxf.png,14,5,Athlético-PR,28,Christian,Christian Roberto Alves Cardoso,Christian,10.5,4.7,,,17.0,21.0,3.0,7.0,15.0,1.0,,,,4.0,,,,,,,,,
433,henrique-vermudt,263,104504,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/07/30/photo_FORMATO_iztb5Pm.png,0,6,Botafogo,28,Henrique Vermudt,Henrique Vermudt,H. Vermudt,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
434,vinicius-zanocelo,356,104521,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_OPlr7ly.png,6,6,Fortaleza,28,Vinícius Zanocelo,Vinícius Nelson de Souza Zanocelo,V. Zanocelo,3.32,0.68,,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,
435,sandry,277,104580,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_bbHXWKZ.png,5,5,Santos,28,Sandry,Sandry Roberto Santos Goes,Sandry,2.54,0.52,,2.0,4.0,4.0,,,2.0,,,,,,,,,,,,,,
436,fabricio,280,104588,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_AAId2Kq.png,0,6,Bragantino,28,Fabrício,Fabrício Oliveira de Souza,Fabrício,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
437,matheus-bianqui,294,104640,3.6,,-0.24,True,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_nFBy3HF.png,18,7,Coritiba,28,Matheus Bianqui,Matheus Henrique Bianqui,M. Bianqui,4.09,3.04,1.0,6.0,31.0,27.0,4.0,6.0,19.0,,,,,1.0,3.0,,,,,,,,
438,juan-vojvoda,356,104754,2.51,,-0.02,True,6,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_UIx1Yzg.png,28,6,Fortaleza,28,Juan Vojvoda,Juan Pablo Vojvoda Rizzo,J. Vojvoda,12.49,5.14,,,,,,,,,,,,,,,,12.0,,,,,
439,acevedo,265,104783,2.8,,0.34,True,4,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_YfjCr6b.png,21,7,Bahia,28,Acevedo,Nicolás Brian Acevedo Tabárez,Acevedo,5.02,2.53,,5.0,37.0,26.0,3.0,10.0,20.0,,,,,,,,,,,,,,
440,sebastian-gomez,294,104811,1.9,,0.06,True,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_fnuIkZJ.png,10,7,Coritiba,28,Sebastián Gómez,Sebastián Gómez Londoño,S. Gómez,6.24,3.68,1.0,1.0,12.0,8.0,,,10.0,,,,,2.0,2.0,,,,,,,,
441,igo-gabriel,263,104991,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_C8GywEv.png,0,6,Botafogo,28,Igo Gabriel,Igo Gabriel Santos Pereira,I. Gabriel,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
442,joao-marcelo,283,105047,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/08/01/photo_220x220_vuySYbE.png,1,6,Cruzeiro,28,João Marcelo,João Marcelo Messias Ferreira,J. Marcelo,2.43,0.9,,,1.0,1.0,,,,,,,,,,,,,,,,,
443,luis-henrique,263,105049,0.0,,0.03,True,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XMfC6C1.png,26,6,Botafogo,28,Luis Henrique,Luis Henrique Tomaz de Lima,L. Henrique,5.32,2.86,2.0,,12.0,5.0,7.0,10.0,5.0,,,,,4.0,1.0,,,,,,1.0,,
444,khellven,293,105175,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7lRpDNN.png,14,6,Athlético-PR,28,Khellven,Khellven Douglas Silva Oliveira,Khellven,7.74,4.5,3.0,1.0,15.0,9.0,2.0,3.0,8.0,,,,5.0,,3.0,,,,,,,,
445,bento,293,105208,3.0,,0.04,True,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ROEp8B.png,22,7,Athlético-PR,28,Bento,Bento Matheus Krepski,Bento,9.56,3.66,1.0,3.0,,2.0,,,2.0,,,,6.0,,,,,,67.0,26.0,,1.0,
446,de-lucca,267,105294,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_J73ZkrF.png,0,5,Vasco,28,De Lucca,Patrick de Lucca Chaves de Oliveira,D. Lucca,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
447,ferraresi,276,105300,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2022/08/13/a5301263d96806640ddf67cec70f99e7_FORMATO.png,0,6,São Paulo,28,Ferraresi,Nahuel Adolfo Ferraresi Hernández,Ferraresi,6.0,0.0,,,,,,,,,,,,,,,,,,,,,
448,gabriel-xavier,265,105373,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0UPMoSl.png,11,6,Bahia,28,Gabriel Xavier,Gabriel Lheman Xavier - Lhman,G. Xavier,4.36,3.59,,2.0,14.0,8.0,1.0,3.0,7.0,,,,4.0,,,,,,,,,,
449,matheus-bidu,264,105531,2.4,,0.13,True,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_cNTyg24.png,19,7,Corinthians,28,Matheus Bidu,Matheus Lima Beltrão Oliveira Valin,M. Bidu,6.12,3.37,,2.0,27.0,20.0,4.0,6.0,24.0,,,2.0,4.0,,,,,,,,,,
450,rikelme,1371,105547,0.9,,-0.31,True,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_FfgJEdr.png,20,7,Cuiabá,28,Rikelme,Rikelme Hernandes Amorim Rocha,Rikelme,4.28,3.98,1.0,1.0,49.0,18.0,5.0,7.0,12.0,,1.0,,,1.0,3.0,,,,,,,,
451,riquelme,267,105566,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_smA6Xym.png,0,6,Vasco,28,Riquelme,Riquelme Carvalho Araújo Viana,Riquelme,3.0,0.0,,,,,,,,,,,,,,,,,,,,,
452,lucero,356,105568,1.7,,-0.31,True,5,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_MqRx953.png,22,6,Fortaleza,28,Lucero,Juan Martín Lucero,Lucero,6.64,4.37,,2.0,9.0,24.0,10.0,13.0,24.0,1.0,,,,7.0,8.0,,,,,,2.0,,
453,lucas-piton,267,105584,3.0,,-0.31,True,2,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_71dywWV.png,26,7,Vasco,28,Lucas Piton,Lucas Piton Crivellaro,L. Piton,6.98,2.9,3.0,3.0,30.0,35.0,4.0,8.0,4.0,,,,5.0,,2.0,,,,,,,,
454,roni,264,105585,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_efGU5wq.png,13,6,Corinthians,28,Roni,Roni Medeiros de Moura,Roni,2.53,1.38,,2.0,16.0,15.0,1.0,2.0,5.0,,,,,,,,,,,,,,
455,mauricio,285,105647,10.7,,0.88,True,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_7KIwg4E.png,17,7,Internacional,28,Maurício,Maurício Magalhães Prado,Maurício,9.57,4.47,3.0,2.0,10.0,11.0,4.0,10.0,18.0,3.0,,,,3.0,4.0,,,,,,,,
456,nicolas-hernandez,285,105672,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_l85XoS0.png,16,6,Internacional,28,Nicolás Hernández,Nicolás Hernández Rodríguez,N. Hernández,3.06,1.64,1.0,6.0,9.0,11.0,,1.0,4.0,,1.0,,4.0,,,,,,,,,,
457,wesley,283,105811,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vnwHYu8.png,23,6,Cruzeiro,28,Wesley,Wesley Ribeiro Silva,Wesley,8.04,4.45,1.0,6.0,31.0,47.0,11.0,18.0,42.0,,,,,4.0,3.0,,,,,,,,
458,edu,290,105842,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/06/25/photo_FORMATO_bGsyKIs.png,6,6,Goiás,28,Edu,Lucas Eduardo Ribeiro de Souza,Edu,2.45,2.78,,1.0,5.0,6.0,1.0,1.0,5.0,,,1.0,2.0,,,,,,,,,,
459,belezi,293,105844,0.0,,0.0,False,3,https://s.sde.globo.com/media/person_role/2023/10/08/photo_FORMATO.png,0,6,Athlético-PR,28,Belezi,Lucas Belezi Barbosa,Belezi,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
460,matheus-araujo,264,105845,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_BedE425.png,10,6,Corinthians,28,Matheus Araújo,Matheus de Araújo Andrade,M. Araújo,5.44,1.96,,,8.0,9.0,1.0,,7.0,,,,,1.0,1.0,,,,,,,,
461,ze-gabriel,267,105902,3.5,,0.17,True,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_PQUgcKV.png,16,7,Vasco,28,Zé Gabriel,José Gabriel dos Santos Silva,Z. Gabriel,3.21,1.95,,4.0,19.0,20.0,1.0,5.0,10.0,,,,,1.0,,,,,,,,,
462,vinicius-mingotti,265,105909,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_YH7397F.png,13,6,Bahia,28,Vinicius Mingotti,Vinicius Alessandro Mingotti,V. Mingotti,2.74,2.18,,2.0,4.0,10.0,4.0,3.0,12.0,,,,,2.0,7.0,,,,,,,,
463,romulo,285,105911,1.7,,0.21,True,4,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_eEMPMPy.png,16,6,Internacional,28,Rômulo,Rômulo Zanre Zwarg,Rômulo,3.71,3.2,,1.0,23.0,14.0,2.0,5.0,23.0,1.0,,,,1.0,1.0,,,,,,,,
464,cadu-silva,277,105914,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2020/02/28/8b8a13f401928e0adf73a1998a49f868_FORMATO.png,1,6,Santos,28,Cadu Silva,Carlos Eduardo Bertolassi da Silva,C. Silva,0.71,0.0,,,,,,,,,,,,,,,,,,,,,
465,rochet,285,105949,1.5,,0.36,True,1,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_AtGShUT.png,9,7,Internacional,28,Rochet,Sergio Ramón Rochet Álvarez,Rochet,6.02,2.39,,3.0,,,,,5.0,,,,2.0,,,,,,25.0,13.0,,,
466,vinicius,267,105998,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_Oqt8wcz.png,0,6,Vasco,28,Vinícius,Vinícius dos Santos de Oliveira Paiva,Vinícius,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
467,lucas-ramos,285,106000,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_Tdt3VkZ.png,1,5,Internacional,28,Lucas Ramos,Lucas de Ramos Silveira,L. Ramos,2.81,0.0,,,,,,,,,,,,,,,,,,,,,
468,johnny,285,106002,0.5,,0.17,True,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_ylIGH1n.png,14,7,Internacional,28,Johnny,João Lucas Souza Cardoso,Johnny,6.62,3.9,1.0,5.0,23.0,14.0,3.0,1.0,18.0,1.0,,1.0,,2.0,2.0,,,,,,,,
469,lucao,280,106160,0.0,,0.0,False,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_uN4AYEQ.png,5,6,Bragantino,28,Lucão,Lucas Alexandre Galdino de Azevedo,Lucão,1.74,0.6,,1.0,,,,,,,,,1.0,,,,,,7.0,8.0,,,
470,gabriel-pec,267,106199,10.5,,1.31,True,5,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_RHuy7TJ.png,26,7,Vasco,28,Gabriel Pec,Gabriel Fortes Chaves,G. Pec,16.18,5.75,3.0,5.0,30.0,27.0,14.0,23.0,40.0,3.0,,,,6.0,5.0,,,,,,,,
471,figueiredo,267,106201,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_YrswGSn.png,16,6,Vasco,28,Figueiredo,Lucas Figueiredo dos Santos,Figueiredo,2.69,1.92,,3.0,8.0,17.0,8.0,11.0,15.0,1.0,,,,,6.0,,,,,,1.0,,
472,bruno-gomes,294,106202,1.5,,-0.36,True,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uLOhgzA.png,21,6,Coritiba,28,Bruno Gomes,Bruno Gomes da Silva Clevelário,B. Gomes,9.33,4.31,,4.0,39.0,28.0,8.0,14.0,39.0,1.0,,,,2.0,1.0,,1.0,,,,,,
473,kawan,293,106219,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2022/02/21/f32be788b285e944b21d286da2e5b28d_FORMATO.png,0,5,Athlético-PR,28,Kawan,Kawan Gabriel da Silva,Kawan,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
474,realpe,280,106299,8.3,,1.22,True,3,https://s.sde.globo.com/media/person_role/2022/05/05/593eafb7ce8c7aa2051ccde762f1d731_FORMATO.png,11,7,Bragantino,28,Realpe,Leonardo Javier Realpe Montaño,Realpe,3.46,3.12,,2.0,9.0,11.0,,1.0,,1.0,,,5.0,,,,,,,,,,
