,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.preco_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.apelido,A,CA,CV,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,V,DE,GS,PP,PS,DP,PI
53,São Paulo,8.5,Rafael Pires Monteiro,36,0.7,3.61,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,68928,8.77,True,1,Rafael,7,,276,rafael,30,Rafael,,1.0,,1.0,,,,4.0,,,,12.0,,,,77.0,31.0,,,,
54,Cruzeiro,1.5,Rafael Cabral Barbosa,36,-0.96,3.74,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,68940,9.81,True,1,R. Cabral,7,,283,rafael-cabral,32,Rafael Cabral,,3.0,,1.0,,,,6.0,,,1.0,12.0,,,,88.0,29.0,,,,
55,Cruzeiro,0.5,Luciano Castán da Silva,36,-0.96,3.32,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,68942,6.46,True,3,L. Castán,7,,283,luciano-castan,31,Luciano Castán,,6.0,,20.0,23.0,7.0,9.0,17.0,,,,12.0,1.0,1.0,,,,,,,
56,Fortaleza,0.0,Mário Sérgio Santos Costa,36,0.0,3.07,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,68952,3.71,False,5,Marinho,6,,356,marinho,21,Marinho,1.0,6.0,,12.0,21.0,10.0,15.0,54.0,,,,,1.0,7.0,,,,1.0,3.0,,
57,Fortaleza,4.5,Lucas Pacheco Affini,36,-0.52,3.61,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,68991,6.49,True,4,L. Sasha,6,,356,lucas-sasha,16,Lucas Sasha,,3.0,,48.0,23.0,1.0,3.0,13.0,,,,,,2.0,,,,,,,
58,Cuiabá,0.0,João Carlos Heidemann,36,0.0,-2.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,69010,1.9,False,1,J. Carlos,6,,1371,joao-carlos,1,João Carlos,,,,,,,,,,,,,,,,,2.0,,,,
59,Flamengo,0.0,Aderbar Melo dos Santos Neto,36,0.0,3.25,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,69012,9.47,False,1,Santos,6,,262,santos,6,Santos,,,,,,,,1.0,,,,2.0,,,,17.0,8.0,,,,
60,Fluminense,0.0,Manoel Messias Silva Carvalho,36,0.0,1.97,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,69014,5.19,False,3,Manoel,3,,266,manoel,6,Manoel,,1.0,,3.0,1.0,,,1.0,,,1.0,2.0,,,,,,,,,
61,Athlético-PR,0.0,Marcelo Cirino da Silva,36,0.0,0.6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,69022,3.44,False,5,M. Cirino,6,,293,marcelo-cirino,4,Marcelo Cirino,,1.0,,2.0,2.0,,1.0,2.0,,,,,,2.0,,,,,,,
62,Corinthians,0.0,José Paulo Bezerra Maciel Júnior,36,0.0,2.1,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,69034,4.5,False,4,Paulinho,5,,264,paulinho,4,Paulinho,,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,
