,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.apelido,atletas.pontos_num,atletas.slug,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube.id.full.name,atletas.atleta_id,atletas.clube_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.preco_num,V,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,CV,FT,GC,PC,PS,PP,DP,PI
30,0.16,3.11,E. Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,38,Everton Augusto de Barros Ribeiro,Everton Ribeiro,1.7,everton-ribeiro,True,30,Flamengo,51772,262,1.2,6,4,8.61,,4.0,3.0,22.0,17.0,5.0,5.0,39.0,3.0,1.0,,,,,1.0,,1.0,,,,
31,0.0,3.04,Réver,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,38,Réver Humberto Alves Araújo,Réver,0.0,rever,False,9,Atlético-MG,52253,282,1.63,6,3,3.98,,,1.0,1.0,1.0,,,3.0,,,5.0,,,,,,,,,,
32,0.0,3.5,D. Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,38,David Luiz Moreira Marinho,David Luiz,0.0,david-luiz,False,15,Flamengo,52827,262,4.53,6,3,7.06,,1.0,1.0,12.0,15.0,2.0,2.0,3.0,1.0,,5.0,,,,,,,,,,
33,0.0,2.42,A. Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,38,Alex Teixeira Santos,Alex Teixeira,0.0,alex-teixeira,False,21,Vasco,60793,267,0.35,6,4,5.33,,3.0,1.0,9.0,25.0,6.0,10.0,23.0,1.0,10.0,,,,,,,,,,,
34,0.0,3.24,F. Azevedo,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,38,Felipe Azevedo dos Santos,Felipe Azevedo,0.0,felipe-azevedo,False,28,América-MG,60825,327,0.94,6,5,5.48,,1.0,2.0,15.0,24.0,11.0,14.0,30.0,4.0,4.0,,,,,2.0,,,,,,
35,0.86,2.1,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,38,Uendel Pereira Gonçalves,Uendel,5.0,uendel,True,7,Cuiabá,60852,1371,0.13,7,2,3.64,,,1.0,,2.0,,1.0,1.0,,,3.0,,,,,,,,,,
36,0.19,2.83,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,38,Neuciano de Jesus Gusmão,Cicinho,1.0,cicinho,True,12,Bahia,61106,265,-0.43,6,2,3.45,,,4.0,14.0,22.0,2.0,1.0,13.0,,,3.0,,,,1.0,,,,,,
37,0.0,2.8,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,38,Gilberto Oliveira Souza Júnior,Gilberto,0.0,gilberto,False,20,Cruzeiro,61188,283,2.46,6,5,7.86,,1.0,4.0,8.0,20.0,6.0,19.0,11.0,3.0,4.0,,,,,,,,,,,
38,-0.12,3.82,Ganso,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,38,Paulo Henrique Chagas de Lima,Ganso,3.3,ganso,True,26,Fluminense,62977,266,4.23,7,4,10.33,,6.0,4.0,21.0,14.0,4.0,6.0,31.0,3.0,1.0,,,,,1.0,,,,,,
39,0.0,1.78,J. Caiçara,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,38,Uilson de Souza Paula Júnior,Júnior Caiçara,0.0,junior-caicara,False,4,Santos,63011,277,3.91,6,2,2.91,,,1.0,3.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,,
40,-0.72,5.72,M. Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,38,Marcos Luis Rocha Aquino,Marcos Rocha,1.2,marcos-rocha,True,20,Palmeiras,63013,275,5.03,7,2,6.45,,1.0,1.0,34.0,19.0,,3.0,12.0,1.0,1.0,12.0,,,,,,1.0,,,,
41,0.0,1.04,Fransérgio,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,38,Fransérgio Rodrigues Barbosa,Fransérgio,0.0,fransergio,False,15,Coritiba,63024,294,1.98,6,4,3.7,,,1.0,8.0,8.0,1.0,6.0,7.0,,1.0,,,,,,,,,,,
42,-0.19,0.97,W. Farias,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,38,Willian Roberto Farias,Willian Farias,0.0,willian-farias,True,15,Coritiba,63058,294,1.39,7,4,2.8,,,3.0,15.0,14.0,,4.0,7.0,,,,,,1.0,,,,,,,
43,-0.13,1.97,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,38,Edenílson Andrade dos Santos,Edenílson,1.9,edenilson,True,28,Atlético-MG,63289,282,2.84,7,4,5.01,,2.0,1.0,24.0,18.0,2.0,2.0,15.0,1.0,,,,,,1.0,,,,,,
44,0.0,1.26,R. Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,38,Rodrigo Modesto da Silva Moledo,Rodrigo Moledo,0.0,rodrigo-moledo,False,7,Internacional,63354,285,0.9,3,3,2.82,,,3.0,4.0,2.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,
45,0.96,3.6,A. Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,38,Alan Patrick Lourenço,Alan Patrick,7.4,alan-patrick,True,34,Internacional,68685,285,2.05,7,4,9.84,,5.0,6.0,17.0,31.0,9.0,23.0,57.0,4.0,5.0,,,,,1.0,,,,,,
46,0.66,4.2,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,38,Carlos Eduardo de Oliveira Alves,Eduardo,3.7,eduardo,True,33,Botafogo,68708,263,0.42,7,4,12.44,,6.0,5.0,20.0,33.0,13.0,11.0,49.0,6.0,,,,,1.0,2.0,,,,,,
47,0.01,1.75,Dodô,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,38,José Rodolfo Pires Ribeiro,Dodô,-0.1,dodo,True,18,Santos,68727,277,0.18,7,2,3.51,,1.0,4.0,25.0,15.0,,3.0,8.0,,3.0,,,,,,,1.0,,,,
48,0.0,0.73,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,38,Guilherme de Aguiar Camacho,Camacho,0.0,camacho,False,11,Santos,68770,277,1.61,6,4,1.95,,,3.0,15.0,18.0,,,3.0,,1.0,,,,1.0,,,,,,,
49,0.0,4.83,M. Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,38,Marcelo Lomba do Nascimento,Marcelo Lomba,0.0,marcelo-lomba,False,3,Palmeiras,68872,275,4.25,6,1,6.17,,,,,,,,1.0,,,1.0,12.0,3.0,,,,,,,,
50,0.0,2.57,W. Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,38,Wellington Alves da Silva,Wellington Silva,0.0,wellington-silva,False,29,Cuiabá,68895,1371,1.12,6,5,4.43,,2.0,1.0,26.0,13.0,5.0,6.0,39.0,1.0,3.0,,,,,,,,,,,
51,0.0,2.38,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,38,Vinicius Santos Silva,Vinicius,0.0,vinicius,False,23,Goiás,68917,290,3.05,6,5,6.65,,2.0,1.0,17.0,20.0,8.0,15.0,14.0,,4.0,,,,,1.0,,,,,,
52,0.0,6.04,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,38,Eduardo Pereira Rodrigues,Dudu,0.0,dudu,False,14,Palmeiras,68920,275,3.49,5,5,14.16,,3.0,,7.0,9.0,7.0,11.0,40.0,3.0,3.0,,,,,1.0,,,,,,
53,1.4,3.92,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,38,Carlos Gilberto do Nascimento Silva,Gil,10.3,gil,True,31,Corinthians,68923,264,1.96,7,3,7.67,,2.0,9.0,37.0,29.0,10.0,10.0,8.0,2.0,5.0,9.0,,,,,,,,,,
