,atletas.clube.id.full.name,atletas.foto,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.status_id,atletas.apelido,atletas.variacao_num,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,PC,PS,CV,DP,GC,V,PI
23,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,False,,34,A. Kardec,Alan Kardec de Sousa Pereira Júnior,13,282,5,1.27,alan-kardec,4.89,50347,6,Alan Kardec,0.0,0.0,1.0,1.0,1.0,8.0,,5.0,4.0,,1.0,3.0,,,,,,,,,,,
24,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,True,,34,Titi,Christian Chagas Tarouco,26,356,3,3.42,titi,7.68,50353,7,Titi,0.17,3.4,1.0,9.0,41.0,31.0,1.0,3.0,25.0,,,1.0,,,,8.0,3.0,,,,,,
25,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,True,,34,Henrique,Henrique Adriano Buss,23,294,3,1.61,henrique,3.63,50856,2,Henrique,0.07,4.7,,6.0,14.0,22.0,3.0,2.0,5.0,,,,,,,5.0,,,,,,,
26,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,False,,34,Apodi,Luiz Diallison de Souza Alves,11,290,2,2.12,apodi,4.54,51042,6,Apodi,0.0,0.0,,1.0,4.0,6.0,5.0,1.0,2.0,,1.0,5.0,,,,1.0,,1.0,,,,,
27,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,True,,34,Walter,Walter Leandro Capeloza Artune,31,1371,1,3.68,walter,6.67,51413,7,Walter,-1.11,1.0,,3.0,,,,,4.0,,,,,97.0,31.0,10.0,1.0,,,,,,
28,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,True,,34,Giuliano,Giuliano Victor de Paula,26,264,4,1.98,giuliano,3.24,51548,7,Giuliano,-0.03,1.0,,2.0,26.0,14.0,3.0,9.0,16.0,,1.0,,,,,,,,,,,,
29,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,True,,34,E. Ribeiro,Everton Augusto de Barros Ribeiro,27,262,4,3.01,everton-ribeiro,8.34,51772,6,Everton Ribeiro,-0.19,0.2,4.0,3.0,19.0,16.0,5.0,5.0,37.0,1.0,2.0,1.0,,,,,1.0,,,,,,
30,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,True,,34,Réver,Réver Humberto Alves Araújo,8,282,3,3.21,rever,3.77,52253,6,Réver,-0.2,0.0,,1.0,,1.0,,,2.0,,,,,,,5.0,,,,,,,
31,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,False,,34,D. Luiz,David Luiz Moreira Marinho,15,262,3,3.5,david-luiz,7.06,52827,5,David Luiz,0.0,0.0,1.0,1.0,12.0,15.0,2.0,2.0,3.0,,1.0,,,,,5.0,,,,,,,
32,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,True,,34,A. Teixeira,Alex Teixeira Santos,21,267,4,2.42,alex-teixeira,5.33,60793,7,Alex Teixeira,-0.35,-0.3,3.0,1.0,9.0,25.0,6.0,10.0,23.0,,1.0,10.0,,,,,,,,,,,
33,América-MG,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_A1IjqkB.png,True,,34,F. Azevedo,Felipe Azevedo dos Santos,26,327,5,3.21,felipe-azevedo,5.78,60825,7,Felipe Azevedo,0.47,2.9,1.0,2.0,15.0,23.0,10.0,11.0,28.0,1.0,4.0,4.0,,,,,,,,,,,
34,Cuiabá,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,True,,34,Uendel,Uendel Pereira Gonçalves,5,1371,2,2.0,uendel,3.0,60852,6,Uendel,-0.66,0.8,,1.0,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,
35,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,False,,34,Cicinho,Neuciano de Jesus Gusmão,11,265,2,3.0,cicinho,3.26,61106,6,Cicinho,0.0,0.0,,4.0,14.0,22.0,2.0,1.0,11.0,1.0,,,,,,3.0,,,,,,,
36,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,False,,34,Gilberto,Gilberto Oliveira Souza Júnior,20,283,5,2.8,gilberto,7.86,61188,6,Gilberto,0.0,0.0,1.0,4.0,8.0,20.0,6.0,19.0,11.0,,3.0,4.0,,,,,,,,,,,
37,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,True,,34,Ganso,Paulo Henrique Chagas de Lima,23,266,4,3.99,ganso,10.21,62977,7,Ganso,0.35,1.9,6.0,4.0,17.0,13.0,4.0,6.0,31.0,,3.0,1.0,,,,,,,,,,,
38,Santos,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,False,,34,J. Caiçara,Uilson de Souza Paula Júnior,4,277,2,1.78,junior-caicara,2.91,63011,6,Júnior Caiçara,0.0,0.0,,1.0,3.0,3.0,,,1.0,,,1.0,,,,1.0,,,,,,,
39,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,True,,34,M. Rocha,Marcos Luis Rocha Aquino,16,275,2,6.32,marcos-rocha,7.96,63013,6,Marcos Rocha,0.56,12.3,1.0,1.0,31.0,15.0,,3.0,10.0,,1.0,,,,,10.0,1.0,,,,,,
40,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,False,,34,Fransérgio,Fransérgio Rodrigues Barbosa,15,294,4,1.04,fransergio,3.7,63024,6,Fransérgio,0.0,0.0,,1.0,8.0,8.0,1.0,6.0,7.0,,,1.0,,,,,,,,,,,
41,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,True,,34,W. Farias,Willian Roberto Farias,11,294,4,1.13,willian-farias,2.79,63058,2,Willian Farias,-0.35,-0.3,,3.0,13.0,13.0,,4.0,7.0,,,,,,,,,,1.0,,,,
42,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,True,,34,Edenílson,Edenílson Andrade dos Santos,24,282,4,1.6,edenilson,4.52,63289,6,Edenílson,0.06,0.0,2.0,,20.0,15.0,2.0,1.0,11.0,,,,,,,,,,,,,,
43,Internacional,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,False,,34,R. Moledo,Rodrigo Modesto da Silva Moledo,7,285,3,1.26,rodrigo-moledo,2.82,63354,3,Rodrigo Moledo,0.0,0.0,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,,,1.0,,,,,,,
44,Internacional,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,True,,34,A. Patrick,Alan Patrick Lourenço,31,285,4,3.54,alan-patrick,9.16,68685,3,Alan Patrick,-0.26,3.1,5.0,6.0,16.0,28.0,8.0,21.0,54.0,1.0,3.0,4.0,,,,,,,,,,,
45,Botafogo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,True,,34,Eduardo,Carlos Eduardo de Oliveira Alves,30,263,4,4.28,eduardo,13.19,68708,2,Eduardo,0.92,8.2,5.0,5.0,18.0,31.0,10.0,9.0,46.0,2.0,6.0,,,,,,,,,,,,
46,Santos,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,False,,34,Dodô,José Rodolfo Pires Ribeiro,15,277,2,2.11,dodo,4.03,68727,2,Dodô,0.0,0.0,1.0,3.0,24.0,11.0,,2.0,8.0,,,3.0,,,,,1.0,,,,,,
47,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,False,,34,Camacho,Guilherme de Aguiar Camacho,10,277,4,0.63,camacho,1.79,68770,6,Camacho,0.0,0.0,,3.0,14.0,18.0,,,2.0,,,1.0,,,,,,,1.0,,,,
48,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,False,,34,M. Lomba,Marcelo Lomba do Nascimento,3,275,1,4.83,marcelo-lomba,6.17,68872,6,Marcelo Lomba,0.0,0.0,,,,,,,1.0,,,,,12.0,3.0,1.0,,,,,,,
49,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,False,,34,W. Silva,Wellington Alves da Silva,28,1371,5,2.64,wellington-silva,5.13,68895,6,Wellington Silva,0.0,0.0,2.0,1.0,26.0,13.0,5.0,6.0,38.0,,1.0,3.0,,,,,,,,,,,
50,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,True,,34,Vinicius,Vinicius Santos Silva,21,290,5,2.41,vinicius,6.25,68917,6,Vinicius,0.02,0.2,2.0,1.0,16.0,17.0,6.0,15.0,11.0,1.0,,4.0,,,,,,,,,,,
51,Palmeiras,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,False,,34,Dudu,Eduardo Pereira Rodrigues,14,275,5,6.04,dudu,14.16,68920,5,Dudu,0.0,0.0,3.0,,7.0,9.0,7.0,11.0,40.0,1.0,3.0,3.0,,,,,,,,,,,
52,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,False,,34,Gil,Carlos Gilberto do Nascimento Silva,29,264,3,3.77,gil,6.27,68923,7,Gil,0.0,0.0,2.0,8.0,32.0,27.0,9.0,8.0,8.0,,2.0,5.0,,,,8.0,,,,,,,
53,São Paulo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,True,,34,Rafael,Rafael Pires Monteiro,28,276,1,3.38,rafael,8.56,68928,7,Rafael,-0.01,8.0,,1.0,1.0,,,,3.0,,,,,74.0,31.0,10.0,,,,,,,
54,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,True,,34,R. Cabral,Rafael Cabral Barbosa,30,283,1,3.65,rafael-cabral,9.57,68940,7,Rafael Cabral,0.04,0.0,,3.0,1.0,,,,4.0,,,,,83.0,28.0,11.0,1.0,,,,,,
55,Cruzeiro,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,True,,34,L. Castán,Luciano Castán da Silva,29,283,3,3.28,luciano-castan,6.49,68942,7,Luciano Castán,-0.08,1.0,,6.0,18.0,21.0,7.0,9.0,15.0,,1.0,1.0,,,,11.0,,,,,,,
56,Fortaleza,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,True,,34,Marinho,Mário Sérgio Santos Costa,20,356,5,3.23,marinho,3.9,68952,7,Marinho,-0.46,0.5,1.0,5.0,12.0,21.0,10.0,14.0,54.0,,1.0,7.0,1.0,,,,,3.0,,,,,
57,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,False,,34,L. Sasha,Lucas Pacheco Affini,15,356,4,3.55,lucas-sasha,7.01,68991,6,Lucas Sasha,0.0,0.0,,3.0,44.0,22.0,1.0,3.0,13.0,,,2.0,,,,,,,,,,,
58,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,False,,34,J. Carlos,João Carlos Heidemann,1,1371,1,-2.0,joao-carlos,1.9,69010,6,João Carlos,0.0,0.0,,,,,,,,,,,,,2.0,,,,,,,,
59,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,False,,34,Santos,Aderbar Melo dos Santos Neto,6,262,1,3.25,santos,9.47,69012,6,Santos,0.0,0.0,,,,,,,1.0,,,,,17.0,8.0,2.0,,,,,,,
60,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,False,,34,Manoel,Manoel Messias Silva Carvalho,6,266,3,1.97,manoel,5.19,69014,3,Manoel,0.0,0.0,,1.0,3.0,1.0,,,1.0,,,,,,,2.0,1.0,,,,,,
61,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,False,,34,M. Cirino,Marcelo Cirino da Silva,4,293,5,0.6,marcelo-cirino,3.44,69022,6,Marcelo Cirino,0.0,0.0,,1.0,2.0,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,
62,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,False,,34,Paulinho,José Paulo Bezerra Maciel Júnior,4,264,4,2.1,paulinho,4.5,69034,5,Paulinho,0.0,0.0,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
63,Santos,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,False,,34,Vladimir,Vladimir Orlando Cardoso de Araújo Filho,3,277,1,-1.0,vladimir,1.51,69040,6,Vladimir,0.0,0.0,,,,,,,,,,,,10.0,13.0,,,,1.0,,,,
64,Bahia,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,False,,34,D. Fernandes,Danilo Fernandes Batista,1,265,1,6.0,danilo-fernandes,3.42,69051,6,Danilo Fernandes,0.0,0.0,,2.0,,,,,,,,,,7.0,,,,,,,,,
65,São Paulo,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,False,,34,J. Rodríguez,James David Rodríguez Rubio,10,276,4,2.93,james-rodriguez,9.89,69063,7,James Rodríguez,0.0,0.0,2.0,,5.0,9.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,,,,,,,,,,
