,atletas.clube_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.jogos_num,atletas.apelido,atletas.status_id,atletas.slug,atletas.pontos_num,atletas.atleta_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.clube.id.full.name,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,PS,PC,SG,DE,GS,V,CV,DP,GC
29,262,0.0,3.98,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,E. Ribeiro,13,Everton Ribeiro,6,everton-ribeiro,0.0,51772,4,,18,Everton Augusto de Barros Ribeiro,Flamengo,8.88,2.0,1.0,12.0,9.0,3.0,5.0,15.0,,2.0,1.0,,,,,,,,,,
30,282,0.0,4.85,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Réver,2,Réver,6,rever,0.0,52253,3,,18,Réver Humberto Alves Araújo,Atlético-MG,4.52,,1.0,,1.0,,,,,,,,,,2.0,,,,,,
31,262,-0.47,4.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,D. Luiz,12,David Luiz,7,david-luiz,0.9,52827,3,,18,David Luiz Moreira Marinho,Flamengo,6.95,1.0,1.0,12.0,13.0,2.0,2.0,3.0,,1.0,,,,,4.0,,,,,,
32,267,0.0,2.7,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,A. Teixeira,14,Alex Teixeira,6,alex-teixeira,0.0,60793,4,,18,Alex Teixeira Santos,Vasco,6.0,3.0,1.0,6.0,20.0,5.0,10.0,19.0,,,8.0,,,,,,,,,,
33,327,-0.91,2.77,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,F. Azevedo,14,Felipe Azevedo,7,felipe-azevedo,1.4,60825,5,,18,Felipe Azevedo dos Santos,América-MG,4.84,,,7.0,12.0,4.0,5.0,13.0,1.0,2.0,1.0,,,,,,,,,,
34,1371,0.55,2.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Uendel,2,Uendel,6,uendel,4.0,60852,2,,18,Uendel Pereira Gonçalves,Cuiabá,3.42,,1.0,,,,,,,,,,,,1.0,,,,,,
35,265,-0.96,3.63,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Cicinho,9,Cicinho,6,cicinho,-0.3,61106,2,,18,Neuciano de Jesus Gusmão,Bahia,3.77,,3.0,13.0,19.0,2.0,1.0,9.0,1.0,,,,,,3.0,,,,,,
36,283,-0.53,3.45,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Gilberto,16,Gilberto,7,gilberto,-0.3,61188,5,,18,Gilberto Oliveira Souza Júnior,Cruzeiro,7.97,1.0,3.0,6.0,14.0,5.0,19.0,11.0,,3.0,4.0,,,,,,,,,,
37,266,0.0,8.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,Alan,1,Alan,6,alan,0.0,62969,5,,18,Alan Douglas Borges de Carvalho,Fluminense,5.29,,,,,,,,,1.0,,,,,,,,,,,
38,266,-0.16,4.27,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Ganso,15,Ganso,6,ganso,0.7,62977,4,,18,Paulo Henrique Chagas de Lima,Fluminense,10.48,3.0,2.0,11.0,9.0,2.0,2.0,25.0,,3.0,1.0,,,,,,,,,,
39,275,0.24,2.8,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,M. Rocha,6,Marcos Rocha,7,marcos-rocha,2.3,63013,2,,18,Marcos Luis Rocha Aquino,Palmeiras,4.91,,,10.0,9.0,,,7.0,,,,,,1.0,1.0,,,,,,
40,294,0.06,1.76,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,Fransérgio,5,Fransérgio,6,fransergio,1.8,63024,4,,18,Fransérgio Rodrigues Barbosa,Coritiba,4.27,,,3.0,4.0,1.0,4.0,4.0,,,,,,,,,,,,,
41,294,0.0,2.43,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,W. Farias,3,Willian Farias,6,willian-farias,0.0,63058,4,,18,Willian Roberto Farias,Coritiba,3.8,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,
42,282,-0.53,2.01,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Edenílson,15,Edenílson,6,edenilson,0.0,63289,4,,18,Edenílson Andrade dos Santos,Atlético-MG,4.85,2.0,,15.0,11.0,1.0,1.0,7.0,,,,,,,,,,,,,
43,285,0.0,1.26,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,R. Moledo,7,Rodrigo Moledo,3,rodrigo-moledo,0.0,63354,3,,18,Rodrigo Modesto da Silva Moledo,Internacional,2.82,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,,,1.0,,,,,,
44,285,-0.31,2.4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,A. Patrick,15,Alan Patrick,6,alan-patrick,2.0,68685,4,,18,Alan Patrick Lourenço,Internacional,8.23,2.0,4.0,6.0,12.0,4.0,7.0,26.0,1.0,,1.0,,,,,,,,,,
45,263,0.26,4.92,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Eduardo,15,Eduardo,7,eduardo,1.0,68708,4,,18,Carlos Eduardo de Oliveira Alves,Botafogo,12.34,3.0,4.0,8.0,21.0,3.0,3.0,31.0,2.0,4.0,,,,,,,,,,,
46,277,0.88,2.58,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,Dodô,5,Dodô,7,dodo,5.0,68727,2,,18,José Rodolfo Pires Ribeiro,Santos,4.24,,1.0,10.0,2.0,,,5.0,,,,,,,,,,,,,
47,277,0.0,0.83,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Camacho,7,Camacho,6,camacho,0.0,68770,4,,18,Guilherme de Aguiar Camacho,Santos,1.72,,2.0,12.0,15.0,,,2.0,,,1.0,,,,,,,,1.0,,
48,275,0.0,1.0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,M. Lomba,1,Marcelo Lomba,6,marcelo-lomba,0.0,68872,1,,18,Marcelo Lomba do Nascimento,Palmeiras,5.89,,,,,,,,,,,,,,,2.0,1.0,,,,
49,1371,-0.24,2.24,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,W. Silva,16,Wellington Silva,6,wellington-silva,5.0,68895,5,,18,Wellington Alves da Silva,Cuiabá,4.54,1.0,1.0,16.0,7.0,2.0,3.0,20.0,,,2.0,,,,,,,,,,
50,290,-0.75,2.88,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Vinicius,10,Vinicius,7,vinicius,0.0,68917,5,,18,Vinicius Santos Silva,Goiás,6.45,,1.0,13.0,8.0,4.0,9.0,10.0,,,3.0,,,,,,,,,,
51,275,0.0,6.36,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Dudu,13,Dudu,6,dudu,0.0,68920,5,,18,Eduardo Pereira Rodrigues,Palmeiras,16.34,3.0,,6.0,8.0,7.0,11.0,38.0,1.0,3.0,3.0,,,,,,,,,,
52,264,0.17,2.46,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Gil,16,Gil,7,gil,0.9,68923,3,,18,Carlos Gilberto do Nascimento Silva,Corinthians,4.89,,5.0,17.0,15.0,3.0,4.0,3.0,,,1.0,,,,4.0,,,,,,
53,276,-1.54,3.3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,Rafael,17,Rafael,7,rafael,-2.0,68928,1,,18,Rafael Pires Monteiro,São Paulo,7.2,,,1.0,,,,2.0,,,,,,,5.0,47.0,18.0,,,,
54,283,0.0,4.28,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,R. Cabral,17,Rafael Cabral,3,rafael-cabral,0.0,68940,1,,18,Rafael Cabral Barbosa,Cruzeiro,9.65,,3.0,1.0,,,,1.0,,,,,,1.0,7.0,55.0,15.0,,,,
55,283,1.07,3.1,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,L. Castán,17,Luciano Castán,7,luciano-castan,6.7,68942,3,,18,Luciano Castán da Silva,Cruzeiro,6.85,,5.0,12.0,15.0,3.0,3.0,14.0,,,1.0,,,,7.0,,,,,,
56,356,0.16,1.82,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Marinho,9,Marinho,7,marinho,3.7,68952,5,,18,Mário Sérgio Santos Costa,Fortaleza,3.27,,2.0,3.0,10.0,5.0,4.0,18.0,,,4.0,,,,,,,,,,
57,356,0.0,3.22,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,L. Sasha,9,Lucas Sasha,6,lucas-sasha,0.0,68991,4,,18,Lucas Pacheco Affini,Fortaleza,6.34,,2.0,25.0,16.0,,3.0,7.0,,,1.0,,,,,,,,,,
58,1371,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,J. Carlos,0,João Carlos,6,joao-carlos,0.0,69010,1,,18,João Carlos Heidemann,Cuiabá,3.0,,,,,,,,,,,,,,,,,,,,
