,atletas.rodada_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.slug,atletas.media_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,PC,PS,V,FT,PP,DE,DP,GS,CV,GC,PI
37,29,Fluminense,21,4,Paulo Henrique Chagas de Lima,ganso,4.28,3,Ganso,11.68,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,True,Ganso,62977,10.8,,266,1.53,6.0,3.0,16.0,13.0,3.0,6.0,30.0,3.0,1.0,,,,,,,,,,,,
38,29,Santos,3,2,Uilson de Souza Paula Júnior,junior-caicara,0.8,6,J. Caiçara,2.19,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,False,Júnior Caiçara,63011,0.0,,277,0.0,,1.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,
39,29,Palmeiras,13,2,Marcos Luis Rocha Aquino,marcos-rocha,5.58,6,M. Rocha,8.63,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,True,Marcos Rocha,63013,20.4,,275,2.66,1.0,1.0,22.0,13.0,,,8.0,1.0,,7.0,1.0,,,,,,,,,,
40,29,Coritiba,13,4,Fransérgio Rodrigues Barbosa,fransergio,1.09,6,Fransérgio,3.38,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,True,Fransérgio,63024,-1.3,,294,-0.3,,1.0,7.0,6.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,
41,29,Coritiba,8,4,Willian Roberto Farias,willian-farias,0.62,3,W. Farias,2.29,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,True,Willian Farias,63058,-3.3,,294,-0.9,,2.0,7.0,10.0,,2.0,6.0,,,,,,,,,,,,1.0,,
42,29,Atlético-MG,20,4,Edenílson Andrade dos Santos,edenilson,1.87,6,Edenílson,5.15,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,False,Edenílson,63289,0.0,,282,0.0,2.0,,19.0,14.0,2.0,1.0,11.0,,,,,,,,,,,,,,
43,29,Internacional,7,3,Rodrigo Modesto da Silva Moledo,rodrigo-moledo,1.26,3,R. Moledo,2.82,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,False,Rodrigo Moledo,63354,0.0,,285,0.0,,3.0,4.0,2.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,
44,29,Internacional,26,4,Alan Patrick Lourenço,alan-patrick,3.27,7,A. Patrick,9.42,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,True,Alan Patrick,68685,6.7,,285,-1.11,5.0,4.0,12.0,19.0,4.0,13.0,43.0,2.0,4.0,,,,,1.0,,,,,,,
45,29,Botafogo,25,4,Carlos Eduardo de Oliveira Alves,eduardo,4.21,7,Eduardo,12.08,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,False,Eduardo,68708,0.0,,263,0.0,5.0,5.0,16.0,28.0,7.0,9.0,42.0,4.0,,,,,,2.0,,,,,,,
46,29,Santos,14,2,José Rodolfo Pires Ribeiro,dodo,2.09,7,Dodô,4.13,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,True,Dodô,68727,3.4,,277,0.23,1.0,3.0,22.0,11.0,,2.0,8.0,,3.0,,1.0,,,,,,,,,,
47,29,Santos,10,4,Guilherme de Aguiar Camacho,camacho,0.63,6,Camacho,1.79,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,False,Camacho,68770,0.0,,277,0.0,,3.0,14.0,18.0,,,2.0,,1.0,,,,,,,,,,1.0,,
48,29,Palmeiras,3,1,Marcelo Lomba do Nascimento,marcelo-lomba,4.83,6,M. Lomba,6.17,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,False,Marcelo Lomba,68872,0.0,,275,0.0,,,,,,,1.0,,,1.0,,,,,,12.0,,3.0,,,
