,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.foto,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.apelido,atletas.clube.id.full.name,atletas.variacao_num,atletas.posicao_id,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,G,V,A,CA,I,DE,GS,PC,PS,SG,CV,FT,DP,PP,GC
31,7,alex-teixeira,5,A. Teixeira,0.4,267,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,3.02,60793,5,Alex Teixeira Santos,6.0,Alex Teixeira,Vasco,-0.92,4,,3.0,10.0,1.0,2.0,4.0,,,2.0,,3.0,,,,,,,,,,
32,7,felipe-azevedo,5,F. Azevedo,0.7,327,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,1.02,60825,5,Felipe Azevedo dos Santos,3.57,Felipe Azevedo,América-MG,-0.3,5,,1.0,4.0,2.0,1.0,4.0,,,,,1.0,,,,,,,,,,
33,6,uendel,5,Uendel,0.0,1371,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,60852,0,Uendel Pereira Gonçalves,4.0,Uendel,Cuiabá,0.0,2,,,,,,,,,,,,,,,,,,,,,
34,6,cicinho,5,Cicinho,-0.1,265,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,-0.1,61106,1,Neuciano de Jesus Gusmão,2.72,Cicinho,Bahia,-1.28,2,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,
35,7,gilberto,5,Gilberto,2.5,283,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,4.08,61188,5,Gilberto Oliveira Souza Júnior,7.8,Gilberto,Cruzeiro,-0.43,5,,3.0,7.0,1.0,11.0,4.0,1.0,,,1.0,1.0,,,,,,,,,,
36,6,alan,5,Alan,0.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,8.0,62969,1,Alan Douglas Borges de Carvalho,5.29,Alan,Fluminense,0.0,5,,,,,,,1.0,,,,,,,,,,,,,,
37,7,ganso,5,Ganso,8.5,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,6.02,62977,5,Paulo Henrique Chagas de Lima,11.9,Ganso,Fluminense,0.74,4,,5.0,1.0,2.0,,8.0,1.0,,2.0,,,,,,,,,,,,
38,5,marcos-rocha,5,M. Rocha,0.0,275,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,4.7,63013,1,Marcos Luis Rocha Aquino,6.26,Marcos Rocha,Palmeiras,0.0,2,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,
39,7,willian-farias,5,W. Farias,0.0,294,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,2.43,63058,3,Willian Roberto Farias,3.8,Willian Farias,Coritiba,0.0,4,,6.0,3.0,,,4.0,,,,1.0,,,,,,,,,,,
40,7,edenilson,5,Edenílson,0.9,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,2.4,63289,5,Edenílson Andrade dos Santos,5.24,Edenílson,Atlético-MG,-0.31,4,,5.0,4.0,1.0,,2.0,,,1.0,,,,,,,,,,,,
41,6,rodrigo-moledo,5,R. Moledo,2.4,285,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,0.9,63354,3,Rodrigo Modesto da Silva Moledo,3.12,Rodrigo Moledo,Internacional,0.44,3,,3.0,2.0,1.0,,1.0,,,,2.0,,,,,,,,,,,
42,7,alan-patrick,5,A. Patrick,2.0,285,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,2.96,68685,5,Alan Patrick Lourenço,9.44,Alan Patrick,Internacional,-0.45,4,,2.0,3.0,1.0,2.0,13.0,,,1.0,1.0,,,,,,,,,,,
