,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,DS,FC,FS,CA,FD,FF,G,PS,SG,I,V,A,FT,CV,DE,GS,DP,PC,PP,GC
397,5.01,marcos-paulo,8,Marcos Paulo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_XopxIWU.png,3.1,103645,9.09,6,-0.22,5.1,Marcos Paulo Costa do Nascimento,276,M. Paulo,5,São Paulo,8,11.0,6.0,9.0,1.0,1.0,4.0,2.0,,,2.0,,1.0,,,,,,,,
398,0.0,kaique-rocha,0,Kaíque Rocha,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_TAU79Yo.png,5.38,103684,4.0,6,0.0,0.0,Kaíque Rocha Lima,293,K. Rocha,3,Athlético-PR,8,,,,,,,,,,,,,,,,,,,,
399,0.69,jadsom-silva,7,Jadsom Silva,https://s.sde.globo.com/media/person_role/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png,0.62,103695,1.84,6,0.19,0.9,Jadsom Meemyas de Oliveira da Silva,280,J. Silva,4,Bragantino,8,9.0,8.0,1.0,4.0,1.0,1.0,,,,1.0,,,,,,,,2.0,,
400,1.14,bruno-mendez,5,Bruno Méndez,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_VwEvkmY.png,2.62,103700,2.76,7,0.79,4.4,Bruno Méndez Cittadini,264,B. Méndez,3,Corinthians,8,2.0,5.0,,1.0,,1.0,,,1.0,,,,,,,,,,,
401,4.99,gabriel-menino,8,Gabriel Menino,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_a770SrF.png,1.78,103767,8.44,7,-1.2,2.8,Gabriel Vinícius Menino,275,G. Menino,4,Palmeiras,8,17.0,14.0,11.0,2.0,3.0,7.0,,,,,,1.0,2.0,,,,,,,
402,0.0,maycon,0,Maycon,https://s.sde.globo.com/media/person_role/2022/05/05/f39fcb967a674ffddbaec227105dae4a_FORMATO.png,3.96,104017,3.0,6,0.0,0.0,Maycon Cleiton de Paula Azevedo,280,Maycon,1,Bragantino,8,,,,,,,,,,,,,,,,,,,,
403,0.0,joao-fernando,0,João Fernando,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5Z0375l.png,2.54,104079,2.0,6,0.0,0.0,João Fernando Monteiro Siqueira,263,J. Fernando,1,Botafogo,8,,,,,,,,,,,,,,,,,,,,
404,0.0,carlos-miguel,0,Carlos Miguel,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ucZUimL.png,2.54,104084,2.0,6,0.0,0.0,Carlos Miguel dos Santos Pereira,264,C. Miguel,1,Corinthians,8,,,,,,,,,,,,,,,,,,,,
405,3.42,bruno-fuchs,5,Bruno Fuchs,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qjyhb3e.png,1.3,104085,4.92,6,0.0,0.0,Bruno de Lara Fuchs,282,B. Fuchs,3,Atlético-MG,8,1.0,2.0,3.0,,,,,,3.0,,,,,,,,,,,
406,0.0,ruan,0,Ruan,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_Uq9B5Kn.png,2.54,104153,2.0,6,0.0,0.0,Ruan de Oliveira Ferreira,264,Ruan,4,Corinthians,8,,,,,,,,,,,,,,,,,,,,
407,5.9,joao-lucas,2,João Lucas,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_tX8ABIy.png,4.01,104257,4.58,7,0.72,6.8,João Lucas de Almeida Carvalho,277,J. Lucas,2,Santos,8,5.0,,,,,1.0,,,1.0,,,,,,,,,,,
408,0.0,matheus-mendes,0,Matheus Mendes,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_xQ2S67t.png,3.96,104383,3.0,6,0.0,0.0,Matheus Mendes Werneck de Oliveira,282,M. Mendes,1,Atlético-MG,8,,,,,,,,,,,,,,,,,,,,
409,3.28,igor-gomes,6,Igor Gomes,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_I7Q1WEp.png,3.0,104385,5.75,6,0.58,5.0,Igor Gomes Silva,285,I. Gomes,3,Internacional,8,7.0,4.0,5.0,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,
