,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.apelido,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.variacao_num,atletas.posicao_id,atletas.slug,DS,FC,FS,PC,SG,CA,DE,GS,CV,DP,GC,FD,FF,G,I,A,PP,PS,FT,V,PI
42,282,5.57,2,63289,2.04,Atlético-MG,0.0,Edenílson Andrade dos Santos,Edenílson,Edenílson,4.25,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,21,17,0.0,4,edenilson,18.0,13.0,10.0,,,,,,,,,1.0,1.0,,,2.0,,,,,
43,285,2.82,3,63354,1.26,Internacional,0.0,Rodrigo Modesto da Silva Moledo,Rodrigo Moledo,R. Moledo,-3.36,False,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,21,7,0.0,3,rodrigo-moledo,4.0,2.0,3.0,,1.0,3.0,,,,,,1.0,,,1.0,,,,,,
44,285,7.94,7,68685,2.13,Internacional,1.4,Alan Patrick Lourenço,Alan Patrick,A. Patrick,1.48,True,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,21,18,0.14,4,alan-patrick,7.0,14.0,28.0,,,4.0,,,,,,4.0,8.0,,2.0,2.0,,,1.0,,
45,263,12.27,7,68708,4.71,Botafogo,0.9,Carlos Eduardo de Oliveira Alves,Eduardo,Eduardo,1.16,True,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,21,18,-0.41,4,eduardo,9.0,25.0,34.0,,,4.0,,,,,,6.0,4.0,4.0,,4.0,,,2.0,,
46,277,3.41,7,68727,1.58,Santos,0.0,José Rodolfo Pires Ribeiro,Dodô,Dodô,0.39,True,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,21,8,-0.01,2,dodo,11.0,5.0,6.0,,,2.0,,,,,,,,,,,,,,,
47,277,1.83,6,68770,0.65,Santos,0.0,Guilherme de Aguiar Camacho,Camacho,Camacho,-0.24,False,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,21,8,0.0,4,camacho,12.0,17.0,2.0,,,2.0,,,1.0,,,,,,1.0,,,,,,
48,275,6.78,6,68872,5.0,Palmeiras,0.0,Marcelo Lomba do Nascimento,Marcelo Lomba,M. Lomba,7.4,False,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,21,2,0.0,1,marcelo-lomba,,,,,1.0,,6.0,1.0,,,,,,,,,,,,,
49,1371,5.0,7,68895,2.56,Cuiabá,6.5,Wellington Alves da Silva,Wellington Silva,W. Silva,5.36,True,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,21,18,0.56,5,wellington-silva,20.0,9.0,28.0,,,1.0,,,,,,3.0,4.0,,2.0,1.0,,,,,
50,290,7.03,6,68917,3.26,Goiás,2.4,Vinicius Santos Silva,Vinicius,Vinicius,2.25,True,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,21,13,-0.65,5,vinicius,15.0,8.0,10.0,,,1.0,,,,,,6.0,10.0,,3.0,1.0,,,1.0,,
51,275,14.16,5,68920,6.04,Palmeiras,1.9,Eduardo Pereira Rodrigues,Dudu,Dudu,1.92,True,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,21,14,-2.18,5,dudu,7.0,9.0,40.0,,,,,,,,,7.0,11.0,3.0,3.0,3.0,,,1.0,,
52,264,6.61,7,68923,2.94,Corinthians,0.0,Carlos Gilberto do Nascimento Silva,Gil,Gil,8.62,False,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,21,17,0.0,3,gil,19.0,15.0,4.0,,4.0,5.0,,,,,,3.0,4.0,1.0,3.0,,,,,,
53,276,7.2,7,68928,3.12,São Paulo,0.0,Rafael Pires Monteiro,Rafael,Rafael,-0.66,True,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,21,18,0.0,1,rafael,1.0,,2.0,,5.0,,49.0,20.0,,,,,,,,,,,,,
54,283,9.23,7,68940,3.66,Cruzeiro,-2.0,Rafael Cabral Barbosa,Rafael Cabral,R. Cabral,-1.05,True,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,21,20,-0.54,1,rafael-cabral,1.0,,2.0,1.0,7.0,3.0,60.0,20.0,,,,,,,,,,,,,
55,283,5.83,7,68942,2.8,Cruzeiro,0.0,Luciano Castán da Silva,Luciano Castán,L. Castán,0.45,True,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,21,20,-0.42,3,luciano-castan,13.0,17.0,14.0,,7.0,5.0,,,,,,4.0,5.0,,1.0,,,,,,
56,356,4.65,3,68952,2.94,Fortaleza,9.6,Mário Sérgio Santos Costa,Marinho,Marinho,7.7,True,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,21,12,0.89,5,marinho,6.0,14.0,32.0,,,3.0,,,,,,5.0,6.0,1.0,5.0,,,1.0,,,
57,356,6.31,6,68991,3.03,Fortaleza,4.1,Lucas Pacheco Affini,Lucas Sasha,L. Sasha,3.53,True,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,21,11,0.54,4,lucas-sasha,28.0,17.0,9.0,,,2.0,,,,,,,3.0,,1.0,,,,,,
58,1371,3.0,6,69010,0.0,Cuiabá,0.0,João Carlos Heidemann,João Carlos,J. Carlos,1.71,False,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,21,0,0.0,1,joao-carlos,,,,,,,,,,,,,,,,,,,,,
